Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,698.0,700.0,688.0,693.15,693.3,76169.0,528.25
2014-01-01,688.2,698.2,683.65,687.0,686.1,68753.0,473.55
2014-01-02,688.0,697.85,668.0,673.0,672.5,58490.0,400.96
2014-01-03,670.0,691.95,650.2,667.0,666.4,103286.0,694.02
2014-01-06,667.0,678.4,662.0,669.0,669.25,46407.0,310.86
2014-01-07,664.0,678.0,657.45,660.0,661.8,48601.0,324.84
2014-01-08,662.1,675.0,661.0,663.0,663.2,58781.0,392.9
2014-01-09,666.0,676.3,656.05,659.0,660.9,44472.0,296.65
2014-01-10,655.05,671.45,650.0,650.0,652.1,45948.0,303.37
2014-01-13,648.1,665.5,637.3,648.0,645.35,36848.0,239.96
2014-01-14,643.3,660.0,643.3,650.5,649.25,45780.0,299.04
2014-01-15,653.8,661.6,637.35,650.0,648.9,84151.0,546.7
2014-01-16,651.1,656.45,642.6,643.0,644.0,29965.0,194.35
2014-01-17,640.5,648.75,634.1,638.0,637.2,23162.0,148.6
2014-01-20,631.05,639.0,631.05,636.5,634.35,17605.0,111.78
2014-01-21,636.55,650.7,636.5,639.3,639.8,51868.0,333.61
2014-01-22,639.9,646.0,635.0,636.9,636.75,35711.0,228.96
2014-01-23,635.05,648.5,635.05,637.0,637.25,48735.0,312.83
2014-01-24,637.0,639.95,614.35,615.5,616.85,48468.0,301.98
2014-01-27,610.4,610.4,594.0,597.0,596.65,36680.0,219.69
2014-01-28,595.0,605.9,586.0,590.0,588.4,25837.0,153.56
2014-01-29,590.1,596.95,585.2,588.25,587.45,26116.0,154.39
2014-01-30,590.65,595.05,566.95,583.9,579.15,78879.0,456.27
2014-01-31,579.0,587.45,573.0,587.0,579.9,65542.0,379.41
2014-02-03,576.2,588.0,572.95,574.0,575.15,126076.0,726.4
2014-02-04,577.4,582.9,567.4,577.0,577.3,48422.0,279.08
2014-02-05,575.2,611.9,575.2,601.0,601.75,190958.0,1147.74
2014-02-06,605.25,617.0,578.0,587.7,588.05,88187.0,527.46
2014-02-07,591.15,594.5,583.05,592.0,590.1,37851.0,223.21
2014-02-10,586.0,593.95,575.7,577.95,578.85,40865.0,237.96
2014-02-11,578.05,582.85,571.7,574.0,574.45,23280.0,134.55
2014-02-12,571.0,592.9,571.0,581.0,583.1,57070.0,334.39
2014-02-13,585.0,591.0,570.4,574.75,573.9,43054.0,250.52
2014-02-14,571.0,582.5,570.05,578.5,577.55,30012.0,173.32
2014-02-17,575.0,594.25,575.0,594.0,591.25,87011.0,509.8
2014-02-18,594.0,676.9,592.4,666.0,667.25,2973333.0,19343.17
2014-02-19,667.5,698.9,652.5,678.2,680.9,2698780.0,18357.81
2014-02-20,672.2,693.6,666.15,676.95,681.45,969923.0,6627.71
2014-02-21,682.9,689.5,673.05,682.7,681.9,316769.0,2158.78
2014-02-24,675.05,688.0,675.05,677.6,680.05,232570.0,1583.53
2014-02-25,680.2,686.65,671.0,678.85,676.8,183482.0,1246.14
2014-02-26,678.85,734.95,672.0,706.0,707.9,2284344.0,16458.75
2014-02-28,708.0,721.9,707.45,718.0,716.9,570183.0,4073.49
2014-03-03,712.0,732.9,710.6,721.15,719.65,356015.0,2569.2
2014-03-04,720.0,743.8,719.0,732.2,732.2,443200.0,3247.16
2014-03-05,734.75,806.85,731.0,806.0,795.85,1654626.0,12919.05
2014-03-06,809.1,829.6,770.15,774.5,779.6,846442.0,6839.48
2014-03-07,783.0,822.85,771.0,806.0,802.25,879233.0,7040.28
2014-03-10,795.35,818.0,786.0,797.0,797.25,302075.0,2426.69
2014-03-11,800.0,806.7,778.05,778.3,780.3,156645.0,1238.42
2014-03-12,780.1,801.35,768.15,796.0,794.4,321755.0,2539.63
2014-03-13,798.0,824.0,785.6,821.0,817.55,544478.0,4398.92
2014-03-14,817.55,833.3,790.1,791.5,799.05,354225.0,2870.96
2014-03-18,792.0,813.0,783.0,798.0,799.3,225300.0,1804.11
2014-03-19,802.0,809.7,788.1,789.5,791.05,147758.0,1181.08
2014-03-20,785.0,801.7,782.2,784.9,784.55,74030.0,586.51
2014-03-21,786.1,801.5,780.45,782.0,785.4,122161.0,964.81
2014-03-22,787.25,792.0,779.0,781.0,781.3,27474.0,215.43
2014-03-24,786.25,800.0,784.6,799.75,799.4,175675.0,1397.49
2014-03-25,801.1,841.4,796.25,823.0,824.65,632987.0,5220.9
2014-03-26,828.25,838.0,818.25,825.0,824.0,186156.0,1544.82
2014-03-27,828.0,835.5,820.2,824.8,823.95,109702.0,907.51
2014-03-28,823.95,832.0,813.5,817.75,818.45,210834.0,1733.33
2014-03-31,824.9,862.0,818.05,860.0,853.9,371966.0,3132.98
2014-04-01,859.7,863.7,845.0,847.0,849.35,163698.0,1397.36
2014-04-02,852.2,870.5,852.2,858.6,858.05,215394.0,1857.4
2014-04-03,855.2,863.95,833.0,836.0,839.75,70315.0,595.33
2014-04-04,833.1,847.7,831.0,832.0,833.85,55734.0,468.23
2014-04-07,826.0,836.4,810.1,818.0,820.65,53375.0,439.55
2014-04-09,826.7,847.0,826.0,842.0,840.9,104986.0,877.19
2014-04-10,841.9,858.0,837.05,838.2,840.15,103547.0,877.17
2014-04-11,835.7,839.9,818.7,825.8,823.7,58100.0,482.22
2014-04-15,820.25,834.85,810.1,814.9,815.15,66019.0,543.13
2014-04-16,816.0,842.4,816.0,832.5,831.95,121147.0,1009.77
2014-04-17,837.15,861.7,821.15,846.0,848.25,188447.0,1597.93
2014-04-21,848.25,848.25,828.0,832.15,832.35,52082.0,436.25
2014-04-22,838.0,844.0,820.0,825.0,823.4,75097.0,626.5
2014-04-23,823.0,829.9,816.0,818.05,820.6,37913.0,312.25
2014-04-25,818.0,839.9,817.95,822.0,825.15,61806.0,511.93
2014-04-28,829.7,841.9,820.0,821.3,826.5,91133.0,756.91
2014-04-29,829.9,830.6,813.0,818.0,817.0,84935.0,694.83
2014-04-30,823.8,849.0,823.8,848.0,844.5,261899.0,2188.45
2014-05-02,848.0,861.5,833.65,835.9,835.9,110009.0,931.47
2014-05-05,840.0,851.0,820.0,823.5,823.85,116769.0,974.43
2014-05-06,821.05,831.85,812.5,812.65,814.35,50524.0,414.63
2014-05-07,808.1,825.0,808.1,815.5,814.6,135758.0,1110.2
2014-05-08,815.15,821.0,810.1,810.55,811.95,47205.0,384.81
2014-05-09,810.25,839.9,808.2,832.25,834.9,101998.0,843.95
2014-05-12,831.2,923.0,818.7,880.0,882.4,531016.0,4692.37
2014-05-13,884.55,920.0,872.3,915.0,912.4,294599.0,2659.52
2014-05-14,913.45,916.95,886.2,888.0,891.85,78542.0,707.23
2014-05-15,892.05,920.0,881.25,884.85,887.9,112922.0,1017.88
2014-05-16,906.7,913.8,871.5,878.5,877.95,98180.0,876.41
2014-05-19,885.95,931.95,884.75,922.0,920.8,256750.0,2356.67
2014-05-20,926.05,933.85,903.0,928.5,926.0,150628.0,1388.33
2014-05-21,934.0,982.0,930.0,933.0,935.4,242297.0,2323.92
