Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1099.75,1111.85,1095.3,1107.85,1108.75,152498.0,1684.64
2014-01-01,1110.0,1115.0,1101.3,1108.8,1108.45,66461.0,736.59
2014-01-02,1110.1,1122.15,1093.0,1097.0,1097.6,310453.0,3436.2
2014-01-03,1086.05,1094.5,1081.15,1086.1,1088.95,186172.0,2024.57
2014-01-06,1088.0,1094.6,1071.1,1086.0,1085.0,144416.0,1566.0
2014-01-07,1087.6,1094.2,1071.2,1085.4,1085.2,297558.0,3221.9
2014-01-08,1080.1,1098.0,1077.1,1084.0,1083.35,309014.0,3357.97
2014-01-09,1085.65,1089.75,1050.0,1053.25,1054.0,207498.0,2210.3
2014-01-10,1055.0,1057.9,1028.2,1030.0,1034.25,196254.0,2047.57
2014-01-13,1034.8,1043.0,1026.15,1043.0,1037.15,280135.0,2899.46
2014-01-14,1038.0,1044.65,1017.5,1019.0,1019.25,258779.0,2656.55
2014-01-15,1024.0,1035.9,1017.0,1029.0,1029.35,206666.0,2126.46
2014-01-16,1031.25,1048.75,1028.3,1034.6,1032.35,300498.0,3123.52
2014-01-17,1035.0,1044.0,1022.55,1028.6,1027.65,190230.0,1969.94
2014-01-20,1029.0,1034.0,1016.55,1030.0,1029.85,319564.0,3282.4
2014-01-21,1034.0,1037.0,1023.0,1032.0,1031.05,222661.0,2297.66
2014-01-22,1028.0,1030.0,1018.6,1022.95,1023.65,141481.0,1448.05
2014-01-23,1016.05,1027.7,1016.05,1023.0,1020.0,273061.0,2788.15
2014-01-24,1020.0,1023.7,995.2,999.0,999.45,271037.0,2722.59
2014-01-27,990.0,990.95,976.1,986.05,984.2,164374.0,1619.12
2014-01-28,985.1,999.7,980.0,994.2,996.15,129917.0,1287.68
2014-01-29,1000.0,1005.6,981.45,984.0,988.3,135934.0,1354.63
2014-01-30,980.0,991.7,970.15,986.0,982.6,316976.0,3112.81
2014-01-31,989.9,1016.7,982.0,1015.8,1010.85,313053.0,3129.83
2014-02-03,1004.05,1021.45,998.95,999.0,1003.9,243550.0,2456.97
2014-02-04,988.6,1014.4,988.6,1000.0,1001.1,255339.0,2559.57
2014-02-05,1001.4,1012.5,991.2,1001.0,1001.0,321747.0,3234.48
2014-02-06,1000.65,1024.9,991.1,1016.0,1018.95,665685.0,6736.39
2014-02-07,1016.0,1055.0,1006.35,1050.0,1046.45,363743.0,3754.89
2014-02-10,1048.1,1054.8,1031.3,1050.0,1048.45,283113.0,2959.58
2014-02-11,1052.5,1054.0,1040.35,1052.0,1049.8,120995.0,1268.52
2014-02-12,1055.1,1055.1,1035.0,1037.9,1037.85,105703.0,1100.5
2014-02-13,1037.05,1044.05,1010.25,1013.6,1014.4,156873.0,1604.96
2014-02-14,1015.8,1021.65,1001.75,1006.65,1008.85,116476.0,1176.13
2014-02-17,1010.0,1018.75,1002.0,1008.8,1010.15,114203.0,1152.96
2014-02-18,1008.0,1025.0,1005.0,1020.0,1019.9,168819.0,1712.58
2014-02-19,1020.0,1035.0,1020.0,1025.2,1025.8,152027.0,1561.49
2014-02-20,1023.0,1023.0,1002.05,1004.35,1007.9,64873.0,657.04
2014-02-21,1006.0,1070.0,1003.1,1068.8,1065.55,392141.0,4094.56
2014-02-24,1068.0,1080.4,1056.45,1067.8,1070.1,261977.0,2800.88
2014-02-25,1073.0,1087.75,1073.0,1084.0,1083.85,300648.0,3254.97
2014-02-26,1081.0,1096.0,1075.15,1096.0,1090.7,202636.0,2205.19
2014-02-28,1085.0,1110.0,1085.0,1108.0,1104.9,316402.0,3478.81
2014-03-03,1103.1,1113.8,1094.0,1101.65,1099.5,147479.0,1625.89
2014-03-04,1099.1,1141.1,1096.95,1136.4,1133.35,205315.0,2301.45
2014-03-05,1136.1,1176.75,1111.6,1165.0,1167.3,333862.0,3840.49
2014-03-06,1169.9,1218.7,1161.0,1207.0,1212.1,453249.0,5399.24
2014-03-07,1215.0,1269.9,1202.0,1256.0,1261.15,607707.0,7524.45
2014-03-10,1250.1,1285.3,1237.95,1268.0,1266.9,392791.0,4965.05
2014-03-11,1268.1,1282.35,1237.55,1249.9,1251.25,370660.0,4673.96
2014-03-12,1247.7,1253.0,1221.15,1240.0,1231.55,276918.0,3430.06
2014-03-13,1236.95,1269.55,1233.3,1244.65,1246.85,200002.0,2506.09
2014-03-14,1245.0,1255.8,1217.55,1253.0,1248.8,301970.0,3739.55
2014-03-18,1250.0,1276.0,1245.1,1259.0,1258.1,299596.0,3781.8
2014-03-19,1263.5,1293.9,1249.55,1283.3,1284.5,551692.0,7049.88
2014-03-20,1283.35,1287.95,1254.15,1259.4,1260.3,171166.0,2169.33
2014-03-21,1267.0,1279.9,1258.25,1264.9,1270.15,235549.0,2991.03
2014-03-22,1268.9,1268.9,1256.85,1263.8,1263.9,15874.0,200.37
2014-03-24,1254.95,1294.0,1250.0,1279.0,1282.6,272349.0,3486.05
2014-03-25,1283.7,1290.2,1266.4,1269.1,1271.05,135680.0,1730.78
2014-03-26,1283.5,1304.0,1280.0,1291.3,1293.45,286362.0,3709.95
2014-03-27,1294.0,1322.1,1281.3,1314.15,1313.1,550384.0,7200.32
2014-03-28,1315.95,1372.3,1308.3,1358.0,1362.4,373979.0,5033.55
2014-03-31,1361.0,1407.0,1361.0,1399.9,1399.55,320327.0,4442.64
2014-04-01,1400.0,1400.0,1371.5,1392.25,1389.1,278127.0,3847.69
2014-04-02,1394.9,1396.3,1345.8,1358.25,1359.95,302676.0,4144.68
2014-04-03,1369.8,1369.8,1348.65,1355.05,1351.15,397566.0,5388.76
2014-04-04,1351.0,1374.7,1336.5,1363.2,1365.35,305676.0,4158.35
2014-04-07,1372.8,1391.9,1371.0,1380.0,1379.3,282548.0,3901.35
2014-04-09,1384.8,1389.5,1366.0,1370.0,1373.15,433478.0,5964.29
2014-04-10,1376.4,1403.0,1360.1,1386.3,1389.25,412481.0,5715.43
2014-04-11,1385.5,1399.0,1371.0,1390.0,1391.5,169388.0,2354.84
2014-04-15,1392.05,1397.0,1356.3,1361.0,1361.8,114342.0,1565.48
2014-04-16,1361.8,1371.0,1326.2,1335.2,1331.85,339494.0,4589.25
2014-04-17,1333.25,1368.4,1318.1,1357.8,1358.35,367054.0,4945.07
2014-04-21,1359.85,1369.0,1335.2,1351.2,1350.8,294750.0,3973.76
2014-04-22,1352.3,1358.2,1327.05,1334.3,1336.65,212152.0,2837.66
2014-04-23,1334.0,1356.6,1316.6,1355.55,1347.05,867755.0,11602.96
2014-04-25,1340.1,1341.1,1288.15,1307.0,1310.25,629939.0,8220.9
2014-04-28,1300.1,1307.0,1277.2,1287.0,1287.05,360527.0,4641.32
2014-04-29,1290.0,1310.0,1277.0,1299.3,1300.3,386817.0,5017.78
2014-04-30,1300.05,1316.9,1282.7,1306.9,1293.0,366408.0,4738.64
2014-05-02,1296.15,1305.0,1280.0,1285.75,1285.75,138497.0,1782.34
2014-05-05,1285.75,1287.25,1265.2,1280.05,1277.0,252303.0,3211.09
2014-05-06,1282.15,1305.0,1275.0,1290.0,1291.35,358303.0,4635.24
2014-05-07,1282.15,1296.85,1267.05,1272.0,1271.7,398838.0,5109.01
2014-05-08,1275.25,1290.0,1261.1,1269.0,1269.7,222403.0,2828.27
2014-05-09,1267.95,1347.45,1265.05,1340.0,1341.1,305740.0,4028.5
2014-05-12,1342.5,1368.9,1342.3,1362.0,1353.5,270023.0,3654.89
2014-05-13,1360.1,1419.0,1360.1,1388.55,1390.15,529280.0,7374.98
2014-05-14,1389.8,1398.7,1371.0,1390.0,1388.05,318008.0,4407.11
2014-05-15,1381.2,1399.0,1359.05,1378.0,1377.1,271826.0,3753.85
2014-05-16,1395.0,1459.9,1382.05,1447.0,1430.15,790658.0,11313.63
2014-05-19,1437.0,1453.6,1410.2,1435.0,1442.45,835308.0,12000.06
2014-05-20,1458.7,1458.7,1415.5,1425.0,1422.0,229930.0,3279.42
2014-05-21,1423.0,1439.95,1372.0,1389.0,1380.45,364909.0,5091.81
2014-05-22,1399.0,1408.0,1361.0,1387.95,1389.4,319755.0,4439.62
2014-05-23,1386.0,1400.0,1370.3,1377.05,1380.1,541425.0,7490.91
2014-05-26,1381.0,1433.5,1311.85,1346.7,1348.45,1580507.0,21991.33
2014-05-27,1348.05,1357.8,1312.15,1332.75,1330.55,190906.0,2538.53
2014-05-28,1337.0,1398.0,1331.05,1388.0,1381.25,422121.0,5818.57
2014-05-29,1394.0,1407.35,1352.05,1359.5,1362.3,426725.0,5895.9
2014-05-30,1362.0,1365.95,1321.1,1341.0,1337.0,433042.0,5823.81
2014-06-02,1347.7,1388.8,1332.8,1382.45,1382.4,280346.0,3812.87
2014-06-03,1390.0,1429.5,1384.05,1419.0,1417.05,389987.0,5501.4
2014-06-04,1420.0,1436.4,1410.0,1420.35,1422.7,234062.0,3330.02
2014-06-05,1428.0,1459.65,1428.0,1434.35,1439.25,544132.0,7856.56
2014-06-06,1446.0,1448.5,1424.65,1443.45,1438.9,306628.0,4401.19
2014-06-09,1444.0,1525.5,1441.1,1503.0,1507.1,832082.0,12536.51
2014-06-10,1514.8,1515.45,1476.05,1497.0,1499.55,650780.0,9743.54
2014-06-11,1510.0,1514.0,1468.5,1478.0,1484.1,251884.0,3750.83
2014-06-12,1483.0,1489.8,1466.05,1480.1,1477.0,226059.0,3344.38
2014-06-13,1470.75,1506.0,1458.55,1475.0,1474.75,280837.0,4172.32
2014-06-16,1474.0,1493.0,1438.0,1484.1,1486.3,310812.0,4560.17
2014-06-17,1486.4,1511.0,1467.75,1501.1,1499.8,533887.0,7989.19
2014-06-18,1501.1,1520.0,1466.0,1473.0,1475.2,448226.0,6737.37
2014-06-19,1478.5,1499.0,1448.05,1448.2,1455.05,162784.0,2388.18
2014-06-20,1443.0,1465.3,1427.35,1436.2,1438.6,201598.0,2912.67
2014-06-23,1425.15,1477.0,1425.0,1475.0,1471.0,305598.0,4441.66
2014-06-24,1482.0,1485.0,1460.0,1475.0,1472.0,275321.0,4054.01
2014-06-25,1470.0,1477.4,1457.0,1469.2,1469.95,169257.0,2487.83
2014-06-26,1479.8,1479.8,1435.0,1456.0,1450.05,281676.0,4097.73
2014-06-27,1453.1,1472.1,1424.0,1427.0,1429.7,166024.0,2389.96
2014-06-30,1428.0,1484.5,1428.0,1464.35,1469.25,227041.0,3301.66
2014-07-01,1471.0,1486.8,1460.35,1478.0,1480.6,208998.0,3088.21
2014-07-02,1485.1,1503.65,1471.6,1498.5,1498.4,294391.0,4400.52
2014-07-03,1500.0,1514.95,1476.0,1479.8,1480.05,144786.0,2152.52
2014-07-04,1476.15,1487.5,1421.1,1448.0,1450.95,179421.0,2617.08
2014-07-07,1447.9,1467.0,1445.0,1445.5,1450.85,196051.0,2850.16
2014-07-08,1450.0,1467.0,1401.1,1423.0,1418.55,253721.0,3631.97
2014-07-09,1422.0,1448.0,1395.0,1433.55,1435.55,314118.0,4496.68
2014-07-10,1435.1,1487.8,1411.0,1458.0,1458.5,299862.0,4356.94
2014-07-11,1456.5,1461.8,1411.5,1419.8,1424.7,248804.0,3566.25
2014-07-14,1416.25,1429.0,1395.1,1398.0,1398.3,211513.0,2981.88
2014-07-15,1405.0,1426.0,1397.2,1422.3,1419.65,302030.0,4271.77
2014-07-16,1422.25,1446.85,1411.0,1445.0,1435.6,191690.0,2734.23
2014-07-17,1438.0,1479.5,1437.1,1479.5,1477.0,244439.0,3583.5
2014-07-18,1478.0,1479.0,1450.0,1464.0,1461.2,119965.0,1753.11
2014-07-21,1455.5,1494.9,1445.0,1487.25,1483.75,244009.0,3615.25
2014-07-22,1490.0,1500.0,1475.0,1491.0,1489.05,135486.0,2019.05
2014-07-23,1493.25,1498.0,1450.5,1454.15,1453.85,156358.0,2290.22
2014-07-24,1455.4,1473.4,1429.0,1470.0,1463.45,468613.0,6790.93
2014-07-25,1464.9,1469.0,1429.95,1431.5,1440.0,169289.0,2453.17
2014-07-28,1429.0,1437.9,1393.05,1402.0,1402.85,279895.0,3936.48
2014-07-30,1401.8,1411.95,1388.2,1409.5,1409.25,354600.0,4975.3
2014-07-31,1401.05,1418.5,1388.6,1395.0,1395.9,548941.0,7694.31
2014-08-01,1385.0,1394.9,1370.0,1375.05,1375.55,829098.0,11455.98
2014-08-04,1380.0,1390.7,1358.05,1372.5,1374.5,313771.0,4301.41
2014-08-05,1376.0,1451.15,1375.15,1439.3,1441.5,434006.0,6141.29
2014-08-06,1440.0,1448.0,1421.15,1430.1,1431.2,333455.0,4780.97
2014-08-07,1442.9,1488.7,1432.0,1473.7,1473.75,686373.0,10033.97
2014-08-08,1460.0,1464.9,1432.5,1437.5,1439.65,250909.0,3628.72
2014-08-11,1449.4,1456.35,1438.3,1444.05,1447.95,150882.0,2186.57
2014-08-12,1447.8,1473.5,1445.5,1464.9,1464.65,229909.0,3358.4
2014-08-13,1460.0,1483.0,1440.0,1447.5,1452.4,233512.0,3412.03
2014-08-14,1453.0,1486.0,1453.0,1483.0,1480.85,180880.0,2660.6
2014-08-18,1479.8,1516.8,1471.95,1511.9,1508.65,263813.0,3955.35
2014-08-19,1518.0,1538.7,1499.1,1531.2,1523.95,524770.0,7957.9
2014-08-20,1529.15,1549.75,1518.2,1524.0,1525.4,411276.0,6288.04
2014-08-21,1525.0,1536.0,1515.15,1521.0,1525.6,439918.0,6708.08
2014-08-22,1526.0,1530.5,1510.0,1518.9,1520.4,220001.0,3341.93
2014-08-25,1520.4,1547.9,1513.15,1529.8,1531.7,562698.0,8604.34
2014-08-26,1531.1,1531.1,1473.25,1490.05,1491.4,390276.0,5842.85
2014-08-27,1499.8,1509.9,1481.15,1499.85,1502.75,228053.0,3417.24
2014-08-28,1505.0,1506.8,1487.0,1493.0,1492.55,190831.0,2856.33
2014-09-01,1495.25,1518.95,1495.25,1498.1,1499.55,211600.0,3184.03
2014-09-02,1495.0,1561.05,1495.0,1553.95,1551.9,617386.0,9508.47
2014-09-03,1560.0,1564.65,1540.65,1547.0,1546.75,468497.0,7281.41
2014-09-04,1545.1,1549.8,1511.0,1531.55,1525.45,372132.0,5663.94
2014-09-05,1532.9,1544.0,1511.9,1525.0,1521.75,274458.0,4183.55
2014-09-08,1537.0,1556.8,1522.1,1545.5,1549.65,337481.0,5205.76
2014-09-09,1547.1,1560.5,1527.0,1541.65,1545.1,385722.0,5944.07
2014-09-10,1536.0,1552.2,1521.3,1525.55,1532.25,350368.0,5383.42
2014-09-11,1525.1,1540.0,1518.0,1525.0,1532.05,324500.0,4966.39
2014-09-12,1539.0,1541.5,1518.0,1537.0,1534.25,270001.0,4132.36
2014-09-15,1528.0,1528.7,1503.6,1503.75,1512.65,314164.0,4762.0
2014-09-16,1503.1,1522.0,1474.0,1478.0,1483.0,353065.0,5288.33
2014-09-17,1490.0,1499.65,1468.8,1494.8,1495.35,233042.0,3464.63
2014-09-18,1490.0,1514.95,1486.0,1505.0,1509.0,400791.0,6048.04
