Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,182.9,183.15,181.25,182.5,182.65,742334.0,1354.35
2014-01-01,183.1,184.3,182.25,183.45,183.65,316632.0,580.09
2014-01-02,182.0,184.9,178.1,178.3,179.15,1208631.0,2192.67
2014-01-03,178.0,179.65,176.75,178.3,177.8,1481433.0,2640.57
2014-01-06,177.8,178.55,175.3,176.3,176.3,441324.0,780.27
2014-01-07,176.5,177.95,174.6,175.15,175.25,1062974.0,1872.21
2014-01-08,175.25,176.9,174.3,174.65,174.7,648152.0,1137.33
2014-01-09,174.5,175.5,170.0,170.6,170.65,825312.0,1421.55
2014-01-10,171.0,171.9,166.0,166.35,167.25,1083244.0,1832.97
2014-01-13,167.0,171.1,166.35,170.65,170.1,998357.0,1680.23
2014-01-14,169.2,171.05,167.2,167.65,167.65,396928.0,668.31
2014-01-15,168.0,170.8,166.95,169.5,170.05,1204831.0,2037.81
2014-01-16,170.3,172.35,168.75,169.65,169.4,901454.0,1535.99
2014-01-17,169.05,172.65,168.6,170.5,170.0,1565922.0,2677.04
2014-01-20,170.0,172.4,168.8,172.3,172.1,605334.0,1034.47
2014-01-21,173.0,173.35,170.05,170.8,170.9,644890.0,1104.07
2014-01-22,170.65,171.6,168.95,171.3,171.2,608919.0,1037.32
2014-01-23,171.2,173.4,170.25,171.25,171.2,979736.0,1682.3
2014-01-24,169.6,171.7,162.35,163.2,162.95,3399680.0,5657.6
2014-01-27,161.0,161.0,157.0,157.15,157.35,1859288.0,2945.8
2014-01-28,156.45,159.65,156.0,158.85,158.0,1300032.0,2051.02
2014-01-29,159.25,161.9,158.05,158.25,158.6,1628813.0,2609.59
2014-01-30,157.3,159.45,154.8,158.0,157.35,2793904.0,4392.16
2014-01-31,158.1,160.45,157.15,159.9,159.15,1503824.0,2382.53
2014-02-03,159.2,162.0,154.25,154.8,155.25,1663508.0,2636.27
2014-02-04,153.4,156.8,153.1,156.3,155.8,1313097.0,2035.69
2014-02-05,155.5,157.65,153.2,155.5,155.1,1342899.0,2083.51
2014-02-06,153.55,156.8,152.05,156.0,155.85,2030169.0,3136.97
2014-02-07,156.0,163.85,154.85,163.7,162.85,3217551.0,5179.29
2014-02-10,163.9,164.7,161.3,162.0,162.15,677558.0,1101.21
2014-02-11,162.5,163.35,160.1,160.15,160.7,772092.0,1249.35
2014-02-12,160.25,161.1,158.0,158.5,158.4,1066826.0,1698.15
2014-02-13,158.6,159.0,153.15,153.15,154.05,521918.0,813.18
2014-02-14,153.3,154.85,150.1,150.5,151.15,1607887.0,2435.37
2014-02-17,151.6,153.45,150.35,150.9,151.05,1576781.0,2390.85
2014-02-18,150.95,153.75,150.65,152.95,152.75,1423576.0,2171.07
2014-02-19,153.5,155.2,153.0,154.35,154.6,2236077.0,3452.3
2014-02-20,153.9,154.5,151.7,151.85,152.75,854871.0,1312.91
2014-02-21,153.0,162.8,151.7,162.3,162.0,4407604.0,7029.31
2014-02-24,162.15,164.75,159.05,160.0,160.05,3730551.0,6002.78
2014-02-25,162.15,165.6,161.55,163.45,164.1,3598300.0,5909.22
2014-02-26,163.5,168.3,162.6,165.7,165.95,2463411.0,4093.51
2014-02-28,166.0,169.0,164.0,168.0,168.0,2215083.0,3705.47
2014-03-03,168.85,168.85,165.75,167.35,167.9,1161971.0,1943.72
2014-03-04,166.8,169.7,166.6,168.5,168.35,1096381.0,1843.59
2014-03-05,169.9,170.2,163.0,169.35,169.5,2666407.0,4464.36
2014-03-06,169.65,174.5,169.65,174.1,173.8,1746129.0,3025.61
2014-03-07,174.25,186.5,174.25,182.75,182.15,3318682.0,5984.36
2014-03-10,181.1,185.3,180.05,183.8,182.65,1852523.0,3382.79
2014-03-11,183.0,187.75,180.55,184.0,184.3,1913307.0,3527.49
2014-03-12,183.75,185.0,178.0,181.15,180.65,1163132.0,2113.13
2014-03-13,180.95,185.0,179.7,181.0,180.8,949948.0,1738.67
2014-03-14,180.4,182.9,176.35,182.25,181.3,1403600.0,2530.64
2014-03-18,181.55,186.0,181.55,184.15,184.0,1299282.0,2393.86
2014-03-19,184.95,190.0,184.2,190.0,189.5,1838271.0,3452.03
2014-03-20,189.4,189.8,182.25,182.6,182.75,1096306.0,2024.02
2014-03-21,182.1,186.05,181.6,184.1,184.5,1890910.0,3476.54
2014-03-22,184.0,184.9,183.1,184.75,184.45,59855.0,110.21
2014-03-24,184.0,188.35,183.6,186.1,186.1,1341438.0,2503.73
2014-03-25,185.0,187.1,182.55,182.65,183.4,1346206.0,2480.83
2014-03-26,184.5,189.05,184.0,185.25,186.35,1998841.0,3727.57
2014-03-27,186.35,193.8,184.55,192.0,192.3,3469508.0,6630.35
2014-03-28,194.0,201.0,193.1,200.0,199.65,2340699.0,4624.57
2014-03-31,199.65,203.5,198.45,200.85,202.2,1527313.0,3075.31
2014-04-01,202.0,204.8,197.8,202.8,203.15,2083012.0,4214.53
2014-04-02,203.5,204.1,197.65,201.05,200.65,1263151.0,2537.67
2014-04-03,201.95,205.5,200.1,205.0,204.85,1821460.0,3707.03
2014-04-04,205.0,205.3,201.45,202.75,203.35,1134251.0,2302.33
2014-04-07,202.95,209.9,202.65,209.5,209.4,2063047.0,4286.56
2014-04-09,209.5,212.1,208.35,211.95,211.15,1378565.0,2902.4
2014-04-10,212.0,216.6,209.1,211.8,212.35,1546114.0,3297.52
2014-04-11,210.0,217.8,210.0,217.3,217.2,1492589.0,3218.19
2014-04-15,218.0,218.75,211.65,214.0,213.85,1048409.0,2241.71
2014-04-16,214.0,216.45,206.4,208.0,207.75,1621439.0,3429.96
2014-04-17,208.1,217.5,208.05,216.0,216.65,1605092.0,3438.75
2014-04-21,212.4,218.0,212.4,215.35,216.0,897711.0,1936.43
2014-04-22,216.0,216.05,210.05,215.2,214.6,1517550.0,3239.45
2014-04-23,214.0,220.0,213.3,220.0,218.75,3136465.0,6830.49
2014-04-25,220.0,221.0,207.35,208.1,209.05,2928718.0,6199.52
2014-04-28,207.0,208.0,199.45,200.15,200.1,3655029.0,7369.44
2014-04-29,202.25,204.9,198.1,203.0,202.4,1824619.0,3696.75
2014-04-30,203.3,204.8,196.2,198.8,197.75,1455587.0,2907.73
