Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,954.0,954.0,939.3,945.9,946.4,720225.0,6814.04
2014-01-01,940.25,987.65,940.25,967.3,969.3,335988.0,3268.71
2014-01-02,969.95,975.55,920.45,933.0,930.55,172239.0,1643.58
2014-01-03,925.0,962.4,921.15,953.0,951.95,148814.0,1409.92
2014-01-06,946.0,951.9,937.05,946.0,945.7,95362.0,900.75
2014-01-07,940.05,948.7,922.25,932.5,932.1,137831.0,1284.26
2014-01-08,937.0,938.3,903.3,908.0,907.65,170459.0,1553.36
2014-01-09,913.0,913.0,876.05,895.0,894.4,260764.0,2326.54
2014-01-10,895.6,920.0,894.4,917.05,916.6,172729.0,1577.55
2014-01-13,921.7,930.0,891.0,896.6,899.1,156681.0,1418.71
2014-01-14,891.15,912.4,891.15,901.05,902.3,59681.0,539.65
2014-01-15,903.0,912.0,893.0,907.95,906.6,135377.0,1227.37
2014-01-16,912.7,929.8,901.3,922.0,922.05,208882.0,1926.38
2014-01-17,919.0,933.45,917.0,925.15,927.4,89085.0,826.12
2014-01-20,931.0,942.0,927.4,940.0,939.4,93297.0,874.71
2014-01-21,941.1,949.0,931.0,948.0,946.0,153772.0,1449.07
2014-01-22,949.7,949.7,927.5,944.0,941.4,74869.0,701.74
2014-01-23,942.2,945.0,929.0,942.0,940.8,65283.0,612.82
2014-01-24,935.0,945.0,927.1,941.05,941.9,102697.0,962.43
2014-01-27,941.5,941.5,925.0,936.0,934.85,99977.0,933.29
2014-01-28,929.0,934.95,906.1,918.0,916.6,133197.0,1219.76
2014-01-29,918.2,928.0,900.9,909.0,905.55,46413.0,424.78
2014-01-30,896.05,933.0,896.05,921.7,921.85,89529.0,822.67
2014-01-31,917.1,944.6,906.2,944.6,930.2,70146.0,647.41
2014-02-03,935.0,969.8,933.85,938.0,937.6,190405.0,1811.23
2014-02-04,935.0,942.8,915.6,930.1,930.15,90853.0,843.07
2014-02-05,923.25,947.65,923.25,935.0,935.2,60835.0,568.29
2014-02-06,936.25,948.0,923.05,947.2,945.2,100385.0,942.36
2014-02-07,950.25,954.65,940.0,945.0,945.75,348982.0,3299.73
2014-02-10,946.8,958.65,930.35,945.6,945.65,249117.0,2352.61
2014-02-11,946.7,948.0,931.2,945.0,942.1,107337.0,1009.67
2014-02-12,943.15,945.0,931.05,933.2,936.05,89113.0,833.96
2014-02-13,935.0,943.7,925.9,928.45,930.7,123494.0,1155.85
2014-02-14,931.75,935.0,907.95,908.1,910.8,88358.0,810.72
2014-02-17,918.0,924.8,910.2,917.0,920.65,83621.0,769.25
2014-02-18,932.9,932.9,920.05,928.9,925.35,74253.0,686.55
2014-02-19,926.4,937.4,922.1,928.4,928.6,115736.0,1078.04
2014-02-20,926.35,926.35,902.2,905.0,907.2,86194.0,787.2
2014-02-21,908.25,917.75,897.0,903.0,900.3,77983.0,706.85
2014-02-24,905.0,914.8,900.25,908.0,909.15,39523.0,359.07
2014-02-25,910.2,917.7,909.0,912.0,912.8,49759.0,454.58
2014-02-26,919.95,919.95,905.4,911.9,908.8,63923.0,582.29
2014-02-28,895.7,928.0,895.7,923.5,920.3,229839.0,2109.29
2014-03-03,920.0,923.95,901.25,903.8,902.5,39652.0,361.38
