Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,17.25,17.35,17.1,17.25,17.25,6030331.0,1039.9
2014-01-01,17.25,17.4,17.15,17.2,17.2,2424349.0,417.75
2014-01-02,17.35,17.95,17.2,17.65,17.75,21557275.0,3809.47
2014-01-03,18.0,19.05,17.7,19.05,18.9,46470769.0,8554.22
2014-01-06,19.1,19.15,18.45,18.75,18.7,15415220.0,2892.38
2014-01-07,18.95,18.95,18.2,18.3,18.35,11635445.0,2144.87
2014-01-08,18.6,18.75,18.15,18.2,18.25,5948349.0,1096.82
2014-01-09,18.4,18.4,17.8,17.8,17.9,7619581.0,1372.36
2014-01-10,18.0,18.0,17.1,17.15,17.2,8726124.0,1533.03
2014-01-13,17.1,17.55,16.9,17.2,17.1,5102199.0,873.19
2014-01-14,17.05,17.65,16.95,17.45,17.4,5972585.0,1038.9
2014-01-15,17.4,17.5,17.15,17.3,17.25,3623898.0,626.35
2014-01-16,17.15,17.45,16.95,17.05,17.0,2703137.0,463.61
2014-01-17,17.0,17.2,16.75,16.95,16.85,3439620.0,582.93
2014-01-20,16.85,17.05,16.7,16.8,16.8,3335279.0,561.62
2014-01-21,16.9,17.25,16.65,16.9,16.8,6894950.0,1163.53
2014-01-22,16.6,17.55,16.2,17.25,17.25,26685626.0,4565.85
2014-01-23,17.25,17.9,17.25,17.75,17.7,12248325.0,2164.15
2014-01-24,17.7,17.7,17.0,17.05,17.05,7609929.0,1318.86
2014-01-27,16.8,16.85,16.3,16.55,16.5,4491746.0,743.79
2014-01-28,16.4,16.75,15.95,16.35,16.35,8483179.0,1381.5
2014-01-29,16.45,16.75,16.15,16.35,16.3,4274785.0,705.51
2014-01-30,16.1,16.35,15.75,16.2,16.15,10110272.0,1625.97
2014-01-31,16.3,16.55,16.1,16.5,16.45,11540451.0,1887.0
2014-02-03,16.25,16.4,15.85,15.95,15.9,4136058.0,666.18
2014-02-04,15.9,16.6,15.5,16.45,16.45,14393963.0,2318.66
2014-02-05,16.5,16.5,15.9,16.05,16.0,9051086.0,1456.26
2014-02-06,16.05,16.3,15.8,15.95,15.95,8265993.0,1322.42
2014-02-07,16.0,16.25,15.95,16.1,16.1,5058257.0,814.13
2014-02-10,16.25,16.45,15.55,15.65,15.65,16461612.0,2619.53
2014-02-11,15.75,15.8,15.55,15.7,15.7,4375071.0,686.55
2014-02-12,15.75,15.85,15.55,15.65,15.6,3784598.0,592.76
2014-02-13,15.6,15.75,15.4,15.45,15.5,3017740.0,470.51
2014-02-14,15.5,15.75,15.45,15.65,15.6,3758441.0,585.33
2014-02-17,15.7,15.9,14.85,15.4,15.35,8985964.0,1391.58
2014-02-18,15.4,15.6,15.25,15.45,15.35,6672511.0,1027.86
2014-02-19,15.7,15.8,15.5,15.7,15.65,4638723.0,725.46
2014-02-20,15.65,15.7,15.4,15.6,15.65,3354843.0,522.65
2014-02-21,15.6,15.75,15.6,15.7,15.7,2826587.0,443.44
2014-02-24,15.6,15.7,15.5,15.55,15.5,2662240.0,415.02
2014-02-25,15.5,15.65,15.5,15.55,15.5,2605212.0,405.72
2014-02-26,15.4,15.75,15.35,15.7,15.7,13668315.0,2137.22
2014-02-28,15.75,15.8,15.6,15.65,15.65,2082985.0,326.41
2014-03-03,15.65,15.7,15.5,15.5,15.55,1679150.0,261.33
2014-03-04,15.5,15.75,15.35,15.65,15.6,3662269.0,570.29
2014-03-05,15.6,16.3,15.6,16.25,16.15,8025139.0,1286.37
2014-03-06,16.25,16.35,15.95,16.05,16.0,6677550.0,1073.0
2014-03-07,16.1,17.25,15.9,17.1,17.15,25688161.0,4286.4
2014-03-10,17.15,18.25,16.95,18.2,18.1,38704691.0,6849.53
2014-03-11,18.05,18.2,17.35,17.65,17.55,14498381.0,2580.63
2014-03-12,17.55,18.55,17.45,17.7,17.75,19198479.0,3450.38
2014-03-13,17.9,18.3,17.1,17.35,17.45,13495704.0,2414.87
2014-03-14,17.35,17.6,17.05,17.4,17.45,7043671.0,1217.38
2014-03-18,17.5,17.9,17.4,17.5,17.5,6474382.0,1140.82
2014-03-19,17.55,17.85,17.55,17.65,17.65,3925812.0,694.47
2014-03-20,17.5,18.0,17.4,17.6,17.7,7217954.0,1270.12
2014-03-21,17.75,18.65,17.7,18.6,18.5,17074117.0,3120.57
2014-03-22,18.6,18.65,18.35,18.5,18.5,926893.0,171.57
2014-03-24,18.65,19.45,18.1,19.3,19.35,24816632.0,4695.43
2014-03-25,19.35,20.45,19.25,20.4,20.3,26349946.0,5271.31
2014-03-26,20.7,24.35,20.35,22.5,22.6,70588203.0,15430.44
2014-03-27,22.8,23.7,21.8,22.15,22.1,68817039.0,15565.95
2014-03-28,22.45,23.0,22.0,22.9,22.85,20596711.0,4651.1
2014-03-31,23.0,23.95,23.0,23.6,23.65,23062808.0,5447.83
2014-04-01,23.7,23.85,22.25,22.7,22.6,14160442.0,3228.72
2014-04-02,22.75,23.75,22.35,23.55,23.55,16122735.0,3742.64
2014-04-03,23.9,24.1,22.9,23.35,23.2,27519191.0,6461.99
2014-04-04,23.3,23.6,22.95,23.35,23.45,9082601.0,2121.1
2014-04-07,23.25,23.6,22.75,23.0,23.05,5805206.0,1344.39
2014-04-09,23.05,24.95,23.05,24.55,24.55,21222616.0,5126.81
2014-04-10,24.65,24.95,24.0,24.05,24.25,10594572.0,2602.4
2014-04-11,24.15,25.25,23.75,24.1,24.1,13230673.0,3245.01
2014-04-15,24.85,24.85,23.3,23.3,23.6,8043432.0,1923.67
2014-04-16,23.45,23.7,22.65,22.8,22.8,7218707.0,1670.2
2014-04-17,22.85,23.45,22.65,23.1,23.05,15461413.0,3554.15
2014-04-21,23.25,24.5,23.2,24.3,24.3,10651862.0,2556.19
2014-04-22,24.5,24.7,23.6,23.8,23.75,7012412.0,1693.11
2014-04-23,23.6,24.25,23.6,23.95,23.85,7581623.0,1812.59
2014-04-25,23.85,24.2,23.1,23.4,23.3,8599530.0,2037.28
2014-04-28,23.4,23.65,23.1,23.2,23.25,4468841.0,1043.48
2014-04-29,23.45,23.45,22.55,22.7,22.7,4925141.0,1131.79
2014-04-30,22.85,23.1,21.95,22.45,22.25,13178669.0,2955.43
2014-05-02,22.35,22.75,22.2,22.5,22.5,4067788.0,912.5
2014-05-05,22.25,22.65,21.7,22.55,22.45,7086225.0,1583.7
2014-05-06,22.55,22.65,22.3,22.6,22.5,4710841.0,1058.07
2014-05-07,22.3,22.8,22.3,22.7,22.6,5216959.0,1181.13
2014-05-08,22.65,23.05,22.65,22.95,22.9,5562510.0,1273.2
2014-05-09,22.8,24.05,22.8,23.8,23.9,22122813.0,5169.16
2014-05-12,23.95,26.25,23.75,24.95,25.1,35846649.0,9096.43
2014-05-13,25.75,26.45,25.1,25.6,25.55,14698640.0,3784.57
2014-05-14,25.65,26.1,25.3,25.6,25.6,5697144.0,1463.13
2014-05-15,25.8,26.15,25.15,25.5,25.5,9084206.0,2333.88
2014-05-16,26.0,28.25,26.0,26.9,26.9,26137474.0,7153.34
2014-05-19,27.15,29.35,27.05,29.25,29.15,16471586.0,4671.66
2014-05-20,29.6,30.35,28.2,28.35,28.35,16109284.0,4716.87
2014-05-21,28.55,30.5,28.35,29.1,28.95,34799750.0,10145.02
2014-05-22,29.0,30.05,28.5,28.65,28.9,19697455.0,5766.27
2014-05-23,30.5,34.45,30.5,33.3,32.85,91793267.0,30001.25
2014-05-26,33.95,35.85,29.85,32.2,31.85,53040222.0,17918.42
