Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,486.5,492.6,486.5,489.85,490.0,608388.0,2982.82
2014-01-01,494.4,503.9,492.0,499.5,499.75,1866326.0,9339.39
2014-01-02,501.4,505.1,483.0,485.1,485.55,952911.0,4741.46
2014-01-03,483.0,491.5,480.0,490.0,489.5,994043.0,4848.06
2014-01-06,491.35,492.5,482.6,489.15,490.65,833555.0,4077.37
2014-01-07,491.0,493.5,484.0,490.0,489.95,708829.0,3468.99
2014-01-08,490.55,493.0,487.5,490.25,490.5,703600.0,3451.18
2014-01-09,488.35,491.9,485.55,490.2,490.1,639802.0,3128.23
2014-01-10,488.0,498.0,488.0,490.95,492.0,610335.0,3016.61
2014-01-13,488.7,499.4,488.0,494.0,494.05,1093710.0,5409.3
2014-01-14,492.0,496.5,486.05,487.0,487.4,448596.0,2201.49
2014-01-15,486.0,494.7,486.0,492.7,493.5,597708.0,2939.32
2014-01-16,495.0,496.85,490.7,495.0,495.6,738459.0,3653.48
2014-01-17,497.45,500.0,488.1,492.15,491.55,827389.0,4092.98
2014-01-20,491.5,492.5,483.75,489.2,490.0,1396371.0,6825.12
2014-01-21,478.0,482.9,472.3,479.5,479.25,1628124.0,7765.01
2014-01-22,478.85,478.85,466.85,474.8,472.6,2795089.0,13160.53
2014-01-23,473.9,474.5,468.15,474.0,473.0,941667.0,4437.85
2014-01-24,469.25,479.55,465.0,479.4,478.1,1170322.0,5551.68
2014-01-27,474.0,478.9,470.5,477.0,476.4,941676.0,4476.66
2014-01-28,475.25,480.7,471.0,479.0,476.8,902422.0,4290.72
2014-01-29,478.1,484.75,473.75,483.0,482.9,1046075.0,5036.71
2014-01-30,478.0,480.0,463.95,475.8,477.5,2915597.0,13760.04
2014-01-31,474.15,478.9,467.05,473.0,471.7,1681719.0,7924.64
2014-02-03,468.25,479.0,467.55,469.9,469.9,651775.0,3089.08
2014-02-04,465.05,477.4,464.05,475.0,476.0,969792.0,4576.19
2014-02-05,473.2,485.1,470.1,484.5,484.45,1254256.0,5999.14
2014-02-06,485.55,488.0,478.0,485.05,484.05,978103.0,4713.19
2014-02-07,487.0,491.3,484.05,490.0,490.5,596025.0,2915.92
2014-02-10,492.8,495.0,485.0,487.2,487.0,2209585.0,10786.47
2014-02-11,489.1,489.25,480.7,483.95,484.35,1058522.0,5134.86
2014-02-12,479.0,483.0,474.1,478.05,477.35,856522.0,4083.75
2014-02-13,477.35,479.75,466.65,467.5,468.8,318431.0,1503.33
2014-02-14,469.65,475.45,469.25,473.05,472.8,323567.0,1528.77
2014-02-17,474.85,476.2,470.6,472.3,473.25,274976.0,1301.53
2014-02-18,473.5,477.0,463.65,472.35,473.1,403429.0,1903.58
2014-02-19,472.0,473.1,467.5,467.5,468.5,292623.0,1373.89
2014-02-20,466.65,467.5,460.2,460.35,461.6,694901.0,3220.61
2014-02-21,462.25,468.85,461.3,465.0,464.0,562640.0,2617.85
2014-02-24,464.5,471.8,464.05,471.3,470.8,303887.0,1425.95
2014-02-25,471.5,474.85,470.1,472.45,472.05,806751.0,3811.98
2014-02-26,470.5,479.9,470.5,478.0,477.15,604265.0,2874.48
2014-02-28,477.75,482.5,470.55,471.5,473.0,673369.0,3198.32
2014-03-03,471.5,476.35,468.5,471.8,472.95,431296.0,2041.0
2014-03-04,471.55,477.5,471.55,475.9,475.6,1001089.0,4754.55
2014-03-05,477.4,478.9,472.0,473.9,474.6,436618.0,2074.88
2014-03-06,476.5,477.2,472.55,474.0,474.55,437306.0,2076.3
2014-03-07,475.9,484.3,473.5,480.15,481.0,930496.0,4455.29
2014-03-10,482.0,490.0,480.6,484.45,484.85,993946.0,4836.65
2014-03-11,487.6,489.5,478.55,478.55,480.7,535386.0,2592.46
