Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,395.85,398.05,388.0,392.4,392.8,2811178.0,11030.93
2014-01-01,393.5,396.0,390.0,391.45,391.7,1713250.0,6739.22
2014-01-02,391.0,392.1,374.95,375.2,378.25,4116593.0,15807.19
2014-01-03,374.0,397.95,372.2,395.2,395.15,7155012.0,27855.52
2014-01-06,397.3,416.0,393.0,410.85,411.2,6169845.0,25162.59
2014-01-07,411.5,417.9,404.6,404.8,407.75,4043836.0,16638.3
2014-01-08,405.0,412.5,402.4,405.6,405.5,2787451.0,11367.06
2014-01-09,407.0,408.8,389.55,392.25,392.6,3181561.0,12647.35
2014-01-10,393.7,401.6,386.45,387.75,389.9,3466851.0,13677.7
2014-01-13,389.05,394.9,375.1,381.5,380.15,4796918.0,18297.24
2014-01-14,378.7,390.8,378.7,389.05,388.75,2080091.0,8034.48
2014-01-15,391.0,393.0,379.05,383.3,383.4,2892232.0,11187.99
2014-01-16,384.05,399.6,382.15,396.8,397.1,4219580.0,16579.38
2014-01-17,398.9,402.7,382.15,386.0,384.9,4082362.0,15949.89
2014-01-20,383.0,414.0,378.0,410.9,410.5,9804875.0,39818.4
2014-01-21,413.0,437.45,411.0,434.0,435.5,10329422.0,44164.28
2014-01-22,436.15,446.4,431.5,435.0,436.4,7694161.0,33860.38
2014-01-23,434.8,437.55,424.1,425.9,426.0,4227551.0,18205.39
2014-01-24,420.6,437.0,413.55,424.0,420.6,5742715.0,24412.71
2014-01-27,417.9,426.35,408.1,411.05,412.2,4775428.0,19855.71
2014-01-28,412.95,424.5,412.4,421.0,418.5,3614526.0,15139.55
2014-01-29,423.1,444.0,423.1,440.9,438.8,6747298.0,29553.68
2014-01-30,434.95,460.9,430.85,454.5,455.55,10430247.0,46581.14
2014-01-31,458.0,477.75,453.0,470.6,471.55,8463684.0,39419.28
2014-02-03,472.0,479.9,463.3,470.3,469.15,6285213.0,29655.11
2014-02-04,466.0,483.9,465.0,480.4,478.3,4780330.0,22765.89
2014-02-05,482.0,494.5,477.35,492.5,490.9,5847738.0,28478.29
2014-02-06,498.2,504.65,483.1,495.1,493.6,9521487.0,47161.19
2014-02-07,530.15,539.85,501.25,509.0,507.25,12808880.0,65867.71
2014-02-10,512.0,513.0,485.55,486.75,489.5,5589764.0,27698.9
2014-02-11,489.5,506.0,476.15,505.4,500.8,8577391.0,42144.43
2014-02-12,509.25,512.4,489.8,489.8,492.3,6037164.0,30057.65
2014-02-13,490.15,498.9,484.55,485.0,487.7,4268068.0,21017.25
2014-02-14,487.1,493.8,480.15,492.45,490.3,3298754.0,16081.98
2014-02-17,488.0,508.0,485.0,505.0,503.95,5286454.0,26327.11
2014-02-18,502.15,510.0,499.65,500.1,501.9,4137923.0,20914.85
2014-02-19,499.6,508.2,494.5,503.25,503.6,4007268.0,20116.66
2014-02-20,500.0,504.8,489.05,490.15,493.0,3191363.0,15911.41
2014-02-21,493.0,496.85,486.0,490.4,489.1,2538570.0,12479.26
2014-02-24,489.0,493.45,480.1,482.0,484.05,2822268.0,13714.54
2014-02-25,487.0,518.95,486.75,516.4,516.75,9554601.0,48609.26
2014-02-26,520.0,520.85,506.6,510.0,512.3,5402764.0,27672.87
2014-02-28,515.0,539.7,512.65,524.15,524.15,9728708.0,51203.2
2014-03-03,526.0,534.7,524.0,528.6,529.0,4220689.0,22374.69
