Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1551.45,1589.0,1551.45,1580.0,1581.25,25680.0,403.9
2014-01-01,1560.0,1615.0,1560.0,1567.8,1570.3,11995.0,190.45
2014-01-02,1570.5,1580.05,1558.8,1574.0,1569.2,6973.0,109.29
2014-01-03,1571.8,1604.0,1538.65,1604.0,1555.5,51282.0,798.43
2014-01-06,1571.15,1580.0,1530.1,1550.0,1551.45,47696.0,741.68
2014-01-07,1555.25,1571.9,1545.3,1547.0,1554.05,22539.0,350.34
2014-01-08,1560.75,1560.75,1545.0,1555.0,1555.45,17568.0,273.17
2014-01-09,1546.1,1557.8,1537.0,1551.0,1550.35,31882.0,493.75
2014-01-10,1559.8,1564.5,1549.15,1561.9,1560.55,21839.0,339.79
2014-01-13,1561.05,1571.8,1555.15,1571.8,1565.9,14456.0,226.25
2014-01-14,1569.95,1569.95,1550.1,1552.25,1553.05,3660.0,57.1
2014-01-15,1554.0,1569.8,1532.0,1558.0,1554.9,63626.0,990.55
2014-01-16,1555.0,1604.0,1548.8,1575.0,1584.05,36055.0,566.39
2014-01-17,1568.0,1584.0,1535.0,1570.1,1573.75,19083.0,299.15
2014-01-20,1580.0,1594.0,1551.05,1568.7,1569.5,9000.0,141.67
2014-01-21,1570.0,1600.0,1567.8,1595.0,1596.85,11414.0,181.22
2014-01-22,1601.0,1610.0,1565.15,1584.0,1573.5,10618.0,167.37
2014-01-23,1585.0,1585.0,1550.1,1570.0,1574.35,6934.0,108.79
2014-01-24,1584.9,1584.9,1534.3,1554.0,1550.55,17340.0,268.2
2014-01-27,1545.0,1545.0,1472.0,1512.0,1491.75,16899.0,253.12
2014-01-28,1476.85,1548.0,1475.0,1531.0,1535.75,23832.0,358.07
2014-01-29,1545.0,1558.65,1496.2,1507.0,1512.2,4131.0,63.2
2014-01-30,1485.95,1508.8,1485.0,1495.0,1498.4,50680.0,756.57
2014-01-31,1500.55,1555.0,1500.0,1539.0,1531.15,7348.0,111.45
2014-02-03,1544.0,1544.0,1482.05,1495.5,1492.4,9839.0,146.94
2014-02-04,1512.85,1524.3,1475.0,1480.0,1481.3,5159.0,77.14
2014-02-05,1489.4,1510.0,1475.5,1486.5,1484.3,4978.0,74.58
2014-02-06,1515.0,1515.0,1475.95,1479.95,1483.15,13154.0,196.85
2014-02-07,1499.95,1501.0,1480.05,1486.1,1493.9,3056.0,45.7
2014-02-10,1502.0,1519.95,1478.05,1495.0,1485.75,3291.0,48.96
2014-02-11,1498.95,1500.0,1460.0,1463.9,1465.6,1682.0,24.82
2014-02-12,1480.0,1495.0,1470.25,1494.0,1481.9,11936.0,176.49
2014-02-13,1467.15,1498.9,1467.15,1489.0,1482.2,8386.0,124.5
2014-02-14,1482.25,1495.0,1461.0,1470.0,1475.4,3107.0,45.95
2014-02-17,1475.05,1512.4,1475.05,1506.0,1503.85,15060.0,226.03
2014-02-18,1551.0,1578.0,1506.0,1560.0,1557.45,85356.0,1320.97
2014-02-19,1551.05,1551.05,1534.8,1540.0,1540.2,7453.0,114.86
2014-02-20,1545.0,1547.8,1493.2,1496.4,1512.3,7910.0,120.49
2014-02-21,1505.1,1540.0,1501.05,1521.0,1529.65,10910.0,166.2
2014-02-24,1529.7,1550.0,1516.35,1529.8,1526.3,5861.0,89.99
2014-02-25,1512.0,1556.0,1512.0,1550.25,1553.35,59585.0,923.07
2014-02-26,1560.0,1565.0,1525.5,1549.95,1547.9,8926.0,138.61
2014-02-28,1555.0,1585.0,1549.95,1575.05,1571.5,16071.0,251.57
2014-03-03,1578.95,1594.0,1565.05,1582.15,1588.95,150684.0,2395.6
2014-03-04,1572.0,1590.0,1572.0,1585.0,1585.1,8819.0,139.76
2014-03-05,1585.0,1596.8,1550.0,1550.0,1557.6,18326.0,290.23
2014-03-06,1562.1,1647.05,1561.0,1610.0,1616.4,53133.0,855.72
2014-03-07,1620.05,1645.0,1586.6,1640.0,1636.7,46824.0,764.08
2014-03-10,1636.7,1675.0,1622.7,1670.0,1672.1,69025.0,1148.85
2014-03-11,1670.75,1713.05,1669.15,1699.8,1694.7,30364.0,514.53
2014-03-12,1696.0,1708.8,1685.0,1685.0,1690.75,9448.0,160.61
2014-03-13,1725.0,1725.0,1630.0,1645.0,1647.05,10256.0,170.77
2014-03-14,1650.0,1670.0,1635.5,1655.0,1655.8,11893.0,196.6
2014-03-18,1650.0,1680.0,1641.05,1680.0,1670.2,13630.0,225.69
2014-03-19,1650.35,1680.95,1645.8,1670.0,1669.2,31105.0,517.73
2014-03-20,1670.0,1672.8,1650.0,1650.0,1651.95,70441.0,1175.75
2014-03-21,1653.05,1680.8,1653.0,1680.8,1673.3,19930.0,332.65
2014-03-22,1680.0,1689.0,1680.0,1682.2,1684.5,456.0,7.67
2014-03-24,1684.0,1695.8,1650.0,1651.0,1656.95,10769.0,181.09
2014-03-25,1653.05,1684.8,1650.7,1675.0,1660.4,78257.0,1299.1
2014-03-26,1684.75,1684.8,1655.0,1655.0,1659.95,53356.0,895.3
2014-03-27,1660.05,1704.8,1650.0,1680.0,1697.9,36923.0,621.39
2014-03-28,1681.85,1824.8,1681.85,1767.2,1797.7,87170.0,1543.52
