Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,644.9,650.7,640.3,645.3,645.55,841103.0,5431.74
2014-01-01,647.3,660.55,643.2,659.8,657.35,769133.0,5025.29
2014-01-02,659.0,681.6,645.25,650.5,649.8,3142042.0,21035.46
2014-01-03,643.0,652.45,636.6,652.0,649.85,1214780.0,7841.78
2014-01-06,650.0,650.0,634.15,636.0,637.25,804931.0,5154.64
2014-01-07,639.2,643.95,614.1,616.1,616.8,2062544.0,12836.7
2014-01-08,618.75,634.9,611.5,630.0,629.6,2020746.0,12627.76
2014-01-09,628.25,630.0,616.65,619.6,620.25,1380121.0,8583.16
2014-01-10,619.8,625.3,608.1,619.9,612.55,2055325.0,12660.98
2014-01-13,615.9,623.5,606.45,622.0,617.6,893418.0,5498.18
2014-01-14,617.7,625.0,611.2,620.0,620.45,780732.0,4831.24
2014-01-15,622.0,644.95,622.0,643.0,642.9,1612361.0,10226.32
2014-01-16,646.8,649.8,636.3,639.6,642.1,1121322.0,7208.54
2014-01-17,641.5,644.5,626.65,628.4,628.35,660237.0,4193.37
2014-01-20,620.75,628.9,616.35,624.0,622.65,610326.0,3799.38
2014-01-21,624.9,642.8,624.9,632.1,632.3,950601.0,6041.73
2014-01-22,632.15,636.3,625.05,629.9,633.0,758682.0,4788.48
2014-01-23,628.8,634.7,625.3,626.15,627.05,636973.0,4005.94
2014-01-24,623.4,629.4,600.0,603.1,602.5,1258487.0,7672.03
2014-01-27,593.25,593.25,563.15,569.0,568.65,1395013.0,8048.79
2014-01-28,570.0,587.9,556.3,568.0,567.4,2446042.0,13947.51
2014-01-29,575.0,578.0,554.5,554.95,555.8,1349948.0,7596.71
2014-01-30,545.25,547.0,525.0,532.35,531.35,1873038.0,10000.87
2014-01-31,532.35,552.4,531.5,550.7,548.4,2072771.0,11267.01
2014-02-03,548.4,548.4,526.0,531.05,531.0,1469295.0,7839.56
2014-02-04,523.5,544.8,520.45,542.2,542.4,1529129.0,8214.16
2014-02-05,542.2,548.0,538.4,543.5,543.25,1237776.0,6725.18
2014-02-06,543.05,555.95,534.25,535.9,538.25,4225446.0,23083.3
2014-02-07,545.85,560.75,544.0,558.9,557.9,2229812.0,12361.22
2014-02-10,562.0,566.6,558.4,560.35,562.3,854115.0,4806.1
2014-02-11,563.55,564.95,556.0,561.35,561.35,1106796.0,6205.82
2014-02-12,565.0,577.0,560.35,560.9,561.75,1568731.0,8929.71
2014-02-13,564.0,565.0,528.05,528.7,530.3,2041992.0,11012.66
2014-02-14,533.9,540.65,530.0,536.95,536.3,1717810.0,9198.56
2014-02-17,538.4,541.1,527.0,532.5,533.05,1242034.0,6621.91
2014-02-18,533.1,545.5,532.75,536.2,537.9,1579934.0,8542.18
2014-02-19,538.0,544.8,528.6,531.25,531.5,1453257.0,7779.66
2014-02-20,528.7,528.7,511.15,513.05,513.8,2285213.0,11791.66
2014-02-21,513.0,522.8,513.0,517.0,518.0,1390623.0,7216.97
2014-02-24,515.15,529.25,513.2,527.45,527.75,1443032.0,7550.38
2014-02-25,530.0,539.7,527.1,537.0,537.25,1866614.0,9964.2
2014-02-26,535.65,543.75,532.2,537.6,538.35,1499834.0,8086.89
2014-02-28,542.9,554.4,535.15,549.25,551.15,1618285.0,8865.63
2014-03-03,550.7,564.8,543.0,543.1,545.95,2509629.0,13913.33
2014-03-04,548.8,578.8,543.2,577.6,576.75,3331268.0,18723.4
2014-03-05,582.0,615.5,578.4,613.75,613.05,3658056.0,21923.43
2014-03-06,615.5,623.0,610.05,614.5,615.55,2603571.0,16074.69
2014-03-07,618.5,658.3,616.0,656.0,649.55,3184368.0,20307.62
2014-03-10,649.1,673.0,645.9,651.1,651.95,3049737.0,20012.04
