Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,995.05,1059.0,995.05,1036.0,1029.4,11188.0,114.51
2014-01-01,1030.05,1046.05,1020.0,1020.1,1025.25,12546.0,129.53
2014-01-02,1023.3,1045.0,1015.5,1016.0,1021.25,11978.0,123.71
2014-01-03,1017.55,1030.0,1005.0,1010.0,1014.9,6118.0,62.21
2014-01-06,1025.0,1040.0,1016.5,1023.0,1026.45,7618.0,78.35
2014-01-07,1030.0,1038.0,1008.0,1019.95,1021.4,7712.0,78.91
2014-01-08,1021.0,1030.0,1009.9,1009.9,1018.85,3954.0,40.31
2014-01-09,1025.0,1025.0,1006.0,1006.0,1012.05,5508.0,55.81
2014-01-10,1012.05,1015.0,970.0,985.0,990.45,30391.0,302.08
2014-01-13,990.0,1015.0,990.0,1007.0,1005.65,5058.0,50.69
2014-01-14,1002.0,1020.0,992.75,1005.0,1006.0,3844.0,38.58
2014-01-15,996.05,1009.0,994.0,996.1,1000.95,6043.0,60.52
2014-01-16,995.05,1004.9,995.0,995.0,995.85,35151.0,350.51
2014-01-17,992.05,1009.0,986.1,988.0,996.55,6586.0,65.59
2014-01-20,995.0,1010.0,990.0,998.0,1005.8,6031.0,60.52
2014-01-21,998.2,1004.75,995.05,995.05,997.0,3385.0,33.84
2014-01-22,1000.0,1008.95,993.0,1002.0,1000.6,3598.0,35.95
2014-01-23,997.15,1015.0,994.35,1015.0,1004.3,5369.0,53.85
2014-01-24,1000.0,1006.0,956.1,967.3,972.0,48027.0,467.97
2014-01-27,972.0,972.05,933.0,947.0,947.8,76580.0,726.04
2014-01-28,938.15,960.0,938.15,955.0,955.0,232896.0,2223.88
2014-01-29,955.0,957.0,937.55,940.0,941.9,89711.0,845.27
2014-01-30,942.05,948.8,925.05,928.0,934.85,14327.0,133.98
2014-01-31,934.35,934.35,928.0,928.0,928.5,3825.0,35.53
2014-02-03,929.0,934.55,908.5,914.0,913.55,19077.0,175.28
2014-02-04,913.85,934.4,893.0,920.0,922.1,14118.0,128.77
2014-02-05,922.0,922.0,911.05,911.05,918.5,7837.0,71.92
2014-02-06,921.85,921.9,902.0,902.0,908.0,133115.0,1211.16
2014-02-07,917.0,935.5,905.0,915.0,915.1,81296.0,744.26
2014-02-10,909.2,940.0,909.2,922.0,928.35,30873.0,285.37
2014-02-11,928.0,935.0,920.0,930.0,930.55,4927.0,45.78
2014-02-12,929.0,960.0,922.5,949.95,951.95,7242.0,68.28
2014-02-13,955.0,994.0,937.6,948.0,957.0,10395.0,100.28
2014-02-14,947.4,972.6,937.0,964.0,968.8,5603.0,53.75
2014-02-17,966.0,972.0,940.0,942.0,949.65,11787.0,113.03
2014-02-18,941.0,948.0,932.0,932.0,938.9,2726.0,25.62
2014-02-19,940.05,950.0,925.25,949.95,938.0,2750.0,25.76
2014-02-20,959.0,959.0,930.0,930.05,932.9,2415.0,22.65
2014-02-21,945.5,945.5,921.6,930.0,928.7,12049.0,111.89
2014-02-24,936.0,940.0,922.0,924.95,927.45,2418.0,22.44
2014-02-25,927.15,949.4,926.95,941.05,944.15,2629.0,24.7
2014-02-26,935.0,942.0,924.65,930.0,933.55,92570.0,864.12
2014-02-28,940.0,947.15,925.5,929.0,930.2,149858.0,1401.5
2014-03-03,930.05,946.0,920.0,921.35,926.2,105505.0,984.3
2014-03-04,921.05,940.0,918.0,929.9,923.35,38102.0,351.83
2014-03-05,925.1,970.0,925.1,965.0,968.25,38183.0,364.27
2014-03-06,960.0,986.15,959.95,984.95,981.8,78851.0,766.7
2014-03-07,1010.0,1010.05,962.0,967.0,977.3,88901.0,871.24
2014-03-10,977.0,998.0,965.0,989.9,986.35,54731.0,539.0
2014-03-11,986.3,998.0,970.0,995.0,991.25,10200.0,100.6
2014-03-12,976.05,984.5,970.05,971.0,976.8,36293.0,355.37
2014-03-13,980.0,1031.9,970.0,991.0,997.55,114227.0,1150.81
2014-03-14,997.0,1010.6,986.0,1010.6,1006.5,11768.0,117.54
2014-03-18,1006.5,1039.8,996.65,1022.0,1023.3,107814.0,1096.56
2014-03-19,1018.0,1034.4,1010.0,1025.0,1027.45,16000.0,163.6
2014-03-20,1017.2,1039.5,1014.0,1014.0,1017.9,4239.0,43.43
2014-03-21,1025.0,1031.9,970.0,1020.0,990.3,31531.0,316.79
2014-03-22,1025.0,1027.0,1005.0,1005.0,1009.95,2132.0,21.65
2014-03-24,1000.6,1073.85,1000.6,1050.0,1057.85,92067.0,968.42
2014-03-25,1052.25,1079.5,1052.0,1061.0,1059.85,45672.0,485.64
2014-03-26,1065.0,1087.0,1040.1,1072.0,1080.35,66581.0,710.54
2014-03-27,1079.0,1145.0,1066.0,1115.0,1113.25,43975.0,484.51
2014-03-28,1139.95,1161.5,1101.0,1161.0,1147.25,56220.0,638.61
2014-03-31,1136.0,1193.1,1127.0,1150.0,1147.95,33289.0,388.81
2014-04-01,1145.0,1161.7,1120.0,1125.1,1128.65,17414.0,196.79
2014-04-02,1140.05,1165.0,1101.5,1105.0,1110.05,35746.0,403.7
2014-04-03,1106.2,1129.3,1069.0,1095.0,1089.35,23138.0,252.68
2014-04-04,1080.1,1162.0,1035.05,1146.25,1136.45,413655.0,4472.02
2014-04-07,1147.05,1153.95,1090.0,1116.0,1114.25,53906.0,600.87
2014-04-09,1103.0,1145.0,1093.3,1140.05,1135.9,63205.0,708.02
2014-04-10,1142.0,1256.85,1121.0,1248.0,1217.2,174441.0,2067.31
2014-04-11,1239.9,1239.9,1186.0,1197.35,1203.75,150948.0,1831.15
2014-04-15,1210.0,1270.9,1206.0,1220.0,1226.25,158201.0,1938.09
2014-04-16,1230.05,1256.35,1200.1,1207.5,1204.85,75479.0,928.18
2014-04-17,1205.0,1231.0,1188.0,1212.2,1212.7,56774.0,686.22
2014-04-21,1214.05,1235.0,1201.15,1222.2,1224.95,48914.0,596.53
2014-04-22,1226.0,1253.0,1216.05,1221.0,1225.65,45166.0,554.62
2014-04-23,1227.0,1245.05,1207.0,1228.05,1235.4,83131.0,1023.06
2014-04-25,1225.4,1250.0,1210.0,1250.0,1242.75,38446.0,473.07
2014-04-28,1244.1,1245.0,1215.0,1240.0,1241.35,34061.0,418.94
2014-04-29,1230.0,1270.0,1215.6,1246.0,1250.05,62801.0,783.15
2014-04-30,1241.0,1262.0,1181.0,1210.0,1210.6,116674.0,1415.04
2014-05-02,1210.6,1232.75,1205.05,1212.25,1212.25,52813.0,645.68
2014-05-05,1200.25,1239.0,1192.05,1232.9,1230.4,37094.0,453.77
2014-05-06,1218.1,1238.0,1216.0,1233.0,1232.2,20648.0,254.08
2014-05-07,1219.9,1237.0,1218.0,1218.0,1226.85,29932.0,369.15
2014-05-08,1216.15,1235.0,1205.0,1205.0,1210.25,61597.0,749.8
2014-05-09,1201.0,1233.7,1201.0,1220.0,1220.5,84438.0,1026.49
2014-05-12,1226.0,1273.0,1225.25,1250.0,1246.4,94152.0,1184.68
2014-05-13,1250.5,1473.4,1236.05,1336.2,1340.1,379684.0,5076.14
2014-05-14,1341.55,1383.0,1312.0,1318.05,1325.95,138098.0,1844.21
2014-05-15,1325.95,1345.0,1306.7,1331.0,1331.25,68503.0,911.76
2014-05-16,1345.0,1597.5,1335.1,1404.0,1415.9,229296.0,3220.71
2014-05-19,1422.5,1504.0,1422.0,1473.0,1459.55,345523.0,5051.61
2014-05-20,1470.0,1555.05,1470.0,1504.85,1503.3,149973.0,2279.86
2014-05-21,1504.0,1533.35,1473.15,1508.5,1508.7,116214.0,1752.66
2014-05-22,1513.5,1615.0,1513.5,1578.9,1578.35,237930.0,3746.31
2014-05-23,1670.0,1720.0,1621.0,1633.0,1630.25,222954.0,3703.22
2014-05-26,1654.0,1740.0,1526.05,1603.9,1629.65,466306.0,7758.27
2014-05-27,1625.0,1634.0,1562.25,1570.0,1580.3,110370.0,1763.97
2014-05-28,1609.0,1635.95,1580.15,1588.0,1588.7,103930.0,1660.08
2014-05-29,1604.0,1606.7,1570.1,1578.0,1578.0,156900.0,2489.76
2014-05-30,1670.0,1670.0,1589.85,1605.0,1607.6,385410.0,6246.19
2014-06-02,1620.0,1679.8,1620.0,1671.5,1672.5,293179.0,4866.37
2014-06-03,1675.0,1735.0,1645.05,1715.9,1712.4,177212.0,3038.59
2014-06-04,1724.45,1749.0,1700.0,1732.0,1734.1,202172.0,3495.61
2014-06-05,1720.0,1799.95,1720.0,1779.0,1784.75,123471.0,2197.68
2014-06-06,1801.9,1865.0,1801.9,1830.2,1837.1,189534.0,3484.61
2014-06-09,1850.0,1915.0,1850.0,1872.0,1885.3,101844.0,1925.41
2014-06-10,1895.0,1903.85,1826.0,1845.0,1846.1,70512.0,1313.59
2014-06-11,1876.0,1876.0,1801.9,1812.0,1814.35,65229.0,1198.38
2014-06-12,1825.7,1825.7,1767.0,1808.0,1808.3,94269.0,1692.28
2014-06-13,1810.0,1850.0,1745.1,1820.1,1821.2,102699.0,1868.52
2014-06-16,1848.0,1863.9,1777.0,1825.0,1825.6,61299.0,1119.23
2014-06-17,1812.0,1832.4,1752.0,1829.0,1819.15,116371.0,2124.6
2014-06-18,1825.0,1855.55,1810.25,1820.0,1821.45,89691.0,1644.55
2014-06-19,1831.0,1986.95,1831.0,1940.05,1957.0,317732.0,6098.18
2014-06-20,1963.7,1995.0,1934.05,1947.15,1949.25,111722.0,2195.94
2014-06-23,1967.65,1980.05,1925.0,1945.0,1948.4,65300.0,1274.05
2014-06-24,1951.0,2024.9,1941.1,2015.0,2008.35,126286.0,2513.64
2014-06-25,2015.0,2130.0,1991.0,2129.0,2110.5,167303.0,3479.52
2014-06-26,2129.0,2185.0,2092.0,2110.0,2113.9,209570.0,4487.63
2014-06-27,2128.0,2165.0,2025.0,2034.0,2044.05,130824.0,2719.39
2014-06-30,2059.0,2161.0,1974.1,2150.0,2151.2,170652.0,3625.36
2014-07-01,2149.0,2228.0,2144.85,2191.0,2193.55,154611.0,3403.64
2014-07-02,2217.0,2239.85,2170.0,2183.3,2183.1,95315.0,2099.87
2014-07-03,2199.4,2220.0,2145.0,2168.0,2171.5,79268.0,1726.92
2014-07-04,2187.4,2210.0,2174.0,2186.0,2186.25,77561.0,1698.59
2014-07-07,2200.0,2318.0,2138.7,2267.0,2272.1,237566.0,5327.44
2014-07-08,2285.0,2294.8,2130.0,2132.5,2143.4,197086.0,4351.57
2014-07-09,2149.45,2149.45,1934.8,1968.0,1960.6,311999.0,6281.34
2014-07-10,1962.0,1978.75,1765.45,1822.5,1834.1,712230.0,13369.74
2014-07-11,1851.0,1929.4,1760.1,1769.8,1774.05,163951.0,3029.95
2014-07-14,1777.0,1819.0,1702.6,1817.0,1799.05,96333.0,1705.9
2014-07-15,1825.0,1875.0,1806.0,1856.0,1857.5,98117.0,1805.91
2014-07-16,1857.0,1898.85,1823.0,1860.15,1857.25,82460.0,1544.39
2014-07-17,1872.9,1878.0,1835.1,1840.0,1838.95,41799.0,775.32
2014-07-18,1830.0,1873.25,1803.0,1845.1,1850.05,79525.0,1462.57
2014-07-21,1850.0,1884.0,1815.1,1815.55,1824.4,47807.0,884.55
2014-07-22,1822.0,1887.0,1815.0,1844.85,1843.4,77368.0,1432.7
2014-07-23,1835.0,1887.0,1835.0,1846.2,1846.55,53384.0,992.98
2014-07-24,1860.0,1860.0,1816.05,1824.2,1827.1,26909.0,494.64
2014-07-25,1827.0,1843.4,1780.2,1795.0,1798.3,40368.0,729.76
2014-07-28,1800.0,1813.0,1732.25,1745.0,1742.25,74923.0,1316.31
2014-07-30,1726.25,1760.95,1725.0,1747.0,1746.9,60800.0,1060.73
2014-07-31,1735.5,1814.5,1735.5,1762.0,1762.25,280798.0,4982.55
2014-08-01,1750.0,1787.7,1701.15,1760.05,1753.45,67622.0,1183.5
2014-08-04,1737.6,1780.0,1737.6,1765.0,1765.8,25435.0,449.34
2014-08-05,1750.0,1785.0,1740.0,1775.0,1770.95,33800.0,595.04
2014-08-06,1763.25,1835.25,1763.25,1785.0,1789.2,64246.0,1162.76
2014-08-07,1807.25,1875.0,1756.65,1768.0,1773.2,112224.0,2043.46
2014-08-08,1757.0,1820.0,1736.5,1789.5,1789.7,91874.0,1643.34
2014-08-11,1766.0,1825.0,1766.0,1808.0,1805.2,42553.0,767.54
2014-08-12,1791.6,1824.0,1782.05,1785.0,1789.55,37239.0,667.81
2014-08-13,1789.05,1800.0,1726.0,1735.0,1739.7,28583.0,500.53
2014-08-14,1740.05,1769.95,1740.0,1769.95,1761.0,28593.0,502.41
2014-08-18,1750.0,1849.0,1750.0,1825.5,1821.7,40614.0,735.29
2014-08-19,1816.05,1838.7,1810.1,1812.5,1821.05,20510.0,374.28
2014-08-20,1813.0,1834.3,1786.0,1789.35,1792.1,34115.0,614.35
2014-08-21,1782.2,1814.0,1765.5,1776.0,1778.2,19644.0,352.32
2014-08-22,1796.0,1819.5,1796.0,1814.0,1807.45,56886.0,1027.26
2014-08-25,1808.3,1819.55,1770.0,1804.0,1805.9,49759.0,893.91
2014-08-26,1792.0,1807.95,1750.9,1751.0,1766.5,20745.0,368.09
2014-08-27,1830.05,2119.8,1830.05,2119.8,2082.3,1079778.0,21373.05
2014-08-28,2138.0,2210.0,2046.4,2052.0,2056.8,938648.0,19996.35
2014-09-01,2074.0,2127.0,2055.0,2115.0,2110.6,251818.0,5272.66
2014-09-02,2123.0,2125.7,2060.8,2076.1,2074.6,93448.0,1957.24
2014-09-03,2080.0,2099.9,2014.15,2031.4,2025.75,81309.0,1663.78
2014-09-04,2043.0,2043.0,1972.3,1975.0,1984.2,83239.0,1658.83
2014-09-05,1995.0,2170.0,1995.0,2067.0,2079.75,471924.0,9955.27
2014-09-08,2090.0,2125.0,2055.15,2085.0,2090.3,117283.0,2448.42
2014-09-09,2099.6,2109.2,2056.0,2061.0,2062.4,60783.0,1259.39
2014-09-10,2065.0,2099.0,2037.05,2043.0,2045.3,61258.0,1264.52
2014-09-11,2081.9,2155.0,2081.9,2119.0,2117.85,271901.0,5781.74
2014-09-12,2115.0,2141.7,2071.7,2092.1,2097.6,125604.0,2644.48
2014-09-15,2092.1,2169.0,2077.4,2169.0,2144.0,147734.0,3128.73
2014-09-16,2169.0,2239.0,2052.0,2095.0,2085.6,264996.0,5731.15
2014-09-17,2117.0,2149.9,2076.3,2115.0,2117.25,120988.0,2548.82
2014-09-18,2110.0,2163.7,2097.2,2110.1,2114.75,91862.0,1957.75
2014-09-19,2126.0,2138.35,2101.05,2102.0,2114.45,49203.0,1042.96
2014-09-22,2110.0,2159.0,2080.1,2101.0,2102.2,91402.0,1933.05
2014-09-23,2105.6,2140.0,2067.15,2088.0,2084.25,115098.0,2421.99
2014-09-24,2083.0,2119.0,2083.0,2102.0,2100.45,59481.0,1249.7
2014-09-25,2102.0,2123.6,2011.0,2057.0,2050.45,50336.0,1051.58
2014-09-26,2000.0,2037.7,1964.0,2008.0,2011.7,130124.0,2598.07
2014-09-29,2023.0,2050.75,2007.0,2025.0,2019.65,92302.0,1872.65
2014-09-30,2026.0,2040.0,1975.55,1994.0,1990.1,51890.0,1047.16
2014-10-01,2001.9,2099.9,2001.9,2050.0,2054.5,182708.0,3762.6
2014-10-07,2051.0,2080.1,1990.05,2011.0,2001.8,163609.0,3366.65
