Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,323.35,332.75,320.0,327.55,328.05,477989.0,1566.82
2014-01-01,330.1,333.0,328.3,328.9,328.65,271061.0,895.14
2014-01-02,329.05,334.9,320.4,322.25,323.05,549526.0,1809.79
2014-01-03,320.0,325.4,318.0,321.0,320.45,320238.0,1026.75
2014-01-06,320.9,333.75,320.4,333.2,331.5,1069169.0,3508.72
2014-01-07,336.7,343.0,335.1,336.6,338.15,1180605.0,4002.05
2014-01-08,340.75,341.0,330.25,331.7,331.7,584523.0,1955.34
2014-01-09,330.0,333.35,325.55,328.9,328.65,393455.0,1293.29
2014-01-10,328.6,338.3,327.15,332.5,332.6,871332.0,2912.86
2014-01-13,334.0,351.05,334.0,346.95,346.3,1564399.0,5411.34
2014-01-14,348.0,349.7,340.15,344.1,344.5,636317.0,2196.85
2014-01-15,344.0,346.65,333.6,335.0,334.75,583413.0,1975.79
2014-01-16,332.5,350.0,332.5,349.55,348.0,938125.0,3235.1
2014-01-17,349.0,352.7,337.1,341.0,338.8,663835.0,2286.33
2014-01-20,338.8,347.65,337.15,346.55,346.15,257704.0,884.22
2014-01-21,347.75,351.0,342.55,346.85,346.3,249969.0,866.3
2014-01-22,346.0,349.8,343.0,346.4,348.05,259388.0,900.69
2014-01-23,347.95,349.1,341.15,341.55,341.75,117335.0,404.21
2014-01-24,341.1,344.35,336.0,343.0,342.15,483331.0,1644.69
2014-01-27,334.0,335.0,320.4,327.0,325.85,630329.0,2075.59
2014-01-28,321.1,330.3,319.15,327.0,326.6,603122.0,1967.64
2014-01-29,329.0,334.15,322.15,332.0,330.6,429236.0,1420.92
2014-01-30,322.25,340.75,322.25,331.15,330.6,1468361.0,4907.93
2014-01-31,332.0,349.5,328.35,349.5,346.8,542138.0,1850.9
2014-02-03,346.0,352.95,341.1,342.0,343.8,345690.0,1199.11
2014-02-04,338.1,347.0,333.6,338.7,338.95,1301331.0,4436.38
2014-02-05,340.0,347.0,338.0,341.0,340.65,1043615.0,3581.57
2014-02-06,343.7,350.0,340.1,341.75,341.75,922867.0,3181.04
2014-02-07,344.25,346.8,338.8,341.1,341.15,337877.0,1159.69
2014-02-10,345.35,349.5,342.0,348.0,347.25,544015.0,1886.5
2014-02-11,344.7,370.0,344.7,369.7,368.0,2659812.0,9684.49
2014-02-12,371.05,372.9,360.85,362.7,363.45,786001.0,2874.97
2014-02-13,363.5,368.65,357.15,360.7,361.8,561748.0,2031.73
2014-02-14,362.4,366.3,349.1,356.55,353.65,1348515.0,4771.35
2014-02-17,356.4,364.5,355.0,360.5,361.0,489233.0,1764.93
2014-02-18,360.5,361.5,355.25,358.35,357.5,389314.0,1393.9
2014-02-19,358.2,373.5,358.2,367.8,368.05,952007.0,3515.25
2014-02-20,368.05,374.95,363.0,367.6,367.45,587493.0,2171.68
2014-02-21,369.95,373.25,368.05,369.65,369.15,744825.0,2755.55
2014-02-24,368.25,372.8,367.5,368.25,368.9,481332.0,1777.82
2014-02-25,368.55,371.55,364.1,364.1,365.15,514876.0,1887.35
2014-02-26,361.4,377.35,361.4,373.85,374.0,791721.0,2953.2
2014-02-28,376.9,384.4,373.5,382.3,382.65,1245153.0,4731.74
2014-03-03,384.5,390.95,378.5,383.5,382.3,786138.0,3028.37
2014-03-04,385.0,394.15,382.7,391.1,390.4,1070513.0,4174.07
2014-03-05,392.0,402.95,389.0,398.5,397.6,1041893.0,4137.37
2014-03-06,400.0,413.95,397.0,412.75,412.15,1494663.0,6107.52
2014-03-07,412.0,413.0,393.4,396.5,396.3,1628286.0,6518.53
2014-03-10,396.0,402.8,386.15,387.0,387.2,1114685.0,4356.22
2014-03-11,388.0,409.9,387.25,392.0,391.45,1540847.0,6117.98
2014-03-12,394.9,403.7,393.0,394.7,395.2,811298.0,3221.91
2014-03-13,397.0,398.4,382.7,384.6,384.6,389484.0,1527.37
2014-03-14,382.0,391.55,378.25,384.2,384.5,952596.0,3666.79
2014-03-18,385.0,398.95,384.55,390.4,390.9,906556.0,3558.52
2014-03-19,392.7,403.4,390.1,400.0,400.45,943671.0,3771.2
2014-03-20,396.4,403.0,389.05,390.0,391.7,668008.0,2646.56
2014-03-21,393.0,398.4,392.0,394.95,395.25,584535.0,2314.63
2014-03-22,396.0,396.0,393.5,394.5,394.3,22039.0,86.95
2014-03-24,395.5,401.8,395.1,398.5,397.7,552807.0,2204.5
2014-03-25,398.1,421.6,396.3,413.9,413.2,1984190.0,8198.23
2014-03-26,416.0,417.0,399.15,400.0,400.45,1564268.0,6360.78
2014-03-27,402.0,409.05,395.1,398.45,397.15,1339958.0,5404.84
2014-03-28,403.7,412.8,402.2,410.15,409.3,1041221.0,4257.93
2014-03-31,411.0,424.95,408.25,421.5,421.8,840486.0,3500.48
2014-04-01,428.55,428.55,416.15,416.85,417.35,476076.0,1999.59
2014-04-02,419.95,432.2,417.1,431.9,430.4,979487.0,4192.75
2014-04-03,429.0,429.95,420.3,423.5,423.15,251152.0,1066.58
2014-04-04,419.65,428.4,418.0,425.0,425.4,371251.0,1574.75
2014-04-07,423.6,437.9,422.3,436.4,436.85,747664.0,3222.69
2014-04-09,437.0,446.9,434.4,442.7,442.8,738702.0,3269.5
2014-04-10,443.1,449.0,438.1,447.0,445.05,603899.0,2695.9
2014-04-11,445.85,445.85,433.25,438.0,438.15,877536.0,3838.62
2014-04-15,438.7,440.0,422.1,427.95,426.7,948289.0,4054.77
2014-04-16,427.0,429.8,416.0,420.5,420.25,770850.0,3241.3
2014-04-17,421.0,427.0,412.0,421.65,422.85,1089028.0,4578.29
2014-04-21,423.0,432.7,422.25,428.4,429.3,549103.0,2358.84
2014-04-22,428.4,435.45,427.15,431.0,429.65,974075.0,4203.69
2014-04-23,434.0,438.0,425.3,430.0,428.25,1625101.0,7002.23
2014-04-25,434.4,434.4,412.0,416.4,416.85,656399.0,2771.85
2014-04-28,415.0,416.0,407.9,413.15,413.1,564400.0,2330.37
2014-04-29,414.85,417.55,405.0,406.55,406.8,568030.0,2317.3
2014-04-30,406.8,416.65,402.5,409.6,407.8,1088540.0,4479.42
2014-05-02,412.25,414.25,404.25,406.0,406.0,256862.0,1049.88
2014-05-05,406.0,408.7,401.0,406.4,405.45,378796.0,1536.71
2014-05-06,408.5,418.8,408.0,418.7,416.95,647570.0,2678.95
2014-05-07,422.0,422.75,414.5,416.25,417.6,923045.0,3868.64
2014-05-08,419.85,424.0,411.05,421.5,418.3,428929.0,1786.42
2014-05-09,428.0,435.5,423.0,432.6,432.4,1057521.0,4540.58
2014-05-12,434.0,448.5,426.4,445.2,445.1,820547.0,3610.2
2014-05-13,447.1,459.4,442.2,447.05,447.45,670200.0,3033.43
2014-05-14,449.0,452.05,442.9,446.05,449.7,376984.0,1693.22
2014-05-15,450.0,451.5,436.25,439.05,438.7,633775.0,2817.02
2014-05-16,455.0,469.35,436.4,455.0,458.35,1198372.0,5416.17
2014-05-19,460.0,471.35,454.05,469.55,468.4,586531.0,2728.56
2014-05-20,474.4,486.55,470.0,470.8,472.35,634720.0,3025.1
2014-05-21,470.0,498.65,465.6,489.2,489.35,954480.0,4632.25
2014-05-22,494.45,494.45,474.15,484.0,482.95,790200.0,3817.71
2014-05-23,488.85,488.85,470.6,477.35,475.75,695713.0,3319.61
2014-05-26,478.5,491.5,457.6,473.0,472.95,667751.0,3210.85
2014-05-27,476.45,507.0,461.25,506.6,499.5,2198277.0,10644.47
2014-05-28,519.0,521.0,496.8,500.9,500.8,1429712.0,7268.77
2014-05-29,501.0,522.0,500.0,511.2,510.15,1623999.0,8325.25
2014-05-30,514.95,517.9,499.0,502.0,501.65,570468.0,2900.09
2014-06-02,501.0,526.0,501.0,524.8,524.3,833737.0,4304.53
2014-06-03,524.9,526.55,516.0,520.15,519.85,244997.0,1273.11
2014-06-04,520.15,565.0,517.15,545.5,547.15,1257518.0,6856.58
2014-06-05,551.85,586.0,547.0,575.0,575.1,2477290.0,14178.48
2014-06-06,576.3,578.0,557.0,566.0,564.1,1213520.0,6824.72
2014-06-09,569.8,579.9,560.4,569.4,568.35,643501.0,3670.74
2014-06-10,567.0,570.0,555.0,563.0,562.75,533029.0,2984.11
