Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,329.5,333.3,326.05,330.45,330.25,2108156.0,6959.96
2014-01-01,331.0,339.0,330.2,338.7,337.75,1697629.0,5688.86
2014-01-02,338.0,339.0,326.5,329.2,328.7,4755449.0,15830.7
2014-01-03,328.0,331.9,324.05,331.0,329.35,4237118.0,13922.23
2014-01-06,328.5,330.65,325.75,329.85,329.35,2437800.0,8019.15
2014-01-07,330.5,334.5,326.5,331.8,331.7,3704661.0,12232.65
2014-01-08,333.0,334.0,327.7,332.0,332.4,5683302.0,18862.71
2014-01-09,332.4,333.0,327.25,331.0,329.6,3362087.0,11129.79
2014-01-10,327.0,333.15,327.0,331.0,330.55,3413854.0,11286.4
2014-01-13,330.0,333.8,329.05,331.1,331.0,2302991.0,7628.13
2014-01-14,331.0,332.0,326.0,329.3,327.95,2230254.0,7334.73
2014-01-15,329.9,333.2,329.2,332.5,331.5,2524252.0,8357.4
2014-01-16,332.95,332.95,313.55,315.05,315.55,9471235.0,30099.64
2014-01-17,316.0,318.55,306.25,311.0,310.9,5862244.0,18313.04
2014-01-20,311.1,312.8,307.15,307.65,308.55,4702669.0,14544.44
2014-01-21,311.0,311.0,302.65,305.4,304.9,7067976.0,21597.56
2014-01-22,305.2,311.8,305.2,309.5,309.75,5363524.0,16610.77
2014-01-23,309.0,315.9,306.4,315.0,314.65,4757394.0,14916.69
2014-01-24,313.0,314.75,307.75,313.0,313.15,4558851.0,14203.91
2014-01-27,307.9,312.15,303.85,305.55,306.9,5018364.0,15441.3
2014-01-28,306.9,309.5,302.15,307.2,306.0,5189372.0,15843.59
2014-01-29,310.0,314.75,300.95,302.0,301.9,7761126.0,23792.15
2014-01-30,302.0,310.65,300.1,308.6,308.65,8481543.0,26125.6
2014-01-31,310.0,316.25,309.1,315.0,315.0,3312518.0,10383.63
2014-02-03,313.1,313.1,303.8,306.5,305.85,3630373.0,11140.92
2014-02-04,302.9,317.7,299.45,315.0,316.25,6882938.0,21249.49
2014-02-05,316.9,317.7,311.4,314.95,314.3,4594081.0,14459.09
2014-02-06,314.5,319.45,312.5,314.5,315.1,6842879.0,21578.64
2014-02-07,314.75,318.25,307.45,315.0,315.55,8313742.0,26057.62
2014-02-10,314.8,314.8,305.3,308.0,307.0,9433701.0,29215.39
2014-02-11,305.0,307.05,299.6,306.85,304.6,10065050.0,30488.8
2014-02-12,305.1,308.5,301.65,308.15,307.95,6539715.0,20037.98
2014-02-13,307.45,310.1,301.1,302.35,302.9,3311192.0,10066.61
2014-02-14,304.0,317.5,302.0,305.8,305.4,12761731.0,39307.53
2014-02-17,310.85,310.9,303.0,304.65,304.65,3485844.0,10647.68
2014-02-18,307.0,308.65,299.45,302.35,302.25,6676786.0,20222.11
2014-02-19,302.0,305.7,301.35,302.55,302.55,2293597.0,6964.6
2014-02-20,304.0,304.0,296.15,297.5,296.9,4313306.0,12872.79
2014-02-21,297.5,298.4,286.1,288.4,288.15,5639852.0,16423.74
2014-02-24,289.9,292.0,281.9,283.1,282.8,6484211.0,18552.68
2014-02-25,283.8,289.4,283.8,286.9,287.1,5313164.0,15268.66
2014-02-26,287.25,291.9,285.1,287.65,288.2,7257494.0,20994.57
2014-02-28,290.0,292.35,283.3,288.1,287.6,4542273.0,13051.07
2014-03-03,290.4,290.9,285.1,286.3,286.65,3374224.0,9698.79
2014-03-04,288.5,290.9,285.85,287.4,287.35,3795552.0,10929.6
2014-03-05,290.4,290.4,281.9,282.3,282.75,7637920.0,21684.23
2014-03-06,284.0,286.5,283.5,285.9,285.85,7491046.0,21388.29
2014-03-07,288.0,305.75,287.55,301.0,301.9,12842274.0,38408.39
2014-03-10,301.95,309.9,300.9,304.0,305.15,9133615.0,27958.55
2014-03-11,306.75,306.75,298.8,304.0,303.05,4009342.0,12118.18
2014-03-12,305.0,307.0,298.1,299.55,300.15,3709139.0,11165.31
2014-03-13,301.0,303.95,298.0,301.45,300.9,2058471.0,6214.83
2014-03-14,300.6,302.3,290.35,295.85,295.0,3784387.0,11155.77
2014-03-18,297.5,299.0,293.7,295.75,295.1,3104006.0,9185.58
2014-03-19,296.95,301.9,295.6,300.0,299.7,4696950.0,14069.35
2014-03-20,299.05,304.1,295.0,295.7,295.5,3228869.0,9706.49
2014-03-21,299.3,300.0,291.55,292.35,292.45,4551519.0,13385.84
2014-03-22,292.5,294.9,292.5,293.9,293.9,170901.0,502.48
2014-03-24,295.0,297.75,292.2,293.75,293.95,4794591.0,14101.12
2014-03-25,294.0,296.4,289.55,295.5,294.85,6894113.0,20175.3
2014-03-26,296.5,299.5,295.0,299.1,298.55,7109047.0,21129.05
2014-03-27,301.5,315.5,299.55,309.0,310.7,12908463.0,39956.87
2014-03-28,311.0,319.9,309.6,319.0,317.4,5102919.0,16040.79
2014-03-31,319.5,327.2,315.85,316.15,317.75,5887374.0,18945.3
2014-04-01,318.0,321.4,312.0,317.2,315.35,2850369.0,9001.13
2014-04-02,320.0,328.5,319.05,324.8,325.85,6040679.0,19636.26
2014-04-03,328.7,328.7,319.45,320.8,320.7,4399722.0,14166.35
2014-04-04,321.7,322.0,315.0,316.3,316.2,2253884.0,7142.13
2014-04-07,316.2,319.7,314.0,318.7,317.45,3334921.0,10553.61
2014-04-09,318.15,321.0,317.1,319.85,320.1,3851685.0,12283.66
2014-04-10,321.0,324.75,316.25,316.9,319.75,6311897.0,20317.45
2014-04-11,318.0,323.95,316.15,322.1,322.25,5097557.0,16379.76
2014-04-15,320.6,330.4,320.6,323.0,325.25,6342640.0,20701.41
2014-04-16,326.0,330.0,321.5,323.9,323.7,2359506.0,7691.67
2014-04-17,325.0,326.9,321.0,326.25,325.55,2505961.0,8134.45
2014-04-21,326.0,336.4,325.35,335.9,334.8,2101270.0,6960.06
2014-04-22,336.0,337.65,331.6,334.4,335.25,3608167.0,12068.15
2014-04-23,335.25,341.5,334.55,338.6,338.8,9125576.0,30945.04
2014-04-25,339.25,345.5,337.35,342.0,341.7,4735202.0,16231.54
2014-04-28,340.35,343.45,334.8,338.0,337.65,1858182.0,6278.57
2014-04-29,340.95,341.6,330.65,335.65,335.0,4399124.0,14811.6
2014-04-30,339.3,343.6,323.35,328.0,328.05,5975894.0,19904.26
2014-05-02,328.05,331.55,322.1,325.6,325.6,4217395.0,13781.06
2014-05-05,325.0,327.6,318.6,320.8,320.3,2481756.0,7988.86
2014-05-06,321.75,323.0,313.35,314.5,314.9,3626671.0,11476.55
2014-05-07,314.5,316.0,305.25,310.7,311.0,5881938.0,18176.75
2014-05-08,312.0,315.3,307.0,308.0,308.0,3641579.0,11308.38
2014-05-09,308.0,313.8,307.5,310.0,309.45,4375852.0,13604.16
2014-05-12,310.15,319.7,310.15,317.0,317.55,2842719.0,9003.94
2014-05-13,321.15,325.75,314.65,322.0,319.2,5290041.0,16945.74
2014-05-14,322.5,325.0,320.5,325.0,323.2,2746160.0,8866.57
2014-05-15,325.4,326.0,318.45,322.35,321.4,3043188.0,9786.63
2014-05-16,326.0,346.0,326.0,328.55,330.75,13790160.0,46253.19
2014-05-19,332.9,344.3,332.3,337.5,338.2,4936531.0,16717.64
2014-05-20,340.0,349.9,338.35,347.0,347.55,7716082.0,26619.47
2014-05-21,348.0,349.95,335.7,337.0,339.3,3426688.0,11752.75
2014-05-22,339.9,340.5,330.7,332.0,332.6,3796339.0,12689.59
2014-05-23,333.6,348.0,333.6,344.0,343.65,6473546.0,22286.12
2014-05-26,345.05,349.05,336.2,339.05,339.5,6230600.0,21240.06
2014-05-27,340.0,340.0,333.0,335.3,335.9,3940154.0,13207.42
2014-05-28,337.5,344.0,334.25,342.1,341.6,5422996.0,18399.68
2014-05-29,342.2,348.85,335.5,339.0,337.55,7234338.0,24716.1
2014-05-30,339.0,346.9,339.0,343.4,344.1,4357504.0,14992.95
2014-06-02,345.0,365.0,341.25,363.0,361.6,6206400.0,22064.04
2014-06-03,364.7,366.15,355.55,358.75,360.2,5846835.0,21059.43
2014-06-04,360.0,361.2,350.65,353.7,353.9,5647351.0,20083.64
2014-06-05,354.0,360.0,350.5,356.05,355.2,7345609.0,26107.79
2014-06-06,359.8,367.15,351.4,356.8,355.9,6465082.0,23060.89
2014-06-09,359.35,363.5,353.5,357.1,356.4,8547764.0,30631.06
2014-06-10,362.55,366.5,356.25,361.4,361.55,8509462.0,30756.47
2014-06-11,363.0,365.0,350.25,354.4,355.35,4873863.0,17442.23
2014-06-12,351.0,352.65,339.65,340.05,342.0,6284102.0,21592.16
2014-06-13,342.4,343.5,329.25,334.0,333.3,6190725.0,20735.99
2014-06-16,332.5,335.4,327.95,333.45,332.65,4758027.0,15810.39
2014-06-17,333.0,340.2,333.0,337.6,338.25,3946045.0,13341.06
2014-06-18,337.0,344.9,336.35,340.1,340.25,5906866.0,20146.28
2014-06-19,338.85,344.8,336.4,338.25,338.15,4307787.0,14707.65
2014-06-20,336.1,339.85,333.3,338.0,338.75,2759406.0,9323.36
2014-06-23,337.0,343.65,337.0,341.0,341.55,4394990.0,14984.75
2014-06-24,343.0,345.4,338.75,341.0,340.95,3167113.0,10803.92
2014-06-25,338.0,338.7,332.05,337.0,337.0,5673918.0,19033.74
2014-06-26,335.5,341.0,335.15,338.3,338.45,4290862.0,14514.11
2014-06-27,339.9,339.9,329.15,332.05,331.7,6287948.0,20837.76
2014-06-30,332.0,338.0,332.0,335.5,336.9,4630050.0,15502.12
2014-07-01,337.25,341.75,334.65,336.0,335.5,2116458.0,7162.19
2014-07-02,337.7,339.9,336.05,339.0,338.15,2916022.0,9867.51
2014-07-03,340.0,342.2,336.0,336.5,336.95,3681985.0,12446.46
2014-07-04,341.25,345.2,337.45,339.2,339.25,4176636.0,14243.55
2014-07-07,340.55,346.9,339.2,345.0,344.45,5556875.0,19147.65
2014-07-08,344.5,347.35,337.8,338.75,340.55,3985510.0,13671.08
2014-07-09,340.85,344.8,338.05,340.7,341.5,2626259.0,8972.41
2014-07-10,344.0,345.5,329.0,334.5,334.05,5953186.0,19949.51
2014-07-11,333.0,336.9,330.35,335.2,335.5,3805544.0,12696.75
2014-07-14,333.05,335.0,326.6,333.0,332.1,3561550.0,11741.99
2014-07-15,333.1,335.55,329.55,335.1,334.55,2515494.0,8375.7
2014-07-16,333.0,337.5,330.0,337.05,336.2,4144501.0,13815.0
2014-07-17,336.95,339.8,335.5,335.75,336.6,1445570.0,4877.89
2014-07-18,335.6,339.05,334.1,336.0,336.25,1967395.0,6621.35
2014-07-21,337.0,340.0,334.1,336.85,337.2,1516465.0,5118.14
2014-07-22,340.0,356.8,340.0,353.35,354.15,9764963.0,34319.2
2014-07-23,354.15,356.7,349.75,353.75,354.35,5063735.0,17891.77
2014-07-24,354.0,356.0,351.15,354.4,354.6,2056370.0,7268.79
2014-07-25,355.5,357.9,351.15,355.45,354.8,3126528.0,11092.92
2014-07-28,356.5,357.0,351.2,355.5,353.95,3425122.0,12115.0
2014-07-30,358.0,374.3,358.0,373.3,373.15,11240864.0,41649.7
2014-07-31,374.0,375.2,370.05,373.55,372.9,8283453.0,30902.68
2014-08-01,370.5,387.1,370.05,379.4,380.05,8426619.0,32177.57
2014-08-04,382.55,386.6,373.0,378.15,376.9,6531410.0,24657.24
2014-08-05,379.65,380.2,373.5,374.0,374.75,3093783.0,11616.58
2014-08-06,375.0,377.4,365.35,366.95,367.65,5248913.0,19402.36
2014-08-07,367.0,370.95,363.25,366.9,365.8,7103871.0,26074.38
2014-08-08,363.85,375.35,361.25,374.8,374.0,5395955.0,19970.45
2014-08-11,376.95,380.0,372.4,376.8,376.45,4166914.0,15652.42
2014-08-12,379.5,379.5,368.8,370.95,369.95,3387181.0,12563.14
2014-08-13,371.8,378.0,365.7,368.0,368.6,4585824.0,17016.38
2014-08-14,367.95,369.95,363.2,364.0,365.2,2780421.0,10174.77
2014-08-18,364.9,376.5,363.0,376.0,376.3,2650671.0,9867.65
2014-08-19,375.35,384.2,375.35,376.4,377.15,4986528.0,18897.06
2014-08-20,380.5,385.95,373.55,374.1,374.55,4358523.0,16443.84
2014-08-21,372.6,375.0,368.4,370.5,371.1,2307848.0,8572.67
2014-08-22,370.05,372.4,364.3,365.35,365.1,2814687.0,10325.19
2014-08-25,366.9,370.4,365.0,368.35,369.1,2706905.0,9974.69
2014-08-26,368.3,375.7,365.15,369.0,369.6,2540609.0,9426.61
2014-08-27,369.5,373.6,365.55,369.1,369.0,3129970.0,11572.82
2014-08-28,368.15,373.2,368.15,369.75,369.8,4315121.0,15963.54
2014-09-01,370.0,378.0,369.85,374.95,375.8,3107500.0,11680.3
2014-09-02,378.6,394.5,375.85,392.0,391.6,5981547.0,23304.59
2014-09-03,390.4,408.9,390.4,404.0,404.5,12312188.0,49829.83
2014-09-04,405.9,407.95,398.3,407.95,404.5,6055962.0,24265.98
