Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,10300.05,10488.0,9909.0,9970.0,10068.15,17791.0,1808.66
2014-01-01,10155.0,10333.0,9960.0,9990.0,10009.9,14920.0,1507.15
2014-01-02,10010.0,10164.25,9940.05,10016.0,9998.05,14316.0,1434.1
2014-01-03,10050.0,10177.7,9975.0,10089.95,10021.3,10989.0,1101.94
2014-01-06,10072.0,10144.0,9875.85,9918.0,9930.05,11449.0,1143.69
2014-01-07,9871.0,9998.0,9740.05,9740.05,9777.35,6112.0,602.48
2014-01-08,9740.0,10299.0,9700.0,9890.0,9864.85,20468.0,2054.1
2014-01-09,9803.0,10100.0,9710.0,9720.0,9752.45,6508.0,640.03
2014-01-10,9771.0,9899.95,9660.0,9666.0,9715.9,9322.0,911.75
2014-01-13,9720.0,9817.0,9700.0,9701.0,9718.1,5055.0,493.09
2014-01-14,9670.0,9850.0,9670.0,9750.05,9758.8,5239.0,512.83
2014-01-15,9712.0,9818.9,9701.0,9738.0,9723.75,3091.0,301.79
2014-01-16,9740.0,9773.95,9550.1,9578.0,9591.75,3740.0,361.42
2014-01-17,9639.0,9648.45,9480.1,9500.0,9517.45,3637.0,347.93
2014-01-20,9520.0,9640.0,9491.0,9522.0,9524.7,3936.0,375.88
2014-01-21,9465.0,9730.6,9465.0,9541.0,9556.45,5132.0,493.65
2014-01-22,9480.0,9605.0,9480.0,9520.05,9551.25,2563.0,245.15
2014-01-23,9551.25,9589.95,9470.05,9480.0,9482.3,1844.0,175.52
2014-01-24,9440.0,9529.0,9327.45,9340.0,9338.4,3380.0,317.25
2014-01-27,9301.0,9390.0,9148.0,9310.0,9257.0,4929.0,455.05
2014-01-28,9260.0,9335.0,9065.0,9090.0,9097.75,4520.0,413.42
2014-01-29,9097.75,9240.0,9075.0,9130.0,9103.4,3223.0,294.85
2014-01-30,9101.0,9101.0,8810.1,8850.9,8919.6,4809.0,431.36
2014-01-31,8935.0,9049.8,8920.0,9024.8,8973.75,10026.0,903.45
2014-02-03,8955.0,9069.95,8855.1,8900.0,8944.3,17731.0,1598.43
2014-02-04,8930.0,9038.0,8850.0,9010.0,8995.35,6569.0,589.34
2014-02-05,9029.4,9274.95,8956.25,9215.0,9213.75,8242.0,750.98
2014-02-06,9270.0,9340.0,9161.0,9170.0,9202.55,4162.0,385.24
2014-02-07,9210.0,9275.0,9070.0,9119.0,9110.9,2314.0,212.38
2014-02-10,9110.0,9198.9,9070.0,9100.0,9095.3,2106.0,192.23
2014-02-11,9149.0,9150.0,9004.0,9101.0,9105.9,2409.0,218.15
2014-02-12,9170.0,9170.0,9049.5,9054.5,9055.75,2722.0,247.01
2014-02-13,9108.0,9108.0,8975.0,9000.0,9003.05,2408.0,218.01
2014-02-14,9050.0,9050.0,8867.0,8960.0,8952.1,3912.0,349.47
2014-02-17,9021.0,9030.0,8906.0,8975.0,8985.55,1293.0,116.17
2014-02-18,8980.0,9039.95,8911.0,9000.0,8980.45,5565.0,499.44
2014-02-19,9025.0,9025.0,8950.0,8999.95,8972.85,1222.0,109.95
2014-02-20,9029.0,9039.0,8950.0,9020.0,9013.2,2202.0,198.03
2014-02-21,8990.0,9299.0,8988.5,9093.0,9084.7,6067.0,557.37
2014-02-24,9179.0,9350.0,9115.05,9320.0,9296.5,3814.0,352.93
2014-02-25,9340.0,9520.0,9300.0,9485.0,9475.25,9012.0,850.48
2014-02-26,9475.25,9594.0,9331.15,9541.0,9495.75,7503.0,710.38
2014-02-28,9255.0,9520.0,9110.0,9450.0,9404.75,10036.0,938.37
2014-03-03,9490.0,9490.0,9211.0,9215.0,9266.8,3055.0,285.95
2014-03-04,9289.95,9290.0,9180.0,9242.0,9236.8,3993.0,369.02
2014-03-05,9334.95,9334.95,9200.0,9219.0,9213.3,3246.0,300.56
2014-03-06,9213.65,9319.0,9213.65,9275.0,9255.65,4141.0,383.52
2014-03-07,9265.0,9397.7,9251.0,9330.0,9317.6,6820.0,636.14
2014-03-10,9317.5,9844.0,9240.0,9450.0,9696.9,15940.0,1531.8
2014-03-11,9599.0,9644.0,9350.0,9370.0,9407.2,3978.0,378.53
2014-03-12,9401.0,9589.0,9352.0,9450.0,9458.3,4281.0,405.12
2014-03-13,9465.0,9574.25,9465.0,9480.0,9501.15,3146.0,299.49
2014-03-14,9501.15,9691.5,9400.05,9689.0,9609.15,3673.0,351.26
2014-03-18,9610.0,9640.0,9500.0,9500.05,9552.05,4363.0,417.36
2014-03-19,9600.0,9875.0,9531.0,9818.0,9810.7,12872.0,1255.46
2014-03-20,9809.0,9850.0,9680.0,9750.0,9747.7,8857.0,862.32
2014-03-21,9773.95,10220.0,9700.0,10200.0,10055.45,8700.0,867.98
2014-03-22,10101.0,10419.8,10101.0,10340.0,10332.15,2312.0,237.53
2014-03-24,10336.75,10500.0,10050.0,10053.0,10106.25,6137.0,628.6
2014-03-25,10080.0,10479.0,10050.0,10410.0,10398.65,7670.0,788.76
2014-03-26,10410.0,10524.0,10200.0,10470.0,10498.1,10965.0,1144.85
2014-03-27,10499.0,10582.95,10395.1,10510.0,10527.25,6243.0,656.81
2014-03-28,10525.0,10760.0,10525.0,10699.0,10722.2,8742.0,933.94
2014-03-31,10716.0,11000.0,10574.0,10700.0,10892.35,22986.0,2495.43
2014-04-01,10740.0,10875.05,10555.0,10700.0,10767.1,6382.0,683.2
2014-04-02,10800.45,10879.0,10570.0,10600.0,10641.65,8572.0,925.43
2014-04-03,10765.0,10785.55,10600.0,10600.0,10619.55,3069.0,328.56
2014-04-04,10632.4,10700.0,10110.2,10300.0,10226.85,8377.0,877.0
2014-04-07,10325.0,10442.95,10250.2,10400.0,10368.55,4529.0,469.37
2014-04-09,10260.0,10500.0,10220.0,10400.0,10365.7,7074.0,734.23
2014-04-10,10365.7,10484.15,10202.0,10250.0,10270.2,14021.0,1445.32
