Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,350.1,354.3,346.5,348.0,347.9,862936.0,3017.28
2014-01-01,350.1,352.5,345.95,349.3,349.2,635277.0,2221.61
2014-01-02,354.7,354.7,338.6,339.2,339.45,946631.0,3277.36
2014-01-03,338.9,341.0,328.0,330.25,329.3,1064535.0,3528.46
2014-01-06,335.6,336.9,328.05,329.05,329.8,912943.0,3027.96
2014-01-07,330.5,331.9,322.25,322.4,323.55,963772.0,3136.45
2014-01-08,324.15,326.7,316.25,316.8,317.55,1260579.0,4037.39
2014-01-09,318.0,327.3,316.05,325.5,325.25,1647071.0,5332.23
2014-01-10,325.9,331.4,322.5,326.8,326.3,1199146.0,3930.53
2014-01-13,328.25,332.95,327.65,331.7,331.5,1083729.0,3580.87
2014-01-14,329.1,333.5,327.2,328.1,328.2,504753.0,1668.38
2014-01-15,326.55,331.05,326.35,327.25,327.3,1001838.0,3288.26
2014-01-16,329.0,333.6,325.2,332.6,330.35,747000.0,2462.06
2014-01-17,332.0,342.8,332.0,340.0,340.1,1739898.0,5905.24
2014-01-20,339.0,344.5,333.3,342.0,342.55,1163979.0,3944.28
2014-01-21,343.0,344.85,334.1,338.5,337.3,960196.0,3247.72
2014-01-22,337.2,346.0,334.6,345.5,343.95,513669.0,1753.79
2014-01-23,342.9,349.7,341.25,346.2,347.3,1030105.0,3569.11
2014-01-24,344.0,348.9,340.05,343.9,343.15,1052312.0,3621.37
2014-01-27,338.9,341.0,331.85,337.2,337.65,1034415.0,3471.78
2014-01-28,337.7,344.15,333.85,342.1,342.2,2692245.0,9135.99
2014-01-29,345.55,361.7,343.25,354.8,354.9,1852806.0,6543.24
2014-01-30,351.0,355.6,339.65,352.6,352.5,2067356.0,7224.01
2014-01-31,352.6,365.0,346.3,363.0,362.7,1423766.0,5112.1
2014-02-03,366.0,366.0,354.2,355.65,356.45,901869.0,3224.81
2014-02-04,353.0,362.0,350.5,356.5,355.3,860963.0,3055.27
2014-02-05,352.5,357.9,352.0,355.0,354.6,757991.0,2683.53
2014-02-06,355.25,359.4,345.9,353.7,352.85,1033580.0,3631.3
2014-02-07,354.85,355.85,349.55,352.2,352.15,1070483.0,3765.13
2014-02-10,350.2,356.75,350.2,354.95,354.8,362422.0,1284.5
2014-02-11,356.15,361.8,352.7,360.6,359.65,654702.0,2346.58
2014-02-12,362.25,370.8,356.65,365.4,364.75,2748387.0,10002.59
2014-02-13,364.75,364.75,353.55,355.0,355.0,783567.0,2793.8
2014-02-14,357.5,357.5,349.85,355.2,355.8,432573.0,1530.57
2014-02-17,355.95,359.7,351.65,357.4,357.5,220487.0,783.45
2014-02-18,355.0,359.5,352.35,355.0,355.0,666340.0,2371.92
2014-02-19,355.1,357.0,347.7,351.65,351.4,433505.0,1523.31
2014-02-20,350.6,350.6,342.2,345.6,346.8,564267.0,1962.41
2014-02-21,346.25,362.55,346.25,362.2,361.25,1318022.0,4708.53
2014-02-24,360.2,368.5,359.3,364.85,364.0,862081.0,3136.36
2014-02-25,365.25,374.8,365.25,371.35,371.85,841482.0,3115.1
2014-02-26,372.9,382.85,368.15,378.6,377.45,1880724.0,7078.72
2014-02-28,378.1,385.0,372.1,376.55,378.0,1614729.0,6114.47
2014-03-03,377.0,381.9,372.2,377.0,376.65,1033290.0,3899.47
2014-03-04,375.9,383.35,374.45,380.5,380.15,784172.0,2975.24
2014-03-05,382.0,389.0,378.7,386.65,387.45,1456340.0,5586.23
2014-03-06,389.2,404.0,385.75,404.0,401.1,1435896.0,5672.17
2014-03-07,404.7,419.75,402.7,419.0,417.95,1745764.0,7188.55
2014-03-10,415.25,423.3,407.1,419.65,418.8,1536332.0,6410.09
2014-03-11,420.1,423.5,413.05,414.7,414.65,1075225.0,4482.14
2014-03-12,414.65,414.9,409.05,412.85,412.9,955103.0,3940.4
2014-03-13,413.2,458.8,413.2,444.4,443.8,6069955.0,27053.17
2014-03-14,444.9,456.45,440.8,445.0,444.75,3893036.0,17377.64
2014-03-18,445.3,457.25,445.15,450.0,449.3,2113409.0,9530.6
2014-03-19,449.0,460.0,445.3,446.6,448.2,1176849.0,5316.0
2014-03-20,437.15,441.65,429.2,430.7,431.2,2395020.0,10417.75
2014-03-21,431.2,433.8,426.0,428.4,428.1,1289388.0,5535.19
2014-03-22,428.0,432.9,427.5,431.1,430.15,137327.0,591.26
2014-03-24,433.0,439.7,430.05,434.0,434.0,1228294.0,5348.19
2014-03-25,434.0,450.0,431.2,444.65,445.55,1694965.0,7552.83
2014-03-26,446.35,451.9,442.75,443.5,445.15,1088045.0,4874.34
2014-03-27,442.2,464.5,440.95,454.65,454.55,2444980.0,11166.36
2014-03-28,455.9,462.0,452.4,461.0,458.25,1367008.0,6254.9
2014-03-31,460.95,469.35,452.5,459.7,460.05,1313342.0,6039.95
2014-04-01,459.1,463.8,445.05,445.85,446.9,1997231.0,9030.71
2014-04-02,445.75,461.0,445.75,448.85,448.95,1872405.0,8467.36
2014-04-03,450.95,451.0,437.3,438.6,439.6,2363707.0,10418.98
2014-04-04,437.1,457.6,431.65,443.0,443.6,2954680.0,13135.1
2014-04-07,445.5,454.8,436.1,438.0,438.1,1352889.0,5979.99
2014-04-09,441.9,445.0,435.0,440.55,440.05,1934777.0,8488.72
2014-04-10,441.95,453.0,436.6,451.7,451.85,1354287.0,6036.11
2014-04-11,452.0,457.6,442.0,445.0,444.35,1242422.0,5604.89
2014-04-15,445.25,450.65,436.55,443.05,445.7,1368764.0,6063.76
2014-04-16,441.2,444.0,432.75,437.0,436.35,1729522.0,7565.23
2014-04-17,437.25,452.0,434.65,449.75,449.8,1172118.0,5200.01
2014-04-21,449.1,468.6,446.0,463.05,463.85,1968544.0,9006.56
2014-04-22,463.8,487.0,460.35,484.1,482.8,2327572.0,11147.64
2014-04-23,485.0,493.7,470.65,477.0,475.1,2336278.0,11258.46
2014-04-25,479.5,479.5,457.0,458.0,460.65,1572797.0,7294.94
2014-04-28,456.3,469.15,452.65,456.5,456.45,1694824.0,7780.9
2014-04-29,458.4,463.5,451.4,461.45,460.45,951211.0,4362.31
2014-04-30,463.0,472.7,442.2,454.7,454.9,1922289.0,8881.63
2014-05-02,457.0,467.0,455.8,462.6,462.6,1045256.0,4832.31
2014-05-05,464.0,475.0,464.0,468.0,467.65,1296349.0,6094.04
2014-05-06,470.0,474.0,466.3,469.0,467.5,1124272.0,5279.61
2014-05-07,474.9,480.7,469.5,470.0,472.35,1718212.0,8169.05
2014-05-08,472.9,473.9,461.0,463.6,462.45,1488838.0,6941.61
2014-05-09,461.9,489.9,458.65,486.05,485.8,1338685.0,6382.76
2014-05-12,487.0,505.5,481.0,503.6,502.45,1801386.0,8933.83
2014-05-13,510.45,526.9,506.25,509.8,509.4,1922437.0,9932.72
2014-05-14,509.6,522.0,505.5,520.0,518.65,807786.0,4152.06
2014-05-15,520.0,525.0,504.3,517.0,516.35,1067096.0,5518.99
2014-05-16,530.0,579.0,525.35,551.7,552.1,2503482.0,13852.1
2014-05-19,559.0,589.0,559.0,574.0,575.9,2152981.0,12457.78
2014-05-20,579.85,588.5,553.65,558.25,558.75,1357577.0,7725.85
2014-05-21,559.5,564.7,550.2,558.0,560.3,1537016.0,8560.56
2014-05-22,565.85,565.85,552.2,558.3,559.65,1605719.0,8964.43
2014-05-23,561.25,568.5,552.4,553.75,556.2,2119309.0,11852.42
2014-05-26,559.4,579.65,546.55,557.5,557.8,1941664.0,10980.36
2014-05-27,560.0,560.75,536.15,551.0,554.1,1294538.0,7133.68
