Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,786.1,818.0,784.0,817.5,810.1,146848.0,1176.74
2014-01-01,817.5,830.0,791.2,800.0,798.75,101642.0,821.42
2014-01-02,796.0,806.0,782.0,783.5,786.65,50364.0,400.45
2014-01-03,785.95,790.0,773.75,780.05,780.75,24311.0,190.37
2014-01-06,786.8,795.0,781.1,786.0,787.65,74972.0,591.33
2014-01-07,790.0,810.0,787.0,809.2,804.45,93745.0,752.91
2014-01-08,811.0,870.1,810.95,848.65,844.7,463064.0,3913.53
2014-01-09,853.3,901.95,850.0,888.0,889.85,488551.0,4288.95
2014-01-10,895.25,899.0,861.0,873.5,872.05,277773.0,2433.77
2014-01-13,875.0,882.7,852.0,864.0,860.15,85885.0,740.78
2014-01-14,852.0,894.15,852.0,890.0,886.65,140424.0,1235.29
2014-01-15,894.4,909.05,870.5,880.0,879.4,160221.0,1423.9
2014-01-16,880.0,884.5,870.35,873.25,872.8,32874.0,287.74
2014-01-17,874.0,878.7,850.1,864.7,855.5,33123.0,285.97
2014-01-20,859.65,895.4,854.0,857.0,858.7,93553.0,805.24
2014-01-21,860.1,878.0,854.0,857.5,861.1,175440.0,1521.34
2014-01-22,866.0,870.7,854.1,855.3,860.45,71042.0,615.13
2014-01-23,862.0,862.0,848.4,851.0,852.2,50208.0,428.46
2014-01-24,844.1,846.95,831.15,834.1,835.8,145954.0,1223.69
2014-01-27,832.0,833.45,806.4,817.05,820.05,108230.0,893.78
2014-01-28,822.0,829.9,812.0,819.0,819.3,93651.0,770.03
2014-01-29,820.0,832.65,806.05,810.1,810.35,75694.0,623.64
2014-01-30,804.25,827.0,804.25,807.25,808.9,92976.0,755.6
2014-01-31,813.95,824.0,811.2,819.4,819.9,132772.0,1084.14
2014-02-03,811.2,839.0,811.2,837.0,835.15,65345.0,544.39
2014-02-04,830.0,843.7,827.1,843.5,840.4,90742.0,758.41
2014-02-05,835.5,881.0,835.5,848.0,849.5,348249.0,2979.88
2014-02-06,855.0,865.0,850.25,855.0,854.75,144834.0,1240.96
2014-02-07,860.05,916.3,855.0,901.45,903.85,1455590.0,12864.2
2014-02-10,909.0,936.4,907.1,926.0,925.45,419828.0,3878.83
2014-02-11,923.2,951.45,907.2,951.0,946.2,283589.0,2657.72
2014-02-12,947.0,983.0,941.55,978.05,975.1,299932.0,2894.37
2014-02-13,975.0,987.0,940.05,948.0,946.1,389941.0,3722.87
2014-02-14,941.0,965.0,927.25,946.1,947.3,101752.0,963.71
2014-02-17,940.0,964.8,930.55,954.0,958.65,120257.0,1139.56
2014-02-18,951.3,967.0,943.0,953.0,952.6,73012.0,698.26
2014-02-19,959.0,961.4,945.3,954.0,950.2,213868.0,2032.09
2014-02-20,954.45,954.95,933.0,937.7,942.3,96512.0,913.69
2014-02-21,934.25,957.95,934.25,953.05,950.8,237769.0,2257.83
2014-02-24,952.05,1012.25,952.05,991.5,996.4,374621.0,3716.95
2014-02-25,1005.0,1021.95,995.0,997.0,999.6,166746.0,1683.23
2014-02-26,999.85,1017.6,993.05,1004.9,1009.05,278545.0,2807.15
2014-02-28,1010.0,1049.95,1010.0,1048.0,1033.5,184725.0,1895.71
2014-03-03,1045.0,1079.7,1015.05,1024.5,1025.5,158766.0,1650.96
2014-03-04,1018.35,1032.0,1005.3,1015.0,1017.3,210831.0,2152.56
2014-03-05,1019.0,1045.4,1011.5,1024.9,1021.2,87135.0,895.14
2014-03-06,1025.0,1035.0,1000.15,1005.8,1008.2,75344.0,768.63
2014-03-07,1008.0,1019.9,962.2,975.0,975.1,89326.0,875.42
2014-03-10,970.0,1004.45,956.45,989.0,994.75,84409.0,824.82
2014-03-11,986.0,1003.0,980.1,988.4,988.7,50192.0,496.53
2014-03-12,994.0,994.0,962.25,964.05,970.05,64513.0,627.84
2014-03-13,965.0,977.15,959.0,959.0,963.55,50840.0,493.15
2014-03-14,953.0,968.0,951.2,959.5,959.5,37940.0,363.91
2014-03-18,966.0,985.0,959.0,980.0,978.35,88774.0,861.87
