Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,324.95,325.75,322.8,323.1,323.75,733204.0,2377.13
2014-01-01,324.1,325.25,323.05,323.15,323.6,295966.0,959.21
2014-01-02,323.0,325.4,320.75,321.0,321.7,880327.0,2838.6
2014-01-03,320.7,323.4,318.65,319.65,319.65,1793171.0,5747.79
2014-01-06,319.8,322.8,319.0,320.8,319.55,1037886.0,3322.88
2014-01-07,321.0,322.6,318.4,320.0,319.45,1671810.0,5349.54
2014-01-08,321.85,329.2,321.1,325.5,327.5,4314070.0,14065.61
2014-01-09,325.55,327.25,323.4,324.6,325.1,1851245.0,6022.14
2014-01-10,325.0,327.4,322.5,324.0,323.8,1228860.0,3987.36
2014-01-13,323.8,326.9,321.2,323.9,324.0,1647104.0,5335.86
2014-01-14,325.65,332.65,324.9,329.9,330.45,3082202.0,10164.41
2014-01-15,331.1,332.3,325.6,326.0,326.35,1667407.0,5468.57
2014-01-16,328.6,328.85,324.9,325.2,325.3,1636468.0,5332.26
2014-01-17,325.75,328.45,324.5,325.5,326.05,1598019.0,5220.51
2014-01-20,325.55,327.35,324.4,326.0,326.4,1573133.0,5126.15
2014-01-21,327.0,327.0,323.1,324.3,324.0,4047521.0,13120.91
2014-01-22,323.9,324.1,320.7,321.7,321.65,8632931.0,27815.42
2014-01-23,321.65,326.75,321.0,325.0,324.65,1813886.0,5904.0
2014-01-24,321.0,327.7,321.0,324.3,324.85,2905092.0,9440.79
2014-01-27,322.0,326.0,321.1,322.25,322.0,2545367.0,8220.09
2014-01-28,320.6,324.35,320.0,322.0,321.95,2323349.0,7489.11
2014-01-29,319.6,322.85,319.6,321.8,321.75,1578027.0,5077.61
2014-01-30,320.5,323.3,320.0,321.05,321.5,2388125.0,7668.69
2014-01-31,321.15,325.35,320.6,323.85,324.35,1191642.0,3846.18
2014-02-03,322.55,323.85,319.3,321.25,320.05,3530850.0,11307.68
2014-02-04,317.05,328.15,317.05,325.4,326.05,5669096.0,18414.89
2014-02-05,324.6,326.35,323.9,324.8,324.85,3031689.0,9850.63
2014-02-06,325.95,332.55,324.4,332.5,331.45,5595764.0,18405.91
2014-02-07,332.55,335.0,331.6,334.0,334.05,3794511.0,12671.38
2014-02-10,334.5,334.95,329.55,334.1,333.95,4982498.0,16613.96
2014-02-11,332.75,336.7,331.5,334.35,334.65,3780870.0,12623.93
2014-02-12,334.05,334.95,324.5,324.95,325.25,4650879.0,15219.8
2014-02-13,326.0,327.9,323.15,323.75,324.1,1387672.0,4518.55
2014-02-14,325.0,325.55,321.55,322.7,322.25,1678527.0,5412.09
2014-02-17,321.6,323.75,321.25,322.1,322.0,1381825.0,4451.84
2014-02-18,322.0,324.7,321.65,322.75,322.7,872555.0,2818.64
2014-02-19,323.15,326.7,323.05,325.75,326.35,1802362.0,5854.31
2014-02-20,324.6,326.7,323.55,324.55,324.85,1128417.0,3669.36
2014-02-21,323.8,326.4,323.8,325.35,324.8,1799905.0,5857.29
2014-02-24,324.05,326.3,323.9,324.8,324.7,940350.0,3055.87
2014-02-25,326.0,326.75,323.25,324.9,324.7,1288963.0,4183.72
2014-02-26,324.35,326.15,323.1,323.75,323.65,1692252.0,5479.96
2014-02-28,323.5,325.2,322.9,324.95,324.2,2318484.0,7503.42
2014-03-03,324.5,328.9,324.05,327.5,326.8,1603060.0,5241.77
2014-03-04,328.0,333.4,327.7,330.7,330.45,1876948.0,6211.17
2014-03-05,330.0,330.0,325.1,326.15,326.05,1114751.0,3643.06
2014-03-06,326.5,333.0,325.6,332.0,331.45,2146259.0,7098.71
2014-03-07,331.95,334.6,327.65,330.0,329.55,2798101.0,9230.69
2014-03-10,328.05,333.6,326.2,326.9,327.2,1898220.0,6251.16
2014-03-11,326.5,331.45,326.1,329.5,329.6,1388429.0,4558.16
2014-03-12,328.95,330.3,327.45,329.0,329.85,1002642.0,3304.11
2014-03-13,333.1,334.9,327.55,329.0,328.5,1231500.0,4070.74
2014-03-14,327.05,330.0,325.25,327.4,326.8,1502061.0,4905.81
2014-03-18,329.7,334.95,327.6,332.6,331.6,2168173.0,7191.27
2014-03-19,330.05,332.4,328.6,330.75,331.0,849481.0,2811.53
2014-03-20,330.9,334.25,329.5,330.55,330.0,1124389.0,3729.56
2014-03-21,332.9,332.9,328.6,329.65,330.05,1282445.0,4241.58
2014-03-22,330.05,330.55,329.0,329.6,329.45,21900.0,72.17
2014-03-24,330.55,334.0,329.95,332.3,332.6,1121284.0,3726.07
2014-03-25,330.35,335.8,330.35,332.55,332.55,1991418.0,6625.11
2014-03-26,333.0,334.5,331.55,333.0,332.65,921256.0,3065.21
2014-03-27,331.75,335.0,331.75,333.65,334.15,2996981.0,10008.82
2014-03-28,334.2,335.4,328.55,330.5,330.8,2235789.0,7411.92
2014-03-31,331.1,334.4,329.55,332.2,333.0,2836396.0,9413.41
2014-04-01,332.95,351.0,331.75,344.15,344.95,5385163.0,18473.18
2014-04-02,346.0,349.75,343.0,344.3,345.1,1997083.0,6908.36
2014-04-03,345.55,349.8,341.6,343.7,344.15,1648369.0,5675.78
2014-04-04,344.15,344.4,338.25,339.0,339.4,2206645.0,7498.39
2014-04-07,340.1,343.4,338.2,341.35,341.5,1737385.0,5929.15
2014-04-09,342.1,353.0,342.0,350.1,351.0,4558859.0,15848.26
2014-04-10,351.1,361.8,351.1,360.3,359.65,4236011.0,15134.95
2014-04-11,359.0,364.5,355.85,356.4,358.4,1937379.0,6984.5
2014-04-15,358.45,360.25,351.3,359.0,359.35,1691478.0,6023.82
2014-04-16,359.85,367.0,356.1,362.25,361.9,2419083.0,8760.0
2014-04-17,363.4,372.6,361.05,368.45,368.85,2722356.0,9998.49
2014-04-21,369.0,370.95,358.6,362.4,363.2,1478020.0,5355.03
2014-04-22,363.0,366.4,361.15,363.0,363.7,1307821.0,4752.07
2014-04-23,365.0,368.5,350.2,354.0,352.4,2905518.0,10414.27
2014-04-25,351.05,351.05,332.1,335.05,335.0,16367525.0,54866.69
2014-04-28,333.3,336.65,332.45,335.95,335.0,3417453.0,11445.61
2014-04-29,335.2,336.75,333.75,335.0,335.0,3725841.0,12479.65
2014-04-30,335.05,337.75,334.15,335.0,335.15,3048623.0,10225.01
2014-05-02,335.0,335.95,328.75,335.0,335.0,5595255.0,18680.36
2014-05-05,334.85,335.45,332.4,335.2,335.0,2874481.0,9628.29
2014-05-06,334.45,336.0,334.45,335.05,335.0,3781122.0,12666.86
2014-05-07,334.5,339.7,333.35,335.0,334.9,2175597.0,7296.77
2014-05-08,334.15,337.65,334.15,335.0,335.1,1551281.0,5200.94
2014-05-09,334.6,337.45,334.2,336.6,335.1,9521682.0,31904.39
2014-05-12,335.1,341.55,335.05,340.45,340.1,1226787.0,4149.37
2014-05-13,341.0,345.9,335.05,335.85,336.35,2813021.0,9570.5
2014-05-14,337.0,340.65,335.65,339.5,339.45,1804166.0,6099.47
2014-05-15,340.0,341.9,335.1,335.8,335.75,1664363.0,5604.22
2014-05-16,338.0,347.9,338.0,341.7,340.65,2424097.0,8307.18
2014-05-19,341.9,356.4,341.1,353.6,354.65,2443832.0,8544.31
2014-05-20,355.05,356.65,347.65,352.1,352.6,1278078.0,4487.47
2014-05-21,351.0,354.9,345.8,347.6,348.05,2521369.0,8804.61
2014-05-22,348.5,354.5,345.1,346.45,346.1,2208088.0,7700.83
2014-05-23,347.8,352.6,345.9,348.35,348.75,2430660.0,8485.83
2014-05-26,352.25,367.7,344.55,352.0,351.1,3051775.0,10897.45
2014-05-27,346.3,351.15,344.0,347.6,349.2,1255543.0,4367.17
2014-05-28,349.2,357.0,344.0,350.6,349.95,1672767.0,5854.39
2014-05-29,350.1,354.8,340.1,342.0,341.4,5884449.0,20284.93
2014-05-30,341.9,344.0,337.0,339.1,337.65,4146416.0,14045.19
2014-06-02,339.0,347.9,338.3,344.8,344.95,1426879.0,4901.73
2014-06-03,347.0,355.45,343.8,354.25,354.1,2466887.0,8647.54
2014-06-04,353.95,359.7,350.2,351.4,351.25,2847738.0,10074.91
2014-06-05,352.65,367.9,349.5,367.9,365.75,4540967.0,16427.82
2014-06-06,369.0,378.65,364.0,377.55,374.7,3773165.0,13982.63
2014-06-09,379.0,381.95,372.0,372.6,373.45,2280501.0,8556.51
2014-06-10,376.3,386.0,365.05,381.95,382.8,2447306.0,9256.51
2014-06-11,383.0,384.25,368.0,368.2,370.95,2635964.0,9929.09
2014-06-12,370.0,375.75,366.75,370.3,370.3,1251394.0,4642.65
2014-06-13,376.0,379.0,358.05,366.0,365.2,2835202.0,10472.48
2014-06-16,367.25,375.9,364.95,366.25,366.85,2488473.0,9196.68
2014-06-17,367.0,378.0,366.85,372.75,372.9,3104303.0,11570.89
2014-06-18,375.1,379.0,368.0,371.5,371.35,2365387.0,8854.07
2014-06-19,373.0,374.85,364.5,366.1,366.9,1798270.0,6618.07
2014-06-20,365.55,373.6,365.05,371.75,372.0,3170174.0,11780.46
2014-06-23,372.2,375.9,370.25,375.2,374.7,1239492.0,4633.83
2014-06-24,375.0,377.3,370.7,373.5,372.65,1462323.0,5457.44
2014-06-25,374.05,375.15,368.5,369.95,369.35,975773.0,3617.74
2014-06-26,369.0,370.4,362.8,364.55,364.35,1716218.0,6286.84
2014-06-27,365.5,367.9,360.0,361.75,361.45,898742.0,3261.19
2014-06-30,362.8,365.9,360.05,365.1,365.05,1157324.0,4212.57
2014-07-01,365.05,369.05,362.05,363.5,363.25,1444677.0,5275.94
2014-07-02,366.75,368.6,363.6,368.6,367.25,1715935.0,6283.37
2014-07-03,367.9,369.4,360.35,361.9,361.4,2533054.0,9207.02
2014-07-04,363.0,364.95,361.65,363.15,363.6,2371196.0,8617.14
2014-07-07,364.0,367.9,360.0,362.85,362.5,2731761.0,9918.73
2014-07-08,362.6,365.25,353.1,354.95,355.55,1355094.0,4889.48
2014-07-09,350.05,353.9,341.6,350.5,351.75,1630108.0,5695.5
2014-07-10,349.2,357.9,345.05,352.95,353.35,2542810.0,8953.65
2014-07-11,350.0,353.35,341.25,341.6,342.8,1267995.0,4383.59
2014-07-14,342.5,344.6,336.7,339.0,338.0,2186878.0,7437.44
2014-07-15,340.25,342.8,337.75,341.7,341.15,1326661.0,4513.5
2014-07-16,340.35,346.8,340.35,345.1,344.55,1287371.0,4433.69
2014-07-17,343.0,349.4,343.0,348.05,347.7,1282771.0,4461.17
2014-07-18,348.0,349.85,344.55,345.3,345.35,1429420.0,4955.96
2014-07-21,346.1,348.5,342.2,346.35,345.35,822875.0,2842.33
2014-07-22,345.1,347.45,341.9,343.25,343.1,1415081.0,4875.06
2014-07-23,343.95,347.0,340.6,345.8,345.55,1775895.0,6098.61
2014-07-24,328.1,334.4,321.45,322.45,322.5,8770595.0,28594.75
2014-07-25,320.95,323.0,304.1,308.2,308.7,15241615.0,47428.6
2014-07-28,311.0,316.5,311.0,314.0,314.75,4848413.0,15261.52
2014-07-30,314.6,320.55,314.05,318.25,319.5,3895478.0,12397.57
2014-07-31,318.55,319.0,314.2,315.95,315.25,4023532.0,12732.83
2014-08-01,314.9,318.3,311.0,312.7,312.75,3084064.0,9739.88
2014-08-04,314.0,320.35,311.5,319.35,319.3,2642800.0,8389.78
2014-08-05,317.5,322.3,315.75,320.5,321.25,1939771.0,6191.42
