Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,402.75,404.35,399.4,401.3,400.8,550785.0,2211.39
2014-01-01,402.5,405.9,400.8,401.25,401.75,429074.0,1730.27
2014-01-02,402.0,406.35,391.5,392.45,392.3,734194.0,2930.25
2014-01-03,391.55,394.0,386.0,393.95,391.75,998001.0,3887.03
2014-01-06,393.9,395.95,387.65,391.0,391.6,752348.0,2947.0
2014-01-07,393.9,394.9,389.0,390.15,390.85,955034.0,3731.62
2014-01-08,391.1,405.0,389.1,404.0,404.2,1768447.0,7076.64
2014-01-09,404.0,407.4,400.0,403.3,403.1,1161659.0,4688.54
2014-01-10,401.2,406.7,397.0,399.0,399.1,875765.0,3518.25
2014-01-13,396.35,403.45,396.35,402.75,402.25,770671.0,3084.26
2014-01-14,400.9,412.25,400.9,410.5,411.15,1375742.0,5607.14
2014-01-15,414.35,423.9,414.35,417.25,418.05,2737981.0,11469.6
2014-01-16,419.0,420.95,412.0,412.05,412.65,1332490.0,5541.32
2014-01-17,412.5,421.95,412.5,420.45,417.6,1369311.0,5716.3
2014-01-20,419.0,421.7,416.15,419.1,419.85,825525.0,3461.95
2014-01-21,420.25,424.0,416.35,417.0,417.4,757294.0,3182.86
2014-01-22,417.7,425.85,415.3,423.6,422.7,1159013.0,4899.97
2014-01-23,422.9,425.05,417.4,419.65,419.55,657695.0,2768.56
2014-01-24,418.0,423.0,413.4,414.0,414.4,994905.0,4153.4
2014-01-27,411.5,418.0,407.75,418.0,415.0,1305152.0,5397.3
2014-01-28,416.3,420.5,406.8,408.8,409.25,988099.0,4065.34
2014-01-29,411.0,418.5,409.5,415.3,414.5,1227506.0,5096.68
2014-01-30,410.95,415.9,407.95,414.95,413.45,1344614.0,5552.89
2014-01-31,415.0,419.0,408.55,410.3,410.6,529559.0,2185.5
2014-02-03,408.5,415.75,408.5,412.85,412.5,883601.0,3641.31
2014-02-04,410.7,417.95,410.0,414.15,415.15,1076767.0,4472.66
2014-02-05,416.9,416.9,410.5,415.4,415.15,1340045.0,5542.13
2014-02-06,417.5,420.0,409.25,410.35,410.05,1533292.0,6336.31
2014-02-07,412.85,418.0,412.5,417.0,417.05,943897.0,3922.27
2014-02-10,419.45,423.6,409.7,410.8,414.55,1133469.0,4751.05
2014-02-11,415.0,415.0,405.2,411.0,412.5,2568431.0,10539.99
2014-02-12,414.9,414.9,408.0,413.5,412.75,2956000.0,12161.86
2014-02-13,390.0,404.25,379.0,380.95,380.3,10135980.0,39450.86
2014-02-14,384.7,384.7,370.0,372.8,373.35,3269119.0,12268.53
2014-02-17,373.35,378.05,371.15,376.05,374.35,1218421.0,4566.55
2014-02-18,374.0,377.7,371.25,371.75,371.9,1787070.0,6687.3
2014-02-19,373.0,375.2,371.0,373.95,373.2,891444.0,3328.11
2014-02-20,373.2,376.6,370.4,370.75,371.2,1607125.0,5986.21
2014-02-21,374.0,374.0,367.75,368.5,369.2,2004530.0,7407.73
2014-02-24,366.5,372.8,366.5,367.55,367.5,1554990.0,5732.57
2014-02-25,367.55,375.5,367.55,374.2,374.75,2141819.0,7976.66
2014-02-26,377.4,379.45,373.0,376.2,375.3,2983431.0,11217.9
2014-02-28,379.0,385.0,374.5,384.85,384.3,2480770.0,9471.35
2014-03-03,386.0,387.7,375.05,376.0,376.6,1038366.0,3945.02
2014-03-04,377.0,381.9,377.0,378.65,378.65,783416.0,2971.91
2014-03-05,379.3,386.2,379.3,385.2,385.5,1224021.0,4694.29
2014-03-06,386.0,387.3,378.15,380.45,379.75,1568154.0,5994.47
2014-03-07,382.1,382.4,374.3,380.0,381.2,1616118.0,6122.58
2014-03-10,381.75,381.75,373.85,375.3,375.4,2565231.0,9652.73
2014-03-11,375.25,380.3,375.25,377.3,376.95,1770830.0,6685.59
2014-03-12,377.2,380.8,376.45,379.4,378.7,1247912.0,4734.12
2014-03-13,379.4,383.55,378.4,381.0,380.4,979770.0,3740.26
2014-03-14,379.65,387.0,378.75,386.0,386.5,1056579.0,4054.43
2014-03-18,388.0,390.95,382.0,386.0,385.85,1045604.0,4052.62
2014-03-19,387.0,389.9,382.25,383.45,382.8,1190320.0,4592.51
2014-03-20,380.5,388.95,379.0,387.8,387.25,1355616.0,5233.91
2014-03-21,388.0,389.45,384.0,387.1,387.95,1005845.0,3901.87
2014-03-22,387.95,399.0,387.0,397.1,394.8,461897.0,1820.3
2014-03-24,398.0,401.6,390.1,390.75,391.05,1479217.0,5843.06
2014-03-25,393.5,394.5,388.1,391.25,391.25,1796133.0,7016.81
2014-03-26,392.65,393.9,385.55,387.0,387.1,1590602.0,6186.93
2014-03-27,390.0,391.7,382.55,384.6,386.4,2349700.0,9092.95
2014-03-28,386.35,391.55,383.55,387.05,386.95,1196519.0,4629.17
2014-03-31,388.2,389.75,381.8,382.05,382.8,950977.0,3658.75
2014-04-01,383.7,385.75,379.15,382.15,381.5,1470749.0,5619.99
2014-04-02,384.8,392.0,381.55,388.55,389.25,2670463.0,10357.43
2014-04-03,391.5,397.5,389.25,397.0,396.4,1714910.0,6756.67
2014-04-04,398.0,406.1,396.25,405.0,404.1,1879042.0,7548.0
2014-04-07,407.9,410.1,392.2,395.7,396.6,1371865.0,5455.58
2014-04-09,398.25,401.85,393.7,400.8,401.0,1026656.0,4104.35
2014-04-10,401.4,402.2,394.2,397.5,397.4,1703713.0,6758.5
2014-04-11,397.5,403.45,396.25,402.0,402.05,1525144.0,6128.68
2014-04-15,402.25,402.8,395.15,401.1,400.65,841008.0,3356.3
2014-04-16,401.1,404.05,393.6,397.5,396.9,891565.0,3543.23
2014-04-17,399.5,401.3,394.6,401.0,400.7,1189809.0,4750.9
2014-04-21,400.0,404.75,397.0,400.0,399.8,745738.0,2987.25
2014-04-22,400.15,402.8,395.0,397.0,396.5,1162409.0,4621.63
2014-04-23,397.3,400.25,397.3,398.8,399.05,748544.0,2983.45
2014-04-25,397.25,401.0,392.4,395.5,394.25,630377.0,2488.51
2014-04-28,394.25,409.5,394.25,407.65,406.9,1950705.0,7876.35
2014-04-29,407.8,408.75,397.7,402.1,401.2,1115634.0,4483.58
2014-04-30,401.2,404.9,392.55,396.55,397.45,810330.0,3227.66
2014-05-02,397.5,406.5,397.5,402.1,402.1,989246.0,3981.64
2014-05-05,402.05,404.4,391.3,393.15,392.8,1734530.0,6862.64
2014-05-06,395.65,395.65,389.5,392.1,390.9,1302895.0,5110.7
2014-05-07,391.15,396.35,381.3,382.85,382.6,1677331.0,6512.2
2014-05-08,391.0,395.0,386.1,388.0,388.65,1878821.0,7327.35
2014-05-09,388.35,394.0,385.1,393.0,392.3,1030990.0,4034.7
2014-05-12,393.1,394.8,384.5,387.9,387.75,1522838.0,5909.75
2014-05-13,391.0,392.9,386.1,391.85,390.6,2079198.0,8103.31
2014-05-14,392.2,396.8,390.8,394.7,394.55,1474530.0,5816.61
2014-05-15,394.7,402.45,393.5,398.3,398.1,1681151.0,6694.84
2014-05-16,401.4,425.0,387.45,388.0,388.25,2820584.0,11183.13
2014-05-19,390.15,394.4,382.05,383.8,384.75,2386910.0,9200.77
2014-05-20,383.0,391.5,378.9,391.05,389.35,1790091.0,6902.88
2014-05-21,390.0,394.0,386.3,387.5,389.65,2123860.0,8293.05
2014-05-22,391.4,392.4,384.35,387.15,387.85,1343373.0,5222.37
2014-05-23,388.2,392.9,384.05,386.9,387.9,1067882.0,4154.52
2014-05-26,388.35,390.8,379.1,382.85,381.3,1422191.0,5449.46
2014-05-27,382.0,386.05,377.3,378.5,378.0,2348760.0,8924.17
2014-05-28,378.6,382.4,376.6,379.15,379.85,1105072.0,4197.03
2014-05-29,380.1,382.0,370.85,373.15,372.45,2231881.0,8345.53
2014-05-30,370.0,385.9,367.5,383.6,384.55,2158135.0,8214.81
2014-06-02,389.0,389.0,381.2,386.05,387.2,907555.0,3506.13
2014-06-03,386.05,390.4,384.2,389.0,389.0,755694.0,2935.08
2014-06-04,387.35,391.9,387.35,391.0,390.8,853453.0,3329.61
2014-06-05,391.2,392.0,385.0,387.2,387.2,853847.0,3303.07
2014-06-06,387.95,397.3,386.6,396.0,396.15,1582458.0,6218.74
2014-06-09,398.0,402.0,393.25,396.3,396.55,1581828.0,6294.79
2014-06-10,399.0,409.35,396.05,407.0,407.6,2777554.0,11250.32
2014-06-11,408.0,417.5,408.0,412.0,413.15,2536080.0,10484.59
2014-06-12,414.0,419.0,411.4,415.75,416.15,1333274.0,5544.1
2014-06-13,415.5,420.9,407.5,413.2,414.1,1137084.0,4710.88
2014-06-16,414.75,418.0,410.15,413.6,413.6,2036826.0,8419.8
2014-06-17,417.0,417.0,410.65,412.2,412.95,750090.0,3098.17
2014-06-18,420.0,443.25,418.1,424.05,425.1,8551040.0,36776.02
2014-06-19,429.9,429.9,419.65,426.0,425.95,1709421.0,7270.48
2014-06-20,426.6,437.95,422.25,425.0,425.65,2313373.0,9948.35
2014-06-23,427.2,428.65,418.05,424.8,423.9,1003896.0,4237.53
2014-06-24,427.8,429.8,423.25,427.0,427.4,826911.0,3534.62
2014-06-25,427.8,430.9,424.0,426.35,426.45,743792.0,3181.14
2014-06-26,427.0,433.3,421.05,426.3,425.55,4161224.0,17689.91
2014-06-27,423.0,442.8,423.0,439.25,436.9,1649698.0,7138.54
2014-06-30,442.7,445.0,435.7,438.35,438.0,1645312.0,7250.23
2014-07-01,439.0,441.5,436.1,437.2,437.25,1068729.0,4688.51
2014-07-02,437.15,446.55,436.5,444.05,444.3,1773781.0,7850.65
2014-07-03,445.0,449.9,442.0,447.5,447.7,1828531.0,8172.52
2014-07-04,448.9,453.15,441.5,449.0,449.3,1472541.0,6609.32
2014-07-07,449.0,453.7,444.7,451.5,449.65,1432449.0,6431.95
2014-07-08,451.0,460.65,437.1,440.0,442.0,2390257.0,10853.41
2014-07-09,443.5,447.4,433.55,434.9,436.25,854107.0,3766.47
2014-07-10,436.25,442.95,425.25,434.0,436.05,1223859.0,5295.91
2014-07-11,432.0,445.0,430.0,436.0,436.0,1176692.0,5160.39
2014-07-14,437.0,437.5,428.8,432.15,432.65,641001.0,2773.02
2014-07-15,433.15,434.7,427.65,432.7,431.85,834688.0,3594.8
2014-07-16,432.65,436.2,429.55,432.3,432.15,823933.0,3557.43
2014-07-17,430.0,441.4,430.0,437.0,437.05,899509.0,3939.68
2014-07-18,440.3,444.15,439.0,440.6,441.35,1460037.0,6449.96
2014-07-21,444.65,444.65,436.0,437.15,438.3,564182.0,2479.82
2014-07-22,438.55,444.0,437.0,440.55,441.25,713693.0,3137.99
2014-07-23,441.75,447.8,438.0,441.3,442.0,794876.0,3521.54
2014-07-24,441.0,444.35,437.3,438.75,439.55,674032.0,2961.68
2014-07-25,441.45,446.5,438.9,445.3,445.65,930167.0,4126.07
2014-07-28,446.95,446.95,437.35,440.95,440.95,425731.0,1879.61
2014-07-30,440.5,451.4,439.1,446.65,448.2,1339082.0,5943.61
2014-07-31,447.0,463.35,447.0,457.7,456.5,2893807.0,13236.78
2014-08-01,455.0,460.5,440.15,442.75,442.5,919050.0,4145.96
2014-08-04,444.0,447.5,437.2,440.75,440.8,1540481.0,6786.72
2014-08-05,442.55,443.2,435.0,439.7,440.5,785917.0,3461.15
2014-08-06,438.9,441.0,433.25,435.9,435.6,1184099.0,5171.47
2014-08-07,435.0,439.65,432.05,434.7,434.95,799428.0,3481.92
2014-08-08,431.0,437.65,430.0,437.0,436.7,613238.0,2662.22
2014-08-11,441.4,443.25,436.7,437.2,437.5,961184.0,4231.95
2014-08-12,439.85,445.55,437.05,444.6,444.85,1011391.0,4478.26
2014-08-13,446.0,450.8,437.1,437.1,440.35,1542958.0,6867.8
2014-08-14,439.7,452.25,432.75,450.6,448.6,2478440.0,10975.25
2014-08-18,447.8,472.6,442.25,471.25,471.05,3374069.0,15497.92
2014-08-19,472.5,476.6,465.5,476.0,474.55,1982745.0,9347.47
2014-08-20,474.05,496.8,472.0,490.05,492.35,2686295.0,13094.22
2014-08-21,492.35,499.75,486.15,492.1,492.85,1635039.0,8070.2
2014-08-22,496.4,502.0,491.3,498.5,499.3,2077957.0,10326.69
2014-08-25,498.0,509.4,495.0,508.0,507.4,1211454.0,6108.17
2014-08-26,506.3,517.4,505.3,512.0,512.4,1497790.0,7680.43
2014-08-27,513.7,517.4,508.7,514.0,513.35,1397996.0,7161.74
2014-08-28,513.3,516.0,506.5,516.0,514.2,2615834.0,13412.16
2014-09-01,516.3,531.1,514.7,529.3,529.15,1876424.0,9867.85
2014-09-02,534.0,575.0,533.5,557.6,557.05,5384451.0,30226.17
2014-09-03,559.9,562.5,550.0,550.2,553.2,2999971.0,16677.47
2014-09-04,554.0,569.0,549.1,550.45,552.3,3561169.0,19827.25
2014-09-05,553.2,559.9,545.65,556.25,557.5,2710206.0,15005.61
2014-09-08,562.0,565.65,558.75,562.8,563.45,2158860.0,12134.75
2014-09-09,567.1,578.1,567.0,577.7,574.9,1883699.0,10788.12
2014-09-10,578.0,582.4,574.8,577.45,577.35,1450646.0,8391.52
