Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1368.9,1369.0,1346.1,1348.0,1353.35,119758.0,1626.09
2014-01-01,1363.0,1368.95,1346.2,1358.0,1360.9,61720.0,840.43
2014-01-02,1360.0,1385.0,1330.0,1340.0,1339.2,116795.0,1589.3
2014-01-03,1344.0,1361.0,1332.2,1355.0,1353.95,62515.0,842.39
2014-01-06,1363.3,1372.0,1342.75,1350.0,1351.5,167497.0,2269.58
2014-01-07,1360.1,1372.0,1334.9,1338.0,1341.0,59254.0,799.06
2014-01-08,1342.0,1357.95,1330.0,1339.0,1336.4,103631.0,1396.12
2014-01-09,1333.95,1341.3,1311.45,1320.0,1319.95,121664.0,1608.39
2014-01-10,1315.1,1330.0,1310.0,1326.4,1322.45,47883.0,632.72
2014-01-13,1320.1,1335.0,1312.8,1325.9,1322.05,28801.0,381.26
2014-01-14,1323.0,1332.05,1313.0,1313.0,1317.25,20793.0,274.89
2014-01-15,1318.7,1321.7,1297.1,1314.1,1312.1,135729.0,1773.99
2014-01-16,1313.55,1319.8,1295.0,1315.0,1311.35,35370.0,461.88
2014-01-17,1300.0,1332.0,1300.0,1324.5,1320.1,78820.0,1042.07
2014-01-20,1310.5,1331.55,1310.5,1327.0,1324.0,37856.0,501.01
2014-01-21,1325.75,1344.95,1304.45,1305.0,1310.3,107539.0,1425.61
2014-01-22,1320.0,1325.8,1288.3,1320.05,1320.25,98004.0,1285.44
2014-01-23,1311.1,1329.7,1311.1,1323.1,1321.15,86501.0,1143.28
2014-01-24,1320.0,1330.0,1296.35,1323.0,1320.25,88590.0,1166.28
2014-01-27,1300.1,1315.55,1290.0,1307.0,1308.5,103161.0,1345.12
2014-01-28,1296.15,1309.8,1296.15,1308.5,1307.85,46404.0,605.68
2014-01-29,1300.4,1315.9,1300.4,1315.0,1313.65,49670.0,650.39
2014-01-30,1292.0,1315.0,1278.0,1296.85,1294.3,136156.0,1763.42
2014-01-31,1296.0,1305.1,1280.0,1305.1,1299.8,89727.0,1155.91
2014-02-03,1262.0,1339.0,1262.0,1310.15,1311.95,85810.0,1133.2
2014-02-04,1305.0,1329.9,1291.2,1325.85,1319.65,59443.0,777.13
2014-02-05,1314.4,1325.0,1309.15,1320.0,1321.15,20662.0,272.27
2014-02-06,1316.1,1328.25,1308.0,1326.35,1323.15,60260.0,794.72
2014-02-07,1324.9,1337.4,1291.3,1300.15,1305.15,169617.0,2218.16
2014-02-10,1300.0,1312.15,1294.3,1310.0,1310.1,48822.0,637.87
2014-02-11,1302.5,1319.8,1302.0,1319.7,1318.15,27569.0,362.93
2014-02-12,1329.95,1329.95,1308.1,1324.4,1325.25,64276.0,848.9
2014-02-13,1316.65,1330.25,1305.1,1309.8,1313.1,50384.0,666.62
2014-02-14,1311.65,1332.0,1301.3,1330.0,1325.75,25199.0,332.09
2014-02-17,1320.0,1327.55,1316.0,1320.05,1324.35,42031.0,556.7
2014-02-18,1316.0,1328.85,1308.5,1310.0,1311.1,20258.0,266.69
2014-02-19,1312.55,1323.0,1304.0,1323.0,1320.5,39173.0,515.14
2014-02-20,1307.6,1322.0,1307.0,1312.0,1309.65,39025.0,512.83
2014-02-21,1311.1,1319.8,1305.5,1309.6,1309.05,36476.0,477.83
2014-02-24,1319.0,1319.0,1306.0,1308.0,1310.65,44497.0,583.67
2014-02-25,1312.1,1325.85,1310.2,1312.15,1314.85,66662.0,878.33
2014-02-26,1317.0,1325.95,1307.45,1313.0,1312.65,76829.0,1010.08
2014-02-28,1325.0,1325.0,1311.0,1314.0,1313.55,18863.0,248.08
2014-03-03,1311.1,1322.85,1310.2,1318.0,1318.25,20794.0,273.92
2014-03-04,1313.0,1322.25,1310.55,1313.95,1314.15,38916.0,512.21
2014-03-05,1316.0,1327.35,1310.1,1313.0,1315.95,56463.0,743.8
2014-03-06,1315.95,1326.8,1315.0,1325.0,1324.25,20531.0,271.29
2014-03-07,1330.0,1365.2,1326.65,1337.0,1336.6,157308.0,2115.02
2014-03-10,1335.0,1335.9,1305.0,1320.3,1318.35,41290.0,544.4
2014-03-11,1319.8,1334.35,1315.0,1327.0,1327.1,43770.0,579.03
2014-03-12,1325.0,1330.0,1315.0,1320.05,1319.3,46616.0,615.56
2014-03-13,1320.75,1330.8,1308.05,1314.9,1313.75,45813.0,606.27
2014-03-14,1308.0,1317.8,1304.35,1309.5,1308.8,36813.0,481.64
2014-03-18,1309.0,1325.0,1308.0,1319.9,1319.65,31414.0,414.35
2014-03-19,1319.0,1328.8,1318.0,1325.9,1325.55,48282.0,638.97
2014-03-20,1328.0,1359.0,1326.0,1356.05,1353.95,93713.0,1260.45
2014-03-21,1360.0,1377.0,1322.0,1332.0,1334.6,172515.0,2333.99
2014-03-22,1334.6,1351.5,1329.45,1351.45,1347.55,12858.0,172.35
2014-03-24,1351.0,1357.05,1344.0,1350.5,1350.05,32202.0,434.28
2014-03-25,1350.0,1364.9,1338.5,1343.0,1343.2,58548.0,791.36
2014-03-26,1343.0,1365.0,1342.0,1365.0,1362.65,71253.0,966.38
2014-03-27,1370.0,1391.2,1350.45,1362.0,1358.75,148221.0,2024.56
2014-03-28,1362.0,1374.0,1351.25,1361.85,1364.9,40052.0,545.97
2014-03-31,1372.25,1386.0,1366.0,1374.45,1372.5,62473.0,857.96
2014-04-01,1374.95,1374.95,1338.15,1351.05,1351.6,56401.0,763.45
2014-04-02,1353.25,1369.15,1340.45,1340.65,1342.7,79769.0,1074.87
2014-04-03,1342.0,1399.9,1342.0,1398.3,1395.2,183045.0,2524.52
2014-04-04,1400.0,1409.0,1375.5,1390.0,1390.65,69309.0,962.7
2014-04-07,1391.3,1402.65,1367.15,1383.45,1387.75,58034.0,803.13
2014-04-09,1381.5,1408.9,1374.1,1393.0,1398.0,79059.0,1104.97
2014-04-10,1399.95,1414.9,1384.9,1411.0,1410.75,123134.0,1725.41
2014-04-11,1401.8,1430.0,1401.8,1420.0,1420.25,101779.0,1448.35
2014-04-15,1416.15,1426.0,1389.1,1396.2,1397.3,62626.0,879.34
2014-04-16,1414.0,1414.0,1376.0,1390.0,1384.9,47252.0,660.92
2014-04-17,1381.65,1412.5,1381.65,1407.0,1408.8,52044.0,730.64
2014-04-21,1396.0,1428.5,1396.0,1426.25,1420.85,60427.0,855.81
2014-04-22,1419.0,1448.0,1415.0,1443.9,1441.1,80242.0,1154.15
2014-04-23,1450.0,1495.0,1433.65,1468.0,1475.85,161709.0,2372.57
2014-04-25,1499.0,1499.0,1465.05,1480.5,1482.35,90114.0,1334.49
2014-04-28,1467.55,1499.0,1464.95,1468.05,1474.4,42181.0,623.18
2014-04-29,1470.0,1479.6,1450.0,1459.5,1460.95,29554.0,431.63
2014-04-30,1453.1,1465.15,1420.0,1440.0,1434.7,54824.0,791.4
2014-05-02,1435.0,1447.7,1432.2,1437.7,1437.7,22660.0,326.42
2014-05-05,1437.7,1448.95,1434.5,1435.0,1435.9,32207.0,464.1
2014-05-06,1440.0,1445.0,1422.95,1424.0,1423.85,20102.0,288.38
2014-05-07,1416.25,1440.0,1406.95,1419.85,1417.3,41109.0,587.41
2014-05-08,1406.85,1427.6,1404.0,1410.0,1409.6,24437.0,345.88
2014-05-09,1400.1,1427.4,1400.1,1419.0,1417.9,74044.0,1052.55
2014-05-12,1405.0,1435.0,1405.0,1417.4,1416.95,70464.0,1000.35
2014-05-13,1410.2,1434.95,1399.0,1405.0,1406.6,56864.0,803.47
2014-05-14,1406.6,1425.95,1400.2,1414.0,1412.8,33670.0,476.53
2014-05-15,1412.8,1419.85,1388.75,1395.0,1397.85,51846.0,725.79
2014-05-16,1405.0,1418.3,1368.0,1396.85,1396.55,53382.0,747.14
2014-05-19,1396.55,1402.2,1332.0,1332.0,1337.6,67042.0,907.7
2014-05-20,1339.05,1370.5,1325.65,1368.05,1362.05,73209.0,986.93
2014-05-21,1363.55,1395.0,1356.05,1365.0,1365.15,94049.0,1292.86
2014-05-22,1370.0,1390.0,1355.0,1355.05,1362.55,71595.0,980.94
2014-05-23,1365.25,1405.0,1325.8,1347.0,1369.3,216482.0,2970.18
2014-05-26,1370.0,1380.0,1326.15,1336.1,1331.65,159840.0,2148.47
2014-05-27,1330.1,1340.0,1325.0,1326.05,1326.9,34932.0,464.48
2014-05-28,1330.0,1365.0,1330.0,1360.0,1361.1,127518.0,1727.55
2014-05-29,1352.1,1371.8,1346.8,1365.0,1364.35,116778.0,1591.24
2014-05-30,1369.9,1398.0,1367.3,1385.0,1386.85,190058.0,2625.57
2014-06-02,1386.85,1399.9,1380.5,1390.0,1390.5,58166.0,809.14
2014-06-03,1392.0,1408.0,1381.8,1405.15,1404.3,66887.0,934.39
2014-06-04,1395.1,1410.0,1383.15,1397.0,1392.35,136358.0,1905.76
2014-06-05,1381.1,1404.0,1381.1,1398.0,1399.5,67794.0,946.39
2014-06-06,1387.1,1420.0,1387.1,1419.9,1412.05,62215.0,876.13
2014-06-09,1418.0,1443.8,1418.0,1423.0,1426.2,85042.0,1216.95
2014-06-10,1430.0,1475.0,1422.0,1455.0,1453.8,139245.0,2010.6
2014-06-11,1460.0,1465.0,1439.3,1452.0,1452.3,61703.0,895.98
2014-06-12,1450.1,1490.0,1445.95,1484.0,1485.0,98733.0,1452.46
2014-06-13,1485.0,1544.0,1475.05,1519.95,1519.6,171362.0,2603.35
2014-06-16,1530.0,1535.0,1490.1,1501.2,1504.45,74566.0,1124.63
2014-06-17,1502.0,1519.0,1499.95,1510.0,1510.1,35319.0,532.98
2014-06-18,1510.0,1535.0,1505.0,1528.0,1523.6,74355.0,1133.77
2014-06-19,1505.1,1585.9,1505.1,1585.9,1576.05,141443.0,2202.53
2014-06-20,1590.0,1594.95,1550.1,1555.0,1554.8,117794.0,1842.53
2014-06-23,1569.9,1569.9,1505.65,1523.0,1519.55,92451.0,1407.64
2014-06-24,1519.0,1540.0,1519.0,1522.0,1523.8,35580.0,543.8
2014-06-25,1523.4,1546.95,1523.4,1529.0,1533.9,31387.0,482.09
2014-06-26,1539.0,1548.25,1521.0,1540.0,1534.25,93153.0,1427.75
2014-06-27,1535.2,1545.85,1511.35,1515.0,1515.3,33434.0,508.74
2014-06-30,1522.0,1533.6,1505.0,1507.1,1508.55,22974.0,348.81
2014-07-01,1510.1,1536.95,1505.0,1534.9,1530.45,33314.0,505.77
2014-07-02,1535.0,1629.8,1529.5,1617.25,1615.25,284443.0,4537.14
2014-07-03,1611.0,1629.0,1585.0,1608.0,1607.7,79348.0,1272.04
2014-07-04,1607.0,1672.0,1606.75,1663.0,1665.9,163870.0,2709.45
2014-07-07,1669.9,1675.7,1633.6,1664.85,1663.8,79843.0,1322.83
2014-07-08,1669.5,1690.0,1581.0,1585.0,1601.65,89225.0,1459.85
2014-07-09,1595.0,1620.0,1555.0,1563.0,1565.75,65909.0,1049.31
2014-07-10,1566.5,1578.95,1514.05,1529.0,1535.45,107446.0,1659.33
2014-07-11,1535.0,1586.75,1529.0,1537.2,1537.55,84121.0,1306.03
2014-07-14,1554.0,1589.5,1524.7,1583.0,1581.55,95796.0,1506.13
2014-07-15,1590.9,1624.5,1580.0,1622.0,1616.95,79224.0,1267.37
2014-07-16,1618.0,1625.0,1588.3,1610.0,1606.3,143807.0,2302.3
2014-07-17,1615.0,1673.0,1605.65,1665.0,1665.9,102157.0,1680.93
2014-07-18,1669.0,1678.45,1640.0,1660.0,1663.75,67785.0,1129.47
2014-07-21,1665.0,1665.0,1645.0,1646.0,1649.55,50664.0,836.35
2014-07-22,1650.0,1668.0,1630.0,1643.95,1640.95,138294.0,2273.8
2014-07-23,1659.3,1699.0,1649.6,1677.1,1676.25,104996.0,1759.74
2014-07-24,1677.1,1689.8,1657.05,1663.0,1663.75,24894.0,416.18
2014-07-25,1663.0,1700.0,1615.0,1626.05,1637.15,220536.0,3661.17
2014-07-28,1600.6,1622.0,1582.0,1589.8,1590.35,95439.0,1521.83
2014-07-30,1590.1,1610.0,1565.0,1584.5,1582.65,56357.0,891.85
2014-07-31,1583.0,1590.1,1555.5,1570.05,1566.2,58456.0,917.93
2014-08-01,1566.2,1588.45,1540.2,1549.15,1548.75,60957.0,950.85
2014-08-04,1548.1,1569.95,1540.85,1552.85,1553.1,82283.0,1276.87
2014-08-05,1558.9,1568.45,1538.0,1540.0,1541.85,75162.0,1162.0
2014-08-06,1528.35,1551.0,1521.45,1527.9,1525.45,144030.0,2206.16
2014-08-07,1510.55,1542.85,1510.55,1525.0,1525.95,108490.0,1659.05
2014-08-08,1516.75,1528.0,1485.2,1487.0,1489.9,128559.0,1938.86
2014-08-11,1493.0,1507.95,1475.0,1483.0,1478.95,82203.0,1222.06
2014-08-12,1494.5,1500.0,1467.7,1477.0,1473.7,139565.0,2063.86
2014-08-13,1478.05,1480.65,1460.6,1465.3,1465.15,156686.0,2301.15
2014-08-14,1466.05,1480.0,1446.2,1450.0,1448.95,374958.0,5463.36
2014-08-18,1448.95,1464.2,1441.0,1447.8,1450.35,301475.0,4387.24
2014-08-19,1459.95,1504.75,1452.0,1486.0,1486.35,534633.0,7950.77
2014-08-20,1485.0,1504.0,1468.8,1475.0,1475.65,418316.0,6219.37
2014-08-21,1470.95,1513.0,1470.95,1493.0,1495.55,210597.0,3156.55
2014-08-22,1518.0,1520.0,1496.0,1501.2,1503.5,269466.0,4070.17
2014-08-25,1511.5,1523.0,1491.25,1508.7,1502.25,157538.0,2379.56
