Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,697.55,747.0,697.55,729.0,729.95,27101.0,195.17
2014-01-01,737.95,739.0,716.25,725.0,724.0,5798.0,41.99
2014-01-02,720.05,731.65,718.1,728.0,727.65,30682.0,223.27
2014-01-03,733.95,751.0,712.45,745.5,739.1,4171.0,30.58
2014-01-06,723.3,754.95,723.3,740.0,739.4,11430.0,84.5
2014-01-07,732.1,744.95,732.1,735.05,738.05,12450.0,92.11
2014-01-08,739.95,771.0,731.25,755.0,755.1,115581.0,872.3
2014-01-09,755.3,769.9,745.0,752.0,752.2,35025.0,264.16
2014-01-10,754.95,768.0,733.05,745.0,744.3,34942.0,262.81
2014-01-13,752.9,759.0,721.6,741.6,745.9,11816.0,87.78
2014-01-14,749.8,753.0,736.0,739.95,737.95,2329.0,17.29
2014-01-15,735.05,750.0,726.2,734.05,731.65,8692.0,63.74
2014-01-16,748.0,748.0,730.05,733.0,736.2,5217.0,38.45
2014-01-17,730.15,738.0,711.0,723.0,717.65,4821.0,35.03
2014-01-20,715.05,733.95,710.5,727.95,725.65,4397.0,31.74
2014-01-21,728.0,734.95,720.95,731.95,730.2,19511.0,142.75
2014-01-22,731.2,733.0,721.15,724.0,722.85,2628.0,19.14
2014-01-23,723.5,736.0,721.45,734.0,732.0,10109.0,73.87
2014-01-24,728.45,734.0,725.0,730.0,731.35,3692.0,26.97
2014-01-27,722.55,734.0,716.55,734.0,732.05,9132.0,66.25
2014-01-28,732.05,735.0,726.5,734.0,731.4,1582.0,11.57
2014-01-29,720.0,735.0,720.0,734.0,733.3,36668.0,267.88
2014-01-30,724.6,734.0,723.0,730.0,729.0,4517.0,32.98
2014-01-31,740.0,740.0,725.6,731.0,734.75,4114.0,30.18
2014-02-03,749.9,749.9,725.0,728.0,726.6,2424.0,17.76
2014-02-04,726.6,729.95,715.2,729.95,727.8,11703.0,85.08
2014-02-05,733.0,740.0,724.05,725.05,725.6,5098.0,37.3
2014-02-06,726.05,734.0,720.0,724.0,725.25,2179.0,15.81
2014-02-07,747.0,747.0,723.2,726.8,727.4,1315.0,9.58
2014-02-10,730.0,735.0,725.45,728.0,728.0,1029.0,7.51
2014-02-11,740.0,740.0,715.7,723.0,723.2,1426.0,10.35
2014-02-12,733.9,737.0,715.25,717.0,717.65,8172.0,59.39
2014-02-13,717.15,728.0,706.3,708.25,709.1,2108.0,15.09
2014-02-14,710.75,731.0,710.0,715.0,716.6,2237.0,16.08
2014-02-17,705.55,724.0,705.55,719.25,718.7,2106.0,15.08
2014-02-18,720.0,734.0,716.05,721.75,719.7,1667.0,12.04
2014-02-19,712.5,729.9,712.5,725.0,724.8,1162.0,8.41
2014-02-20,730.0,730.0,718.0,721.5,720.0,14909.0,107.63
2014-02-21,727.2,751.0,721.1,749.0,746.85,19785.0,145.45
2014-02-24,745.8,764.0,737.25,755.0,755.05,38374.0,288.2
2014-02-25,755.0,765.0,750.0,755.0,755.3,38802.0,293.16
2014-02-26,754.05,766.9,752.0,761.0,760.85,27217.0,206.16
2014-02-28,755.05,770.0,755.05,765.0,763.9,12684.0,96.96
2014-03-03,770.0,789.0,764.0,778.0,780.2,13685.0,106.6
2014-03-04,788.95,802.0,775.05,792.95,794.0,95161.0,756.42
2014-03-05,802.0,823.0,791.95,801.0,803.1,41691.0,336.57
2014-03-06,799.05,851.0,799.05,851.0,846.4,41669.0,348.45
2014-03-07,850.05,858.5,835.2,850.5,849.5,34734.0,293.77
2014-03-10,834.0,855.9,834.0,854.95,850.1,61227.0,520.37
2014-03-11,846.0,863.9,845.0,845.85,848.6,21896.0,186.25
2014-03-12,836.0,869.95,827.0,828.0,832.3,242066.0,2056.62
2014-03-13,832.3,854.95,816.65,821.1,821.95,17527.0,147.54
2014-03-14,830.0,844.4,803.45,816.0,815.25,109084.0,900.4
2014-03-18,830.0,837.95,811.25,823.3,827.9,175705.0,1446.75
2014-03-19,820.0,845.0,815.0,818.0,819.7,18962.0,157.18
2014-03-20,827.0,838.0,824.85,832.0,832.05,20059.0,166.93
2014-03-21,833.0,865.0,828.0,840.0,833.75,52977.0,444.02
2014-03-22,848.0,849.0,837.0,842.3,841.15,612.0,5.15
2014-03-24,849.0,900.0,837.0,885.0,876.75,33403.0,289.18
2014-03-25,878.95,935.0,877.75,933.0,918.95,41187.0,373.0
2014-03-26,920.05,987.0,920.0,950.0,953.4,141549.0,1346.78
2014-03-27,955.05,970.0,934.0,940.05,945.15,33339.0,315.08
2014-03-28,950.0,980.0,936.25,975.0,970.1,26200.0,253.68
2014-03-31,975.25,989.0,960.25,970.0,970.45,101446.0,985.73
2014-04-01,988.3,988.3,933.05,941.0,944.0,72943.0,700.65
2014-04-02,957.0,964.85,908.0,950.0,944.75,94503.0,884.67
2014-04-03,945.0,954.65,928.1,930.2,931.65,26119.0,243.68
2014-04-04,915.0,929.95,863.6,907.0,909.8,1352880.0,12185.88
2014-04-07,912.05,943.7,880.25,906.0,903.05,143304.0,1288.5
2014-04-09,903.05,920.0,895.0,919.85,916.1,130023.0,1187.22
2014-04-10,916.1,945.0,911.1,929.95,934.95,143194.0,1328.17
2014-04-11,934.95,942.0,921.25,927.0,927.1,114867.0,1066.68
2014-04-15,939.0,940.0,881.0,919.0,911.5,113178.0,1019.43
2014-04-16,906.5,925.5,901.0,925.5,911.55,137140.0,1244.36
2014-04-17,911.6,934.95,910.0,934.95,926.9,112400.0,1029.95
2014-04-21,931.05,945.0,911.6,932.0,932.6,195925.0,1825.43
2014-04-22,933.95,966.95,926.0,939.95,939.45,160682.0,1509.1
2014-04-23,943.0,968.3,935.25,964.9,960.05,242013.0,2315.39
2014-04-25,963.0,1044.4,945.05,1022.0,1025.5,156428.0,1557.36
2014-04-28,1036.65,1057.0,985.0,991.0,991.65,93952.0,953.22
2014-04-29,993.0,1029.0,989.1,996.0,993.3,87583.0,880.92
2014-04-30,1007.1,1008.8,932.7,962.9,961.75,94598.0,914.87
2014-05-02,960.0,980.0,942.1,961.65,961.65,45209.0,433.9
2014-05-05,953.05,1005.0,945.1,975.0,971.85,83325.0,812.67
2014-05-06,976.95,997.9,966.35,974.0,974.75,74738.0,732.22
2014-05-07,976.0,990.0,963.3,980.95,977.75,31675.0,309.42
2014-05-08,994.45,999.0,973.05,990.15,994.65,26385.0,260.28
2014-05-09,998.95,1040.0,990.0,1020.0,1021.4,137264.0,1399.6
2014-05-12,1005.0,1072.0,1005.0,1036.0,1033.65,69594.0,726.78
2014-05-13,1031.1,1083.9,1031.1,1055.1,1053.1,100931.0,1075.34
2014-05-14,1050.0,1087.0,1033.0,1066.0,1067.3,109760.0,1165.23
2014-05-15,1064.3,1086.7,1046.0,1060.0,1061.65,53149.0,570.37
2014-05-16,1071.0,1140.0,1001.1,1050.3,1078.5,264636.0,2875.33
2014-05-19,1070.0,1188.0,1070.0,1162.6,1174.95,1061513.0,11824.6
2014-05-20,1194.5,1245.0,1160.05,1166.0,1169.8,161980.0,1950.7
2014-05-21,1173.5,1210.0,1155.0,1158.0,1160.4,116580.0,1381.43
2014-05-22,1165.45,1236.95,1155.7,1195.0,1194.3,212260.0,2556.82
2014-05-23,1209.95,1218.2,1182.0,1187.0,1198.85,96595.0,1157.86
2014-05-26,1207.0,1213.2,1155.0,1170.0,1170.6,334183.0,4001.1
2014-05-27,1171.05,1176.9,1131.0,1150.0,1157.75,102347.0,1192.03
2014-05-28,1160.0,1200.0,1125.0,1130.0,1132.95,35532.0,409.46
2014-05-29,1125.05,1163.9,1119.4,1133.1,1134.35,46151.0,523.47
2014-05-30,1127.3,1175.0,1102.0,1125.0,1117.55,45427.0,518.9
2014-06-02,1112.85,1184.0,1112.85,1158.0,1153.9,98991.0,1150.11
2014-06-03,1156.0,1194.0,1156.0,1165.5,1169.15,208337.0,2436.81
2014-06-04,1170.15,1182.0,1145.0,1152.0,1155.05,21562.0,252.09
2014-06-05,1155.0,1200.0,1155.0,1180.0,1189.75,104554.0,1236.87
2014-06-06,1203.95,1203.95,1170.05,1180.0,1184.85,66993.0,793.04
2014-06-09,1199.0,1205.05,1186.05,1190.05,1191.2,204125.0,2437.92
2014-06-10,1195.0,1198.0,1141.1,1165.2,1163.6,202847.0,2381.64
2014-06-11,1180.0,1220.0,1160.0,1174.0,1174.5,276797.0,3304.66
2014-06-12,1184.65,1208.0,1160.0,1171.0,1170.15,230859.0,2766.22
2014-06-13,1175.25,1194.0,1131.0,1164.7,1157.45,888933.0,10477.88
2014-06-16,1170.0,1170.0,1142.5,1156.0,1156.15,95076.0,1098.37
2014-06-17,1157.0,1176.0,1152.1,1164.0,1165.75,68225.0,795.26
2014-06-18,1160.05,1194.0,1160.05,1175.65,1180.55,79918.0,944.94
2014-06-19,1194.95,1194.95,1162.6,1181.0,1170.0,114698.0,1354.52
2014-06-20,1188.0,1189.4,1152.0,1169.0,1157.55,41629.0,485.02
2014-06-23,1179.0,1187.7,1165.2,1174.05,1176.0,28398.0,334.3
2014-06-24,1185.0,1199.0,1165.0,1169.95,1169.35,53881.0,632.72
