Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,478.05,486.5,476.75,477.0,479.15,257754.0,1239.41
2014-01-01,477.5,479.7,471.1,472.0,472.8,46770.0,221.97
2014-01-02,473.0,476.5,458.0,461.0,459.15,125830.0,586.49
2014-01-03,456.0,468.0,455.0,460.95,460.7,131778.0,607.99
2014-01-06,462.1,482.0,462.1,470.0,471.2,379621.0,1798.82
2014-01-07,471.5,480.0,471.5,475.0,474.9,329360.0,1568.24
2014-01-08,477.0,478.55,470.0,472.0,471.6,59246.0,279.76
2014-01-09,469.1,477.0,468.0,471.0,470.35,119024.0,560.71
2014-01-10,472.05,475.7,457.25,459.55,459.95,159451.0,741.0
2014-01-13,468.75,468.75,446.0,452.4,452.8,71363.0,323.8
2014-01-14,451.1,472.5,451.1,470.2,470.0,109932.0,510.07
2014-01-15,473.0,475.0,462.25,464.1,464.85,102215.0,475.94
2014-01-16,465.45,472.0,460.6,465.0,465.95,222292.0,1042.33
2014-01-17,461.15,466.45,452.7,455.5,454.85,53976.0,246.78
2014-01-20,451.2,459.0,451.2,453.0,454.3,51651.0,235.3
2014-01-21,454.9,464.5,451.3,459.8,460.35,238506.0,1104.68
2014-01-22,460.35,466.9,456.0,457.0,458.9,39143.0,180.92
2014-01-23,459.0,463.85,455.15,456.0,456.15,45380.0,208.84
2014-01-24,456.0,458.0,445.0,448.5,448.3,44603.0,200.99
2014-01-27,452.0,452.8,430.5,430.6,434.5,139608.0,615.32
2014-01-28,434.0,445.5,430.0,436.5,436.0,167543.0,731.14
2014-01-29,438.0,441.5,425.25,430.0,428.05,50061.0,216.99
2014-01-30,428.05,440.0,422.45,434.9,431.5,113945.0,493.61
2014-01-31,436.9,443.9,429.0,439.9,436.25,148611.0,644.12
2014-02-03,442.0,449.0,433.3,440.65,440.15,294665.0,1306.18
2014-02-04,435.05,445.0,434.15,440.0,437.25,183517.0,804.85
2014-02-05,442.4,451.7,435.55,442.5,444.85,440842.0,1970.64
2014-02-06,442.2,446.0,432.65,435.5,435.0,471111.0,2054.87
2014-02-07,438.6,448.95,432.15,447.0,446.55,116743.0,514.32
2014-02-10,449.0,449.75,438.0,446.0,447.25,127558.0,567.65
2014-02-11,449.35,450.9,441.1,445.1,445.95,93705.0,417.32
2014-02-12,444.6,456.5,444.6,445.3,446.5,291825.0,1317.21
2014-02-13,442.1,446.75,434.5,436.5,436.8,128466.0,562.25
2014-02-14,437.0,443.9,437.0,439.8,439.85,175439.0,771.87
2014-02-17,438.15,442.25,430.25,433.15,433.45,86922.0,378.65
2014-02-18,437.0,464.0,430.9,461.0,460.85,449734.0,2000.16
2014-02-19,457.1,476.5,457.1,472.05,474.15,294887.0,1386.73
2014-02-20,470.0,471.85,461.05,464.9,464.3,160671.0,750.28
2014-02-21,464.9,471.0,461.6,465.45,465.4,426879.0,1981.43
2014-02-24,469.5,471.0,465.1,471.0,469.45,162636.0,762.85
2014-02-25,471.15,480.0,471.1,478.0,479.05,296061.0,1411.86
2014-02-26,480.95,497.3,476.55,495.0,494.4,203168.0,997.38
2014-02-28,499.3,508.95,487.5,503.4,505.5,243714.0,1222.12
2014-03-03,502.1,506.85,481.55,488.95,490.05,226180.0,1115.57
2014-03-04,490.1,500.9,490.1,492.9,493.7,275215.0,1366.41
2014-03-05,497.9,503.0,491.65,497.0,494.05,45307.0,225.33
2014-03-06,499.85,516.7,495.35,507.9,507.15,379757.0,1924.24
2014-03-07,507.1,520.95,507.1,512.0,514.1,258858.0,1333.83
2014-03-10,512.0,525.0,509.95,517.55,517.15,310638.0,1609.39
2014-03-11,517.8,524.5,513.05,518.55,518.35,467220.0,2416.93
2014-03-12,519.95,522.0,513.05,515.0,515.1,171886.0,885.91
2014-03-13,515.1,539.4,511.1,528.05,528.1,451220.0,2385.8
2014-03-14,527.25,553.4,524.1,549.0,546.3,475080.0,2544.06
2014-03-18,545.5,595.0,545.5,565.0,564.7,705444.0,4037.67
2014-03-19,566.8,587.0,566.8,580.0,582.3,656661.0,3828.01
2014-03-20,582.4,582.4,557.15,557.15,561.0,182449.0,1034.07
2014-03-21,566.75,568.75,542.25,545.0,548.45,187320.0,1033.92
2014-03-22,547.0,564.8,545.0,561.0,558.9,23087.0,128.99
2014-03-24,562.95,563.0,546.5,558.7,559.3,114201.0,631.64
2014-03-25,562.0,564.6,550.9,553.0,553.2,115751.0,645.01
