Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,172.2,172.9,169.8,170.5,170.35,554069.0,946.8
2014-01-01,170.65,172.65,170.25,172.15,172.0,503043.0,865.03
2014-01-02,172.95,174.2,165.55,166.9,166.9,671473.0,1148.22
2014-01-03,167.15,167.8,164.0,167.55,167.05,739116.0,1224.94
2014-01-06,168.0,170.45,166.35,170.45,169.7,416722.0,703.55
2014-01-07,171.0,173.8,170.0,172.45,172.6,1285644.0,2215.44
2014-01-08,173.5,174.9,171.7,174.05,174.0,847108.0,1467.96
2014-01-09,174.9,174.9,171.0,173.0,173.05,642334.0,1109.37
2014-01-10,174.0,175.0,172.0,174.1,173.95,828019.0,1440.3
2014-01-13,174.55,175.0,169.25,170.45,169.95,790626.0,1352.15
2014-01-14,170.25,172.45,169.9,171.7,171.8,569718.0,976.79
2014-01-15,171.6,172.1,169.1,171.0,170.6,993608.0,1689.09
2014-01-16,169.5,170.9,166.55,168.0,168.0,1735939.0,2917.61
2014-01-17,168.05,170.25,166.7,167.25,167.2,1309620.0,2207.27
2014-01-20,166.6,170.0,166.5,169.9,169.75,1605943.0,2701.13
2014-01-21,169.75,170.95,166.8,167.15,167.7,1835296.0,3080.55
2014-01-22,167.1,167.95,159.5,159.9,160.8,6394763.0,10492.78
2014-01-23,160.95,162.7,159.5,161.65,161.75,7129044.0,11495.73
2014-01-24,162.25,164.8,161.35,164.1,163.95,3099421.0,5065.22
2014-01-27,162.7,163.9,162.1,163.3,163.0,2227640.0,3629.95
2014-01-28,163.35,169.6,163.35,168.0,168.3,3259379.0,5470.75
2014-01-29,169.2,171.4,167.15,171.0,171.0,1651918.0,2797.14
2014-01-30,169.8,171.0,167.0,170.35,170.0,1035514.0,1755.42
2014-01-31,170.0,172.5,167.95,172.0,172.0,1050474.0,1796.46
2014-02-03,172.0,172.9,167.9,168.95,168.4,981623.0,1674.64
2014-02-04,168.0,170.45,166.0,170.05,170.05,798266.0,1348.91
2014-02-05,169.9,173.5,168.0,172.5,173.1,1311098.0,2243.36
2014-02-06,173.65,174.0,170.0,172.5,173.25,1318288.0,2271.0
2014-02-07,173.0,175.35,171.5,175.05,174.8,1063263.0,1848.85
2014-02-10,174.5,175.0,171.65,174.65,174.65,841466.0,1462.03
2014-02-11,176.0,177.3,174.1,176.25,176.3,1072156.0,1886.31
2014-02-12,177.0,178.15,175.0,177.95,177.75,2161753.0,3824.63
2014-02-13,177.5,177.5,171.4,171.5,172.0,743756.0,1296.71
2014-02-14,172.45,174.15,170.65,173.35,173.65,574507.0,990.3
2014-02-17,173.65,175.3,171.6,172.15,172.65,437810.0,756.91
2014-02-18,174.2,174.2,170.45,170.5,170.8,607311.0,1042.38
2014-02-19,172.8,172.8,169.55,170.5,170.55,613992.0,1046.92
2014-02-20,169.05,171.8,168.7,170.15,170.15,641104.0,1094.25
2014-02-21,172.0,173.85,170.2,173.3,173.2,800116.0,1380.94
2014-02-24,173.0,173.7,171.5,172.35,172.65,586313.0,1011.88
2014-02-25,172.25,173.5,171.1,172.4,172.05,437027.0,751.82
2014-02-26,171.2,173.5,171.2,172.75,172.1,1330846.0,2291.47
2014-02-28,172.1,175.4,172.1,173.1,173.45,774081.0,1344.44
2014-03-03,172.55,173.15,170.5,172.05,172.3,525786.0,904.08
2014-03-04,172.25,174.75,170.35,174.0,174.05,1043201.0,1805.51
2014-03-05,174.1,177.05,171.2,171.6,171.7,1298495.0,2236.13
2014-03-06,172.8,173.3,170.8,173.1,172.85,1274906.0,2197.9
2014-03-07,174.0,174.0,171.2,171.4,171.55,477872.0,822.64
2014-03-10,171.2,173.15,171.0,173.0,172.9,1259513.0,2172.75
2014-03-11,173.0,175.0,171.85,174.6,174.7,752182.0,1306.85
2014-03-12,174.7,177.4,172.2,174.0,173.2,1895804.0,3314.16
2014-03-13,176.0,176.0,171.0,171.85,171.8,838177.0,1453.68
2014-03-14,172.0,174.3,171.05,174.15,173.95,1071159.0,1856.37
2014-03-18,173.1,177.25,173.0,177.1,177.05,1267363.0,2232.92
2014-03-19,177.9,179.8,175.8,177.6,177.9,1458065.0,2593.89
2014-03-20,177.5,179.5,176.8,179.1,179.05,636364.0,1136.56
2014-03-21,179.05,181.8,179.05,180.25,179.95,1337111.0,2412.12
2014-03-22,180.7,180.7,179.3,179.8,179.7,54921.0,98.77
2014-03-24,178.6,181.0,178.05,178.95,179.45,931333.0,1674.49
2014-03-25,180.0,180.5,174.1,176.0,176.0,2196893.0,3866.86
2014-03-26,176.0,179.0,175.8,178.0,177.15,1089569.0,1926.89
2014-03-27,177.25,179.45,176.95,177.1,177.9,1235221.0,2199.19
2014-03-28,178.1,180.95,178.05,179.05,179.1,1309993.0,2349.93
2014-03-31,179.0,181.0,177.85,179.9,179.65,558194.0,1001.08
2014-04-01,181.0,189.35,178.7,188.05,188.35,2052941.0,3789.64
2014-04-02,189.95,189.95,182.05,182.7,182.35,1165376.0,2150.74
2014-04-03,183.0,185.25,182.3,183.65,184.0,634893.0,1166.86
2014-04-04,185.0,185.0,179.65,179.95,179.95,776792.0,1408.86
2014-04-07,180.0,184.2,179.15,183.2,183.5,779222.0,1418.8
2014-04-09,183.1,183.4,180.8,182.5,182.75,563299.0,1026.17
