Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1217.5,1236.75,1216.4,1221.0,1221.35,106555.0,1306.0
2014-01-01,1228.0,1234.35,1221.4,1227.0,1227.05,84468.0,1037.72
2014-01-02,1227.8,1245.0,1220.0,1239.0,1234.2,308793.0,3807.81
2014-01-03,1236.0,1253.0,1226.0,1251.2,1249.55,140462.0,1740.3
2014-01-06,1256.8,1260.0,1237.0,1253.2,1253.9,163613.0,2048.93
2014-01-07,1257.0,1260.5,1226.8,1231.0,1230.3,71636.0,887.06
2014-01-08,1229.45,1249.8,1228.2,1238.05,1237.2,116383.0,1442.11
2014-01-09,1246.0,1246.15,1225.1,1235.0,1234.85,159921.0,1972.6
2014-01-10,1228.1,1259.0,1226.05,1250.0,1250.0,151482.0,1891.06
2014-01-13,1255.0,1266.7,1253.05,1266.0,1261.65,181546.0,2287.41
2014-01-14,1259.3,1300.0,1259.3,1286.0,1285.2,189430.0,2428.14
2014-01-15,1290.0,1299.0,1279.2,1283.15,1292.2,357026.0,4616.29
2014-01-16,1292.0,1304.5,1281.1,1291.0,1289.9,96041.0,1239.33
2014-01-17,1285.05,1291.5,1258.95,1274.0,1269.45,163775.0,2080.8
2014-01-20,1269.3,1299.0,1261.1,1297.0,1296.3,161245.0,2065.62
2014-01-21,1300.0,1317.7,1298.0,1301.0,1303.7,223132.0,2918.36
2014-01-22,1307.95,1331.0,1304.45,1327.15,1325.4,257386.0,3400.4
2014-01-23,1330.0,1335.5,1311.2,1325.0,1325.45,301363.0,4001.1
2014-01-24,1324.05,1342.55,1312.95,1325.3,1326.9,214142.0,2850.3
2014-01-27,1326.95,1326.95,1301.35,1310.0,1308.7,162680.0,2140.26
2014-01-28,1307.8,1318.95,1276.1,1282.0,1290.2,127449.0,1648.06
2014-01-29,1297.0,1308.65,1285.15,1289.05,1292.7,123940.0,1606.63
2014-01-30,1297.0,1297.0,1235.0,1275.05,1268.65,163765.0,2068.1
2014-01-31,1277.0,1321.45,1271.05,1314.0,1315.5,168897.0,2208.1
2014-02-03,1325.85,1345.95,1295.05,1320.0,1313.05,376698.0,4965.15
