Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,167.25,168.15,164.65,166.5,166.7,4600856.0,7661.17
2014-01-01,167.6,170.7,166.65,170.4,170.1,4944090.0,8383.84
2014-01-02,170.35,174.65,165.3,166.2,166.45,9278583.0,15842.44
2014-01-03,165.0,169.75,163.35,169.05,168.9,7211775.0,12069.33
2014-01-06,169.0,169.75,165.1,166.7,166.8,4924864.0,8215.37
2014-01-07,166.2,169.0,162.2,163.65,163.95,6468312.0,10649.3
2014-01-08,163.5,166.3,161.35,161.8,162.05,5991976.0,9806.07
2014-01-09,161.3,163.2,157.65,159.2,158.8,4675079.0,7479.16
2014-01-10,159.3,161.9,155.95,156.45,156.5,4754295.0,7568.28
2014-01-13,157.8,162.0,156.2,161.6,161.05,5366499.0,8526.79
2014-01-14,159.85,161.1,156.3,157.0,157.15,4832212.0,7634.77
2014-01-15,157.8,160.4,157.25,160.3,159.85,3885416.0,6173.16
2014-01-16,160.6,162.9,158.25,162.35,162.1,5003916.0,8048.64
2014-01-17,162.35,164.2,154.35,155.2,155.35,7238988.0,11512.99
2014-01-20,155.0,156.8,152.8,155.9,155.8,5304650.0,8210.17
2014-01-21,156.5,157.9,155.1,157.2,157.25,4123487.0,6462.72
2014-01-22,158.0,159.6,155.85,158.5,158.95,4471196.0,7053.45
2014-01-23,158.65,159.9,156.85,158.7,159.3,3645971.0,5781.48
2014-01-24,158.0,158.0,152.35,153.0,153.05,5405551.0,8343.93
2014-01-27,149.45,150.0,138.3,139.8,139.65,6500869.0,9350.53
2014-01-28,140.0,144.6,138.6,141.6,141.25,8473262.0,11973.01
2014-01-29,143.75,144.35,140.1,141.25,141.1,4462907.0,6341.37
2014-01-30,137.5,139.35,133.75,135.25,134.65,7466170.0,10189.72
2014-01-31,137.0,138.4,135.4,137.6,137.5,5462190.0,7470.63
2014-02-03,136.2,137.8,133.2,134.05,134.15,6524018.0,8831.79
2014-02-04,131.6,135.35,130.25,133.9,134.1,7479935.0,9941.25
2014-02-05,133.0,139.9,132.8,137.8,138.1,7322678.0,9990.25
2014-02-06,137.35,139.4,134.05,135.1,135.3,7434184.0,10110.39
2014-02-07,136.7,139.25,136.7,138.0,137.95,4033070.0,5569.63
2014-02-10,143.3,145.9,141.45,141.9,142.0,7470522.0,10729.55
2014-02-11,140.8,142.65,139.25,140.55,140.45,3590777.0,5047.01
2014-02-12,141.1,143.2,138.7,140.35,140.15,3900737.0,5483.47
2014-02-13,140.1,144.75,140.1,141.95,143.0,8274700.0,11803.51
2014-02-14,143.0,146.0,141.4,144.8,145.0,8633646.0,12381.22
2014-02-17,145.5,147.9,141.8,142.5,142.55,5503531.0,7966.51
2014-02-18,142.7,143.7,140.15,142.0,142.45,5914011.0,8398.89
2014-02-19,142.0,143.7,141.15,143.5,143.15,3553409.0,5069.04
2014-02-20,142.25,146.95,141.65,143.55,143.65,5777776.0,8337.76
2014-02-21,144.4,144.75,140.65,142.3,142.4,4757965.0,6770.44
2014-02-24,142.5,143.9,141.05,143.0,142.8,2762669.0,3946.1
2014-02-25,143.55,144.5,140.75,141.2,141.55,2991045.0,4255.2
2014-02-26,141.65,142.1,138.25,140.35,140.15,4639976.0,6484.33
2014-02-28,141.5,142.0,138.55,141.45,141.15,4441772.0,6233.32
2014-03-03,140.8,141.75,138.3,138.5,139.15,3866220.0,5408.32
2014-03-04,137.3,140.8,136.3,140.7,139.85,5128310.0,7088.41
2014-03-05,142.0,145.75,140.2,144.9,144.75,5667795.0,8088.7
2014-03-06,145.0,153.35,145.0,152.1,152.15,8721037.0,13095.14
2014-03-07,153.4,167.95,153.2,167.9,166.9,14164958.0,23028.6
2014-03-10,165.0,173.85,164.6,171.05,171.6,9418139.0,16057.37
2014-03-11,171.95,186.7,167.65,178.25,178.35,20555512.0,36733.01
2014-03-12,179.65,182.7,176.65,178.7,179.15,12520561.0,22478.95
2014-03-13,180.0,181.65,166.7,167.7,168.35,12573778.0,22067.98
2014-03-14,166.0,175.85,162.45,175.0,174.95,13516204.0,22978.92
2014-03-18,176.5,179.0,170.15,172.85,173.65,10330068.0,18066.62
2014-03-19,174.8,177.95,171.2,173.55,173.95,7884070.0,13770.0
2014-03-20,172.9,173.95,166.2,167.15,167.1,7247779.0,12271.45
2014-03-21,167.8,172.5,167.8,171.4,171.1,8082959.0,13781.55
2014-03-22,171.6,171.9,170.15,170.95,170.75,425830.0,727.02
2014-03-24,171.0,174.85,170.0,171.55,171.6,5789070.0,10009.21
2014-03-25,171.0,178.5,170.9,177.8,177.6,7715272.0,13508.3
2014-03-26,179.2,181.45,173.6,174.8,175.2,8251239.0,14637.52
2014-03-27,175.75,179.5,172.15,175.55,174.9,14345150.0,25273.46
2014-03-28,176.9,177.6,174.15,175.8,175.85,8201155.0,14442.18
2014-03-31,177.0,179.0,174.05,176.0,176.45,12220242.0,21583.71
2014-04-01,177.75,177.75,171.1,174.85,175.0,7495537.0,13101.3
2014-04-02,176.0,178.85,173.3,176.5,176.6,12739524.0,22479.1
2014-04-03,177.5,177.5,169.2,171.5,171.75,9076725.0,15756.95
2014-04-04,170.4,177.0,169.8,175.5,176.05,15723521.0,27572.05
2014-04-07,176.5,178.25,168.05,170.5,171.05,10798384.0,18594.55
2014-04-09,172.75,177.0,172.45,176.7,176.6,9943496.0,17452.16
2014-04-10,178.0,185.0,175.9,176.05,178.6,27802097.0,50203.87
2014-04-11,175.95,180.5,173.55,175.5,176.3,14172904.0,25229.54
2014-04-15,177.0,177.7,164.6,165.0,166.1,10752346.0,18234.72
2014-04-16,166.0,167.75,155.85,158.05,158.05,12114652.0,19569.19
2014-04-17,159.0,161.4,156.05,159.5,159.65,13879067.0,22133.68
2014-04-21,160.5,160.5,156.5,157.5,157.8,8263084.0,13059.25
2014-04-22,158.5,160.9,156.6,156.8,157.05,10438729.0,16585.63
2014-04-23,153.15,156.55,151.35,153.0,152.35,16197519.0,24912.35
2014-04-25,153.2,158.0,152.55,153.65,153.6,11959585.0,18561.56
2014-04-28,152.1,154.9,150.85,153.75,153.9,9132253.0,13994.71
2014-04-29,152.7,156.85,152.7,153.2,153.75,9396244.0,14582.38
2014-04-30,153.0,154.35,139.0,139.45,140.15,24535978.0,35604.41
2014-05-02,141.5,142.9,138.1,139.8,139.8,16101101.0,22579.56
2014-05-05,139.8,141.6,137.6,139.05,139.05,12555583.0,17526.19
2014-05-06,139.05,142.85,139.05,140.45,140.35,8651800.0,12204.93
2014-05-07,140.4,141.65,139.0,140.15,140.25,8856565.0,12425.42
2014-05-08,140.25,141.35,138.2,140.1,139.65,10142516.0,14144.26
2014-05-09,140.0,145.9,139.95,144.9,144.75,10508094.0,15080.1
2014-05-12,144.6,151.3,143.15,145.85,146.2,11354398.0,16744.15
2014-05-13,148.8,156.0,148.5,152.4,152.35,13236382.0,20171.89
2014-05-14,153.8,163.0,150.0,160.65,160.6,16457211.0,25965.94
2014-05-15,162.0,169.0,158.25,158.8,159.95,11637280.0,18973.23
2014-05-16,166.8,179.7,164.05,170.35,169.7,23893422.0,40825.36
2014-05-19,174.0,183.75,172.5,183.0,182.3,21952905.0,39008.56
2014-05-20,183.0,190.7,178.0,183.5,184.4,16677976.0,30689.51
2014-05-21,184.9,195.0,180.6,194.65,192.8,16249397.0,30417.37
2014-05-22,195.0,218.5,194.45,212.2,211.0,40429030.0,84229.42
2014-05-23,213.65,222.35,211.5,217.5,217.15,21664306.0,47044.87
2014-05-26,219.9,224.8,196.2,204.05,204.3,17180731.0,36526.35
2014-05-27,205.0,207.4,195.1,204.6,204.45,12407505.0,25005.25
2014-05-28,206.0,209.0,198.45,206.5,205.65,12381901.0,25308.07
2014-05-29,206.3,209.3,202.05,203.4,203.75,8622894.0,17750.21
2014-05-30,201.0,212.0,195.5,209.8,210.1,20070581.0,41513.66
2014-06-02,211.2,212.8,206.6,209.15,209.35,15178797.0,31812.43
2014-06-03,209.85,221.6,209.0,220.25,219.5,18963755.0,40660.8
2014-06-04,222.5,223.3,216.65,218.7,219.15,13402604.0,29500.86
2014-06-05,220.45,223.0,215.35,220.0,219.7,10761631.0,23660.44
2014-06-06,222.7,234.3,221.0,233.75,233.15,21701918.0,49766.21
2014-06-09,235.75,242.95,234.4,239.9,241.35,14522467.0,34693.09
