Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,2532.25,2550.0,2521.0,2534.95,2534.6,112933.0,2860.64
2014-01-01,2545.0,2545.0,2529.35,2535.05,2537.45,27816.0,705.67
2014-01-02,2525.6,2550.0,2513.35,2521.0,2528.5,102531.0,2597.21
2014-01-03,2520.0,2522.95,2485.0,2496.9,2495.7,106312.0,2655.16
2014-01-06,2514.95,2514.95,2460.2,2473.4,2471.25,132967.0,3292.2
2014-01-07,2472.2,2508.0,2464.6,2480.55,2491.25,223225.0,5563.97
2014-01-08,2495.0,2540.0,2470.8,2526.1,2532.25,223471.0,5634.13
2014-01-09,2541.0,2596.9,2525.25,2589.0,2586.9,419693.0,10795.81
2014-01-10,2600.0,2631.0,2562.25,2625.5,2625.55,519695.0,13522.1
2014-01-13,2630.0,2639.75,2600.0,2634.0,2626.55,253075.0,6619.63
2014-01-14,2622.0,2665.5,2616.55,2647.25,2649.0,263864.0,6958.8
2014-01-15,2650.1,2663.9,2641.0,2651.0,2650.2,268234.0,7111.89
2014-01-16,2652.0,2656.0,2624.0,2645.0,2644.5,317440.0,8380.44
2014-01-17,2643.0,2665.7,2641.6,2655.0,2651.85,438475.0,11624.96
2014-01-20,2630.0,2682.5,2629.25,2652.0,2653.4,295063.0,7838.04
2014-01-21,2650.1,2668.9,2636.1,2656.1,2651.55,192975.0,5117.38
2014-01-22,2653.55,2688.0,2645.25,2685.0,2670.6,197313.0,5258.65
2014-01-23,2675.2,2687.75,2660.5,2665.8,2669.2,171249.0,4579.08
2014-01-24,2663.0,2691.95,2646.5,2661.15,2660.95,351829.0,9362.72
2014-01-27,2626.7,2648.8,2622.0,2639.85,2633.1,341168.0,8990.91
2014-01-28,2635.85,2660.8,2626.35,2641.35,2651.85,181923.0,4824.25
2014-01-29,2652.0,2686.8,2648.6,2653.2,2655.25,243863.0,6489.47
2014-01-30,2640.0,2646.0,2613.7,2619.95,2619.8,481083.0,12632.28
2014-01-31,2618.0,2645.0,2602.9,2607.3,2609.55,135185.0,3542.36
2014-02-03,2605.0,2673.6,2605.0,2639.95,2653.15,146623.0,3887.37
2014-02-04,2652.0,2652.0,2590.2,2592.65,2596.65,195097.0,5085.95
2014-02-05,2607.0,2610.9,2580.0,2602.85,2595.7,145398.0,3774.47
2014-02-06,2598.4,2614.45,2589.0,2600.0,2599.95,218641.0,5684.5
2014-02-07,2612.0,2650.0,2611.75,2627.95,2631.9,268263.0,7074.47
2014-02-10,2645.0,2688.0,2639.0,2682.0,2672.15,149983.0,4004.35
2014-02-11,2699.0,2699.0,2625.6,2660.95,2660.45,502138.0,13374.11
2014-02-12,2685.0,2685.0,2603.2,2619.75,2615.4,408212.0,10741.33
2014-02-13,2630.0,2639.9,2549.3,2562.75,2562.6,350389.0,9054.17
2014-02-14,2579.8,2589.0,2516.55,2585.0,2580.05,502608.0,12831.98
2014-02-17,2584.0,2652.8,2584.0,2647.0,2643.5,302745.0,7969.41
2014-02-18,2653.9,2660.95,2622.1,2651.85,2652.0,283548.0,7482.72
2014-02-19,2655.0,2681.7,2634.0,2680.0,2668.35,294654.0,7834.54
2014-02-20,2653.35,2719.7,2647.4,2718.5,2715.9,324204.0,8751.75
2014-02-21,2734.8,2748.0,2716.0,2728.1,2733.35,339521.0,9280.43
