Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,479.7,479.95,470.35,475.7,474.05,350638.0,1662.21
2014-01-01,476.0,485.7,474.25,477.5,476.95,37915.0,182.05
2014-01-02,478.95,484.45,478.0,481.0,481.9,81884.0,394.89
2014-01-03,475.0,484.9,474.0,482.0,480.65,77845.0,373.9
2014-01-06,480.0,484.85,475.1,476.0,476.15,195346.0,936.25
2014-01-07,476.15,482.0,476.15,476.6,477.75,58937.0,281.97
2014-01-08,482.95,482.95,471.3,477.0,473.2,132430.0,628.43
2014-01-09,472.0,479.85,472.0,475.0,477.4,115610.0,551.92
2014-01-10,470.25,480.0,470.25,473.0,474.55,65960.0,313.39
2014-01-13,474.55,478.55,468.0,469.0,469.0,42943.0,202.99
2014-01-14,469.0,473.85,460.0,461.5,461.9,256097.0,1197.81
2014-01-15,463.0,464.9,457.1,458.0,458.2,150298.0,694.33
2014-01-16,460.45,463.8,446.1,446.5,448.35,122130.0,553.97
2014-01-17,449.0,449.05,431.4,441.0,436.6,207772.0,909.13
2014-01-20,438.0,445.95,438.0,443.2,443.55,175680.0,777.86
2014-01-21,458.7,477.7,447.0,447.5,448.75,403829.0,1845.27
2014-01-22,450.95,456.25,448.0,448.4,453.1,214850.0,971.39
2014-01-23,452.95,459.9,450.0,456.65,456.85,88489.0,403.59
2014-01-24,453.7,459.9,446.95,452.0,451.25,121695.0,548.83
2014-01-27,451.45,451.45,432.35,444.9,441.8,314603.0,1384.99
2014-01-28,441.0,443.95,420.0,435.75,434.0,349365.0,1508.8
2014-01-29,438.85,451.9,425.15,449.95,448.4,672082.0,2925.32
2014-01-30,447.0,452.6,435.2,452.0,451.4,110505.0,491.35
2014-01-31,453.7,461.0,446.2,452.85,456.35,80760.0,366.08
2014-02-03,452.0,455.95,445.05,447.1,447.35,30323.0,136.32
2014-02-04,443.0,458.0,441.65,452.0,451.65,266631.0,1200.59
2014-02-05,451.5,460.95,444.0,456.0,457.75,249320.0,1124.3
2014-02-06,453.3,456.0,450.0,451.0,451.55,20546.0,93.07
2014-02-07,454.5,463.0,450.25,461.0,461.15,88352.0,403.47
2014-02-10,454.3,459.9,448.1,448.7,450.55,66550.0,300.68
2014-02-11,450.55,453.95,445.3,446.0,446.5,239375.0,1072.77
2014-02-12,446.05,449.95,443.0,443.3,444.8,73983.0,330.76
2014-02-13,445.0,445.05,428.0,428.0,431.1,683760.0,2962.82
2014-02-14,431.5,438.95,431.5,434.5,434.5,152897.0,664.25
2014-02-17,431.3,441.0,429.0,433.5,435.35,218417.0,948.41
2014-02-18,431.15,440.0,431.15,437.0,436.95,524982.0,2284.57
2014-02-19,433.3,439.0,433.3,438.0,438.0,146820.0,641.74
2014-02-20,433.05,453.1,433.05,449.0,450.0,129086.0,571.09
2014-02-21,446.1,458.75,441.1,453.5,453.85,163651.0,730.09
2014-02-24,453.0,464.5,450.0,461.0,461.95,55422.0,254.08
2014-02-25,464.8,465.0,457.0,464.5,463.7,148271.0,685.39
2014-02-26,459.0,471.0,453.05,467.0,469.85,137871.0,641.29
2014-02-28,461.2,473.5,461.0,461.15,463.25,51189.0,238.32
2014-03-03,469.0,469.0,459.5,460.0,460.0,35019.0,161.99
2014-03-04,464.9,464.9,453.5,456.0,455.65,52965.0,242.58
2014-03-05,456.0,465.3,450.1,459.05,457.0,44969.0,206.37
2014-03-06,456.85,466.0,456.85,465.0,464.3,180862.0,836.98
2014-03-07,465.7,466.95,450.1,450.65,451.3,162801.0,746.77
2014-03-10,452.0,459.4,442.0,444.95,444.85,64425.0,287.48
2014-03-11,444.85,449.6,440.0,440.5,440.65,34486.0,152.49
2014-03-12,446.0,452.6,438.8,447.0,447.05,125702.0,561.85
2014-03-13,446.9,454.0,443.7,446.1,445.55,58622.0,263.81
2014-03-14,445.0,447.9,439.5,441.4,440.55,41787.0,184.21
2014-03-18,442.25,459.0,441.0,455.0,455.85,152380.0,684.67
2014-03-19,458.85,458.85,445.5,446.5,446.45,60177.0,269.85
2014-03-20,446.6,449.55,439.0,439.0,439.8,97929.0,432.01
2014-03-21,442.0,444.5,435.7,438.9,438.75,76978.0,338.17
2014-03-22,437.1,444.0,437.1,444.0,442.8,6977.0,30.86
