Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,2975.25,3002.0,2975.25,2999.0,2998.3,50516.0,1513.35
2014-01-01,3001.45,3005.0,2970.0,2989.0,2990.45,11285.0,337.79
2014-01-02,2989.1,3000.0,2978.0,2986.0,2986.05,13158.0,393.03
2014-01-03,2980.6,2992.1,2980.6,2989.95,2986.15,6421.0,191.76
2014-01-06,2986.0,2994.9,2983.6,2984.0,2985.05,24304.0,726.15
2014-01-07,2988.15,2988.15,2976.4,2976.4,2979.05,85922.0,2560.58
2014-01-08,2976.4,2982.15,2973.1,2974.0,2974.2,23178.0,690.32
2014-01-09,2977.2,2977.2,2960.45,2962.0,2961.85,219998.0,6525.82
2014-01-10,2964.95,2981.45,2962.0,2965.0,2965.15,217962.0,6465.82
2014-01-13,2970.0,2988.9,2965.1,2985.0,2984.7,123548.0,3683.9
2014-01-14,2987.0,2990.0,2976.0,2977.25,2978.15,97631.0,2908.84
2014-01-15,2981.25,2987.95,2974.1,2977.0,2978.05,49526.0,1474.8
2014-01-16,2975.0,2979.95,2969.1,2972.0,2971.3,366476.0,10888.0
2014-01-17,2971.0,2979.7,2970.5,2976.0,2977.25,15101.0,449.37
2014-01-20,2977.25,2981.0,2972.5,2978.0,2977.9,69697.0,2075.64
2014-01-21,2980.0,2980.5,2975.0,2976.85,2977.85,54476.0,1622.36
2014-01-22,2975.1,2982.0,2970.0,2974.5,2974.7,204983.0,6092.03
2014-01-23,2975.0,2979.4,2970.25,2979.0,2978.3,34345.0,1022.58
2014-01-24,2979.95,2989.9,2972.05,2982.0,2983.05,26020.0,775.22
2014-01-27,2973.0,2983.0,2973.0,2979.85,2977.4,43333.0,1290.44
2014-01-28,2975.0,2984.65,2975.0,2977.2,2978.7,28070.0,836.17
2014-01-29,2979.0,2980.0,2972.0,2973.0,2973.65,31967.0,951.08
2014-01-30,2965.0,2983.0,2965.0,2980.0,2978.35,39275.0,1169.58
2014-01-31,2981.45,2991.0,2977.05,2984.0,2984.1,19548.0,582.84
2014-02-03,2977.0,2995.0,2977.0,2988.0,2986.35,62980.0,1878.74
2014-02-04,2985.15,2990.05,2982.0,2983.6,2984.85,75837.0,2264.05
2014-02-05,2982.05,2986.0,2980.05,2982.0,2982.6,143246.0,4273.52
2014-02-06,2985.6,2985.6,2965.15,2970.0,2969.9,95503.0,2839.08
2014-02-07,2976.0,2980.0,2968.4,2975.3,2972.0,249182.0,7401.8
2014-02-10,2975.0,2987.6,2967.0,2982.5,2981.9,105437.0,3140.97
