Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,536.4,539.8,532.6,533.5,533.85,383001.0,2053.7
2014-01-01,534.0,536.65,529.0,529.9,530.2,120384.0,640.12
2014-01-02,531.0,537.6,520.5,523.5,523.85,307590.0,1632.16
2014-01-03,520.15,527.45,510.5,513.5,514.6,455256.0,2345.71
2014-01-06,517.7,519.6,512.0,518.0,517.75,483003.0,2497.43
2014-01-07,516.2,522.75,507.8,514.5,514.3,624798.0,3209.43
2014-01-08,514.45,518.9,512.15,513.6,514.05,828040.0,4265.89
2014-01-09,515.0,517.85,509.2,515.4,513.95,1197523.0,6154.59
2014-01-10,515.5,515.55,512.4,514.65,514.5,829940.0,4271.06
2014-01-13,509.3,515.5,508.5,510.4,511.45,330782.0,1695.04
2014-01-14,510.0,512.5,502.0,502.0,503.4,227964.0,1152.02
2014-01-15,503.05,514.0,496.1,503.0,501.35,909940.0,4587.71
2014-01-16,502.0,507.2,500.1,504.0,504.25,443513.0,2232.38
2014-01-17,508.65,511.25,502.05,508.6,508.1,376290.0,1908.6
2014-01-20,504.05,510.0,499.1,501.0,500.75,551199.0,2771.39
2014-01-21,504.0,504.0,499.0,501.0,501.4,194082.0,972.73
2014-01-22,501.0,507.25,500.3,504.0,504.9,406494.0,2049.47
2014-01-23,506.0,510.95,502.55,508.3,508.0,1243041.0,6313.43
2014-01-24,510.0,513.9,506.35,509.0,510.4,831174.0,4240.85
2014-01-27,513.8,544.5,511.5,538.0,535.9,2791698.0,14890.65
2014-01-28,540.25,560.0,540.25,557.75,555.95,1988411.0,10924.06
2014-01-29,562.0,563.0,550.25,550.4,555.1,1162725.0,6484.96
2014-01-30,548.7,550.05,531.35,541.9,540.0,700812.0,3776.51
2014-01-31,544.4,564.0,542.1,558.0,559.25,654934.0,3625.86
2014-02-03,560.0,566.0,553.0,554.0,555.05,383381.0,2147.33
2014-02-04,552.25,554.0,546.8,550.0,549.8,522415.0,2872.21
2014-02-05,547.1,553.8,544.15,548.5,549.4,481147.0,2642.48
2014-02-06,551.0,564.9,549.0,563.0,561.75,484971.0,2701.76
2014-02-07,565.05,572.55,560.2,562.35,563.25,506587.0,2875.28
2014-02-10,564.0,569.85,560.5,563.65,562.9,274255.0,1552.06
2014-02-11,565.95,566.45,549.05,552.95,552.25,169871.0,947.32
2014-02-12,555.0,556.0,538.5,540.0,540.9,364555.0,1986.9
2014-02-13,537.2,546.3,518.0,519.0,521.75,353510.0,1874.38
2014-02-14,526.5,533.5,522.4,531.0,530.2,234501.0,1238.75
2014-02-17,532.0,542.0,531.0,538.95,537.7,203139.0,1090.76
2014-02-18,535.3,542.0,528.0,532.75,531.5,327004.0,1757.05
2014-02-19,532.15,538.0,526.2,530.65,530.45,192200.0,1022.23
2014-02-20,532.0,538.7,530.0,532.35,534.7,215201.0,1151.4
2014-02-21,537.0,538.0,530.35,537.0,534.7,261932.0,1399.14
2014-02-24,538.9,550.5,537.0,546.55,545.8,242633.0,1322.42
2014-02-25,548.25,553.9,543.15,547.8,548.55,307305.0,1683.2
2014-02-26,548.5,554.95,547.2,553.3,552.45,266473.0,1469.42
2014-02-28,553.25,574.9,553.25,569.95,569.65,827831.0,4683.29
2014-03-03,571.95,584.95,569.05,579.6,581.2,874971.0,5076.64
2014-03-04,582.8,584.0,571.0,573.05,573.25,665247.0,3830.39
2014-03-05,573.95,589.75,573.35,577.5,575.85,450086.0,2623.74
2014-03-06,575.0,584.9,571.0,573.0,574.85,263134.0,1522.86
