Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,851.35,865.0,838.1,858.1,857.8,81191.0,693.04
2014-01-01,864.0,864.0,843.4,848.25,850.7,17466.0,149.08
2014-01-02,849.0,856.95,835.0,838.05,838.3,29885.0,252.25
2014-01-03,838.6,838.6,818.0,827.5,823.8,213582.0,1754.89
2014-01-06,830.9,836.0,823.8,830.0,830.95,280664.0,2333.5
2014-01-07,830.9,830.9,808.0,814.0,813.65,68483.0,559.67
2014-01-08,815.25,837.45,815.25,835.0,830.3,194653.0,1619.75
2014-01-09,825.05,834.4,812.15,817.0,816.25,53802.0,441.69
2014-01-10,818.0,828.0,807.25,810.5,811.65,156882.0,1279.83
2014-01-13,810.0,817.1,801.5,804.0,803.05,40562.0,328.02
2014-01-14,800.0,812.95,791.0,794.0,795.05,101956.0,814.47
2014-01-15,794.0,800.0,771.0,785.3,789.35,133440.0,1051.47
2014-01-16,782.2,795.05,752.0,754.0,758.5,185017.0,1417.26
2014-01-17,754.0,781.4,750.0,770.0,770.55,274775.0,2115.03
2014-01-20,777.45,781.8,765.1,777.15,778.7,48899.0,379.48
2014-01-21,775.0,782.4,762.5,763.1,764.6,159891.0,1228.82
2014-01-22,758.1,774.7,752.0,767.0,767.5,127877.0,978.44
2014-01-23,767.0,767.0,731.0,733.0,734.7,295168.0,2183.88
2014-01-24,735.0,735.0,702.1,704.0,705.05,229700.0,1643.93
2014-01-27,706.0,706.0,667.0,697.0,685.75,685972.0,4694.8
2014-01-28,688.0,719.0,686.1,719.0,712.0,579219.0,4094.66
2014-01-29,719.5,747.25,719.5,739.0,739.25,234265.0,1732.14
2014-01-30,730.0,730.0,712.0,714.15,714.45,209629.0,1497.65
2014-01-31,715.1,758.85,712.95,753.7,753.7,149374.0,1113.41
2014-02-03,746.1,746.1,716.3,723.5,723.05,181767.0,1312.65
2014-02-04,716.0,728.8,701.1,718.0,716.65,385463.0,2739.86
2014-02-05,712.2,735.0,712.2,726.0,722.65,120297.0,869.56
2014-02-06,726.0,747.85,715.2,737.0,738.85,89820.0,659.03
2014-02-07,738.0,738.05,727.05,732.7,729.8,88680.0,648.08
2014-02-10,736.0,737.45,715.0,720.0,719.1,29864.0,217.13
2014-02-11,715.0,729.45,715.0,716.05,717.4,32096.0,230.86
2014-02-12,715.0,723.9,712.6,723.0,719.9,175049.0,1260.3
2014-02-13,716.0,743.9,716.0,740.95,739.55,271702.0,2005.16
2014-02-14,743.0,748.75,735.5,740.0,741.05,97575.0,723.17
2014-02-17,738.0,755.8,735.0,746.65,750.85,86127.0,645.09
2014-02-18,749.95,764.4,741.05,757.0,756.95,253231.0,1917.13
2014-02-19,762.85,770.5,756.0,770.4,762.9,410111.0,3139.99
2014-02-20,753.75,785.75,753.75,780.0,779.15,326302.0,2537.31
2014-02-21,780.0,810.0,780.0,801.2,804.0,354072.0,2848.1
2014-02-24,800.9,800.9,777.3,792.55,787.35,164104.0,1290.16
2014-02-25,786.0,803.0,785.9,799.85,798.95,129385.0,1033.0
2014-02-26,800.9,800.9,760.1,774.1,770.7,134946.0,1049.84
2014-02-28,774.0,809.6,730.4,797.45,784.0,503929.0,3883.78
2014-03-03,785.0,790.0,776.05,785.0,783.2,185263.0,1452.88
2014-03-04,784.1,797.8,767.7,784.9,779.4,186554.0,1466.2
2014-03-05,788.9,788.9,757.35,763.0,761.6,134147.0,1027.11
2014-03-06,764.0,774.7,750.0,758.0,752.4,70151.0,532.67
2014-03-07,753.3,772.35,731.25,742.25,739.95,139977.0,1040.98
2014-03-10,745.0,749.95,714.0,725.5,724.1,206437.0,1492.34
2014-03-11,725.1,731.55,709.3,711.95,712.35,124477.0,890.41
2014-03-12,705.05,730.4,705.05,727.0,727.05,151939.0,1100.93
2014-03-13,721.0,738.0,706.0,706.35,708.15,138973.0,997.51
2014-03-14,704.0,719.45,701.0,715.0,710.5,170489.0,1213.29
2014-03-18,714.1,742.9,705.6,739.0,738.05,288120.0,2095.67
2014-03-19,743.0,769.0,739.05,760.25,763.8,172682.0,1306.96
2014-03-20,765.15,767.0,734.1,748.5,741.5,72059.0,540.35
