Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,4431.65,4464.95,4391.05,4439.4,4440.55,4484.0,198.45
2014-01-01,4459.6,4459.6,4405.0,4424.0,4421.1,1829.0,80.83
2014-01-02,4385.0,4490.0,4385.0,4400.15,4399.3,4774.0,211.51
2014-01-03,4444.65,4454.95,4351.5,4392.0,4395.05,4326.0,190.44
2014-01-06,4419.65,4419.65,4372.1,4377.0,4380.3,4139.0,181.75
2014-01-07,4360.25,4410.05,4275.2,4299.0,4293.2,9250.0,400.32
2014-01-08,4314.9,4356.0,4297.0,4326.05,4329.45,16303.0,707.66
2014-01-09,4286.0,4359.0,4286.0,4348.0,4345.9,30298.0,1317.52
2014-01-10,4347.1,4381.0,4300.25,4319.9,4326.2,3452.0,150.08
2014-01-13,4348.1,4348.1,4292.0,4304.0,4313.75,4184.0,180.9
2014-01-14,4313.0,4368.95,4286.2,4336.3,4347.6,5388.0,233.62
2014-01-15,4325.3,4444.0,4325.3,4435.0,4424.05,9333.0,410.54
2014-01-16,4380.0,4450.0,4341.0,4345.3,4365.75,4952.0,217.27
2014-01-17,4365.0,4389.95,4300.05,4338.0,4331.75,6334.0,274.48
2014-01-20,4358.65,4424.95,4328.05,4420.1,4413.2,3522.0,154.75
2014-01-21,4413.2,4442.0,4350.0,4355.5,4370.25,5671.0,249.62
2014-01-22,4360.0,4424.0,4352.0,4410.0,4411.95,4493.0,196.91
2014-01-23,4411.95,4449.0,4390.0,4397.0,4417.25,3859.0,171.11
2014-01-24,4416.5,4433.55,4350.0,4378.0,4363.35,3608.0,158.58
2014-01-27,4400.0,4483.35,4243.65,4260.0,4255.05,9093.0,393.3
2014-01-28,4276.7,4316.25,4200.0,4220.0,4213.65,6003.0,254.93
2014-01-29,4225.0,4314.95,4211.6,4250.0,4249.15,11846.0,506.56
2014-01-30,4250.0,4298.6,4180.05,4230.15,4229.1,12210.0,515.95
2014-01-31,4232.05,4301.95,4232.0,4275.0,4262.5,6933.0,295.11
