Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1251.8,1268.0,1238.15,1265.7,1262.55,373993.0,4694.84
2014-01-01,1268.8,1269.9,1252.3,1257.0,1258.5,184497.0,2320.73
2014-01-02,1260.0,1265.0,1240.15,1251.0,1251.05,257744.0,3232.92
2014-01-03,1245.1,1266.0,1243.45,1263.05,1259.75,681486.0,8563.77
2014-01-06,1265.0,1266.0,1244.3,1250.5,1250.65,348026.0,4352.64
2014-01-07,1256.0,1267.5,1242.15,1261.65,1256.35,969829.0,12155.89
2014-01-08,1258.0,1276.5,1242.2,1247.8,1246.4,644194.0,8096.38
2014-01-09,1250.5,1290.45,1243.1,1286.25,1285.25,812575.0,10298.52
2014-01-10,1298.8,1318.6,1270.0,1299.0,1298.2,1323124.0,17164.35
2014-01-13,1304.7,1353.0,1303.0,1350.0,1343.35,1152803.0,15364.75
2014-01-14,1342.5,1342.5,1315.0,1324.05,1321.0,640041.0,8485.22
2014-01-15,1330.3,1347.4,1323.1,1338.0,1330.35,979782.0,13066.08
2014-01-16,1351.0,1398.0,1340.25,1392.0,1390.7,3256837.0,44673.35
2014-01-17,1389.0,1399.0,1369.8,1393.0,1379.65,1868474.0,25858.06
2014-01-20,1385.5,1437.0,1375.65,1430.85,1430.6,1898511.0,26860.7
2014-01-21,1432.15,1458.55,1430.95,1443.0,1440.15,1985051.0,28627.01
2014-01-22,1440.0,1449.8,1413.15,1446.0,1444.75,1804019.0,25867.9
2014-01-23,1444.75,1444.75,1398.6,1416.5,1411.7,1510886.0,21312.52
2014-01-24,1413.25,1431.05,1400.4,1414.2,1411.85,1104056.0,15639.08
2014-01-27,1410.0,1429.55,1396.6,1424.95,1424.5,1564091.0,22189.84
2014-01-28,1419.0,1426.05,1398.1,1416.0,1412.45,978666.0,13826.07
2014-01-29,1411.0,1435.0,1406.1,1425.0,1422.3,654069.0,9310.31
2014-01-30,1422.9,1445.0,1407.8,1440.0,1434.2,1361644.0,19392.96
2014-01-31,1436.1,1469.9,1430.1,1461.3,1462.2,949421.0,13819.02
2014-02-03,1454.0,1471.15,1448.65,1451.1,1452.9,605213.0,8819.73
2014-02-04,1434.5,1438.0,1375.1,1402.55,1401.9,1272988.0,17802.79
2014-02-05,1412.0,1414.0,1375.5,1390.9,1393.65,1663836.0,23048.93
2014-02-06,1400.0,1411.55,1364.0,1407.5,1408.7,1342826.0,18611.41
2014-02-07,1419.7,1422.9,1385.6,1394.05,1400.05,1112214.0,15629.21
2014-02-10,1404.4,1422.5,1396.6,1419.95,1416.15,884190.0,12516.76
2014-02-11,1415.0,1479.2,1415.0,1477.7,1473.1,1901827.0,27709.81
2014-02-12,1480.0,1510.5,1477.75,1488.8,1490.8,1852686.0,27727.89
2014-02-13,1499.0,1502.35,1480.55,1488.0,1489.2,1358472.0,20236.65
2014-02-14,1494.0,1513.75,1478.6,1497.7,1497.35,1208412.0,18091.79
2014-02-17,1500.0,1522.0,1498.0,1503.6,1502.4,698027.0,10531.82
2014-02-18,1508.0,1514.8,1483.25,1486.15,1486.65,700536.0,10442.43
2014-02-19,1492.0,1500.0,1475.4,1498.0,1494.35,699062.0,10379.37
2014-02-20,1495.0,1497.9,1467.35,1471.0,1472.9,921830.0,13618.56
2014-02-21,1471.0,1546.4,1471.0,1540.0,1538.2,1472096.0,22271.04
2014-02-24,1541.0,1541.0,1520.6,1528.7,1530.2,704951.0,10787.04
2014-02-25,1538.95,1554.85,1535.0,1549.0,1548.95,699546.0,10817.73
2014-02-26,1549.0,1582.15,1541.15,1572.35,1572.65,1442805.0,22530.69
2014-02-28,1530.0,1590.0,1530.0,1578.4,1575.55,4047036.0,63500.77
2014-03-03,1576.0,1576.0,1491.8,1503.9,1504.65,2231663.0,33913.07
2014-03-04,1512.0,1525.0,1475.05,1482.0,1481.4,1734181.0,25852.33
2014-03-05,1486.9,1494.4,1453.35,1461.5,1462.45,2002769.0,29364.79
2014-03-06,1469.4,1499.5,1469.0,1492.0,1491.85,1872592.0,27887.75
2014-03-07,1492.0,1505.0,1456.25,1480.15,1487.9,2204739.0,32634.37
2014-03-10,1478.0,1483.6,1437.5,1441.0,1441.05,2461035.0,35754.64
2014-03-11,1441.05,1467.1,1437.85,1456.0,1454.55,1895774.0,27575.1
2014-03-12,1446.6,1468.45,1440.0,1462.0,1460.25,1099194.0,15982.29
2014-03-13,1445.0,1479.0,1437.3,1457.65,1459.2,1472872.0,21522.43
2014-03-14,1444.6,1445.0,1405.45,1417.0,1416.85,1402450.0,19929.38
2014-03-18,1425.0,1426.85,1408.0,1414.1,1413.05,1132518.0,16032.33
2014-03-19,1404.0,1420.0,1371.25,1403.5,1403.6,1609316.0,22493.94
2014-03-20,1396.0,1425.9,1396.0,1410.0,1407.35,1236041.0,17474.0
2014-03-21,1411.0,1456.7,1397.5,1426.6,1426.3,1968169.0,28163.13
2014-03-22,1428.0,1447.5,1422.0,1439.15,1438.3,100799.0,1449.95
2014-03-24,1440.0,1450.0,1408.85,1412.3,1414.35,961423.0,13689.46
2014-03-25,1411.1,1429.5,1393.4,1401.8,1397.7,1258823.0,17689.65
2014-03-26,1405.0,1408.0,1385.0,1393.0,1397.1,1188396.0,16610.31
2014-03-27,1405.0,1405.0,1382.75,1390.0,1389.15,1782659.0,24801.79
2014-03-28,1401.0,1422.0,1395.3,1400.05,1405.8,1082735.0,15253.81
2014-03-31,1405.0,1405.0,1381.0,1394.0,1390.7,981507.0,13656.08
2014-04-01,1410.0,1429.5,1400.0,1418.3,1418.45,1490724.0,21130.61
2014-04-02,1432.0,1436.8,1422.2,1425.0,1425.7,1207771.0,17268.4
2014-04-03,1438.1,1440.0,1413.0,1424.05,1424.3,1266432.0,18035.25
2014-04-04,1440.3,1440.3,1395.0,1397.5,1397.9,1054941.0,14876.67
2014-04-07,1397.5,1411.7,1383.65,1406.2,1406.45,984286.0,13791.23
2014-04-09,1395.5,1405.0,1367.2,1377.7,1380.25,1767317.0,24404.02
2014-04-10,1380.0,1389.0,1349.95,1354.6,1357.4,1417498.0,19351.03
2014-04-11,1342.3,1405.0,1335.0,1402.9,1400.65,1872522.0,25691.48
2014-04-15,1407.0,1437.25,1397.9,1425.0,1424.8,1735953.0,24563.07
2014-04-16,1438.5,1438.5,1402.0,1410.0,1412.5,1179914.0,16782.8
2014-04-17,1451.0,1452.8,1415.0,1421.5,1424.75,1519615.0,21698.22
2014-04-21,1438.0,1443.3,1421.2,1440.0,1439.7,940025.0,13475.42
2014-04-22,1431.1,1460.0,1431.1,1448.0,1452.65,987317.0,14318.36
2014-04-23,1453.0,1460.0,1434.0,1438.0,1438.45,1687118.0,24379.01
2014-04-25,1448.05,1463.8,1432.95,1450.0,1449.4,1211783.0,17534.62
2014-04-28,1450.0,1455.0,1415.6,1420.45,1419.6,1065907.0,15275.31
2014-04-29,1421.0,1433.6,1407.8,1413.8,1414.45,678726.0,9627.88
2014-04-30,1410.55,1428.7,1395.45,1406.0,1402.9,607572.0,8561.71
2014-05-02,1403.0,1432.7,1386.0,1424.75,1424.75,636812.0,8995.59
2014-05-05,1430.0,1438.4,1373.0,1379.0,1381.8,757532.0,10625.2
2014-05-06,1381.15,1393.0,1369.05,1384.1,1382.55,641775.0,8866.49
2014-05-07,1392.0,1403.5,1316.15,1320.2,1320.8,1346676.0,18222.43
2014-05-08,1335.0,1346.35,1312.1,1345.0,1339.8,951633.0,12666.81
2014-05-09,1339.0,1378.0,1335.15,1373.0,1370.7,1007637.0,13722.51
2014-05-12,1362.0,1401.2,1342.7,1396.0,1394.4,1068314.0,14631.64
2014-05-13,1396.65,1445.2,1396.65,1433.5,1432.9,669927.0,9528.09
2014-05-14,1434.0,1447.95,1396.0,1414.95,1411.4,968099.0,13643.92
2014-05-15,1400.6,1426.95,1392.1,1403.0,1405.8,654619.0,9215.9
2014-05-16,1405.0,1445.8,1358.8,1364.1,1365.15,1582944.0,22033.14
2014-05-19,1377.8,1377.8,1256.0,1309.0,1307.2,1917250.0,24613.04
2014-05-20,1300.0,1343.0,1263.45,1300.1,1308.5,2050177.0,26740.48
2014-05-21,1310.3,1343.0,1310.1,1336.1,1336.05,1001627.0,13321.54
2014-05-22,1336.05,1339.9,1313.0,1322.4,1323.85,1125954.0,14913.19
2014-05-23,1317.15,1351.85,1317.15,1347.0,1341.05,1212189.0,16221.1
2014-05-26,1341.0,1399.0,1332.6,1393.8,1386.2,1085650.0,14836.16
2014-05-27,1392.0,1424.45,1367.55,1382.3,1383.5,853105.0,11924.23
2014-05-28,1385.05,1452.75,1378.0,1440.9,1440.45,1385530.0,19706.84
