Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,800.25,801.85,790.6,798.0,794.65,1330552.0,10579.34
2014-01-01,798.25,800.1,790.6,794.8,793.5,587564.0,4667.2
2014-01-02,791.6,809.5,784.0,786.5,791.1,2538179.0,20334.31
2014-01-03,791.0,794.9,780.0,793.15,791.0,1855802.0,14664.81
2014-01-06,790.0,798.4,784.35,795.0,795.85,1861785.0,14727.34
2014-01-07,794.0,800.6,788.4,798.0,797.9,2216143.0,17615.43
2014-01-08,797.9,805.5,795.35,802.5,804.3,2659846.0,21324.28
2014-01-09,803.25,806.85,797.4,801.0,802.15,2287549.0,18375.98
2014-01-10,796.2,806.25,796.2,801.7,801.45,3261578.0,26162.75
2014-01-13,803.0,822.0,800.0,821.4,818.65,2639823.0,21449.14
2014-01-14,817.1,826.25,817.1,820.8,824.35,2018695.0,16641.73
2014-01-15,824.1,849.8,820.65,843.0,846.5,4991438.0,41854.51
2014-01-16,846.0,866.5,845.3,850.75,857.6,4470573.0,38264.42
2014-01-17,852.0,861.95,834.25,841.05,840.05,3708927.0,31267.76
2014-01-20,844.4,845.0,829.05,833.9,834.8,2884920.0,24128.2
2014-01-21,838.0,843.3,832.2,836.55,838.15,4270055.0,35749.55
2014-01-22,838.15,846.1,830.6,841.5,841.05,2824568.0,23669.16
2014-01-23,836.2,859.45,836.2,855.35,856.15,3523391.0,29994.93
2014-01-24,849.0,851.95,843.5,844.5,844.7,3481450.0,29420.37
2014-01-27,835.0,842.5,830.95,832.05,833.0,3281902.0,27417.78
2014-01-28,832.5,845.0,826.7,832.0,831.15,3437311.0,28736.91
2014-01-29,836.0,839.0,820.7,826.35,825.15,3226325.0,26712.08
2014-01-30,811.25,833.9,810.3,828.5,829.15,6127036.0,50266.28
2014-01-31,828.8,830.45,804.35,806.1,808.45,5171853.0,42068.41
2014-02-03,802.1,808.65,785.35,785.35,788.85,3091470.0,24642.26
2014-02-04,782.0,796.0,778.45,788.6,788.15,2792957.0,21984.29
2014-02-05,787.9,789.65,779.0,784.9,784.8,1773469.0,13910.28
2014-02-06,789.75,796.3,772.35,786.85,785.35,2223598.0,17414.16
2014-02-07,790.8,793.95,775.3,785.0,783.45,2360800.0,18518.06
2014-02-10,783.25,785.65,762.8,764.0,765.4,2554784.0,19716.82
2014-02-11,764.0,777.25,764.0,776.4,774.8,2415467.0,18650.31
2014-02-12,779.0,786.65,773.9,785.0,785.5,2260055.0,17692.02
2014-02-13,780.25,784.85,763.2,764.55,766.05,1859299.0,14331.56
2014-02-14,763.2,773.6,755.0,771.0,770.7,3607903.0,27560.51
2014-02-17,767.0,788.5,767.0,779.0,779.3,4922666.0,38486.66
2014-02-18,779.3,807.5,779.3,802.0,803.9,2435186.0,19499.62
2014-02-19,804.1,808.4,792.75,806.5,805.8,1513961.0,12111.92
2014-02-20,799.45,805.1,788.95,792.2,791.65,1414959.0,11273.17
2014-02-21,792.3,803.75,791.05,798.85,800.6,928876.0,7430.93
2014-02-24,797.0,813.2,788.55,813.05,810.25,768621.0,6171.0
2014-02-25,815.1,817.65,807.15,812.0,811.4,1121054.0,9118.48
2014-02-26,814.0,821.75,810.0,819.1,819.1,2057241.0,16795.87
2014-02-28,812.25,824.05,810.55,815.0,819.3,3326028.0,27210.24
2014-03-03,815.0,825.9,808.9,816.0,812.55,1144895.0,9348.68
2014-03-04,811.0,824.6,811.0,821.1,821.85,1135629.0,9323.5
2014-03-05,824.0,828.6,812.6,827.1,827.15,1275795.0,10471.82
2014-03-06,830.0,841.9,824.05,840.0,837.85,1724126.0,14388.2
2014-03-07,837.85,853.9,837.25,849.9,848.25,3494157.0,29590.87
2014-03-10,841.0,858.0,831.1,855.0,850.2,3766475.0,31850.17
2014-03-11,850.2,856.1,843.65,854.95,853.1,3292684.0,27974.58
2014-03-12,846.25,858.0,845.15,855.5,854.65,3043527.0,25996.05
2014-03-13,858.1,868.8,850.0,862.05,865.4,3525842.0,30498.55
2014-03-14,855.1,862.8,852.25,853.9,856.65,3850399.0,32981.96
2014-03-18,859.8,859.8,841.0,854.8,852.2,3207184.0,27235.64
2014-03-19,856.0,869.1,854.95,867.5,867.7,2125150.0,18363.49
2014-03-20,868.0,868.0,845.6,848.0,847.85,1959880.0,16721.85
2014-03-21,852.25,857.45,839.0,845.6,843.25,4354231.0,36906.92
2014-03-22,845.5,847.0,840.7,845.0,841.9,82662.0,696.24
2014-03-24,845.1,863.7,841.0,861.05,860.25,3077297.0,26314.68
2014-03-25,856.2,874.5,856.2,870.0,871.7,2470681.0,21493.66
2014-03-26,873.0,874.7,861.1,864.05,866.4,2320464.0,20159.45
2014-03-27,870.5,880.0,860.9,877.3,875.1,4636590.0,40544.46
2014-03-28,880.0,880.0,856.05,877.0,875.8,2485454.0,21562.38
2014-03-31,880.9,887.0,873.2,880.0,883.9,2082316.0,18342.43
2014-04-01,885.0,894.8,870.4,887.0,888.8,2802631.0,24659.32
2014-04-02,889.8,905.35,888.4,903.0,899.0,3619290.0,32437.34
2014-04-03,899.1,908.1,892.15,901.0,904.15,2801434.0,25197.09
2014-04-04,902.0,903.0,892.7,895.15,895.1,3581987.0,32119.87
2014-04-07,895.1,900.9,880.8,897.0,895.85,4525721.0,40264.6
2014-04-09,902.25,929.7,896.0,929.0,922.7,4159510.0,37859.38
2014-04-10,925.0,934.4,916.2,925.4,927.25,2445503.0,22658.26
2014-04-11,920.0,925.8,899.55,921.5,918.65,3477880.0,31691.84
2014-04-15,915.5,918.65,881.2,887.4,887.5,3284203.0,29202.45
2014-04-16,883.35,886.15,866.05,867.2,870.2,4295418.0,37627.65
2014-04-17,873.0,881.95,865.0,879.15,879.8,2862754.0,25080.3
2014-04-21,877.05,882.15,870.0,877.25,876.95,1625072.0,14256.18
2014-04-22,877.1,886.9,870.3,877.5,874.85,1475886.0,12944.57
2014-04-23,872.0,882.5,862.1,880.0,879.55,4983550.0,43629.76
2014-04-25,885.0,897.0,883.5,893.25,894.1,5096356.0,45443.55
2014-04-28,887.3,892.95,880.0,885.85,884.35,2581562.0,22842.49
2014-04-29,881.15,893.4,877.0,887.0,887.4,1794252.0,15864.18
2014-04-30,889.95,903.5,888.45,900.0,897.95,2754178.0,24737.21
2014-05-02,897.9,914.75,897.0,910.95,910.95,3080739.0,28016.83
2014-05-05,910.0,912.15,883.15,886.9,886.45,2261063.0,20258.86
2014-05-06,892.0,895.2,873.9,876.45,877.55,2190690.0,19293.1
2014-05-07,881.0,882.9,850.1,852.3,852.6,3008306.0,25919.91
2014-05-08,858.95,859.0,840.55,850.35,850.45,3293099.0,28003.82
2014-05-09,854.0,888.0,851.3,886.0,884.6,1817788.0,15944.59
2014-05-12,882.35,912.9,882.35,892.0,895.55,3127891.0,28175.51
2014-05-13,906.0,915.0,899.2,906.0,906.35,3641613.0,33124.77
2014-05-14,910.0,915.0,883.55,889.0,888.85,3586483.0,32080.4
2014-05-15,886.0,908.25,875.35,899.85,903.15,3532044.0,31399.16
2014-05-16,920.0,956.45,877.0,888.0,885.8,10749759.0,99234.67
2014-05-19,900.25,931.5,900.25,910.2,916.95,6677460.0,61227.56
2014-05-20,921.5,944.4,914.65,940.0,940.6,5681528.0,53102.91
2014-05-21,940.0,946.0,933.0,941.0,940.75,3680783.0,34606.7
2014-05-22,941.0,944.6,918.0,920.3,920.15,3194236.0,29629.09
2014-05-23,926.0,938.75,918.45,934.5,931.95,3675254.0,34173.0
2014-05-26,929.3,944.4,914.05,931.0,927.75,5260500.0,49212.19
2014-05-27,934.0,934.0,908.0,911.0,910.25,4937760.0,45338.72
2014-05-28,912.0,918.0,892.0,900.25,902.05,4571686.0,41345.62
2014-05-29,900.1,914.9,891.0,895.0,896.9,4963006.0,44715.5
2014-05-30,899.0,899.0,810.0,878.55,876.8,7232450.0,63400.15
2014-06-02,875.0,905.5,871.0,893.55,896.35,1865891.0,16739.72
2014-06-03,898.0,918.3,895.0,911.55,912.75,3408485.0,30933.31
2014-06-04,918.0,924.5,899.2,900.05,901.55,3371889.0,30687.44
2014-06-05,900.0,918.6,891.0,910.05,908.75,5395580.0,48801.42
2014-06-06,912.9,938.7,907.0,932.0,935.15,4653867.0,42953.94
2014-06-09,940.0,947.7,934.35,942.1,944.95,3580516.0,33744.45
2014-06-10,940.35,962.0,930.4,955.4,954.45,4912736.0,46533.21
2014-06-11,951.35,959.95,931.9,952.35,956.9,5079938.0,48115.62
2014-06-12,952.0,985.0,951.2,978.0,982.05,4444543.0,43253.81
2014-06-13,980.0,984.7,972.35,978.0,979.7,3800033.0,37188.02
2014-06-16,975.0,983.55,956.0,960.0,961.65,4451944.0,43091.7
2014-06-17,957.25,971.95,941.25,968.0,965.6,3822167.0,36317.31
2014-06-18,965.0,972.0,952.1,958.55,958.45,3381229.0,32494.85
2014-06-19,959.55,971.0,955.5,966.0,968.45,2781318.0,26802.81
2014-06-20,969.85,977.4,964.5,969.0,969.05,2451177.0,23774.43
2014-06-23,974.4,978.2,960.55,972.4,971.0,2587975.0,25007.74
2014-06-24,972.7,1000.0,972.0,994.25,996.1,3436833.0,34035.37
2014-06-25,998.9,1003.4,989.25,994.65,995.45,3759548.0,37548.97
2014-06-26,1000.0,1002.45,970.45,976.0,976.85,4804273.0,47067.17
2014-06-27,980.0,998.9,971.25,976.0,976.1,3307009.0,32358.62
