Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,672.1,672.3,660.1,667.5,665.85,1315328.0,8739.27
2014-01-01,668.0,669.8,663.0,667.0,665.15,1123109.0,7480.9
2014-01-02,665.0,674.75,653.55,658.0,657.0,1807248.0,12024.87
2014-01-03,652.0,666.0,650.0,665.0,663.1,1628296.0,10766.14
2014-01-06,663.0,663.0,657.0,662.25,661.7,1490855.0,9847.95
2014-01-07,667.1,670.95,653.3,664.55,664.4,1974230.0,13069.95
2014-01-08,665.2,666.95,660.0,665.2,664.7,1162370.0,7725.13
2014-01-09,663.2,666.05,657.1,664.5,662.95,944368.0,6256.04
2014-01-10,662.95,674.7,656.3,663.0,662.05,1537627.0,10252.9
2014-01-13,660.1,676.95,656.9,674.0,672.85,1188145.0,7961.41
2014-01-14,669.05,676.0,668.3,672.2,672.3,894280.0,6020.97
2014-01-15,673.0,682.7,669.6,680.0,680.55,1156960.0,7844.6
2014-01-16,684.4,685.0,670.35,671.9,673.05,1125294.0,7629.85
2014-01-17,675.0,675.0,659.05,672.15,665.0,10843714.0,72211.08
2014-01-20,668.1,676.7,666.4,669.85,670.05,1400092.0,9399.48
2014-01-21,672.95,678.8,670.0,678.5,676.1,1562981.0,10556.47
2014-01-22,675.5,684.7,674.65,676.0,677.1,1758334.0,11956.99
2014-01-23,675.0,681.1,672.75,680.0,679.5,1370685.0,9303.75
2014-01-24,670.0,674.95,663.7,673.8,673.4,2210725.0,14869.63
2014-01-27,664.9,664.9,645.6,655.0,649.2,4265112.0,27840.13
2014-01-28,648.0,656.0,638.6,645.0,644.45,4598856.0,29700.21
2014-01-29,647.5,650.9,640.55,647.05,645.45,2742731.0,17706.93
2014-01-30,637.5,639.9,627.65,631.3,631.8,2856365.0,18083.38
2014-01-31,630.0,636.3,625.1,628.0,628.5,2405246.0,15113.82
2014-02-03,629.95,634.0,625.1,626.4,626.5,1194205.0,7514.65
2014-02-04,621.65,635.5,616.8,633.3,630.6,1852326.0,11625.69
2014-02-05,631.0,639.8,625.1,637.0,637.45,1726346.0,10943.37
2014-02-06,638.75,649.6,629.5,647.5,647.0,3366736.0,21570.0
2014-02-07,652.4,654.5,642.1,646.85,647.75,1007367.0,6531.78
2014-02-10,647.65,650.15,636.0,644.5,643.9,1570205.0,10101.87
2014-02-11,646.0,647.15,639.3,645.0,644.8,1116214.0,7196.42
2014-02-12,646.6,652.8,643.65,644.95,645.45,1609240.0,10410.64
2014-02-13,646.0,648.0,631.25,631.65,632.5,788800.0,5018.24
2014-02-14,634.0,643.85,629.35,642.7,641.8,1062278.0,6766.74
2014-02-17,642.0,652.0,641.1,651.45,650.4,912530.0,5919.96
2014-02-18,648.5,664.4,647.4,659.3,660.4,1254918.0,8289.2
2014-02-19,656.2,672.25,655.0,671.05,670.05,1015237.0,6751.43
2014-02-20,665.8,667.45,660.85,662.7,662.75,862109.0,5718.77
2014-02-21,659.85,669.6,659.7,662.1,664.4,760968.0,5063.41
2014-02-24,662.1,673.0,655.75,672.0,671.0,1254746.0,8363.39
2014-02-25,674.0,676.0,666.0,670.3,671.1,1005140.0,6742.16
2014-02-26,670.0,679.2,668.55,674.95,677.4,1137835.0,7683.41
2014-02-28,682.0,682.9,665.15,669.0,669.6,1225896.0,8207.38
2014-03-03,665.2,672.0,663.2,665.25,666.2,919608.0,6139.82
2014-03-04,666.0,673.85,664.25,670.05,671.7,1610967.0,10786.83
2014-03-05,673.5,675.0,662.5,669.0,669.75,1001746.0,6683.96
2014-03-06,673.0,677.7,668.1,677.0,675.6,1237170.0,8327.6
2014-03-07,679.6,714.9,676.2,711.15,711.45,5691892.0,39866.15
2014-03-10,706.5,736.9,700.0,736.5,734.45,6530963.0,47464.27
2014-03-11,734.5,740.0,719.55,727.3,725.15,3250118.0,23638.24
2014-03-12,721.25,733.0,716.5,725.8,725.55,1777554.0,12893.18
2014-03-13,727.5,749.5,727.5,741.15,742.35,2862113.0,21240.48
2014-03-14,735.0,739.9,724.0,732.3,732.15,3052120.0,22307.56
2014-03-18,735.4,744.8,728.3,732.4,734.0,2025681.0,14891.59
2014-03-19,740.0,743.3,735.75,740.7,738.45,1513784.0,11175.44
2014-03-20,738.45,738.45,728.0,730.5,730.2,1298771.0,9498.26
2014-03-21,735.15,737.5,731.2,733.95,733.85,1881398.0,13811.21
2014-03-22,736.0,736.0,729.45,733.65,732.4,105882.0,775.17
2014-03-24,734.5,752.9,734.0,752.75,750.65,2928465.0,21906.05
2014-03-25,750.0,760.55,747.75,750.75,750.15,2007773.0,15133.1
2014-03-26,752.8,756.3,744.1,747.05,746.05,2352328.0,17583.13
2014-03-27,750.0,760.75,742.0,745.05,746.75,6138733.0,45988.72
2014-03-28,749.95,754.1,735.05,745.2,744.95,3040225.0,22553.07
2014-03-31,747.95,753.0,743.1,748.25,748.8,2065607.0,15467.92
2014-04-01,751.5,753.55,732.55,738.3,738.1,2012958.0,14895.37
2014-04-02,744.95,746.0,721.9,734.45,731.9,2599688.0,18945.1
2014-04-03,736.0,738.0,726.25,727.8,728.8,1389926.0,10156.67
2014-04-04,725.55,733.0,720.05,726.05,725.45,1855602.0,13488.36
2014-04-07,725.0,732.0,723.1,723.4,725.35,2933289.0,21343.03
2014-04-09,728.05,744.9,721.75,743.25,741.85,2630096.0,19253.83
2014-04-10,744.65,748.65,736.0,736.6,739.4,1873698.0,13921.64
2014-04-11,734.05,744.8,733.9,738.8,738.15,1301988.0,9624.13
2014-04-15,734.3,738.8,718.1,724.65,723.95,2092967.0,15163.15
2014-04-16,723.2,731.8,721.1,726.3,725.95,893098.0,6495.55
2014-04-17,716.25,721.3,707.3,718.0,718.7,3075582.0,21960.56
2014-04-21,722.7,726.5,713.0,715.1,716.45,1746938.0,12552.04
2014-04-22,721.9,729.6,717.4,728.7,727.55,2848956.0,20653.96
2014-04-23,724.9,739.45,722.6,737.9,733.0,5256336.0,38436.36
2014-04-25,733.15,738.0,725.0,725.5,726.4,1553111.0,11327.48
2014-04-28,722.25,729.25,720.55,726.4,725.2,1220715.0,8850.77
2014-04-29,726.4,727.5,712.5,717.05,715.8,1660309.0,11909.22
2014-04-30,716.0,729.9,711.65,724.9,721.3,2196730.0,15837.7
2014-05-02,723.5,727.55,715.55,717.1,717.1,1478823.0,10643.17
2014-05-05,719.85,723.1,714.0,717.5,716.7,1298081.0,9319.59
2014-05-06,720.2,724.6,714.1,720.15,720.2,1546140.0,11100.04
2014-05-07,718.5,727.0,711.45,715.0,715.6,1649656.0,11862.97
2014-05-08,717.15,723.0,715.5,717.95,718.3,1880107.0,13519.33
2014-05-09,720.0,760.0,720.0,758.55,756.8,4094111.0,30446.15
2014-05-12,755.1,794.85,754.5,791.9,792.15,4390340.0,34438.49
2014-05-13,800.0,800.0,782.5,786.1,788.15,3166304.0,24954.35
2014-05-14,785.0,794.8,774.25,774.7,775.45,2125375.0,16623.43
2014-05-15,769.0,791.15,766.05,788.0,788.35,2366547.0,18496.8
2014-05-16,800.0,854.0,787.65,803.15,804.7,8217092.0,68781.85
2014-05-19,815.9,835.0,808.0,809.85,811.9,2630701.0,21600.54
2014-05-20,816.0,821.6,804.35,817.0,816.05,1589258.0,12980.49
2014-05-21,812.35,814.5,805.0,808.8,809.5,910597.0,7371.95
2014-05-22,812.0,815.0,798.0,800.55,802.6,1951614.0,15637.92
2014-05-23,799.0,803.0,782.7,790.0,789.65,2454734.0,19395.94
2014-05-26,799.0,804.05,790.0,800.0,797.15,4348808.0,34718.13
2014-05-27,800.0,810.65,788.35,804.8,804.9,1904881.0,15247.8
2014-05-28,799.9,826.75,799.5,821.35,823.45,3588891.0,29407.79
2014-05-29,822.6,830.75,807.4,810.05,810.25,3421002.0,27875.38
2014-05-30,815.0,822.8,730.0,793.0,792.75,8201886.0,65330.92
2014-06-02,793.5,822.35,793.5,818.5,819.4,2020783.0,16390.63
2014-06-03,823.0,827.85,814.0,823.25,824.35,906037.0,7444.65
2014-06-04,822.4,829.7,815.1,818.0,816.7,716085.0,5884.35
2014-06-05,811.8,815.4,801.0,806.75,805.45,1918618.0,15456.1
2014-06-06,813.0,821.0,801.0,816.1,815.25,2641319.0,21357.74
2014-06-09,821.9,830.0,815.0,818.55,819.45,2334980.0,19219.97
2014-06-10,821.15,823.6,810.0,816.0,816.65,1249836.0,10201.16
2014-06-11,817.0,829.85,810.0,820.3,820.5,1935943.0,15868.6
2014-06-12,824.5,844.95,812.85,840.9,839.85,3183012.0,26595.93
2014-06-13,844.0,856.0,831.65,838.0,835.4,3053221.0,25823.9
2014-06-16,831.0,842.8,830.3,838.0,839.0,1327470.0,11104.09
2014-06-17,836.0,848.8,827.35,848.5,846.55,1747030.0,14602.18
2014-06-18,847.1,851.4,828.75,835.15,834.85,1343657.0,11262.71
2014-06-19,837.1,839.95,822.2,827.15,825.75,1180249.0,9785.1
2014-06-20,826.0,831.75,819.35,825.25,821.95,742442.0,6117.45
2014-06-23,824.0,826.55,815.3,822.7,821.45,1460211.0,11983.28
2014-06-24,825.35,832.75,825.0,828.7,829.0,1266556.0,10487.48
2014-06-25,829.0,833.2,823.0,824.9,824.1,1582656.0,13109.0
2014-06-26,820.0,826.6,808.65,814.05,812.4,5452066.0,44390.19
2014-06-27,817.85,822.0,814.0,817.0,816.2,1285740.0,10511.54
2014-06-30,819.9,832.7,819.9,821.2,821.55,1544025.0,12735.2
2014-07-01,823.0,827.95,815.0,823.95,823.3,1910343.0,15659.63
2014-07-02,830.8,842.0,825.5,838.7,839.9,1906681.0,15910.53
2014-07-03,841.0,845.3,831.35,839.0,836.8,1515685.0,12691.62
2014-07-04,836.8,858.95,835.1,856.1,856.65,1407997.0,11943.12
2014-07-07,859.9,860.7,835.85,839.65,840.45,2032992.0,17199.62
2014-07-08,844.0,848.35,820.0,823.85,829.25,1683068.0,14092.58
2014-07-09,828.0,834.85,818.0,830.75,830.3,1448888.0,12005.0
2014-07-10,830.3,848.0,812.25,821.5,823.35,2464386.0,20432.7
2014-07-11,821.1,831.45,808.8,812.0,811.8,2299695.0,18792.06
2014-07-14,815.0,820.0,807.15,816.05,817.45,1230402.0,10040.22
2014-07-15,820.75,828.8,816.5,826.2,826.8,1523009.0,12533.29
2014-07-16,829.5,838.5,817.9,836.5,835.75,2397325.0,19808.86
2014-07-17,838.7,839.0,829.5,834.4,831.8,1259775.0,10500.15
2014-07-18,828.9,836.8,822.0,832.95,832.45,1822108.0,15127.65
2014-07-21,841.7,846.95,825.25,826.5,827.45,2453414.0,20504.09
2014-07-22,829.9,842.65,827.0,840.25,839.85,1742588.0,14590.67
2014-07-23,843.1,845.0,835.0,836.0,836.3,1962463.0,16488.87
2014-07-24,836.0,844.0,833.0,842.8,842.25,1069650.0,8995.86
2014-07-25,841.0,849.8,834.15,834.9,835.5,2666488.0,22425.59
2014-07-28,838.5,839.8,828.0,830.0,829.55,971238.0,8068.39
2014-07-30,831.0,841.9,826.85,837.9,838.8,1171345.0,9779.84
2014-07-31,837.9,839.9,828.55,830.8,834.0,2975336.0,24857.53
2014-08-01,826.05,827.8,812.0,818.75,815.45,1707115.0,14005.41
