Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,122.0,123.15,121.25,122.55,122.6,2175457.0,2659.66
2014-01-01,122.6,123.8,121.35,121.85,121.8,4120036.0,5037.03
2014-01-02,121.8,125.65,120.0,120.25,120.65,7275995.0,8966.29
2014-01-03,120.0,120.7,117.1,118.45,118.75,4279292.0,5073.02
2014-01-06,118.5,119.6,117.2,117.95,118.25,3307710.0,3912.46
2014-01-07,118.15,118.95,115.0,116.2,116.05,4922926.0,5724.43
2014-01-08,118.25,118.3,114.5,114.85,115.25,5002283.0,5830.83
2014-01-09,115.0,115.25,112.0,112.7,112.65,5398443.0,6109.4
2014-01-10,112.8,113.0,110.15,110.3,110.55,9012277.0,10034.19
2014-01-13,110.2,112.25,108.5,110.8,110.0,4214147.0,4645.32
2014-01-14,110.0,111.25,108.75,109.75,109.4,2923798.0,3211.1
2014-01-15,110.3,112.9,110.2,110.75,110.85,4817973.0,5375.45
2014-01-16,111.45,113.35,111.15,113.1,112.95,4745742.0,5342.19
2014-01-17,113.5,114.0,110.5,111.6,111.3,5325344.0,5967.53
2014-01-20,110.1,113.5,110.1,112.4,112.1,3113909.0,3500.87
2014-01-21,112.45,113.4,110.65,113.1,113.0,3825639.0,4296.98
2014-01-22,112.6,115.4,112.5,115.35,115.2,5517465.0,6322.6
2014-01-23,114.2,115.25,113.6,114.3,114.3,2853691.0,3259.97
2014-01-24,113.15,115.35,113.0,113.8,114.0,5737135.0,6540.32
2014-01-27,112.0,112.7,109.3,111.45,111.1,8724577.0,9671.56
2014-01-28,110.0,115.0,109.75,113.55,113.8,4513345.0,5077.42
2014-01-29,114.5,114.75,111.15,111.85,111.75,4713458.0,5295.05
2014-01-30,110.2,110.7,107.6,108.05,108.1,5077231.0,5510.48
2014-01-31,109.05,110.0,107.0,109.7,109.55,8287236.0,9033.16
2014-02-03,109.0,109.4,103.0,103.1,103.45,5572627.0,5878.73
2014-02-04,102.0,103.45,99.8,102.45,102.45,13935173.0,14183.02
2014-02-05,102.4,105.15,101.0,104.1,104.25,9106760.0,9391.88
2014-02-06,104.65,106.5,103.1,106.05,105.75,10194884.0,10697.83
2014-02-07,106.15,107.7,104.75,106.2,106.4,9650511.0,10250.97
2014-02-10,106.45,107.7,105.8,106.7,106.8,3124538.0,3345.19
2014-02-11,106.9,107.1,104.25,104.55,104.55,3964390.0,4167.16
2014-02-12,105.15,105.6,103.05,103.3,103.5,5325176.0,5529.68
2014-02-13,103.9,104.55,99.75,100.0,100.2,12652556.0,12912.86
2014-02-14,100.75,101.0,97.85,100.15,99.9,6390793.0,6337.04
2014-02-17,100.0,100.75,97.65,98.75,98.5,6870442.0,6777.33
2014-02-18,98.7,100.5,97.75,99.1,99.3,8475360.0,8422.91
2014-02-19,99.6,100.1,98.4,98.7,98.85,4582897.0,4534.23
2014-02-20,98.5,98.55,97.05,97.1,97.35,3404267.0,3326.12
2014-02-21,97.3,98.25,97.3,97.55,97.65,6484994.0,6339.96
2014-02-24,97.65,98.8,96.7,96.75,97.45,8047904.0,7897.15
2014-02-25,97.15,99.05,97.0,98.8,98.8,15034041.0,14761.81
2014-02-26,99.75,99.75,98.05,98.6,98.4,12130348.0,12000.7
2014-02-28,99.0,106.4,99.0,105.9,105.35,26493472.0,27521.7
2014-03-03,105.0,107.35,104.7,105.65,105.6,9870841.0,10460.93
2014-03-04,105.4,114.25,105.4,114.15,113.6,16427565.0,18225.45
2014-03-05,114.85,117.2,112.2,116.1,115.75,12023136.0,13749.32
2014-03-06,115.75,121.2,114.7,120.75,120.8,16609108.0,19710.65
2014-03-07,120.1,125.85,119.8,124.4,124.55,15695038.0,19271.85
2014-03-10,123.05,123.5,121.0,121.55,121.95,8823020.0,10772.06
2014-03-11,121.9,121.9,116.2,117.05,117.4,14421017.0,17017.43
2014-03-12,115.7,118.4,113.95,114.8,114.75,9497798.0,10999.75
2014-03-13,114.5,118.95,114.5,115.55,115.65,6402750.0,7465.55
2014-03-14,114.7,116.1,113.5,115.05,115.2,5684021.0,6520.46
2014-03-18,116.0,116.4,114.2,114.85,114.85,8034386.0,9266.74
2014-03-19,115.25,121.1,114.05,119.8,120.05,15915307.0,18887.7
2014-03-20,119.65,121.95,119.0,119.2,119.65,7021283.0,8446.84
2014-03-21,120.55,124.0,119.8,123.9,123.5,10588714.0,13000.21
2014-03-22,123.15,123.15,120.75,121.15,121.2,652207.0,792.93
2014-03-24,120.0,122.5,118.2,121.25,121.6,7514958.0,9100.64
2014-03-25,120.95,122.65,120.25,120.3,120.75,8547719.0,10370.97
2014-03-26,121.1,125.95,121.1,125.1,125.4,14059505.0,17523.2
2014-03-27,125.2,126.45,124.05,125.3,125.4,6763076.0,8473.71
2014-03-28,125.4,131.7,125.0,131.1,130.9,9719662.0,12558.57
2014-03-31,132.0,142.95,131.05,141.0,141.75,27873616.0,38440.44
2014-04-01,142.0,142.5,136.1,137.9,138.2,12584698.0,17392.36
