Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,132.4,135.8,131.95,133.0,132.5,758062.0,1012.8
2014-01-01,133.8,134.5,131.7,132.0,131.9,552399.0,732.25
2014-01-02,133.0,133.9,129.8,130.45,130.25,1088537.0,1440.63
2014-01-03,130.25,133.65,129.05,131.0,131.8,1406251.0,1855.06
2014-01-06,130.6,131.5,126.25,127.7,127.7,1645991.0,2106.71
2014-01-07,128.0,128.85,124.5,125.8,126.1,1508122.0,1905.73
2014-01-08,127.7,131.5,125.75,129.75,130.0,983686.0,1267.57
2014-01-09,131.0,131.25,127.2,130.25,129.6,1818435.0,2352.99
2014-01-10,129.05,132.8,127.25,127.6,128.15,1067119.0,1387.42
2014-01-13,127.05,131.35,127.05,127.9,128.0,563327.0,725.04
2014-01-14,131.75,132.1,129.75,130.1,130.0,825503.0,1080.19
2014-01-15,132.0,133.4,130.4,130.75,130.85,1148684.0,1513.63
2014-01-16,131.0,132.9,129.8,130.8,130.2,1230711.0,1610.97
2014-01-17,131.6,132.0,128.25,130.45,129.45,1465131.0,1901.28
2014-01-20,131.8,135.0,131.0,134.9,133.1,2960720.0,3931.83
2014-01-21,141.0,142.0,134.5,135.5,135.0,4934777.0,6762.73
2014-01-22,136.0,137.7,135.3,135.5,135.6,1584193.0,2160.84
2014-01-23,135.9,136.2,132.7,133.25,133.05,1783680.0,2394.34
2014-01-24,131.1,132.35,130.55,131.0,131.05,1370487.0,1798.45
2014-01-27,129.05,130.15,126.5,126.7,127.7,1203785.0,1546.49
2014-01-28,127.9,129.8,126.3,127.45,127.25,1231887.0,1571.95
2014-01-29,126.7,128.9,126.7,128.7,128.0,994176.0,1271.96
2014-01-30,127.0,130.15,124.8,129.6,129.15,1787547.0,2274.78
2014-01-31,129.9,130.9,128.0,129.85,129.45,454970.0,587.61
2014-02-03,129.05,129.6,124.65,125.2,125.1,1164823.0,1475.45
2014-02-04,124.2,126.9,122.0,123.5,125.2,1567984.0,1962.12
2014-02-05,124.55,125.5,123.6,124.1,124.2,882868.0,1097.09
2014-02-06,125.9,127.0,124.2,125.75,125.75,1134537.0,1422.68
2014-02-07,126.25,128.35,124.6,125.0,125.0,1708592.0,2150.79
2014-02-10,125.7,127.6,124.9,125.0,125.15,996905.0,1254.69
2014-02-11,125.2,126.0,124.0,124.9,124.6,701785.0,875.79
2014-02-12,125.8,125.8,124.05,125.0,125.1,999091.0,1248.24
2014-02-13,126.0,126.9,125.1,125.1,125.4,1346004.0,1695.56
2014-02-14,126.15,126.35,123.0,124.0,123.25,1971235.0,2439.59
2014-02-17,123.65,124.6,122.25,123.4,123.25,555431.0,684.82
2014-02-18,122.0,122.05,117.6,120.3,120.3,1447855.0,1739.97
2014-02-19,120.0,120.7,118.55,119.6,119.35,751870.0,899.06
2014-02-20,117.55,122.4,117.55,121.8,121.8,1361941.0,1644.8
2014-02-21,122.55,123.5,121.45,121.6,122.2,907061.0,1109.5
