Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,171.7,171.7,166.2,166.95,166.9,1904687.0,3189.94
2014-01-01,167.9,168.65,166.55,167.95,168.05,2155552.0,3615.97
2014-01-02,169.0,169.85,160.0,160.6,160.6,4209300.0,6952.81
2014-01-03,160.1,163.95,158.75,162.15,162.5,3244416.0,5231.47
2014-01-06,162.05,162.9,158.7,159.1,159.25,1736699.0,2781.34
2014-01-07,159.0,163.05,157.2,162.0,162.1,2921450.0,4678.59
2014-01-08,163.0,163.4,160.5,161.6,161.5,4699937.0,7595.9
2014-01-09,160.55,162.5,159.55,160.75,160.45,2768127.0,4456.57
2014-01-10,161.0,162.2,158.0,161.65,161.2,4177864.0,6707.47
2014-01-13,161.0,163.3,158.05,162.25,161.9,3812280.0,6182.44
2014-01-14,161.5,168.3,161.5,167.0,167.25,5830313.0,9717.03
2014-01-15,167.55,170.2,167.1,168.25,168.1,3336564.0,5632.91
2014-01-16,167.5,167.9,155.1,155.5,156.05,8955481.0,14189.85
2014-01-17,155.35,156.0,145.6,151.15,151.0,15979118.0,24030.68
2014-01-20,151.4,154.65,151.4,153.95,153.95,7393916.0,11303.33
2014-01-21,154.85,155.2,152.5,153.0,152.9,4907200.0,7525.28
2014-01-22,154.0,154.95,153.05,153.7,153.8,2704689.0,4162.33
2014-01-23,153.6,156.4,149.85,154.3,154.2,5690604.0,8700.59
2014-01-24,153.75,154.0,150.1,152.0,152.45,4089763.0,6207.34
2014-01-27,151.4,152.5,143.3,146.8,144.8,6622255.0,9796.92
2014-01-28,148.0,148.3,135.5,138.7,139.2,13215024.0,18419.71
2014-01-29,139.25,141.0,139.0,139.1,139.9,15065057.0,21086.61
2014-01-30,137.9,141.2,137.0,140.75,140.45,10383267.0,14535.6
2014-01-31,141.2,144.0,141.0,143.3,143.5,5744461.0,8223.4
2014-02-03,143.0,144.2,139.65,140.3,140.2,3940150.0,5587.65
2014-02-04,139.8,153.1,136.25,151.2,151.25,8707839.0,12756.36
2014-02-05,150.15,151.0,143.1,144.25,144.25,5256175.0,7652.21
2014-02-06,146.0,148.1,143.3,144.9,145.15,3953735.0,5752.09
2014-02-07,146.9,146.9,137.65,138.5,138.1,8170963.0,11423.8
2014-02-10,139.7,139.7,125.7,126.3,126.45,18360410.0,23821.93
2014-02-11,127.0,131.0,127.0,129.95,129.75,13485136.0,17455.54
2014-02-12,131.4,133.65,131.15,133.25,133.15,6737756.0,8934.3
2014-02-13,133.5,134.0,131.05,131.75,131.7,4373566.0,5770.24
2014-02-14,133.75,139.25,131.25,132.6,132.6,12333370.0,16587.34
2014-02-17,133.5,133.85,128.9,130.45,130.5,7873358.0,10255.19
2014-02-18,129.25,131.9,128.95,131.0,131.05,2653360.0,3476.39
2014-02-19,130.05,134.5,130.05,133.5,133.5,2494885.0,3326.28
2014-02-20,133.0,133.25,129.85,130.15,130.35,2498693.0,3269.63
2014-02-21,131.55,131.95,127.35,129.0,128.65,7856381.0,10169.93
2014-02-24,129.0,130.85,126.65,128.45,128.25,3732877.0,4818.46
2014-02-25,128.55,130.2,126.6,127.25,127.3,2502180.0,3215.78
2014-02-26,127.95,130.15,125.35,126.45,126.0,4159971.0,5309.7
2014-02-28,126.55,130.5,125.1,129.9,128.9,8143669.0,10343.1
2014-03-03,129.55,132.65,129.0,130.3,130.75,5017925.0,6569.47
2014-03-04,130.3,133.0,130.0,132.4,132.45,7008930.0,9183.53
2014-03-05,132.5,133.0,131.1,131.6,131.6,18070895.0,23839.25
2014-03-06,131.6,133.85,131.6,132.0,132.0,3373937.0,4467.69
2014-03-07,132.1,137.25,132.1,135.6,135.65,4781153.0,6479.41
2014-03-10,134.4,141.0,134.4,140.4,140.3,4058003.0,5625.93
2014-03-11,141.0,142.45,136.1,138.95,140.15,6843968.0,9543.92
2014-03-12,138.9,142.5,138.25,141.9,141.9,2315415.0,3269.66
2014-03-13,141.0,141.65,139.0,139.5,139.95,6015782.0,8425.2
2014-03-14,139.0,140.0,135.0,136.2,136.75,5980447.0,8173.9
