Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,416.0,422.5,416.0,420.1,420.7,565994.0,2376.86
2014-01-01,422.6,424.6,421.35,424.4,423.35,436060.0,1843.72
2014-01-02,423.5,432.9,410.6,411.75,413.05,1488105.0,6302.36
2014-01-03,413.0,415.5,406.6,414.4,413.9,1744494.0,7169.81
2014-01-06,414.15,415.0,409.1,412.6,413.3,1053536.0,4341.07
2014-01-07,418.0,421.5,411.0,419.9,418.85,1751684.0,7296.71
2014-01-08,423.5,426.5,420.3,421.95,421.9,1438845.0,6092.75
2014-01-09,423.3,423.35,411.95,417.4,416.8,1444817.0,6019.66
2014-01-10,421.95,428.5,402.4,403.6,405.9,6439413.0,26797.18
2014-01-13,406.0,415.5,401.45,414.15,413.1,2578191.0,10523.57
2014-01-14,411.0,420.95,410.9,420.0,418.85,1651642.0,6879.87
2014-01-15,420.1,425.9,419.0,424.0,424.95,1604906.0,6780.63
2014-01-16,425.6,429.65,424.4,428.55,428.7,1392236.0,5947.45
2014-01-17,428.7,429.5,421.0,423.4,423.35,1164331.0,4946.91
2014-01-20,422.9,437.0,420.55,435.0,433.6,1078601.0,4630.35
2014-01-21,436.2,440.0,430.6,434.75,433.8,1291285.0,5636.25
2014-01-22,431.65,438.0,430.9,433.1,434.25,908648.0,3953.61
2014-01-23,432.0,435.45,427.55,430.35,429.7,1049336.0,4514.18
2014-01-24,425.5,431.5,414.05,415.0,414.75,2127724.0,8942.49
2014-01-27,405.3,410.1,392.6,396.35,395.3,3637896.0,14442.91
2014-01-28,397.5,400.35,377.6,389.85,389.85,3241962.0,12644.11
2014-01-29,396.0,398.0,378.55,380.35,380.3,1703617.0,6571.21
2014-01-30,376.0,380.3,369.5,379.7,378.45,3221639.0,12097.69
2014-01-31,378.95,385.55,378.95,383.25,383.8,1575659.0,6030.46
2014-02-03,380.45,384.95,377.7,382.0,382.3,809570.0,3089.54
2014-02-04,378.1,389.6,372.2,388.0,387.9,1783912.0,6838.78
2014-02-05,387.5,395.35,386.3,394.95,394.5,1836383.0,7191.75
2014-02-06,394.0,398.25,386.0,391.0,390.65,1223712.0,4794.24
2014-02-07,395.0,397.5,385.3,387.8,388.65,1428673.0,5561.16
2014-02-10,389.15,392.8,383.4,384.4,384.8,719987.0,2795.95
2014-02-11,384.9,390.0,384.3,386.3,386.45,717541.0,2777.72
2014-02-12,390.2,391.0,384.6,384.9,385.45,919601.0,3562.53
2014-02-13,386.1,386.7,372.25,373.6,373.95,1003217.0,3799.61
2014-02-14,376.3,381.35,371.75,376.7,376.9,1410332.0,5300.47
2014-02-17,376.1,384.0,375.0,383.0,381.75,1047736.0,3969.06
2014-02-18,378.05,391.5,377.9,389.55,389.2,1763389.0,6858.05
2014-02-19,389.25,394.7,388.3,394.7,392.9,1498154.0,5864.51
2014-02-20,389.0,392.1,383.3,384.45,384.5,3540155.0,13665.44
2014-02-21,384.6,394.2,384.6,390.0,392.05,1147452.0,4477.18
2014-02-24,390.0,401.3,387.0,400.5,399.1,2077167.0,8181.05
2014-02-25,403.95,406.75,397.65,402.0,402.65,1853952.0,7453.43
2014-02-26,402.0,403.5,394.3,397.0,395.8,1000077.0,3980.63
2014-02-28,397.5,404.2,392.0,397.0,397.5,1337890.0,5340.25
2014-03-03,397.0,403.75,390.35,391.25,392.25,903952.0,3590.49
2014-03-04,391.5,413.0,391.5,412.3,411.2,2110860.0,8541.59
2014-03-05,415.0,421.4,409.0,414.45,415.95,1885593.0,7828.3
2014-03-06,417.8,424.5,416.0,421.5,420.85,1766045.0,7426.24
2014-03-07,422.5,452.6,422.5,443.05,444.1,4034650.0,17794.09
2014-03-10,445.7,470.9,442.1,468.5,468.65,4924045.0,22740.61
2014-03-11,470.2,477.95,460.0,477.65,473.6,2898887.0,13588.87
2014-03-12,474.25,474.25,459.8,471.0,469.7,2039528.0,9527.95
2014-03-13,472.2,479.85,464.75,466.05,469.2,2171476.0,10300.12
2014-03-14,462.0,470.0,456.1,468.5,468.15,1858887.0,8629.49
2014-03-18,470.0,484.7,470.0,482.2,482.85,3507136.0,16853.91
2014-03-19,484.0,484.9,476.3,479.55,479.3,1470017.0,7041.05
2014-03-20,482.0,483.0,467.85,468.45,468.95,1348600.0,6388.76
2014-03-21,472.9,477.9,469.6,472.0,471.45,1458528.0,6909.27
2014-03-22,472.5,472.5,468.5,472.0,471.5,92403.0,435.37
2014-03-24,475.0,493.5,475.0,491.3,490.3,3390514.0,16555.44
2014-03-25,494.45,494.45,484.8,486.0,486.1,2615164.0,12771.24
2014-03-26,490.1,497.8,485.75,487.85,490.3,2581666.0,12685.07
2014-03-27,489.75,494.5,487.55,491.0,491.65,2170348.0,10667.25
2014-03-28,495.0,509.5,493.0,500.0,501.45,2065347.0,10418.84
2014-03-31,505.0,508.45,496.15,500.0,501.85,1905650.0,9556.32
2014-04-01,502.95,504.0,491.55,499.3,499.25,1149446.0,5729.57
2014-04-02,502.0,509.9,493.65,509.0,508.2,1991703.0,9982.6
2014-04-03,508.5,508.5,493.5,497.0,495.65,1599787.0,7951.51
2014-04-04,494.6,503.5,494.05,501.25,500.85,3169896.0,15841.17
2014-04-07,500.85,505.35,495.75,498.0,497.85,1136853.0,5671.52
2014-04-09,503.3,518.5,498.35,516.35,516.85,2384220.0,12087.15
2014-04-10,517.0,520.5,508.1,508.5,512.2,1620315.0,8333.93
2014-04-11,502.65,504.7,488.35,490.05,490.15,1451648.0,7208.31
2014-04-15,494.0,496.85,479.4,483.55,483.25,1027632.0,5015.74
2014-04-16,485.1,495.0,483.4,487.5,487.15,3374626.0,16503.89
2014-04-17,491.8,504.1,486.95,498.0,498.95,2147605.0,10641.49
2014-04-21,500.0,508.35,495.2,505.0,506.4,1141176.0,5762.81
2014-04-22,506.0,507.45,494.5,498.15,497.9,1236478.0,6172.3
2014-04-23,495.2,502.9,491.2,501.7,497.4,2484935.0,12359.89
2014-04-25,496.25,507.65,493.0,494.4,495.35,1701681.0,8449.93
2014-04-28,497.9,499.0,488.75,494.8,493.85,1115291.0,5512.55
2014-04-29,495.0,498.9,483.7,484.15,485.3,1443629.0,7041.49
2014-04-30,486.4,492.8,473.7,479.05,478.35,1391554.0,6735.22
