Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,168.0,169.85,167.6,168.75,168.55,42516.0,71.65
2014-01-01,169.5,170.0,167.75,167.95,168.15,13233.0,22.29
2014-01-02,166.6,172.3,166.6,170.25,171.5,98992.0,169.21
2014-01-03,172.0,175.95,170.0,173.2,174.8,483177.0,843.9
2014-01-06,175.0,178.7,170.25,177.4,176.05,1127035.0,1986.81
2014-01-07,176.2,180.0,173.85,175.45,174.8,81502.0,144.19
2014-01-08,174.95,177.95,173.2,177.4,176.95,58616.0,103.64
2014-01-09,175.1,178.15,175.1,177.05,177.2,52817.0,93.55
2014-01-10,177.9,178.5,168.6,178.0,177.75,611082.0,1086.06
2014-01-13,176.05,178.5,175.0,176.0,176.4,22147.0,39.09
2014-01-14,177.9,179.8,174.0,174.25,175.25,20377.0,35.73
2014-01-15,172.7,176.9,172.7,175.0,174.9,2272058.0,3979.38
2014-01-16,176.55,176.55,170.0,170.0,172.8,618233.0,1076.67
2014-01-17,170.2,173.65,165.4,165.85,171.9,476833.0,823.79
2014-01-20,166.25,170.45,166.05,167.5,167.6,62805.0,105.25
2014-01-21,166.2,168.0,165.35,167.0,166.95,40312.0,67.23
2014-01-22,165.25,169.5,164.0,164.15,165.4,14664.0,24.49
2014-01-23,161.6,171.45,161.6,168.5,168.05,2706015.0,4524.1
2014-01-24,170.9,175.2,169.1,172.8,174.1,1690454.0,2921.62
2014-01-27,175.0,175.1,166.0,168.0,167.75,736309.0,1238.64
2014-01-28,168.0,173.65,167.5,172.0,171.75,184255.0,316.81
2014-01-29,175.0,177.55,172.75,173.55,174.0,415425.0,725.65
2014-01-30,173.0,173.1,168.5,171.5,171.25,178340.0,305.63
2014-01-31,171.95,173.1,170.5,171.75,171.95,173173.0,297.75
2014-02-03,172.0,172.0,162.35,163.7,164.45,331524.0,556.3
2014-02-04,165.0,168.0,163.7,165.95,165.25,115192.0,191.2
2014-02-05,164.05,169.8,164.05,165.5,165.85,133255.0,223.37
2014-02-06,164.6,173.35,164.6,169.5,169.5,306438.0,521.89
2014-02-07,168.25,173.5,165.75,167.45,167.05,2720807.0,4560.07
2014-02-10,167.95,169.5,164.5,165.45,165.75,1233008.0,2048.64
2014-02-11,165.75,169.25,165.0,167.35,167.0,197195.0,330.56
2014-02-12,167.95,168.9,166.75,168.0,167.95,1988042.0,3337.41
2014-02-13,167.05,168.65,165.5,168.2,168.35,349376.0,583.58
2014-02-14,168.0,174.3,167.9,173.7,172.75,2860468.0,4836.39
2014-02-17,174.9,176.0,165.0,170.0,170.0,752568.0,1309.77
2014-02-18,169.25,171.8,168.55,170.0,170.6,573261.0,975.99
2014-02-19,171.0,172.5,167.9,170.2,171.25,28736.0,49.21
2014-02-20,169.55,171.75,168.45,171.0,170.15,20110.0,34.23
2014-02-21,170.5,173.9,168.5,173.6,172.4,1377669.0,2347.57
2014-02-24,169.2,173.45,169.2,170.05,171.5,771916.0,1320.22
2014-02-25,170.25,172.5,170.0,172.0,171.85,1541690.0,2640.76
2014-02-26,171.0,172.25,169.0,172.0,171.95,1497090.0,2561.93
2014-02-28,172.0,181.8,172.0,179.0,179.8,1959185.0,3475.57
2014-03-03,177.2,193.0,177.2,187.5,187.6,364203.0,683.0
