Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,3500.0,3521.7,3480.25,3482.6,3485.65,448851.0,15668.4
2014-01-01,3492.0,3499.0,3462.05,3465.4,3468.0,184836.0,6420.64
2014-01-02,3463.25,3508.0,3463.25,3484.2,3480.55,550593.0,19178.99
2014-01-03,3475.0,3575.0,3454.25,3561.2,3565.15,1255793.0,44453.89
2014-01-06,3575.1,3580.5,3468.6,3510.9,3517.9,1387291.0,48837.27
2014-01-07,3519.05,3525.9,3446.7,3460.0,3457.15,964211.0,33539.83
2014-01-08,3461.0,3475.0,3421.0,3432.4,3428.1,1123799.0,38625.51
2014-01-09,3440.0,3482.0,3417.85,3448.3,3450.8,1573851.0,54356.59
2014-01-10,3490.0,3575.0,3448.0,3556.0,3551.25,3782272.0,133677.59
2014-01-13,3582.0,3675.0,3582.0,3664.0,3665.0,2139989.0,78335.22
2014-01-14,3645.0,3695.0,3640.45,3691.9,3686.75,928229.0,34049.48
2014-01-15,3695.3,3724.35,3681.0,3718.0,3712.05,2141268.0,79380.93
2014-01-16,3699.0,3737.45,3693.65,3721.95,3725.05,2201029.0,81907.78
2014-01-17,3729.0,3764.65,3720.0,3741.0,3729.75,3208487.0,120246.53
2014-01-20,3712.0,3759.95,3704.45,3755.5,3749.3,1220243.0,45552.52
2014-01-21,3750.0,3770.0,3718.35,3758.0,3758.35,1512808.0,56656.01
2014-01-22,3741.2,3778.0,3740.05,3770.0,3765.9,846220.0,31847.14
2014-01-23,3784.1,3799.0,3760.85,3796.5,3792.5,988418.0,37364.42
2014-01-24,3765.0,3796.95,3754.7,3764.8,3758.15,859573.0,32434.28
2014-01-27,3720.0,3763.9,3711.2,3739.2,3732.2,1012381.0,37853.8
2014-01-28,3707.0,3708.7,3666.85,3685.0,3675.1,1763568.0,64960.73
2014-01-29,3666.0,3743.7,3653.65,3718.0,3717.8,1012760.0,37560.13
2014-01-30,3703.7,3716.7,3660.0,3700.0,3704.25,897954.0,33129.65
2014-01-31,3700.0,3739.75,3686.55,3692.4,3701.1,671241.0,24956.28
2014-02-03,3685.0,3692.0,3624.8,3625.0,3629.15,548014.0,19959.64
2014-02-04,3581.0,3591.95,3546.55,3573.25,3561.1,566889.0,20216.44
2014-02-05,3580.0,3589.0,3542.75,3581.8,3581.25,540874.0,19298.4
2014-02-06,3572.0,3583.0,3541.0,3562.0,3563.7,718738.0,25577.83
2014-02-07,3587.0,3601.85,3548.85,3571.0,3566.55,943932.0,33830.61
2014-02-10,3579.9,3586.0,3557.5,3564.7,3573.8,756178.0,27016.18
2014-02-11,3584.0,3622.0,3573.5,3596.0,3596.25,729199.0,26248.35
2014-02-12,3600.5,3627.45,3593.2,3599.35,3600.1,526089.0,18986.98
