Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,323.0,324.0,320.3,321.0,321.85,3471184.0,11187.8
2014-01-01,322.3,323.4,321.1,322.75,322.4,1239519.0,3998.6
2014-01-02,322.35,325.0,314.3,315.8,314.95,4523191.0,14431.89
2014-01-03,315.0,316.0,310.35,316.0,314.75,7999918.0,25068.63
2014-01-06,315.0,316.7,313.5,316.55,315.65,5436752.0,17155.93
2014-01-07,316.5,317.4,312.75,317.0,316.7,5186092.0,16378.95
2014-01-08,317.5,318.0,313.75,316.85,316.85,4983658.0,15755.78
2014-01-09,316.7,316.7,312.65,316.0,315.6,5109246.0,16075.26
2014-01-10,317.7,324.5,314.0,322.6,322.6,6124872.0,19676.81
2014-01-13,323.6,326.3,322.6,326.0,325.45,4238931.0,13770.08
2014-01-14,326.0,330.0,323.85,324.1,324.45,5045534.0,16473.14
2014-01-15,325.1,329.5,321.35,328.7,328.85,5899190.0,19203.79
2014-01-16,329.0,330.9,323.65,326.6,325.5,3163725.0,10311.8
2014-01-17,326.0,328.0,322.5,325.0,324.85,7518595.0,24430.45
2014-01-20,324.5,330.5,323.1,330.1,330.2,5738121.0,18849.95
2014-01-21,330.25,332.35,328.5,328.5,329.05,4650020.0,15341.61
2014-01-22,328.5,328.75,322.8,326.5,327.35,7578940.0,24609.56
2014-01-23,326.35,330.0,325.3,329.55,328.95,4195413.0,13770.09
2014-01-24,327.9,330.4,323.4,324.5,324.25,3418348.0,11131.73
2014-01-27,320.5,325.5,318.65,324.7,324.2,6162652.0,19917.52
2014-01-28,324.15,327.95,318.9,327.4,326.65,8743040.0,28221.59
2014-01-29,327.3,328.5,324.2,325.55,325.0,6083587.0,19803.28
2014-01-30,321.55,325.7,318.0,325.0,324.6,10228302.0,32847.18
2014-01-31,324.9,325.7,322.1,325.0,325.1,6254388.0,20302.2
2014-02-03,322.65,324.75,319.7,321.3,320.3,4410235.0,14192.11
2014-02-04,318.5,325.75,315.9,325.2,324.9,8587629.0,27566.2
2014-02-05,322.5,324.75,317.5,318.75,318.95,6082648.0,19405.6
2014-02-06,320.0,325.3,316.5,325.0,324.55,7733999.0,24862.37
2014-02-07,327.0,327.0,320.2,324.0,323.45,7953386.0,25655.0
2014-02-10,322.55,325.35,321.0,325.0,325.0,4546761.0,14710.27
2014-02-11,324.1,326.25,322.55,325.1,325.1,5051779.0,16422.37
2014-02-12,325.5,327.0,319.0,319.8,320.55,6080660.0,19603.95
2014-02-13,320.7,323.0,315.25,316.2,316.9,2762835.0,8826.41
2014-02-14,318.1,320.3,314.7,319.75,319.8,3872073.0,12285.96
2014-02-17,321.0,322.25,317.55,320.2,320.1,3300648.0,10559.51
2014-02-18,320.0,321.55,316.15,316.55,316.9,3899317.0,12417.72
2014-02-19,317.8,318.85,316.1,316.5,316.65,2156544.0,6844.56
2014-02-20,316.0,316.95,311.4,312.0,311.85,4543177.0,14252.88
2014-02-21,313.5,317.85,312.6,317.5,317.6,4587503.0,14510.33
2014-02-24,316.0,320.5,316.0,319.05,320.05,2766261.0,8837.1
2014-02-25,319.1,322.4,319.1,322.15,321.95,3569371.0,11478.39
2014-02-26,322.8,329.85,322.5,328.4,328.75,7954645.0,26007.06
2014-02-28,324.95,332.0,324.95,326.0,327.65,7939096.0,26099.0
