Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1026.0,1028.85,1010.55,1016.1,1017.2,619397.0,6297.39
2014-01-01,1019.8,1022.7,1011.55,1015.7,1015.4,259256.0,2635.94
2014-01-02,1017.65,1040.0,991.7,1004.95,1009.1,1379033.0,14121.73
2014-01-03,1005.1,1009.7,986.0,993.05,994.05,738014.0,7332.57
2014-01-06,998.7,1041.7,996.5,1034.45,1034.3,1109492.0,11426.63
2014-01-07,1035.45,1046.2,1014.0,1030.5,1027.55,888140.0,9133.92
2014-01-08,1027.25,1033.7,1018.0,1029.0,1026.3,474541.0,4866.05
2014-01-09,1029.0,1032.0,1007.8,1030.0,1025.6,522166.0,5324.69
2014-01-10,1030.0,1034.0,1015.2,1023.05,1023.3,479360.0,4909.38
2014-01-13,1023.25,1031.25,1010.0,1016.3,1019.3,629451.0,6420.05
2014-01-14,1015.0,1024.9,1002.1,1005.95,1009.85,451497.0,4567.78
2014-01-15,1008.25,1019.5,985.2,991.0,990.35,743118.0,7448.95
2014-01-16,996.95,1026.0,986.2,1024.9,1023.45,716737.0,7257.33
2014-01-17,1023.5,1024.6,992.0,1000.0,1000.2,444206.0,4456.54
2014-01-20,999.0,1010.25,981.5,984.25,987.0,463208.0,4596.72
2014-01-21,990.5,1001.85,983.85,991.5,990.75,387780.0,3844.43
2014-01-22,991.0,1000.0,987.0,996.5,994.55,330293.0,3282.77
2014-01-23,994.45,1007.35,990.1,993.25,994.25,458629.0,4575.6
2014-01-24,985.05,994.8,965.4,967.65,970.05,643599.0,6279.97
2014-01-27,960.0,960.0,908.65,915.1,914.7,629543.0,5846.16
2014-01-28,915.25,946.5,908.0,929.45,930.6,1397221.0,13002.6
2014-01-29,937.25,944.2,922.5,931.0,933.05,535742.0,4994.94
2014-01-30,923.3,923.7,880.7,901.9,896.2,1166595.0,10442.92
2014-01-31,902.0,921.15,898.2,917.5,917.35,717752.0,6555.71
2014-02-03,908.85,914.9,847.3,850.0,852.6,927684.0,8071.8
2014-02-04,839.0,865.0,826.25,844.55,843.3,817416.0,6925.1
2014-02-05,847.65,856.5,833.25,848.0,846.8,637562.0,5381.46
2014-02-06,854.25,861.2,827.65,843.9,842.35,870134.0,7361.44
2014-02-07,856.0,872.85,847.9,870.0,868.8,1062774.0,9189.76
2014-02-10,870.1,883.0,840.65,843.15,849.95,759280.0,6545.24
2014-02-11,853.5,866.45,850.6,860.0,859.6,502126.0,4312.83
2014-02-12,862.55,865.25,836.15,837.05,843.4,487145.0,4121.42
2014-02-13,850.0,850.0,808.15,809.95,815.1,540654.0,4481.15
2014-02-14,815.9,838.0,804.0,836.7,834.25,647996.0,5326.78
2014-02-17,835.0,858.45,818.85,857.0,846.45,477517.0,3992.64
2014-02-18,855.95,878.8,855.95,871.1,871.1,810850.0,7049.92
2014-02-19,865.0,873.9,858.5,872.9,868.85,357112.0,3089.43
2014-02-20,862.0,873.0,852.5,870.0,867.9,564283.0,4882.45
2014-02-21,870.0,890.0,869.0,885.95,886.0,602799.0,5335.9
2014-02-24,887.0,898.6,875.6,880.05,882.8,657050.0,5806.89
2014-02-25,882.85,894.4,853.4,859.0,857.6,879263.0,7661.17
2014-02-26,858.95,869.9,846.05,858.75,858.15,946040.0,8105.4
2014-02-28,859.95,879.5,853.65,873.35,875.95,786120.0,6806.43
2014-03-03,874.5,881.3,862.1,867.8,868.8,500266.0,4358.06
2014-03-04,868.0,892.95,866.15,891.0,890.8,711243.0,6289.6
2014-03-05,897.8,903.0,882.0,894.0,896.7,732467.0,6546.79
2014-03-06,897.0,917.9,890.45,908.15,908.3,887132.0,8045.58
2014-03-07,915.0,946.95,908.0,942.2,940.85,948122.0,8869.23
2014-03-10,935.25,981.65,932.0,977.6,972.3,986038.0,9460.28
2014-03-11,978.0,978.95,932.0,935.0,936.7,746096.0,7070.6
2014-03-12,934.3,965.8,926.4,945.0,945.8,701004.0,6661.18
2014-03-13,946.7,959.6,922.8,924.1,928.5,707489.0,6642.79
2014-03-14,921.15,943.4,914.4,940.1,939.4,636614.0,5938.21
2014-03-18,943.25,960.85,940.8,942.0,948.15,678676.0,6461.55
2014-03-19,950.25,977.0,943.3,969.5,971.7,763742.0,7383.81
2014-03-20,971.0,974.6,942.85,949.5,948.65,593215.0,5684.62
2014-03-21,951.15,988.8,951.15,983.7,981.45,955553.0,9330.47
2014-03-22,980.0,990.0,977.5,990.0,985.25,67096.0,659.14
2014-03-24,991.05,999.0,973.2,976.6,979.25,573593.0,5638.97
2014-03-25,975.5,998.4,975.5,978.0,980.45,617630.0,6097.05
2014-03-26,986.65,1004.0,985.05,998.0,997.5,717701.0,7145.6
2014-03-27,999.0,1008.0,986.1,1000.1,1000.15,1132826.0,11307.01
2014-03-28,1005.0,1010.95,981.0,981.0,984.85,557295.0,5536.76
2014-03-31,988.8,1047.45,986.0,1035.95,1036.05,1404479.0,14372.84
2014-04-01,1044.7,1044.7,1003.55,1022.15,1022.9,698326.0,7108.73
2014-04-02,1030.1,1040.0,1012.4,1029.0,1031.45,861795.0,8865.6
2014-04-03,1031.45,1060.0,1020.0,1057.0,1057.15,1015633.0,10675.98
2014-04-04,1060.0,1069.0,1046.1,1067.0,1064.25,633683.0,6726.18
2014-04-07,1061.35,1074.0,1048.1,1052.1,1058.5,587365.0,6218.97
2014-04-09,1061.25,1069.0,1055.6,1064.3,1065.0,558216.0,5937.9
2014-04-10,1066.0,1085.0,1062.55,1071.05,1073.4,477492.0,5132.93
2014-04-11,1060.25,1074.55,1052.0,1060.1,1059.8,832990.0,8820.99
2014-04-15,1060.0,1069.5,1003.0,1004.2,1012.45,596766.0,6162.59
2014-04-16,1010.95,1027.0,995.85,1021.4,1015.1,680194.0,6893.67
2014-04-17,1020.0,1052.0,1005.65,1050.05,1045.0,578439.0,5980.17
2014-04-21,1057.9,1110.0,1049.55,1093.0,1098.1,747130.0,8086.36
2014-04-22,1098.9,1126.0,1087.2,1104.0,1108.95,944464.0,10470.19
2014-04-23,1098.0,1120.05,1095.0,1118.1,1113.65,589576.0,6531.34
2014-04-25,1111.1,1135.55,1107.3,1112.0,1114.4,530717.0,5945.67
2014-04-28,1115.0,1129.0,1110.35,1112.8,1115.1,435415.0,4875.7
2014-04-29,1115.0,1116.05,1057.8,1061.4,1061.95,491610.0,5288.32
2014-04-30,1046.05,1090.0,1045.6,1088.15,1083.05,801225.0,8631.73
2014-05-02,1085.15,1103.1,1065.8,1090.6,1090.6,689302.0,7476.96
2014-05-05,1082.5,1118.0,1082.5,1101.0,1104.7,563682.0,6223.94
2014-05-06,1110.0,1117.8,1102.05,1112.55,1112.0,316793.0,3517.68
2014-05-07,1107.0,1110.8,1088.0,1090.6,1097.15,395087.0,4347.56
2014-05-08,1104.95,1104.95,1085.3,1092.1,1095.6,289072.0,3164.57
2014-05-09,1087.0,1138.2,1083.25,1132.4,1132.35,686358.0,7642.51
2014-05-12,1134.0,1168.7,1117.0,1155.35,1162.25,774299.0,8939.51
2014-05-13,1169.7,1185.0,1141.8,1151.7,1153.3,601475.0,7029.3
2014-05-14,1155.1,1175.0,1142.15,1171.15,1170.85,387629.0,4513.82
2014-05-15,1170.05,1179.75,1145.0,1151.25,1155.9,484985.0,5628.49
2014-05-16,1165.25,1251.9,1146.2,1174.0,1177.2,908246.0,10939.61
2014-05-19,1192.05,1260.0,1185.0,1258.0,1242.55,648715.0,7956.14
2014-05-20,1256.95,1265.0,1221.3,1223.45,1228.0,500694.0,6211.56
2014-05-21,1230.0,1235.95,1207.05,1217.0,1217.3,358583.0,4361.1
2014-05-22,1224.0,1235.75,1200.9,1209.2,1213.9,290348.0,3543.48
2014-05-23,1214.8,1272.0,1208.3,1260.2,1265.9,649023.0,8097.61
2014-05-26,1275.0,1295.4,1201.5,1233.0,1239.95,541659.0,6842.72
2014-05-27,1240.0,1250.0,1200.0,1225.55,1230.45,468132.0,5720.95
2014-05-28,1216.0,1227.0,1171.35,1207.0,1205.55,808339.0,9713.52
2014-05-29,1204.95,1225.9,1200.0,1213.3,1208.75,538500.0,6522.39
2014-05-30,1210.05,1249.85,1203.85,1207.1,1211.4,715922.0,8755.29
2014-06-02,1222.95,1238.6,1210.25,1229.85,1226.35,431729.0,5281.67
