Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,734.95,735.0,725.5,727.7,728.25,180271.0,1312.9
2014-01-01,732.0,732.05,720.75,723.8,722.55,392768.0,2844.01
2014-01-02,722.6,731.45,703.0,705.5,707.4,456139.0,3288.69
2014-01-03,707.1,716.3,696.6,713.0,712.55,572567.0,4071.12
2014-01-06,710.0,717.0,705.6,712.0,714.1,446715.0,3177.53
2014-01-07,712.0,715.0,700.0,707.65,708.15,643794.0,4541.52
2014-01-08,709.0,717.0,703.65,713.0,712.9,312983.0,2231.71
2014-01-09,710.5,715.55,706.65,709.0,710.15,307583.0,2187.19
2014-01-10,704.1,714.8,698.0,699.8,700.45,366224.0,2587.96
2014-01-13,695.15,724.75,695.15,723.95,716.9,472492.0,3352.6
2014-01-14,716.0,723.1,707.0,714.0,711.3,263826.0,1880.77
2014-01-15,714.0,731.15,712.55,726.35,729.15,555643.0,4024.17
2014-01-16,730.3,735.0,723.0,730.35,731.45,551182.0,4033.1
2014-01-17,730.5,737.75,720.0,725.0,727.1,323149.0,2353.88
2014-01-20,725.8,737.5,720.0,726.0,728.15,499317.0,3633.75
2014-01-21,729.7,732.0,704.0,705.3,706.3,1700142.0,12098.35
2014-01-22,705.0,718.0,698.2,709.0,710.3,1320297.0,9372.78
2014-01-23,707.0,711.55,703.2,706.65,705.3,337870.0,2389.14
2014-01-24,695.0,704.8,681.0,683.95,684.75,857803.0,5899.86
2014-01-27,678.1,682.5,654.55,656.0,658.1,1614766.0,10780.84
2014-01-28,657.0,670.0,645.05,660.35,659.8,1339459.0,8848.27
2014-01-29,667.0,674.95,662.9,663.9,664.0,537280.0,3580.74
2014-01-30,650.1,660.0,647.75,648.0,650.05,842363.0,5494.16
2014-01-31,649.5,661.3,648.75,656.5,657.05,557033.0,3656.66
2014-02-03,651.3,658.0,649.8,655.1,654.95,1159223.0,7555.42
2014-02-04,648.0,667.85,643.6,665.2,665.3,507935.0,3349.27
2014-02-05,665.0,671.4,650.35,670.75,667.5,831542.0,5495.23
2014-02-06,672.0,676.1,652.5,659.95,660.5,1090566.0,7223.57
2014-02-07,662.0,666.5,652.4,656.0,658.85,718389.0,4731.79
2014-02-10,661.85,661.85,644.0,645.0,647.25,739896.0,4809.26
2014-02-11,648.9,652.0,640.65,646.0,647.25,491337.0,3185.45
