Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,218.2,219.9,215.7,219.35,219.25,3035291.0,6633.05
2014-01-01,220.05,224.0,219.25,221.7,221.7,2849778.0,6334.4
2014-01-02,221.05,224.65,210.05,211.2,211.55,3751067.0,8195.66
2014-01-03,210.6,216.75,208.25,215.6,215.15,3121118.0,6647.88
2014-01-06,214.1,215.15,210.0,212.4,212.35,1775409.0,3772.51
2014-01-07,212.95,215.25,206.45,209.1,209.7,2116971.0,4456.56
2014-01-08,210.8,212.5,209.2,210.45,210.4,1358413.0,2864.22
2014-01-09,211.2,213.05,207.0,207.35,207.55,2826589.0,5920.51
2014-01-10,208.0,209.6,202.0,202.4,202.75,3017677.0,6214.26
2014-01-13,203.25,206.0,201.7,205.05,204.6,1877178.0,3829.41
2014-01-14,206.0,210.2,205.2,207.8,207.6,2609747.0,5428.38
2014-01-15,208.85,213.9,208.5,213.6,212.95,2469857.0,5220.19
2014-01-16,215.0,215.9,209.25,210.5,210.8,5084135.0,10857.27
2014-01-17,211.45,214.5,207.7,208.7,208.7,2856076.0,6017.57
2014-01-20,209.4,212.25,208.15,211.95,211.3,1235427.0,2600.16
2014-01-21,213.0,214.0,211.75,212.5,212.2,1446613.0,3077.7
2014-01-22,212.0,212.65,209.7,210.9,211.0,1750737.0,3698.84
2014-01-23,210.4,213.0,209.9,212.0,211.95,1293074.0,2739.17
2014-01-24,210.0,211.0,205.95,207.0,207.2,1539203.0,3200.89
2014-01-27,204.5,204.5,198.75,199.2,199.4,1786891.0,3585.37
2014-01-28,198.0,202.9,195.2,199.55,199.6,2509244.0,5004.22
2014-01-29,200.8,202.4,198.0,199.45,199.15,2725882.0,5439.81
2014-01-30,197.0,197.25,191.75,193.35,192.7,3177534.0,6153.53
2014-01-31,192.5,196.4,192.5,196.15,195.75,1708033.0,3324.88
2014-02-03,194.25,195.7,190.5,191.0,191.05,2308168.0,4444.17
2014-02-04,189.25,194.55,187.05,193.75,193.15,2035133.0,3907.15
2014-02-05,192.1,194.3,191.5,192.7,192.95,1909184.0,3680.89
2014-02-06,193.95,196.6,192.75,195.6,195.45,2378609.0,4634.05
2014-02-07,197.0,203.25,196.7,203.0,201.6,2769865.0,5523.82
2014-02-10,203.6,204.85,200.8,201.0,201.8,2181378.0,4429.16
2014-02-11,201.85,202.75,199.5,200.25,200.3,1024285.0,2059.95
2014-02-12,201.1,202.2,198.7,199.75,199.85,1181436.0,2368.2
2014-02-13,200.05,200.85,195.55,195.8,196.5,1058983.0,2095.34
2014-02-14,196.6,200.0,195.4,199.25,198.95,1549179.0,3068.83
2014-02-17,199.5,202.7,197.15,202.2,201.6,1239906.0,2478.53
2014-02-18,202.4,204.2,201.25,202.6,202.95,1503096.0,3048.7
2014-02-19,202.5,205.35,202.5,204.5,204.25,1190998.0,2431.41
2014-02-20,203.0,203.9,200.05,201.0,201.45,1010354.0,2042.63
2014-02-21,201.7,203.5,200.45,201.2,201.1,1348480.0,2720.13
2014-02-24,201.8,203.65,199.1,203.25,202.7,1059331.0,2142.54
2014-02-25,204.85,210.8,204.35,208.95,209.2,4438291.0,9262.44
2014-02-26,210.25,211.0,206.05,207.1,206.8,2788998.0,5805.84
2014-02-28,207.85,209.0,204.65,206.9,206.4,1958119.0,4041.85
2014-03-03,207.35,209.4,202.0,205.05,205.05,3274925.0,6754.53
2014-03-04,205.95,208.5,205.0,208.15,208.0,4743314.0,9819.42
2014-03-05,209.8,214.45,209.1,213.95,213.9,4418392.0,9373.0
2014-03-06,215.95,218.0,214.05,216.0,215.7,4738727.0,10247.72
2014-03-07,216.8,224.2,214.0,222.55,223.25,8425056.0,18532.0
2014-03-10,223.4,233.4,221.1,232.3,231.7,6205779.0,14130.97
2014-03-11,234.25,241.7,230.2,231.1,231.45,7919211.0,18657.41
2014-03-12,230.85,231.85,226.0,226.9,227.15,2561661.0,5839.52
2014-03-13,227.0,235.05,223.25,226.5,225.8,3395709.0,7821.51
2014-03-14,224.3,231.0,218.6,229.35,229.6,3592806.0,8069.97
2014-03-18,231.2,232.8,224.1,229.05,229.8,2704424.0,6214.73
