Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1064.0,1073.15,1063.0,1070.65,1070.25,538493.0,5759.78
2014-01-01,1075.15,1079.9,1066.4,1067.0,1068.55,462879.0,4959.34
2014-01-02,1067.25,1079.9,1028.3,1034.0,1036.05,1548334.0,16293.92
2014-01-03,1020.0,1032.95,1008.05,1014.25,1012.05,2467735.0,25043.81
2014-01-06,1012.1,1025.95,1000.05,1009.9,1010.5,1719745.0,17402.0
2014-01-07,1015.0,1028.55,1008.1,1019.0,1019.5,1888942.0,19272.53
2014-01-08,1022.0,1025.9,996.75,998.8,998.35,2056177.0,20677.48
2014-01-09,998.85,1004.0,970.0,972.25,971.9,2935310.0,28787.03
2014-01-10,972.75,984.0,951.5,957.0,956.05,3212216.0,31167.22
2014-01-13,955.1,987.9,955.1,987.0,980.55,2350686.0,22870.3
2014-01-14,978.05,996.8,968.0,973.2,972.0,1817257.0,17869.25
2014-01-15,975.3,1003.5,975.3,997.5,999.1,1801661.0,17888.15
2014-01-16,1005.6,1012.95,991.3,1002.35,1004.0,1844717.0,18522.26
2014-01-17,999.3,1011.65,995.65,1003.05,1002.85,1422009.0,14262.88
2014-01-20,1002.0,1009.9,989.25,1001.65,998.95,1541104.0,15380.3
2014-01-21,1006.3,1017.55,1005.05,1013.5,1011.5,1139904.0,11536.9
2014-01-22,1013.9,1017.3,996.55,1008.35,1004.8,2163806.0,21767.64
2014-01-23,1010.1,1043.4,1010.1,1031.5,1032.95,4525023.0,46775.14
2014-01-24,1029.0,1029.45,1004.15,1006.45,1006.35,2521804.0,25522.06
2014-01-27,988.7,992.45,973.05,982.5,980.15,2230495.0,21862.57
2014-01-28,979.0,996.55,974.0,983.6,983.5,2314629.0,22785.61
2014-01-29,991.05,1006.0,988.65,994.9,993.15,1734253.0,17282.27
2014-01-30,978.95,987.45,974.4,979.0,980.45,1925247.0,18899.81
2014-01-31,985.35,995.6,975.65,986.3,985.9,1342710.0,13243.95
2014-02-03,981.0,989.7,975.4,978.5,979.3,1163423.0,11421.81
2014-02-04,968.65,988.85,965.1,984.8,983.0,1298839.0,12717.91
2014-02-05,980.0,988.5,974.95,984.5,985.4,1525976.0,14976.56
2014-02-06,986.0,989.0,969.0,973.8,975.25,1799905.0,17550.62
2014-02-07,983.3,987.9,976.2,983.1,984.15,1409446.0,13848.47
2014-02-10,986.25,1000.95,979.0,997.65,995.9,1609515.0,15961.43
2014-02-11,996.4,1007.0,987.35,992.25,993.65,1213656.0,12105.71
2014-02-12,1000.0,1017.95,993.95,1015.0,1010.5,1386138.0,13930.13
2014-02-13,1013.0,1015.95,985.4,986.15,986.95,1218081.0,12152.66
2014-02-14,992.55,998.0,976.0,997.0,992.75,1058974.0,10432.33
2014-02-17,996.15,1004.6,988.5,999.6,998.3,849121.0,8463.78
2014-02-18,998.05,1021.8,990.4,1017.0,1017.4,2278919.0,22987.31
2014-02-19,1017.0,1033.75,1013.75,1030.0,1031.3,1784029.0,18320.15
2014-02-20,1022.8,1038.95,1016.45,1036.5,1034.65,1754777.0,18067.51
2014-02-21,1037.0,1057.0,1036.7,1053.6,1055.15,1862089.0,19496.15
2014-02-24,1051.6,1089.0,1050.1,1082.5,1084.65,2627010.0,28329.94
2014-02-25,1086.55,1089.9,1072.5,1087.5,1087.9,1928104.0,20861.2
2014-02-26,1083.7,1099.95,1082.15,1095.0,1096.65,2542166.0,27825.0
2014-02-28,1091.2,1114.7,1091.2,1108.5,1109.65,2260608.0,25031.9
2014-03-03,1100.55,1102.75,1086.65,1098.0,1097.55,1200998.0,13151.39
2014-03-04,1093.0,1121.1,1089.5,1116.85,1116.7,1747782.0,19352.04
2014-03-05,1123.8,1131.2,1114.2,1122.5,1123.35,1635682.0,18391.73
2014-03-06,1124.25,1145.5,1118.85,1144.7,1142.5,1732320.0,19659.45
2014-03-07,1143.0,1223.0,1143.0,1204.0,1198.65,6542213.0,78728.97
2014-03-10,1189.25,1242.0,1189.25,1238.25,1236.9,4178335.0,51369.15
2014-03-11,1231.85,1255.85,1218.65,1231.5,1230.05,2967066.0,36714.33
2014-03-12,1225.0,1230.0,1207.0,1217.0,1218.25,2051197.0,24930.99
2014-03-13,1219.0,1237.85,1219.0,1224.55,1225.2,1961612.0,24094.13
2014-03-14,1217.5,1263.45,1201.7,1255.2,1254.95,2728884.0,33611.83
2014-03-18,1254.0,1268.55,1233.0,1239.65,1240.55,2126350.0,26542.68
2014-03-19,1239.4,1254.3,1229.2,1246.2,1246.0,1964121.0,24479.71
2014-03-20,1230.0,1243.85,1216.0,1219.65,1219.05,1971462.0,24150.98
2014-03-21,1224.15,1235.0,1210.5,1216.05,1216.6,2004616.0,24427.7
2014-03-22,1217.1,1222.45,1212.55,1222.0,1219.45,72205.0,878.86
2014-03-24,1228.5,1238.45,1216.85,1229.1,1230.35,3217365.0,39520.6
2014-03-25,1230.0,1250.0,1222.6,1249.85,1248.45,2405354.0,29804.84
2014-03-26,1252.0,1278.7,1251.45,1276.0,1275.8,2826162.0,35854.64
2014-03-27,1274.95,1296.1,1268.55,1285.0,1283.6,4290332.0,55091.58
2014-03-28,1290.0,1292.4,1260.35,1285.0,1288.15,1968029.0,25163.81
2014-03-31,1290.0,1302.25,1264.85,1268.9,1271.9,2630722.0,33823.16
2014-04-01,1273.1,1290.0,1254.0,1286.8,1279.05,1904313.0,24113.54
2014-04-02,1290.0,1310.0,1275.05,1306.0,1300.45,2158614.0,27862.48
2014-04-03,1295.1,1297.95,1254.6,1290.2,1290.1,3016049.0,38629.16
2014-04-04,1288.9,1288.9,1266.8,1274.0,1277.1,2026902.0,25891.65
2014-04-07,1276.3,1294.75,1267.2,1286.0,1284.35,1584373.0,20298.24
2014-04-09,1289.0,1308.8,1277.45,1304.45,1298.05,2708603.0,34881.6
2014-04-10,1296.25,1327.25,1294.05,1306.0,1314.25,3150225.0,41292.21
2014-04-11,1306.15,1308.4,1290.05,1295.4,1298.5,1871197.0,24304.04
