Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,908.0,913.7,903.15,906.75,908.15,217813.0,1977.84
2014-01-01,916.5,925.9,911.0,916.9,916.5,520076.0,4783.91
2014-01-02,918.5,921.85,901.1,907.4,906.0,278407.0,2540.32
2014-01-03,905.0,940.75,896.1,935.0,932.9,745502.0,6866.88
2014-01-06,935.6,950.95,934.15,940.0,938.0,718304.0,6761.77
2014-01-07,943.0,949.7,927.0,933.0,932.9,476144.0,4459.04
2014-01-08,936.2,947.5,931.4,938.0,938.35,346294.0,3256.8
2014-01-09,940.0,945.0,930.5,935.0,934.0,676550.0,6330.95
2014-01-10,935.95,949.6,933.55,937.0,936.75,488575.0,4599.86
2014-01-13,936.75,947.55,891.7,920.7,919.95,914950.0,8414.36
2014-01-14,926.4,939.0,915.3,937.1,934.35,251163.0,2325.69
2014-01-15,935.4,936.85,923.0,927.85,925.25,269325.0,2499.87
2014-01-16,934.7,934.7,912.3,916.8,916.0,310138.0,2856.29
2014-01-17,916.0,924.45,905.15,911.0,909.35,251215.0,2294.94
2014-01-20,911.35,917.45,901.75,910.0,909.85,257266.0,2342.41
2014-01-21,910.25,915.9,905.35,908.0,907.5,321629.0,2925.05
2014-01-22,910.05,932.0,902.4,928.5,926.95,562966.0,5206.93
2014-01-23,927.1,937.65,915.25,924.0,921.9,317591.0,2947.29
2014-01-24,920.0,927.8,908.1,913.45,913.75,252879.0,2313.55
2014-01-27,908.0,917.9,892.0,897.0,896.4,445043.0,4027.08
2014-01-28,900.0,901.05,871.75,874.95,876.25,527276.0,4644.97
2014-01-29,879.3,888.5,862.0,868.0,866.25,697874.0,6120.38
2014-01-30,871.0,883.9,855.4,872.15,869.85,1528982.0,13328.89
2014-01-31,874.0,891.4,865.55,883.95,881.9,498201.0,4382.2
2014-02-03,882.0,925.0,882.0,922.1,921.8,2556001.0,23184.07
2014-02-04,925.0,932.15,906.55,913.05,912.05,1509197.0,13898.99
2014-02-05,915.0,923.0,908.3,915.05,915.45,437272.0,4007.47
2014-02-06,916.0,922.7,902.65,910.0,908.95,367874.0,3351.56
2014-02-07,912.95,923.55,911.15,919.85,919.3,457267.0,4196.3
2014-02-10,923.1,930.9,917.8,923.85,924.55,330829.0,3062.14
2014-02-11,926.2,926.25,910.2,913.0,913.2,244057.0,2235.38
2014-02-12,915.3,920.9,907.75,909.5,910.0,193919.0,1774.73
2014-02-13,904.5,908.5,889.05,892.5,894.05,832679.0,7489.29
2014-02-14,895.95,907.0,892.65,902.05,901.35,293287.0,2641.12
2014-02-17,900.0,917.65,899.25,916.65,914.3,286071.0,2605.73
2014-02-18,920.0,931.0,915.45,923.4,922.75,378643.0,3500.84
2014-02-19,920.7,944.45,920.1,942.5,942.15,459407.0,4292.63
2014-02-20,944.0,948.4,935.2,937.0,937.45,392575.0,3697.25
2014-02-21,943.0,950.75,933.25,935.0,935.8,472259.0,4444.65
2014-02-24,937.0,958.4,931.3,957.45,956.2,551076.0,5243.08
2014-02-25,959.8,968.4,951.2,953.2,953.55,462199.0,4427.41
2014-02-26,958.6,967.1,948.0,959.95,960.15,651964.0,6248.73
2014-02-28,951.5,1002.4,951.0,998.0,995.45,1048807.0,10291.53
