Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,221.0,221.0,216.0,216.9,216.7,52828.0,115.0
2014-01-01,218.95,222.0,217.4,218.95,221.0,80889.0,177.92
2014-01-02,221.0,221.0,214.6,216.4,215.9,102608.0,223.05
2014-01-03,214.0,217.2,214.0,215.55,215.55,24957.0,53.75
2014-01-06,219.75,224.8,216.65,220.0,219.75,373119.0,829.39
2014-01-07,222.9,223.55,217.4,222.0,222.35,278317.0,618.17
2014-01-08,222.8,226.85,218.0,219.5,220.3,521328.0,1167.67
2014-01-09,221.0,221.0,215.15,215.35,215.45,62425.0,135.45
2014-01-10,216.0,217.8,214.5,215.3,215.2,165510.0,356.16
2014-01-13,217.4,217.4,213.5,214.5,214.65,186991.0,402.05
2014-01-14,214.0,218.5,213.05,215.0,215.9,25197.0,54.2
2014-01-15,214.55,216.45,213.1,214.0,213.7,152305.0,326.56
2014-01-16,214.9,216.5,213.5,214.05,214.65,198783.0,427.4
2014-01-17,215.7,216.7,213.65,216.45,214.95,473472.0,1017.37
2014-01-20,215.2,217.0,214.15,216.15,216.35,98561.0,212.16
2014-01-21,217.0,220.8,216.5,220.0,219.95,81238.0,178.15
2014-01-22,219.2,220.9,217.1,218.35,218.85,108397.0,237.4
2014-01-23,220.8,220.8,215.0,215.35,216.35,220503.0,474.75
2014-01-24,216.45,216.45,210.5,211.0,211.7,669551.0,1421.79
2014-01-27,212.0,214.95,208.2,211.55,210.4,56302.0,119.16
2014-01-28,210.0,213.4,210.0,210.85,210.85,90927.0,192.48
2014-01-29,211.15,213.9,210.2,210.5,210.8,205107.0,432.97
2014-01-30,210.9,213.8,209.95,211.45,212.3,451237.0,960.74
2014-01-31,213.5,220.0,213.0,213.45,214.0,370930.0,804.89
2014-02-03,215.0,219.85,211.1,213.0,212.45,148732.0,318.61
2014-02-04,212.9,217.45,210.25,216.0,216.05,336937.0,722.6
2014-02-05,216.85,220.7,213.2,219.15,219.0,499246.0,1086.88
2014-02-06,219.95,220.85,214.2,215.0,215.0,338500.0,728.63
2014-02-07,218.0,218.0,214.55,216.0,215.95,494318.0,1065.63
2014-02-10,217.35,217.35,214.5,216.3,216.0,611022.0,1317.51
2014-02-11,218.95,218.95,216.0,217.65,217.5,330435.0,717.04
2014-02-12,218.5,218.5,214.2,216.05,216.3,364945.0,787.47
2014-02-13,216.6,217.35,212.9,212.95,213.95,327666.0,702.99
2014-02-14,214.8,216.2,213.2,216.0,215.45,366158.0,785.57
2014-02-17,215.55,216.95,215.0,216.6,216.4,21407.0,46.27
2014-02-18,218.45,218.45,215.1,216.35,215.8,46119.0,99.54
2014-02-19,217.5,217.5,214.2,216.5,215.9,30598.0,65.93
2014-02-20,216.9,216.9,215.0,215.65,215.1,1477628.0,3176.94
2014-02-21,216.85,216.85,214.65,215.5,215.5,123199.0,265.85
2014-02-24,216.0,216.0,212.0,213.8,213.7,30811.0,66.17
2014-02-25,215.0,215.7,213.1,215.0,214.95,278921.0,598.31
2014-02-26,214.95,216.0,211.0,211.55,211.35,61385.0,130.54
2014-02-28,212.0,212.0,210.0,211.4,211.0,85602.0,180.9
2014-03-03,211.4,213.05,209.15,209.15,209.85,33127.0,69.95
2014-03-04,209.85,210.85,207.6,208.5,208.35,97200.0,202.86
2014-03-05,209.7,210.0,207.5,208.0,207.85,107411.0,224.1
2014-03-06,207.1,208.5,205.0,205.7,205.6,144447.0,298.68
2014-03-07,207.85,208.5,205.3,206.25,206.55,90388.0,187.14
2014-03-10,208.0,208.25,202.5,203.2,203.1,160645.0,328.23
2014-03-11,203.05,205.4,200.4,205.0,203.1,207274.0,418.76
2014-03-12,203.0,205.9,203.0,204.6,204.45,1108079.0,2255.55
2014-03-13,205.85,206.05,202.0,202.5,202.8,64489.0,131.91
2014-03-14,203.0,204.4,200.25,201.8,201.65,53759.0,108.66
2014-03-18,202.0,204.0,200.7,201.45,201.35,1576214.0,3176.28
2014-03-19,202.85,207.9,202.0,205.55,205.9,180909.0,372.9
2014-03-20,204.5,208.0,204.5,205.3,205.1,600742.0,1234.49
2014-03-21,206.9,209.4,203.55,208.0,207.6,391151.0,805.88
2014-03-22,208.65,209.0,206.25,209.0,208.7,17361.0,36.16
2014-03-24,209.0,209.5,205.2,207.0,206.4,140497.0,290.79
2014-03-25,206.95,208.5,205.5,207.25,207.25,151792.0,314.17
2014-03-26,205.5,209.15,205.5,206.25,206.7,133391.0,276.86
2014-03-27,205.6,208.9,205.6,207.0,207.25,52926.0,109.77
2014-03-28,207.5,212.0,207.5,210.25,210.2,123900.0,259.79
2014-03-31,213.9,213.9,208.0,208.15,209.15,179587.0,377.38
2014-04-01,210.0,210.0,207.6,209.5,208.9,45332.0,94.57
2014-04-02,208.9,213.9,208.9,213.3,213.65,101080.0,214.94
2014-04-03,213.65,214.95,210.5,214.85,214.0,55690.0,118.52
2014-04-04,215.0,215.0,209.4,209.45,209.85,406128.0,853.27
2014-04-07,210.0,213.5,209.3,211.9,211.15,56588.0,119.18
2014-04-09,213.45,213.45,209.5,213.4,212.9,109155.0,231.53
2014-04-10,213.4,216.25,209.6,212.5,212.15,490337.0,1044.36
2014-04-11,213.65,215.9,212.0,213.05,213.05,427633.0,914.7
2014-04-15,213.05,215.5,210.0,210.0,210.25,310176.0,657.03
2014-04-16,211.75,211.75,206.5,208.1,208.95,164539.0,343.49
2014-04-17,208.15,209.0,204.0,206.0,206.5,279775.0,576.85
2014-04-21,206.55,208.6,205.1,205.5,205.45,72787.0,150.07
2014-04-22,207.4,207.75,205.0,205.95,206.0,237328.0,488.91
2014-04-23,207.9,208.3,205.1,205.9,206.25,310890.0,644.68
2014-04-25,207.0,207.25,202.25,203.0,202.8,113299.0,231.09
2014-04-28,202.0,206.3,202.0,204.0,203.95,335011.0,683.44
2014-04-29,203.55,205.0,202.05,203.3,202.95,119331.0,242.34
2014-04-30,204.95,205.75,200.05,205.75,204.0,1113485.0,2263.03
2014-05-02,206.8,219.3,206.8,217.4,217.4,793632.0,1707.77
2014-05-05,218.4,229.3,218.4,228.0,226.8,936752.0,2103.32
2014-05-06,229.9,230.4,222.65,224.6,224.3,358987.0,813.96
2014-05-07,225.5,235.0,224.95,230.0,231.15,715911.0,1655.85
2014-05-08,229.15,242.75,227.0,240.75,240.35,824128.0,1943.89
2014-05-09,240.5,241.8,232.0,236.25,237.5,1230421.0,2915.67
2014-05-12,235.0,237.45,231.5,232.0,233.5,790174.0,1852.15
2014-05-13,231.05,239.85,231.05,234.2,233.3,249269.0,583.68
2014-05-14,235.0,236.55,230.1,231.0,231.25,213012.0,498.08
2014-05-15,233.6,233.6,225.15,226.0,225.8,108329.0,246.43
2014-05-16,225.0,230.0,223.55,226.8,228.0,151908.0,344.53
2014-05-19,229.0,229.0,222.5,223.0,222.95,113157.0,252.79
2014-05-20,224.05,228.05,223.1,226.0,226.65,53398.0,120.9
2014-05-21,227.95,227.95,223.5,226.5,226.9,78510.0,177.63
2014-05-22,227.0,236.5,226.8,234.5,234.45,225041.0,520.47
