Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1780.1,1784.95,1757.55,1762.0,1763.9,303542.0,5364.88
2014-01-01,1770.0,1776.9,1756.55,1763.0,1764.0,214453.0,3790.49
2014-01-02,1759.0,1814.8,1759.0,1770.0,1768.4,1565710.0,28112.57
2014-01-03,1766.0,1808.65,1752.25,1807.0,1798.6,583504.0,10405.02
2014-01-06,1805.0,1819.4,1792.55,1808.0,1807.7,549379.0,9917.36
2014-01-07,1838.0,1854.25,1820.1,1849.0,1845.75,1614578.0,29753.05
2014-01-08,1850.0,1860.0,1827.05,1850.4,1837.5,1398622.0,25772.0
2014-01-09,1858.8,1859.0,1801.1,1811.45,1811.8,947521.0,17318.74
2014-01-10,1811.1,1814.55,1768.0,1791.05,1794.1,670378.0,12054.63
2014-01-13,1800.0,1814.75,1765.0,1787.7,1782.75,559984.0,10000.73
2014-01-14,1783.0,1791.8,1759.1,1770.85,1773.35,530939.0,9406.02
2014-01-15,1790.0,1807.0,1767.1,1803.0,1800.1,612338.0,10950.77
2014-01-16,1803.1,1810.8,1785.0,1786.65,1789.85,429527.0,7709.63
2014-01-17,1778.2,1808.8,1766.3,1777.0,1775.2,310359.0,5548.4
2014-01-20,1774.0,1797.35,1762.0,1779.9,1778.2,340046.0,6054.75
2014-01-21,1782.0,1812.7,1782.0,1802.0,1801.9,541958.0,9777.73
2014-01-22,1805.5,1819.0,1795.0,1805.3,1807.85,424767.0,7686.53
2014-01-23,1796.1,1819.9,1788.45,1792.0,1793.8,493794.0,8918.52
2014-01-24,1784.9,1804.9,1769.25,1770.8,1774.25,377713.0,6742.9
2014-01-27,1755.0,1755.0,1690.0,1703.95,1702.3,923081.0,15791.57
2014-01-28,1715.0,1751.5,1540.4,1543.4,1566.0,6599087.0,107125.06
2014-01-29,1615.2,1697.8,1615.2,1675.05,1673.85,6737926.0,112507.71
2014-01-30,1668.0,1674.0,1625.6,1633.4,1635.9,1651215.0,27145.74
2014-01-31,1655.0,1655.0,1620.85,1641.4,1636.25,729347.0,11927.43
2014-02-03,1620.0,1660.0,1613.05,1614.85,1618.5,957497.0,15615.38
2014-02-04,1601.0,1630.0,1590.0,1619.85,1619.65,703285.0,11351.37
2014-02-05,1619.0,1623.1,1602.1,1606.0,1606.7,627278.0,10097.3
2014-02-06,1610.2,1644.95,1593.0,1643.0,1639.7,1237835.0,20081.52
2014-02-07,1654.95,1670.4,1648.5,1666.0,1664.95,921283.0,15315.61
2014-02-10,1665.0,1701.6,1665.0,1682.6,1688.85,896683.0,15093.51
2014-02-11,1690.25,1698.0,1668.1,1677.0,1678.15,294694.0,4944.64
2014-02-12,1685.0,1689.8,1643.1,1645.0,1647.7,442825.0,7340.42
2014-02-13,1646.0,1658.8,1632.5,1634.0,1641.25,439092.0,7216.2
2014-02-14,1642.0,1653.55,1615.65,1640.05,1643.4,451950.0,7386.86
2014-02-17,1635.0,1674.9,1635.0,1670.5,1665.7,617227.0,10233.49
2014-02-18,1675.0,1733.65,1666.1,1706.0,1708.45,954637.0,16249.91
2014-02-19,1714.0,1721.0,1692.0,1695.65,1698.1,341015.0,5807.44
2014-02-20,1697.0,1706.0,1674.2,1682.0,1683.3,344996.0,5826.57
2014-02-21,1686.1,1702.4,1671.55,1672.7,1675.6,340948.0,5749.2
2014-02-24,1675.0,1695.0,1645.8,1683.0,1684.4,326898.0,5486.36
2014-02-25,1690.1,1693.9,1672.4,1678.0,1678.0,245384.0,4120.51
2014-02-26,1668.0,1684.1,1651.0,1670.5,1664.05,584837.0,9739.57
2014-02-28,1640.0,1659.05,1573.0,1592.0,1589.0,1768632.0,28140.79
2014-03-03,1582.0,1616.9,1575.0,1582.5,1582.2,1060385.0,16891.9
2014-03-04,1577.0,1603.0,1550.0,1600.05,1597.4,797764.0,12605.3
2014-03-05,1614.7,1636.95,1593.55,1621.9,1625.4,728060.0,11800.18
2014-03-06,1629.7,1657.0,1618.0,1648.0,1650.45,422906.0,6924.68
2014-03-07,1655.0,1747.0,1640.2,1738.0,1735.05,944177.0,16107.79
2014-03-10,1730.0,1817.25,1716.65,1799.45,1801.1,1324717.0,23541.97
2014-03-11,1804.0,1811.7,1744.8,1752.0,1754.15,703249.0,12488.75
2014-03-12,1725.0,1791.0,1680.0,1763.0,1764.05,1443683.0,25205.11
2014-03-13,1766.0,1790.9,1733.0,1748.0,1747.35,641720.0,11342.12
2014-03-14,1715.0,1756.35,1710.0,1737.0,1738.45,588996.0,10223.6
2014-03-18,1900.0,1909.0,1852.25,1869.5,1868.2,1795672.0,33595.65
2014-03-19,1873.0,1889.0,1850.75,1864.6,1869.75,621508.0,11612.08
2014-03-20,1869.0,1874.8,1848.05,1860.8,1856.55,310199.0,5779.43
2014-03-21,1856.55,1879.25,1856.55,1867.95,1868.55,284182.0,5311.93
2014-03-22,1871.0,1878.9,1868.65,1869.15,1872.5,37419.0,701.0
2014-03-24,1877.65,1903.0,1873.25,1882.0,1886.3,329812.0,6223.9
2014-03-25,1881.0,1912.0,1875.85,1911.0,1901.7,395158.0,7485.46
2014-03-26,1911.0,1949.0,1911.0,1940.0,1937.1,634815.0,12303.31
2014-03-27,1941.0,1968.4,1920.15,1931.5,1935.55,825829.0,16019.74
2014-03-28,1935.9,1956.55,1920.1,1927.0,1931.4,326409.0,6319.05
2014-03-31,1937.95,1980.0,1925.0,1967.05,1971.75,437613.0,8579.31
2014-04-01,1976.0,1980.0,1922.1,1927.0,1930.85,288560.0,5612.29
