Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,184.5,185.6,179.6,182.45,182.5,634899.0,1155.78
2014-01-01,184.4,192.9,183.0,191.8,191.5,466692.0,888.16
2014-01-02,192.7,194.9,190.25,192.9,192.75,467791.0,902.61
2014-01-03,191.5,198.9,191.0,198.45,197.0,605652.0,1191.37
2014-01-06,197.1,203.9,195.0,199.3,199.9,396237.0,792.69
2014-01-07,199.9,201.9,191.9,192.1,193.0,404777.0,792.22
2014-01-08,192.15,199.45,192.1,197.9,198.15,778381.0,1536.56
2014-01-09,198.5,218.4,197.0,208.0,212.0,1608796.0,3333.44
2014-01-10,209.4,209.4,200.4,202.95,202.55,890411.0,1807.28
2014-01-13,202.15,202.5,196.05,198.35,197.95,551726.0,1092.74
2014-01-14,199.65,200.6,196.5,199.0,198.05,183250.0,363.4
2014-01-15,200.0,206.7,199.3,200.2,200.3,739444.0,1493.16
2014-01-16,200.5,204.8,197.25,199.0,199.2,927151.0,1856.52
2014-01-17,198.5,200.9,197.1,198.0,198.1,791661.0,1579.36
2014-01-20,196.0,205.0,196.0,200.7,200.9,399063.0,807.53
2014-01-21,201.0,203.1,199.1,201.05,200.85,278539.0,558.35
2014-01-22,199.0,202.0,198.5,199.4,199.9,900659.0,1800.39
2014-01-23,198.55,200.05,191.3,194.2,194.95,820394.0,1612.06
2014-01-24,194.95,197.1,192.05,192.5,192.95,193497.0,375.93
2014-01-27,191.9,192.95,184.45,187.1,187.35,277669.0,522.61
2014-01-28,186.1,196.8,184.3,185.0,186.75,574870.0,1081.69
2014-01-29,187.0,187.85,180.0,180.25,180.8,716749.0,1320.74
2014-01-30,180.9,183.9,178.25,179.9,180.3,1375019.0,2485.33
2014-01-31,181.0,206.6,181.0,202.95,204.1,4303060.0,8478.63
2014-02-03,204.8,207.9,196.0,197.0,197.65,1571595.0,3163.41
2014-02-04,196.0,203.9,191.25,193.8,194.15,1200346.0,2377.2
2014-02-05,196.2,213.3,196.15,202.15,201.6,2964218.0,6088.91
2014-02-06,203.4,209.0,202.5,206.4,205.25,998428.0,2053.66
2014-02-07,207.7,208.8,205.35,207.0,206.55,653718.0,1353.48
2014-02-10,208.0,211.95,207.2,209.05,208.55,313774.0,657.1
2014-02-11,208.9,220.45,208.9,218.9,217.9,1540690.0,3341.91
2014-02-12,219.8,231.85,219.1,228.5,229.0,2301957.0,5262.34
2014-02-13,230.05,230.1,221.35,225.05,225.5,943844.0,2139.42
2014-02-14,226.05,230.8,222.2,226.0,224.85,486047.0,1098.12
2014-02-17,229.9,229.9,220.0,222.55,222.45,412597.0,925.22
2014-02-18,224.35,224.35,216.1,216.9,217.45,555109.0,1215.49
2014-02-19,218.0,225.65,217.2,224.0,223.15,731048.0,1620.94
2014-02-20,223.15,227.45,217.45,219.8,220.1,1010705.0,2236.32
