Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,19.5,19.8,19.35,19.5,19.55,3180083.0,622.63
2014-01-01,19.55,19.7,19.5,19.65,19.55,3574016.0,700.48
2014-01-02,19.55,19.75,19.0,19.05,19.05,3602795.0,700.19
2014-01-03,18.95,19.1,18.7,18.85,18.85,2199368.0,414.5
2014-01-06,18.8,18.95,18.6,18.65,18.7,1524960.0,285.37
2014-01-07,18.65,18.9,18.55,18.75,18.7,2766924.0,517.34
2014-01-08,18.8,19.2,18.65,19.05,19.0,4849643.0,919.81
2014-01-09,19.0,19.1,18.5,18.6,18.6,3584511.0,670.3
2014-01-10,18.55,18.7,18.4,18.5,18.45,2419370.0,448.93
2014-01-13,18.5,18.6,18.05,18.2,18.25,3001659.0,548.7
2014-01-14,18.25,18.7,18.15,18.35,18.4,2659005.0,490.24
2014-01-15,18.4,18.8,18.35,18.6,18.6,3511608.0,652.19
2014-01-16,18.55,18.75,18.25,18.4,18.4,2699059.0,498.56
2014-01-17,18.35,18.5,18.15,18.15,18.2,2508039.0,458.91
2014-01-20,18.15,18.25,18.05,18.15,18.15,1467576.0,266.07
2014-01-21,18.15,18.25,18.05,18.15,18.15,3816737.0,691.8
2014-01-22,18.15,18.25,18.1,18.1,18.15,2412639.0,438.4
2014-01-23,18.2,18.35,18.15,18.25,18.25,3482567.0,635.98
2014-01-24,18.15,18.25,17.9,18.0,18.0,3373136.0,609.54
2014-01-27,17.95,18.0,17.5,17.6,17.55,4399000.0,779.93
2014-01-28,17.6,18.0,17.45,18.0,17.9,6935070.0,1230.86
2014-01-29,18.0,18.1,17.9,17.95,18.0,8171780.0,1470.78
2014-01-30,17.9,18.05,17.55,17.85,17.85,11615348.0,2068.3
2014-01-31,17.95,18.0,17.7,17.85,17.9,9374483.0,1677.48
2014-02-03,17.7,17.8,17.4,17.5,17.65,10400040.0,1836.69
2014-02-04,17.5,17.95,17.35,17.9,17.85,12210201.0,2161.61
2014-02-05,17.95,18.45,17.8,18.1,18.15,2625758.0,475.29
2014-02-06,18.1,18.45,17.95,18.35,18.35,3174749.0,580.14
2014-02-07,18.4,18.7,18.3,18.65,18.6,3802721.0,704.83
2014-02-10,18.6,18.85,18.5,18.8,18.75,2764235.0,517.07
2014-02-11,18.75,18.9,18.6,18.8,18.8,3025286.0,567.8
2014-02-12,18.8,18.9,18.7,18.75,18.7,2206395.0,414.4
2014-02-13,18.7,18.75,18.2,18.25,18.25,1618623.0,297.9
2014-02-14,18.3,18.4,18.1,18.15,18.1,1453755.0,264.32
2014-02-17,18.1,18.2,17.9,17.95,17.95,1572452.0,283.19
2014-02-18,17.9,18.05,17.85,18.0,17.95,3552889.0,636.95
2014-02-19,17.95,18.0,17.9,18.0,17.95,1894456.0,339.99
2014-02-20,17.9,18.0,17.8,17.9,17.9,2090108.0,373.88
2014-02-21,17.85,18.0,17.75,18.0,17.95,1692501.0,303.05
2014-02-24,17.9,18.05,17.8,18.0,18.0,2028094.0,363.55
2014-02-25,18.0,18.0,17.85,17.95,17.95,1219564.0,218.65
2014-02-26,18.0,18.1,17.7,17.95,17.95,5859329.0,1048.24
2014-02-28,18.0,18.05,17.9,17.95,18.0,1447301.0,260.15
2014-03-03,17.9,18.0,17.85,18.0,17.95,1107534.0,198.62
2014-03-04,17.9,18.0,17.85,17.9,17.9,966424.0,173.04
2014-03-05,18.0,18.05,17.9,18.0,17.95,1914682.0,343.47
2014-03-06,18.0,18.15,17.95,18.1,18.1,5046051.0,912.24
2014-03-07,18.2,18.4,18.15,18.25,18.25,4107649.0,750.09
2014-03-10,18.15,18.25,17.95,18.05,18.0,3517525.0,635.64
2014-03-11,18.1,18.1,17.9,17.95,17.95,2390739.0,430.35
2014-03-12,17.9,18.0,17.9,17.95,17.95,925165.0,166.08
2014-03-13,17.9,18.2,17.75,17.8,17.8,5126584.0,922.36
2014-03-14,17.8,17.85,17.65,17.8,17.75,1969647.0,349.54
2014-03-18,17.75,18.0,17.75,17.95,17.95,2307617.0,413.01
2014-03-19,17.85,18.05,17.75,17.8,17.8,5375935.0,961.33
2014-03-20,17.8,17.8,17.65,17.8,17.7,3672711.0,650.53
2014-03-21,17.75,17.85,17.5,17.55,17.55,5359073.0,944.97
2014-03-22,17.55,17.7,17.55,17.65,17.65,300062.0,52.96
2014-03-24,17.65,17.85,17.65,17.8,17.8,2129510.0,378.37
2014-03-25,17.7,17.85,17.7,17.75,17.75,4458699.0,792.48
2014-03-26,17.75,17.9,17.7,17.85,17.85,5083192.0,906.24
2014-03-27,17.8,18.15,17.8,18.05,18.05,12912056.0,2328.88
2014-03-28,18.05,19.6,18.05,19.5,19.45,11033138.0,2089.36
2014-03-31,19.5,19.75,19.0,19.05,19.1,6652555.0,1278.97
