Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,143.8,145.2,141.35,142.45,141.9,1788494.0,2565.26
2014-01-01,142.15,143.9,141.65,142.55,142.8,768296.0,1096.94
2014-01-02,142.0,144.8,138.6,139.5,140.3,2445731.0,3474.96
2014-01-03,140.0,141.25,136.85,138.2,138.5,1833292.0,2543.72
2014-01-06,138.05,138.7,135.4,137.05,137.0,1485711.0,2032.03
2014-01-07,137.1,139.3,135.0,136.75,136.15,2815580.0,3853.37
2014-01-08,138.5,145.75,137.1,138.5,138.9,4188602.0,5884.94
2014-01-09,140.0,142.0,137.55,139.0,139.45,2761720.0,3852.37
2014-01-10,139.55,141.75,138.3,138.95,139.15,1036594.0,1451.9
2014-01-13,139.0,142.15,138.0,141.0,141.65,1837764.0,2589.72
2014-01-14,141.05,142.45,137.55,138.1,138.3,1744328.0,2431.46
2014-01-15,141.65,143.85,140.55,142.15,142.65,3800666.0,5410.44
2014-01-16,143.0,146.9,142.4,144.8,144.65,2718643.0,3939.11
2014-01-17,145.0,146.75,143.7,145.2,145.5,3490906.0,5077.84
2014-01-20,145.9,145.9,141.35,144.15,143.75,2078640.0,2975.77
2014-01-21,143.9,146.0,142.55,145.25,144.8,2312941.0,3340.25
2014-01-22,144.2,145.55,143.85,145.0,145.0,1826757.0,2642.92
2014-01-23,145.0,146.75,142.35,145.6,145.1,4349357.0,6298.7
2014-01-24,143.8,146.65,143.5,145.9,145.6,3449844.0,5003.88
2014-01-27,143.8,145.0,140.0,140.2,142.05,4089765.0,5804.51
2014-01-28,144.5,144.5,140.6,141.0,141.7,2566051.0,3649.95
2014-01-29,142.0,143.2,140.35,143.0,142.85,3820864.0,5417.78
2014-01-30,142.25,143.7,139.6,142.6,141.95,5818433.0,8247.05
2014-01-31,142.05,145.45,141.2,144.3,145.0,4641892.0,6701.47
2014-02-03,144.7,144.7,140.15,141.95,142.3,3213964.0,4616.46
2014-02-04,140.15,143.45,137.0,137.7,137.85,4119238.0,5813.47
2014-02-05,137.85,141.25,135.6,140.9,140.2,2692102.0,3742.36
2014-02-06,141.0,144.5,139.75,144.0,143.3,5501377.0,7842.16
2014-02-07,143.6,145.4,143.1,145.35,144.9,4010746.0,5805.65
2014-02-10,145.7,149.0,143.05,143.55,143.95,2364560.0,3449.51
2014-02-11,145.0,146.5,143.5,144.7,145.0,5698816.0,8250.1
2014-02-12,146.0,147.0,144.0,144.3,144.75,2480576.0,3602.91
2014-02-13,144.0,146.2,142.1,143.0,142.85,2345024.0,3392.06
2014-02-14,143.4,145.85,142.55,145.25,145.45,1291080.0,1866.53
2014-02-17,137.0,140.7,137.0,138.1,138.15,1322728.0,1836.12
2014-02-18,138.0,139.0,137.1,137.5,137.75,1722130.0,2377.49
2014-02-19,137.15,138.0,136.05,136.95,136.95,1788301.0,2446.09
2014-02-20,135.5,136.8,134.8,135.7,135.35,1147506.0,1554.42
2014-02-21,135.5,137.7,135.5,137.5,137.15,524936.0,717.7
2014-02-24,136.5,137.35,135.0,135.4,135.3,653252.0,885.43
2014-02-25,136.5,136.75,130.2,131.25,131.6,2497654.0,3298.37
2014-02-26,131.0,131.85,125.85,126.85,126.9,6103916.0,7776.45
2014-02-28,127.0,128.7,126.5,126.7,127.5,2417302.0,3086.78
2014-03-03,127.5,129.85,126.0,129.0,129.0,1550209.0,1996.18
2014-03-04,129.8,133.4,129.8,133.2,133.05,1772281.0,2336.39
2014-03-05,133.4,134.85,131.4,132.0,131.95,1980909.0,2635.81
2014-03-06,132.0,133.6,131.25,132.55,132.2,1653383.0,2193.75
2014-03-07,132.2,134.35,130.5,131.55,131.75,3533902.0,4656.54
2014-03-10,131.6,132.05,127.85,128.2,128.35,4247768.0,5495.31
2014-03-11,129.0,129.5,124.5,125.05,125.0,3782159.0,4743.88
2014-03-12,124.8,128.2,123.1,126.95,127.0,2483990.0,3138.16
2014-03-13,127.9,130.0,125.0,125.8,126.1,2226197.0,2856.68
2014-03-14,125.0,129.6,124.95,129.4,129.25,1835461.0,2352.69
2014-03-18,131.0,131.45,128.55,129.85,129.4,2186564.0,2846.46
2014-03-19,130.1,132.45,129.5,131.05,131.05,1528458.0,2008.51
2014-03-20,130.3,133.2,130.3,131.9,132.15,1995529.0,2636.5
2014-03-21,133.4,133.4,128.05,128.95,128.85,2047170.0,2661.68
2014-03-22,129.9,131.0,129.15,130.0,129.9,153868.0,199.59
2014-03-24,131.7,136.35,130.15,134.5,134.5,2926471.0,3923.66
2014-03-25,134.5,137.2,134.0,134.95,134.75,2378955.0,3218.1
