Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,136.55,137.2,136.0,136.85,137.0,2007677.0,2744.55
2014-01-01,137.5,138.65,136.6,138.05,138.2,1213227.0,1668.58
2014-01-02,138.8,138.8,134.65,134.8,134.9,4764799.0,6503.39
2014-01-03,135.0,135.5,131.5,132.05,131.75,7228862.0,9609.03
2014-01-06,132.8,133.0,130.35,132.2,132.15,3035769.0,4004.77
2014-01-07,132.15,132.8,129.5,130.0,129.85,3445366.0,4493.81
2014-01-08,130.65,132.9,129.1,129.3,129.55,5938919.0,7757.05
2014-01-09,129.8,134.0,129.5,133.5,133.65,7315773.0,9743.12
2014-01-10,133.75,133.9,131.0,131.1,131.4,2480925.0,3289.29
2014-01-13,130.5,133.4,130.4,132.5,132.75,2283443.0,3020.4
2014-01-14,131.7,132.5,130.8,131.3,131.25,2715535.0,3567.52
2014-01-15,132.25,132.85,131.45,132.1,132.25,5583147.0,7378.99
2014-01-16,132.55,134.2,132.55,133.05,133.15,5238158.0,7008.06
2014-01-17,133.2,133.75,131.15,132.0,131.6,9686445.0,12881.99
2014-01-20,132.0,133.5,131.5,131.55,131.85,2288260.0,3027.99
2014-01-21,131.6,133.0,129.75,130.7,130.75,9067857.0,11849.46
2014-01-22,130.5,133.2,130.5,132.4,132.65,4438582.0,5886.11
2014-01-23,131.75,132.4,130.75,131.3,131.1,3964418.0,5218.06
2014-01-24,130.8,131.9,130.65,131.65,131.5,3080062.0,4039.77
2014-01-27,130.25,130.7,129.1,129.5,129.45,2699822.0,3499.29
2014-01-28,129.8,132.0,128.15,128.4,128.5,3764855.0,4861.18
2014-01-29,129.75,130.5,127.25,127.75,127.8,4019121.0,5177.62
2014-01-30,127.05,130.15,126.15,128.6,128.2,6001934.0,7662.97
2014-01-31,125.7,126.95,123.5,126.2,126.45,4369223.0,5484.25
2014-02-03,126.0,126.3,125.1,126.2,126.0,2904211.0,3651.86
2014-02-04,125.9,130.65,125.4,130.6,130.2,10508446.0,13529.59
2014-02-05,130.6,132.7,127.1,132.5,132.4,8496884.0,11093.02
2014-02-06,132.0,134.1,130.8,133.3,133.6,8205918.0,10901.61
2014-02-07,133.7,136.1,132.75,135.8,135.95,12080553.0,16337.43
2014-02-10,135.15,136.6,133.3,133.8,135.2,10642466.0,14403.45
2014-02-11,134.4,134.7,130.05,131.25,132.15,3603027.0,4815.54
2014-02-12,132.2,132.5,130.05,131.0,130.75,6154520.0,8092.31
2014-02-13,131.2,131.45,129.65,130.1,130.1,6901586.0,8989.5
2014-02-14,131.4,132.9,129.65,132.65,132.25,2251143.0,2971.69
2014-02-17,132.3,134.25,132.3,134.1,133.85,1194673.0,1593.53
2014-02-18,133.6,134.55,133.0,133.8,133.85,1691351.0,2263.48
2014-02-19,134.4,134.4,132.05,132.25,132.35,1113395.0,1480.0
2014-02-20,132.0,132.6,130.6,131.55,131.1,1838865.0,2416.58
2014-02-21,131.55,134.0,130.7,133.15,132.45,1669691.0,2198.06
2014-02-24,128.5,128.6,116.35,117.25,116.9,30175559.0,35849.42
2014-02-25,117.45,118.8,113.85,115.65,115.85,16178725.0,18688.39
2014-02-26,116.05,116.75,114.4,115.6,115.45,10927762.0,12619.24
2014-02-28,116.0,116.45,112.0,112.15,112.4,10555563.0,11945.24
