Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,3287.0,3310.1,3270.0,3292.0,3298.15,25509.0,839.62
2014-01-01,3297.55,3300.0,3266.2,3270.0,3274.85,9972.0,326.8
2014-01-02,3255.0,3410.55,3255.0,3295.35,3290.45,107270.0,3578.97
2014-01-03,3309.0,3375.0,3304.7,3365.0,3361.4,96532.0,3229.67
2014-01-06,3377.0,3395.0,3282.0,3307.85,3298.95,38265.0,1272.07
2014-01-07,3298.0,3326.5,3270.0,3271.0,3288.1,29140.0,959.6
2014-01-08,3299.0,3344.9,3275.0,3290.0,3288.95,31958.0,1057.6
2014-01-09,3299.9,3318.0,3218.0,3250.0,3247.65,24974.0,812.5
2014-01-10,3262.0,3304.95,3203.05,3250.1,3243.3,42477.0,1383.78
2014-01-13,3243.3,3275.9,3235.4,3250.0,3251.55,19114.0,621.3
2014-01-14,3247.0,3265.5,3230.0,3244.0,3240.9,25062.0,812.56
2014-01-15,3244.0,3275.0,3223.0,3255.0,3248.55,16874.0,548.42
2014-01-16,3249.2,3260.0,3190.0,3207.0,3200.3,17213.0,551.8
2014-01-17,3224.0,3229.5,3125.1,3150.6,3145.15,15587.0,496.7
2014-01-20,3114.0,3193.5,3114.0,3186.0,3181.7,28408.0,897.22
2014-01-21,3136.0,3210.0,3136.0,3190.0,3174.5,11126.0,353.59
2014-01-22,3170.35,3202.0,3165.0,3191.0,3189.8,16828.0,536.03
2014-01-23,3189.1,3280.0,3184.95,3262.5,3263.05,38378.0,1245.98
2014-01-24,3262.5,3280.0,3220.1,3258.15,3241.85,36475.0,1185.02
2014-01-27,3175.0,3248.0,3164.8,3240.0,3225.15,58874.0,1886.49
2014-01-28,3202.0,3225.0,3166.1,3200.0,3195.2,36042.0,1153.7
2014-01-29,3200.0,3209.85,3176.45,3200.0,3199.4,46606.0,1490.56
2014-01-30,3202.75,3205.0,3137.6,3160.0,3185.8,65008.0,2071.27
2014-01-31,3140.0,3219.95,3140.0,3217.0,3203.75,10498.0,334.54
2014-02-03,3185.2,3218.9,3166.1,3180.75,3183.75,9335.0,297.56
2014-02-04,3152.0,3194.8,3130.25,3155.6,3142.6,8860.0,278.8
2014-02-05,3132.2,3180.0,3131.1,3161.0,3173.5,20514.0,646.87
2014-02-06,3215.0,3219.9,3130.0,3163.9,3148.4,40416.0,1271.81
2014-02-07,3158.0,3219.95,3145.1,3175.0,3159.1,27052.0,854.53
2014-02-10,3162.3,3167.5,3120.0,3120.0,3131.1,29430.0,922.18
2014-02-11,3133.7,3144.6,3115.0,3121.0,3124.95,8795.0,275.34
2014-02-12,3130.0,3140.0,3106.5,3125.0,3125.15,57613.0,1800.65
2014-02-13,3110.05,3139.55,3066.0,3100.0,3085.3,10468.0,323.06
2014-02-14,3098.0,3109.0,3070.0,3087.0,3085.4,95158.0,2939.16
2014-02-17,3075.75,3100.0,3052.9,3063.0,3065.15,10974.0,337.2
2014-02-18,3089.55,3089.55,3025.1,3039.2,3038.8,41821.0,1270.64
2014-02-19,3069.95,3069.95,2985.1,3024.0,3019.7,16222.0,488.82
2014-02-20,3020.0,3055.1,3012.0,3040.0,3040.3,15574.0,473.74
2014-02-21,3036.0,3118.75,3036.0,3105.5,3101.45,26632.0,822.98
2014-02-24,3130.0,3130.0,3066.15,3070.0,3074.85,5580.0,171.75
2014-02-25,3074.85,3119.95,3057.1,3063.0,3067.4,8857.0,273.3
2014-02-26,3073.0,3098.0,3051.7,3077.05,3077.0,36499.0,1121.22
2014-02-28,3080.0,3136.0,3079.9,3111.0,3114.15,14590.0,452.92
2014-03-03,3131.95,3147.55,3080.55,3091.0,3099.45,72325.0,2242.76
2014-03-04,3060.5,3100.0,3059.95,3080.0,3075.05,12538.0,385.68
2014-03-05,3075.05,3115.45,3052.0,3074.0,3062.0,17872.0,552.0
2014-03-06,3078.0,3095.0,3030.3,3050.0,3038.3,13429.0,409.85
2014-03-07,3070.95,3070.95,2977.1,3004.05,3008.95,8961.0,270.01
2014-03-10,3044.0,3044.0,2960.15,2969.95,2968.9,24558.0,734.33
2014-03-11,2965.6,2991.8,2951.0,2958.0,2955.45,30465.0,901.59
2014-03-12,2965.0,2974.0,2932.15,2945.0,2947.85,34872.0,1029.06
2014-03-13,2973.35,2973.35,2860.0,2880.05,2904.95,28857.0,848.11
2014-03-14,2908.0,2922.5,2868.5,2881.0,2883.9,14454.0,417.6
2014-03-18,2899.0,2924.0,2881.5,2908.4,2905.75,9203.0,267.2
2014-03-19,2935.0,2938.5,2804.0,2850.05,2850.5,45644.0,1298.15
2014-03-20,2877.95,2905.0,2845.2,2880.0,2884.15,57026.0,1641.95
2014-03-21,2900.0,2924.0,2875.0,2905.0,2904.75,25706.0,746.89
2014-03-22,2875.1,2929.0,2875.1,2909.0,2908.35,404.0,11.78
2014-03-24,2890.0,2919.95,2876.95,2900.0,2904.4,20657.0,598.35
2014-03-25,2895.0,2949.8,2889.5,2925.2,2934.75,22755.0,664.9
2014-03-26,2909.0,2955.0,2891.9,2950.0,2940.75,31521.0,924.12
2014-03-27,2912.0,3011.0,2912.0,2950.0,2983.35,44241.0,1316.54
2014-03-28,2980.0,3059.0,2962.65,3054.0,3047.5,18224.0,550.76
2014-03-31,3020.0,3105.0,2990.05,3060.25,3087.45,36273.0,1108.09
2014-04-01,3100.0,3100.0,3027.1,3041.0,3050.1,5288.0,161.52
2014-04-02,3055.0,3081.1,3049.05,3051.1,3060.55,6271.0,192.27
2014-04-03,3025.1,3086.15,3019.5,3040.0,3028.9,11375.0,345.17
2014-04-04,3054.0,3074.25,3017.35,3050.0,3045.55,6417.0,195.27
2014-04-07,3030.05,3050.0,3019.7,3048.15,3039.45,1811.0,55.01
2014-04-09,3045.0,3055.0,2990.0,3050.0,3049.95,114520.0,3489.98
2014-04-10,3037.0,3110.0,2997.25,3080.0,3079.8,44024.0,1355.36
2014-04-11,3099.0,3271.2,3006.65,3207.95,3199.0,88135.0,2805.19
2014-04-15,3245.0,3245.0,3121.0,3152.4,3157.15,8808.0,277.9
2014-04-16,3174.95,3180.0,3101.35,3148.0,3136.25,28517.0,893.71
2014-04-17,3136.25,3211.3,3118.0,3207.75,3196.7,24292.0,768.0
2014-04-21,3194.4,3239.0,3156.0,3156.0,3166.25,16691.0,530.17
2014-04-22,3180.0,3180.0,3130.0,3136.0,3136.6,4881.0,153.56
2014-04-23,3111.0,3193.15,3070.25,3096.95,3089.95,28059.0,869.67
2014-04-25,3099.0,3123.0,3062.0,3085.1,3094.7,4963.0,153.49
2014-04-28,3080.0,3098.95,3036.05,3038.5,3053.1,4733.0,145.13
2014-04-29,3089.95,3089.95,2975.1,3010.0,3000.8,9625.0,289.54
2014-04-30,3025.0,3059.45,2980.0,3000.0,3000.4,14431.0,433.34
2014-05-02,3037.0,3037.0,2985.0,2991.25,2991.25,11321.0,338.94
2014-05-05,3024.0,3024.0,2984.7,2998.25,2990.2,7250.0,217.0
2014-05-06,3020.0,3020.0,2950.0,2960.0,2961.1,90906.0,2716.92
2014-05-07,2994.35,2994.35,2910.0,2920.0,2916.2,7674.0,225.87
2014-05-08,2948.0,2983.95,2910.7,2979.0,2966.25,10881.0,320.74
2014-05-09,2999.0,2999.0,2925.05,2944.2,2952.7,7742.0,228.72
2014-05-12,2999.0,2999.0,2926.0,2979.95,2953.25,4268.0,125.74
2014-05-13,2953.25,3050.0,2953.25,3000.0,3006.25,14601.0,437.89
2014-05-14,2967.0,3089.0,2965.0,3013.0,3029.2,38982.0,1188.91
2014-05-15,3003.0,3038.15,2916.65,2951.05,2949.7,17183.0,508.68
2014-05-16,3041.0,3041.0,2830.05,2927.05,2910.0,79446.0,2283.38
2014-05-19,2901.1,2924.9,2793.2,2807.0,2807.5,195346.0,5521.67
2014-05-20,2776.0,2837.0,2770.0,2802.25,2813.15,28711.0,804.45
2014-05-21,2815.0,2941.25,2810.05,2902.0,2912.15,18109.0,523.6
