Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,484.05,492.0,475.1,488.2,488.35,359499.0,1741.57
2014-01-01,484.35,491.0,480.35,482.1,483.15,155793.0,758.14
2014-01-02,483.05,488.75,459.1,463.0,462.75,218029.0,1023.58
2014-01-03,465.0,475.0,463.1,473.0,471.35,166301.0,780.08
2014-01-06,471.95,484.9,466.0,482.0,476.45,173483.0,822.72
2014-01-07,477.95,478.7,462.4,464.4,464.8,186718.0,875.38
2014-01-08,468.4,469.45,462.0,463.5,464.05,196100.0,914.37
2014-01-09,465.0,470.0,461.1,466.0,466.45,266374.0,1240.62
2014-01-10,465.0,469.0,462.5,465.8,465.25,225442.0,1049.73
2014-01-13,469.0,483.75,469.0,483.0,482.25,378782.0,1819.37
2014-01-14,480.8,487.8,474.4,482.1,483.1,126319.0,607.15
2014-01-15,486.8,486.8,475.35,478.8,479.95,388767.0,1866.25
2014-01-16,479.95,481.6,474.0,475.9,476.05,837488.0,4015.8
2014-01-17,473.05,477.0,465.0,473.0,472.75,317217.0,1504.16
2014-01-20,466.25,480.4,466.25,474.0,474.8,528658.0,2528.16
2014-01-21,476.0,483.0,475.25,477.0,477.55,123864.0,592.67
2014-01-22,477.55,483.8,477.55,480.0,479.15,393329.0,1888.23
2014-01-23,479.65,484.0,476.0,480.0,480.9,161326.0,775.82
2014-01-24,482.5,482.5,470.05,470.05,471.15,166678.0,791.93
2014-01-27,470.0,471.0,451.0,454.9,456.6,235840.0,1085.33
2014-01-28,455.5,464.4,450.05,453.0,451.75,391457.0,1794.35
2014-01-29,456.0,467.45,453.1,464.0,465.4,511426.0,2347.51
2014-01-30,461.0,463.65,455.4,460.0,460.9,214713.0,985.9
2014-01-31,461.0,477.8,461.0,474.05,474.2,273751.0,1292.52
2014-02-03,463.0,464.0,455.25,458.05,459.9,284147.0,1306.53
2014-02-04,455.0,458.9,445.15,445.75,447.75,216495.0,974.7
2014-02-05,446.0,453.5,439.0,440.3,440.3,259709.0,1153.85
2014-02-06,438.0,449.4,438.0,449.1,445.8,472260.0,2094.61
2014-02-07,445.8,452.0,444.0,448.0,449.7,117211.0,525.62
2014-02-10,448.7,454.3,446.3,452.6,452.4,131091.0,593.25
2014-02-11,449.15,458.6,449.15,456.5,456.4,217634.0,985.52
2014-02-12,458.95,462.9,452.0,461.0,460.25,1264267.0,5816.04
2014-02-13,462.85,463.85,449.0,452.0,456.2,259328.0,1188.63
2014-02-14,462.5,463.2,454.35,455.6,457.05,518102.0,2374.15
2014-02-17,459.45,459.9,446.15,448.7,448.1,114881.0,518.05
2014-02-18,448.05,454.0,445.1,449.4,447.25,128581.0,577.33
2014-02-19,450.0,457.7,448.0,457.0,455.4,74917.0,339.56
2014-02-20,454.95,454.95,441.1,442.4,443.85,109475.0,488.16
2014-02-21,447.9,448.65,442.95,445.5,446.8,95791.0,427.32
2014-02-24,443.0,449.5,443.0,446.5,446.3,81197.0,362.33
