Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,160.8,168.0,159.55,167.0,166.95,2211190.0,3653.91
2014-01-01,167.95,168.0,165.2,166.15,166.3,811450.0,1350.66
2014-01-02,166.3,169.75,159.3,159.5,159.95,1862871.0,3076.38
2014-01-03,158.4,160.1,154.8,158.8,158.5,1514482.0,2377.89
2014-01-06,159.2,159.2,155.8,157.9,157.95,1331390.0,2092.23
2014-01-07,158.75,161.25,151.75,152.7,152.95,2752589.0,4254.22
2014-01-08,154.6,157.45,153.7,155.05,155.45,2680099.0,4179.28
2014-01-09,155.6,157.3,152.85,154.4,154.0,1745779.0,2706.37
2014-01-10,154.0,157.9,151.45,152.2,151.95,1489580.0,2299.07
2014-01-13,152.85,156.0,151.0,153.5,153.05,857530.0,1314.39
2014-01-14,153.2,154.4,148.15,148.9,148.65,1451146.0,2188.35
2014-01-15,148.5,154.55,148.5,152.6,153.3,1936742.0,2952.88
2014-01-16,154.0,154.2,149.9,150.15,150.45,1329996.0,2018.12
2014-01-17,150.1,152.95,144.95,145.8,145.7,1944739.0,2885.16
2014-01-20,145.35,146.8,141.8,143.95,143.45,2750082.0,3944.96
2014-01-21,144.05,147.65,142.75,147.0,147.2,2506143.0,3643.9
2014-01-22,146.9,146.9,143.4,144.4,144.35,1697146.0,2453.3
2014-01-23,143.6,146.25,143.0,145.0,145.1,1380017.0,1998.66
2014-01-24,142.2,144.4,136.7,136.95,137.1,2649617.0,3693.8
2014-01-27,134.9,135.0,128.75,129.2,129.4,2933974.0,3831.4
2014-01-28,130.0,136.2,130.0,133.2,133.35,2905872.0,3877.85
2014-01-29,134.9,136.55,133.1,134.8,134.4,1725817.0,2327.97
2014-01-30,132.45,133.05,130.0,131.0,130.8,3794550.0,4975.22
2014-01-31,131.9,136.9,131.0,136.0,136.15,1334254.0,1789.26
2014-02-03,135.05,136.3,131.7,131.8,132.0,1129359.0,1504.87
2014-02-04,130.05,139.9,130.05,138.0,138.0,7589516.0,10420.81
2014-02-05,143.0,146.9,140.3,145.35,145.55,5850242.0,8407.63
2014-02-06,147.4,152.9,144.15,152.45,152.1,6131212.0,9172.13
2014-02-07,145.7,146.5,143.85,145.35,145.1,3178894.0,4614.64
2014-02-10,145.6,147.5,143.2,146.0,145.6,2113879.0,3071.59
2014-02-11,145.3,149.25,145.3,148.35,148.15,2331352.0,3446.55
2014-02-12,149.25,149.85,146.6,146.7,147.5,1347138.0,2000.63
2014-02-13,147.5,147.5,145.0,145.3,145.65,716259.0,1043.99
2014-02-14,145.0,147.95,143.3,146.6,145.95,1651543.0,2410.98
2014-02-17,146.75,150.45,145.9,150.4,149.95,1115449.0,1655.5
