Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,3070.0,3078.95,3025.1,3025.1,3036.95,733.0,22.36
2014-01-01,3073.0,3073.0,3000.05,3000.5,3019.2,1288.0,39.04
2014-01-02,3038.85,3043.0,3016.25,3024.85,3021.1,1350.0,40.9
2014-01-03,3012.15,3050.0,3010.45,3030.0,3031.1,635.0,19.23
2014-01-06,3040.0,3138.95,3018.0,3078.1,3095.8,2988.0,91.91
2014-01-07,3130.0,3139.9,3052.0,3068.0,3104.8,3280.0,101.79
2014-01-08,3100.0,3106.2,3055.5,3055.5,3063.25,725.0,22.31
2014-01-09,3054.4,3091.0,3040.0,3071.4,3077.8,8547.0,262.72
2014-01-10,3058.9,3077.0,3042.9,3043.0,3058.2,1682.0,51.59
2014-01-13,3040.15,3089.0,3040.15,3049.95,3058.65,245.0,7.51
2014-01-14,3047.1,3233.9,3047.1,3220.0,3178.3,3611.0,114.31
2014-01-15,3151.0,3180.0,3101.0,3111.1,3111.65,2753.0,86.1
2014-01-16,3128.8,3253.0,3075.05,3220.0,3164.0,4552.0,143.74
2014-01-17,3215.0,3230.0,3155.8,3185.0,3187.75,4713.0,150.21
2014-01-20,3187.75,3225.0,3150.0,3210.0,3199.7,1774.0,56.62
2014-01-21,3187.2,3248.0,3170.1,3170.1,3189.45,1290.0,41.44
2014-01-22,3228.2,3230.0,3201.5,3221.6,3217.55,645.0,20.77
2014-01-23,3218.6,3230.0,3181.1,3230.0,3226.75,1328.0,42.78
2014-01-24,3200.6,3217.7,3121.0,3121.0,3143.15,1142.0,36.14
2014-01-27,3179.95,3179.95,3050.0,3060.5,3066.45,1194.0,36.94
2014-01-28,3066.0,3079.0,3025.0,3040.0,3048.75,628.0,19.16
2014-01-29,3060.05,3102.65,3030.0,3030.0,3047.45,528.0,16.14
2014-01-30,3029.9,3050.0,3001.0,3003.0,3020.6,498.0,15.08
2014-01-31,3030.0,3143.0,3010.1,3130.0,3100.5,1085.0,33.45
2014-02-03,3172.95,3173.0,3042.0,3045.0,3057.3,373.0,11.49
2014-02-04,3199.0,3329.95,3062.05,3200.0,3207.15,12794.0,408.7
2014-02-05,3195.1,3239.85,3140.0,3200.0,3200.75,1937.0,61.97
2014-02-06,3244.0,3248.0,3176.0,3180.0,3202.95,1869.0,60.27
2014-02-07,3202.95,3219.0,3190.0,3205.0,3207.05,295.0,9.45
2014-02-10,3210.3,3218.0,3185.0,3188.0,3200.3,505.0,16.18
2014-02-11,3224.95,3224.95,3180.0,3180.0,3187.35,231.0,7.37
2014-02-12,3165.35,3197.95,3144.0,3145.0,3148.15,563.0,17.81
2014-02-13,3148.25,3170.0,3126.05,3158.8,3137.55,543.0,17.08
2014-02-14,3138.0,3155.45,3112.2,3124.0,3118.05,354.0,11.07
2014-02-17,3100.0,3120.0,3063.05,3071.0,3076.7,623.0,19.27
2014-02-18,3083.5,3108.9,3062.85,3100.0,3100.8,813.0,25.08
2014-02-19,3101.0,3120.0,3100.0,3120.0,3114.75,669.0,20.79
2014-02-20,3127.2,3140.0,3100.0,3112.0,3102.85,330.0,10.27
2014-02-21,3149.0,3149.0,3090.0,3129.0,3128.3,644.0,20.1
2014-02-24,3097.0,3141.0,3097.0,3097.0,3102.45,433.0,13.48
2014-02-25,3119.95,3160.0,3082.4,3092.0,3090.3,784.0,24.41
2014-02-26,3090.05,3120.0,3075.0,3090.0,3083.95,1396.0,43.23
2014-02-28,3104.95,3119.9,3082.65,3082.65,3090.15,377.0,11.68
2014-03-03,3088.0,3105.0,3062.85,3063.05,3063.65,922.0,28.4
2014-03-04,3099.95,3109.0,3065.5,3093.0,3095.2,973.0,30.03
2014-03-05,3124.5,3124.5,3053.05,3088.0,3081.1,1404.0,43.21
2014-03-06,3090.0,3150.0,3081.1,3110.0,3121.45,29173.0,901.4
2014-03-07,3143.4,3175.0,3065.15,3066.0,3092.95,1383.0,43.22
2014-03-10,3138.6,3138.6,3050.95,3067.0,3064.95,696.0,21.45
2014-03-11,3035.05,3118.45,3035.05,3095.0,3091.55,1514.0,46.8
2014-03-12,3070.15,3089.95,3060.1,3070.0,3071.6,622.0,19.11
2014-03-13,3066.6,3110.0,3063.0,3063.0,3080.95,633.0,19.55
2014-03-14,3082.0,3085.0,3010.2,3055.0,3039.7,1408.0,42.76
2014-03-18,3039.7,3074.0,3020.2,3027.0,3046.3,1242.0,37.69
2014-03-19,3050.0,3079.0,3030.0,3073.6,3067.95,713.0,21.85
2014-03-20,3060.0,3081.0,3045.0,3062.0,3060.5,14356.0,440.03
2014-03-21,3079.8,3079.8,3055.0,3061.0,3060.3,2495.0,76.36
2014-03-22,3064.05,3080.0,3060.0,3080.0,3073.1,68.0,2.09
2014-03-24,3075.0,3085.0,3063.2,3085.0,3082.4,523.0,16.11
2014-03-25,3062.0,3114.95,3062.0,3080.0,3094.0,924.0,28.55
2014-03-26,3099.9,3139.95,3076.05,3111.0,3119.05,2587.0,80.46
2014-03-27,3115.0,3149.95,3106.2,3114.0,3117.3,1591.0,49.68
2014-03-28,3150.0,3165.0,3113.05,3165.0,3155.95,707.0,22.24
2014-03-31,3175.0,3220.0,3157.05,3180.0,3197.9,1714.0,54.71
2014-04-01,3229.0,3229.0,3175.05,3175.05,3192.1,3212.0,102.64
2014-04-02,3224.95,3224.95,3173.2,3182.0,3193.1,546.0,17.4
2014-04-03,3204.95,3225.0,3133.4,3225.0,3193.9,1248.0,39.74
2014-04-04,3162.0,3215.15,3162.0,3200.0,3200.0,1852.0,59.22
2014-04-07,3200.0,3219.95,3164.65,3200.0,3200.35,1132.0,36.19
2014-04-09,3190.0,3261.0,3190.0,3235.0,3224.3,1344.0,43.43
2014-04-10,3224.95,3224.95,3160.0,3200.0,3195.3,2898.0,92.45
2014-04-11,3213.95,3214.0,3179.9,3180.0,3193.65,398.0,12.71
2014-04-15,3183.0,3220.0,3180.0,3220.0,3212.2,1080.0,34.57
2014-04-16,3225.0,3474.5,3210.0,3415.0,3402.35,10108.0,340.84
2014-04-17,3460.0,3460.0,3393.0,3415.0,3411.7,1173.0,39.96
2014-04-21,3420.0,3493.6,3360.0,3450.0,3446.95,2254.0,77.58
2014-04-22,3469.95,3519.0,3449.95,3479.0,3477.8,2415.0,84.15
2014-04-23,3460.1,3510.0,3450.0,3474.0,3478.75,911.0,31.68
2014-04-25,3401.15,3490.05,3371.0,3395.0,3384.65,1816.0,61.98
2014-04-28,3460.0,3460.0,3344.0,3400.0,3401.65,1000.0,33.93
2014-04-29,3447.55,3447.55,3232.35,3295.9,3300.75,2010.0,66.33
2014-04-30,3267.0,3429.95,3267.0,3400.0,3403.05,1701.0,56.91
2014-05-02,3368.05,3425.0,3313.5,3407.05,3407.05,1051.0,35.65
2014-05-05,3375.05,3425.0,3362.95,3422.0,3410.25,902.0,30.63
2014-05-06,3407.75,3447.3,3350.0,3350.0,3372.5,864.0,29.45
2014-05-07,3385.0,3450.0,3376.5,3435.0,3434.85,1019.0,34.97
2014-05-08,3595.0,3719.9,3590.25,3610.0,3615.8,14814.0,539.43
2014-05-09,3630.0,3674.95,3585.5,3636.0,3653.5,3210.0,116.54
2014-05-12,3625.0,3674.0,3105.1,3600.0,3603.45,3828.0,137.75
