Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,288.0,291.8,283.25,285.9,285.75,119478.0,343.03
2014-01-01,286.3,288.5,285.65,286.0,286.2,69630.0,199.65
2014-01-02,287.65,289.7,284.15,285.25,284.95,64764.0,186.17
2014-01-03,283.5,285.5,278.05,281.5,281.9,183858.0,515.06
2014-01-06,281.5,287.5,280.8,285.2,285.55,122733.0,350.04
2014-01-07,286.7,287.9,282.0,283.25,283.35,64773.0,184.69
2014-01-08,285.35,286.95,283.75,286.0,285.95,200383.0,572.97
2014-01-09,287.2,293.0,285.25,292.65,291.65,282680.0,819.02
2014-01-10,292.0,293.7,284.25,285.0,285.65,164492.0,475.81
2014-01-13,285.65,290.95,284.6,286.0,285.8,94372.0,271.37
2014-01-14,285.0,286.6,281.1,282.9,281.7,61381.0,173.9
2014-01-15,282.5,285.0,281.6,284.0,283.7,35893.0,101.73
2014-01-16,284.0,284.25,280.3,281.6,281.65,39393.0,111.01
2014-01-17,281.5,289.9,281.25,282.85,282.05,176151.0,503.81
2014-01-20,281.5,285.3,279.1,283.85,283.9,113536.0,320.74
2014-01-21,282.35,285.5,281.95,283.0,282.7,46908.0,132.76
2014-01-22,282.05,284.9,281.5,281.7,282.05,67532.0,190.9
2014-01-23,282.05,285.0,280.0,283.3,282.9,150260.0,425.34
2014-01-24,281.55,283.8,280.05,280.1,280.9,36736.0,103.47
2014-01-27,279.0,280.7,273.0,275.85,275.3,110501.0,305.21
2014-01-28,277.0,283.0,277.0,280.5,281.0,818952.0,2291.89
2014-01-29,274.95,289.9,269.6,289.0,285.3,687358.0,1925.92
2014-01-30,284.0,284.15,278.0,278.25,279.7,562437.0,1576.69
2014-01-31,278.5,283.4,278.5,280.4,279.85,154570.0,435.46
2014-02-03,280.7,281.0,275.0,276.0,276.2,73766.0,204.46
2014-02-04,275.0,277.9,272.6,275.85,275.5,300833.0,828.46
2014-02-05,276.0,277.8,275.25,275.35,275.85,493085.0,1362.66
2014-02-06,276.0,276.75,272.5,272.5,273.6,160299.0,441.51
2014-02-07,273.6,281.7,273.6,274.55,275.45,193760.0,537.72
2014-02-10,276.45,277.55,273.5,274.9,274.95,200348.0,551.07
2014-02-11,276.2,276.95,272.65,273.8,273.4,393871.0,1085.76
2014-02-12,274.05,282.0,271.75,281.0,281.15,183816.0,508.55
2014-02-13,278.0,284.8,273.05,274.2,274.0,88080.0,246.01
2014-02-14,275.4,278.4,271.1,273.9,273.15,58975.0,161.59
2014-02-17,274.0,277.0,273.65,275.5,275.25,25025.0,68.88
2014-02-18,273.15,278.35,271.5,278.35,275.5,99158.0,271.7
2014-02-19,274.5,281.7,274.5,279.25,279.55,53739.0,149.96
2014-02-20,278.95,279.0,274.55,274.6,275.65,37316.0,103.36
2014-02-21,274.9,279.45,274.9,278.3,277.25,263749.0,729.88
2014-02-24,275.2,281.5,275.2,280.55,280.7,169054.0,471.81
2014-02-25,278.25,285.7,278.25,285.05,285.1,91760.0,260.63
2014-02-26,288.0,289.0,284.1,287.05,287.05,79329.0,228.08
2014-02-28,286.0,288.9,284.5,286.3,286.35,669164.0,1919.51
2014-03-03,285.25,289.9,285.1,289.65,287.75,144785.0,416.24
2014-03-04,289.65,291.0,287.55,288.0,288.5,136926.0,396.39
2014-03-05,289.8,291.0,287.75,288.0,289.0,71444.0,206.48
2014-03-06,289.75,293.0,288.5,291.95,291.0,218668.0,635.29
2014-03-07,292.0,292.15,284.1,286.45,285.85,268568.0,771.53
2014-03-10,285.85,288.9,279.85,282.6,281.95,95641.0,270.3
2014-03-11,283.65,285.0,279.0,283.0,281.85,198175.0,556.59
2014-03-12,282.9,283.95,278.0,279.3,279.8,78071.0,218.94
2014-03-13,279.8,284.0,278.95,280.4,279.9,174872.0,489.5
2014-03-14,282.7,283.0,279.0,279.5,281.55,177013.0,497.76
2014-03-18,280.8,282.75,280.35,281.95,281.2,117308.0,330.55
2014-03-19,282.6,282.6,279.5,280.6,280.55,566709.0,1587.8
2014-03-20,280.6,286.5,280.6,283.0,282.1,270725.0,766.84
2014-03-21,283.75,293.0,283.0,291.4,291.5,483618.0,1405.25
2014-03-22,291.5,294.8,289.0,289.1,290.15,29203.0,85.42
2014-03-24,290.15,294.35,283.7,286.0,285.05,118447.0,343.29
2014-03-25,285.0,290.6,284.3,290.0,289.8,93189.0,268.33
2014-03-26,289.1,302.8,289.1,300.95,300.65,429544.0,1285.49
2014-03-27,301.5,307.95,301.0,305.6,305.85,489180.0,1495.71
2014-03-28,305.85,309.4,301.05,304.25,304.2,165615.0,505.45
2014-03-31,304.25,310.0,300.0,307.0,307.05,258509.0,788.87
2014-04-01,305.0,309.0,304.0,307.0,306.85,87784.0,268.5
2014-04-02,309.9,309.9,301.05,307.0,308.4,96162.0,293.38
2014-04-03,310.0,318.25,307.0,315.15,316.05,339234.0,1067.39
2014-04-04,314.55,321.9,309.9,315.0,313.4,247068.0,779.89
2014-04-07,312.25,318.0,309.2,315.75,316.85,65472.0,205.82
2014-04-09,314.0,321.7,311.5,321.0,320.0,263897.0,841.44
2014-04-10,324.35,326.9,321.25,326.5,325.75,267662.0,870.17
2014-04-11,323.05,330.05,322.0,327.1,328.2,152913.0,501.01
2014-04-15,328.0,329.2,320.0,321.8,323.9,189475.0,614.47
2014-04-16,323.0,327.4,319.2,324.85,322.25,165635.0,535.13
2014-04-17,322.1,329.9,320.25,327.9,327.8,182419.0,594.51
2014-04-21,329.0,338.0,327.0,332.9,333.0,129756.0,432.92
2014-04-22,335.0,339.3,332.1,338.0,337.95,175644.0,590.46
2014-04-23,336.0,341.1,334.6,340.0,338.65,367326.0,1235.08
2014-04-25,339.0,339.85,326.15,328.0,329.45,171598.0,569.3
2014-04-28,327.0,327.0,320.1,321.0,321.0,66062.0,212.74
2014-04-29,321.0,321.0,313.0,315.5,314.6,93069.0,293.85
2014-04-30,314.15,320.2,314.15,320.2,318.5,66454.0,211.48
2014-05-02,318.0,320.0,306.1,310.4,310.4,108376.0,338.85
2014-05-05,312.5,314.8,307.8,308.0,308.6,49467.0,153.71
2014-05-06,309.8,310.5,299.0,299.95,300.2,333823.0,1012.82
2014-05-07,300.0,302.75,298.8,298.8,300.0,95350.0,287.12
2014-05-08,298.25,310.9,296.5,299.5,299.85,184515.0,559.45
2014-05-09,297.5,303.75,297.5,300.9,300.0,158465.0,475.84
2014-05-12,297.1,314.4,297.1,312.35,311.55,175131.0,542.31
2014-05-13,314.0,321.0,311.95,313.0,313.85,113920.0,359.77
2014-05-14,314.9,317.4,305.15,312.75,311.35,111628.0,346.75
2014-05-15,312.75,316.25,301.5,303.0,304.3,201327.0,619.07
2014-05-16,306.9,315.75,292.0,313.0,311.35,815848.0,2514.78
2014-05-19,312.0,326.8,311.6,322.0,321.8,383353.0,1217.73
2014-05-20,324.6,330.0,321.65,323.0,323.85,222677.0,728.26
2014-05-21,324.0,329.0,315.3,320.0,317.9,153434.0,496.24
2014-05-22,319.0,329.75,319.0,326.55,326.5,327347.0,1070.11
2014-05-23,326.55,333.4,318.9,330.75,329.85,269370.0,892.44
2014-05-26,333.0,335.55,324.0,328.0,327.7,243579.0,809.69
2014-05-27,329.0,331.0,320.0,321.95,322.2,76269.0,247.66
2014-05-28,322.3,330.9,322.3,326.55,325.3,203513.0,664.99
2014-05-29,316.0,316.85,307.3,308.45,308.65,276607.0,860.75
2014-05-30,306.1,308.7,299.0,303.5,302.75,174788.0,527.92
2014-06-02,303.9,304.7,299.75,301.0,301.0,150818.0,454.93
2014-06-03,302.05,304.25,299.1,303.0,302.85,173358.0,524.45
2014-06-04,303.8,303.85,294.25,297.5,297.15,259345.0,770.71
2014-06-05,297.0,299.95,292.5,294.8,293.8,323858.0,955.47
2014-06-06,295.0,305.9,295.0,299.0,298.0,1206067.0,3595.39
2014-06-09,303.0,304.0,292.1,294.7,294.1,702485.0,2069.31
2014-06-10,294.0,297.2,289.1,292.2,291.3,994089.0,2886.78
2014-06-11,294.0,307.2,292.0,297.9,298.25,762771.0,2301.5
2014-06-12,301.5,303.65,298.0,299.65,298.9,511060.0,1535.51
2014-06-13,301.8,302.8,288.0,291.1,291.3,320140.0,942.24
