Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,630.0,631.7,622.3,626.15,626.45,643710.0,4034.46
2014-01-01,627.55,639.8,626.0,636.85,634.9,642981.0,4068.49
2014-01-02,637.0,654.55,606.7,609.0,611.2,2773551.0,17640.86
2014-01-03,600.35,621.5,600.35,618.9,618.25,1834501.0,11239.4
2014-01-06,617.5,618.9,605.0,609.5,610.05,971861.0,5927.12
2014-01-07,610.0,615.9,592.9,600.0,602.3,1560161.0,9390.27
2014-01-08,606.4,615.6,599.3,610.95,610.35,1308715.0,7970.79
2014-01-09,610.1,612.8,600.5,606.0,605.15,1370435.0,8296.84
2014-01-10,606.8,614.6,591.25,592.0,595.2,1055293.0,6387.43
2014-01-13,597.05,605.65,588.65,605.0,601.35,1159705.0,6934.44
2014-01-14,602.4,608.0,597.0,599.55,600.5,813550.0,4901.11
2014-01-15,604.0,617.0,602.05,616.35,615.55,1112740.0,6794.32
2014-01-16,620.55,622.3,613.0,615.1,616.95,853913.0,5277.36
2014-01-17,614.0,619.7,595.8,596.55,596.9,932244.0,5651.41
2014-01-20,597.0,603.0,590.1,602.05,600.7,936059.0,5583.11
2014-01-21,603.15,615.75,603.15,611.5,610.9,971946.0,5940.2
2014-01-22,609.0,620.35,602.0,615.9,617.8,1165385.0,7135.56
2014-01-23,616.55,619.0,607.05,610.1,609.9,817564.0,5013.05
2014-01-24,606.0,609.0,580.4,581.15,581.8,1371702.0,8108.27
2014-01-27,572.0,572.65,544.25,550.3,547.75,1640058.0,9135.65
2014-01-28,548.0,563.0,529.65,549.5,547.6,2170888.0,11832.84
2014-01-29,554.7,559.0,538.3,539.65,540.45,1037673.0,5678.3
2014-01-30,530.0,532.0,515.2,517.25,517.6,2368175.0,12375.7
2014-01-31,518.5,554.15,509.15,553.45,547.55,6674795.0,35857.36
2014-02-03,547.55,554.45,541.2,549.65,549.6,1756758.0,9624.13
2014-02-04,537.6,569.4,535.0,569.0,565.8,2303469.0,12771.59
2014-02-05,566.0,569.0,556.1,558.9,560.9,1176083.0,6606.72
2014-02-06,561.0,567.5,545.7,550.0,550.2,1398213.0,7738.87
2014-02-07,557.45,558.8,550.45,556.5,555.7,1031571.0,5722.3
2014-02-10,558.05,560.4,552.4,557.4,557.65,648825.0,3613.03
2014-02-11,549.45,551.9,545.1,545.6,546.6,681229.0,3737.08
2014-02-12,551.55,556.75,545.0,547.45,548.95,852662.0,4699.62
2014-02-13,549.25,551.95,528.7,529.0,530.95,1109725.0,5959.2
2014-02-14,533.9,539.75,524.0,537.5,536.7,1188030.0,6324.81
2014-02-17,535.2,541.8,526.5,533.2,532.45,757444.0,4036.53
2014-02-18,530.15,549.3,530.15,541.1,543.0,1090866.0,5929.72
2014-02-19,543.9,548.6,536.0,540.45,540.65,803419.0,4352.4
2014-02-20,535.0,537.0,527.6,531.7,531.2,836981.0,4447.89
2014-02-21,533.0,538.5,532.2,534.5,535.0,683722.0,3660.88
