Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,129.55,131.0,128.7,130.1,130.0,2215084.0,2877.58
2014-01-01,130.65,139.2,130.1,137.85,138.35,11270108.0,15323.47
2014-01-02,138.1,140.0,129.1,129.65,130.05,9753136.0,13154.85
2014-01-03,129.4,132.65,129.0,131.65,131.8,6499333.0,8521.12
2014-01-06,131.5,133.6,129.35,130.7,131.05,5327170.0,6989.87
2014-01-07,131.75,131.75,128.0,129.25,129.65,4871432.0,6321.52
2014-01-08,130.8,131.15,127.75,128.0,128.15,4168138.0,5385.48
2014-01-09,128.4,129.2,123.65,124.65,124.3,4075052.0,5127.7
2014-01-10,124.3,127.35,121.0,121.75,121.9,5749689.0,7132.57
2014-01-13,122.2,124.0,121.0,123.75,123.15,2985769.0,3666.37
2014-01-14,122.95,126.4,122.7,123.7,123.75,3540796.0,4400.5
2014-01-15,124.0,127.45,124.0,126.75,126.8,4807116.0,6078.32
2014-01-16,127.15,127.45,121.05,121.55,121.5,6552353.0,8047.53
2014-01-17,122.6,126.2,121.85,124.95,125.25,11468667.0,14258.38
2014-01-20,125.25,133.9,125.15,132.9,133.3,10939782.0,14273.13
2014-01-21,133.2,137.45,132.15,134.55,134.95,10676570.0,14387.46
2014-01-22,134.95,134.95,132.6,132.95,133.4,4248010.0,5681.6
2014-01-23,133.0,136.35,131.8,133.75,133.9,5777320.0,7760.07
2014-01-24,133.75,133.75,128.7,129.35,129.25,4517531.0,5892.11
2014-01-27,127.55,127.55,122.1,122.4,122.55,5038318.0,6278.0
2014-01-28,122.4,124.5,120.15,121.3,121.3,5166155.0,6325.86
2014-01-29,122.5,124.0,121.5,121.6,121.95,3399307.0,4168.45
2014-01-30,120.9,120.9,115.55,115.65,116.3,9317884.0,11064.92
2014-01-31,115.95,125.3,115.3,122.8,123.55,10492922.0,12790.85
2014-02-03,121.85,125.45,120.55,121.0,121.0,5833919.0,7137.32
2014-02-04,120.0,126.5,119.6,123.7,124.35,8247650.0,10209.29
2014-02-05,123.0,126.8,123.0,125.5,125.4,5041146.0,6317.58
2014-02-06,125.1,128.6,123.45,126.5,126.8,6275551.0,7927.61
2014-02-07,127.25,128.1,124.05,125.0,125.45,4421737.0,5560.57
2014-02-10,124.0,124.2,119.6,120.25,120.25,5051171.0,6149.86
2014-02-11,120.9,122.75,117.4,120.65,119.85,5121204.0,6142.82
2014-02-12,121.0,121.8,118.6,120.1,119.85,4008125.0,4819.02
2014-02-13,120.75,121.35,117.85,118.55,119.0,3565219.0,4271.65
2014-02-14,119.6,123.3,119.6,120.95,121.3,5326929.0,6467.66
2014-02-17,121.9,122.15,116.7,118.3,118.35,4454068.0,5282.26
2014-02-18,118.9,120.4,117.4,119.1,119.2,2789688.0,3325.97
2014-02-19,118.3,120.45,117.5,119.05,118.9,3309302.0,3933.78
2014-02-20,117.6,119.0,116.85,117.15,117.2,3069833.0,3617.1
2014-02-21,117.5,118.3,111.15,111.3,111.5,10299510.0,11698.1
2014-02-24,110.85,112.7,109.8,111.65,111.4,5870095.0,6522.81
2014-02-25,111.65,113.95,111.65,112.15,112.3,4209705.0,4751.65
2014-02-26,112.4,113.5,109.35,110.7,110.35,6590977.0,7304.41
2014-02-28,110.6,113.3,106.75,112.55,112.3,7218281.0,7943.17
2014-03-03,111.5,113.95,109.3,109.8,110.2,5336401.0,5936.6
2014-03-04,110.3,113.2,110.3,111.7,111.55,5480702.0,6134.01
2014-03-05,112.5,112.7,109.1,110.55,111.0,4098046.0,4539.44
2014-03-06,111.0,116.85,110.9,113.6,113.85,11433111.0,13111.3
2014-03-07,114.2,119.9,112.8,118.0,118.3,14158347.0,16518.51
2014-03-10,118.0,121.95,117.5,120.95,121.15,6106947.0,7348.89
2014-03-11,121.15,124.9,118.55,119.8,120.1,8681371.0,10566.9
2014-03-12,120.0,121.7,118.1,118.45,119.1,4554188.0,5455.94
