Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,212.0,221.9,210.8,220.3,220.6,1562968.0,3391.84
2014-01-01,222.0,222.0,218.05,219.0,219.15,499283.0,1094.8
2014-01-02,218.5,223.25,212.6,213.3,214.1,718651.0,1573.1
2014-01-03,213.0,214.45,207.55,211.9,211.85,1055729.0,2229.8
2014-01-06,210.0,210.45,206.3,207.65,207.65,924883.0,1920.26
2014-01-07,207.1,210.0,202.5,202.65,203.0,1163995.0,2385.76
2014-01-08,204.1,213.45,204.1,209.2,209.3,2506674.0,5261.28
2014-01-09,209.95,211.35,203.0,203.8,203.5,1364245.0,2801.52
2014-01-10,204.8,206.35,197.7,198.1,198.6,1740365.0,3521.28
2014-01-13,199.0,204.55,199.0,204.0,203.7,687495.0,1392.21
2014-01-14,203.6,204.9,197.5,198.5,198.4,917905.0,1839.09
2014-01-15,200.0,202.8,198.5,200.35,200.7,1535904.0,3086.29
2014-01-16,202.0,202.4,197.5,198.0,198.3,788502.0,1571.39
2014-01-17,199.0,199.7,192.15,193.0,192.8,1372917.0,2681.27
2014-01-20,192.25,194.35,189.3,191.9,191.8,1134409.0,2175.57
2014-01-21,192.0,194.3,189.85,190.25,190.7,1525266.0,2920.42
2014-01-22,190.95,191.75,186.25,187.2,187.4,1794789.0,3369.8
2014-01-23,186.8,189.2,185.5,185.9,186.4,1707976.0,3199.12
2014-01-24,184.9,185.4,179.1,179.2,179.75,1632163.0,2966.8
2014-01-27,177.65,177.65,168.1,168.5,168.75,2185619.0,3738.97
2014-01-28,169.5,176.0,169.5,172.4,173.0,3037613.0,5278.54
2014-01-29,172.25,175.5,171.45,172.3,172.3,1755851.0,3054.06
2014-01-30,170.45,173.95,166.5,173.4,172.15,2574844.0,4367.39
2014-01-31,173.1,180.85,172.6,180.0,179.75,1837978.0,3246.69
2014-02-03,179.0,180.0,175.0,179.15,179.0,2039734.0,3637.37
2014-02-04,176.25,181.45,176.0,179.3,179.0,1447213.0,2592.98
2014-02-05,179.5,188.45,179.1,187.3,187.35,3027457.0,5581.19
2014-02-06,188.0,192.0,184.0,190.55,190.2,2460268.0,4654.9
2014-02-07,192.0,192.5,187.1,190.0,190.3,1690852.0,3211.57
2014-02-10,190.9,192.7,188.2,190.0,189.95,1452708.0,2758.77
2014-02-11,190.0,191.75,186.6,190.0,189.9,2066779.0,3911.44
2014-02-12,189.9,191.35,188.25,190.0,190.25,1089925.0,2070.54
2014-02-13,191.5,191.8,187.0,187.55,187.9,804326.0,1519.63
