Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,888.0,898.25,887.1,894.0,895.2,1304298.0,11661.08
2014-01-01,897.45,898.25,887.6,888.25,888.8,1337074.0,11918.92
2014-01-02,887.7,896.0,870.1,873.0,875.0,1376901.0,12187.15
2014-01-03,871.6,873.35,855.0,865.2,864.25,2933613.0,25352.79
2014-01-06,862.1,863.25,850.0,855.15,854.95,3043781.0,26019.45
2014-01-07,854.6,859.95,840.05,840.65,842.1,3957111.0,33493.06
2014-01-08,844.4,857.35,844.4,849.0,849.05,2909048.0,24727.93
2014-01-09,850.45,853.8,845.05,853.0,850.7,1899340.0,16132.98
2014-01-10,848.35,876.3,848.0,856.15,858.15,3392170.0,29292.14
2014-01-13,868.25,883.0,868.0,881.5,880.4,2756390.0,24158.21
2014-01-14,878.5,884.55,872.45,879.2,881.5,2760267.0,24310.78
2014-01-15,884.7,895.0,881.0,882.5,885.45,2893960.0,25749.47
2014-01-16,888.7,893.3,882.05,885.2,886.15,4123266.0,36623.16
2014-01-17,889.15,896.9,880.25,883.5,884.75,3534630.0,31469.81
2014-01-20,886.9,889.0,866.1,868.0,869.75,3789008.0,33053.46
2014-01-21,872.65,873.6,862.0,862.9,863.05,2241570.0,19404.28
2014-01-22,863.5,875.35,858.15,868.0,872.45,1947009.0,16935.5
2014-01-23,860.6,871.3,860.6,866.0,865.8,3146981.0,27265.45
2014-01-24,862.0,874.65,861.1,866.8,867.65,2715344.0,23592.71
2014-01-27,856.0,860.8,840.35,846.75,843.15,2822051.0,24007.98
2014-01-28,847.0,856.0,842.7,845.7,844.85,2645575.0,22459.44
2014-01-29,849.8,852.5,835.0,835.6,836.6,2828526.0,23850.7
2014-01-30,831.4,833.85,822.2,825.6,825.0,3223490.0,26667.1
2014-01-31,827.0,833.45,826.15,830.55,831.15,2523182.0,20947.43
2014-02-03,826.2,829.8,819.45,820.5,820.9,1880728.0,15510.33
2014-02-04,814.5,826.65,813.15,823.75,821.55,2825803.0,23143.87
2014-02-05,820.1,821.5,806.9,816.3,817.25,2582636.0,21049.92
2014-02-06,820.0,824.1,808.15,815.9,815.85,2474757.0,20200.02
2014-02-07,822.1,823.8,810.6,813.0,814.45,1933597.0,15793.9
2014-02-10,815.25,825.6,811.15,821.75,821.95,2364740.0,19436.03
2014-02-11,823.0,825.0,802.75,803.75,805.25,2882244.0,23371.96
2014-02-12,808.0,821.9,807.4,815.0,817.9,2246719.0,18349.39
2014-02-13,818.9,818.9,805.05,806.8,807.4,1978914.0,16048.82
2014-02-14,811.9,824.0,808.0,821.9,822.05,2107250.0,17217.64
2014-02-17,817.65,822.0,807.05,812.75,812.3,2070622.0,16843.81
2014-02-18,807.1,817.85,807.1,812.3,813.15,1312359.0,10692.28
2014-02-19,813.0,820.0,810.0,813.1,812.25,1401247.0,11417.89
2014-02-20,811.3,813.7,803.1,804.15,805.45,1838151.0,14851.99
2014-02-21,807.1,816.0,805.6,810.75,811.5,1430079.0,11597.65
2014-02-24,808.05,814.95,805.3,812.9,812.35,1554509.0,12587.82
2014-02-25,814.3,816.0,807.55,809.45,810.55,1609074.0,13069.81
2014-02-26,811.0,816.85,808.25,812.0,810.7,3110571.0,25253.21
2014-02-28,810.7,815.35,793.1,797.3,799.95,4331622.0,34720.77
2014-03-03,800.1,806.8,797.15,804.25,803.4,2659675.0,21349.76
2014-03-04,803.0,814.65,802.6,812.35,812.95,2056575.0,16673.45
2014-03-05,815.55,818.0,805.15,806.5,807.0,2703603.0,21892.99
2014-03-06,809.35,824.4,809.3,822.25,822.45,2325283.0,19028.24
2014-03-07,825.0,874.0,825.0,867.9,869.4,7679752.0,65693.69
2014-03-10,865.1,903.65,863.4,883.9,885.45,7513409.0,66841.56
2014-03-11,885.0,887.8,872.1,874.0,874.75,2921335.0,25663.89
2014-03-12,874.0,882.9,867.65,869.25,871.35,2155857.0,18832.7
2014-03-13,875.0,894.75,874.7,877.9,879.55,3936620.0,34929.4
2014-03-14,874.0,889.95,869.05,886.0,886.15,3780891.0,33200.36
2014-03-18,889.5,908.8,889.5,894.5,896.45,4351046.0,39177.06
2014-03-19,900.0,909.9,895.25,902.9,903.0,3743369.0,33771.22
2014-03-20,901.6,907.5,898.15,905.7,906.0,6791651.0,61503.56
2014-03-21,907.0,913.35,882.15,884.6,885.8,5040481.0,45077.15
2014-03-22,887.6,889.85,883.55,889.4,888.15,231511.0,2053.68
2014-03-24,891.25,908.75,891.1,906.0,905.4,6586731.0,59501.54
2014-03-25,879.0,882.5,872.5,877.8,879.3,7154556.0,62861.22
2014-03-26,881.25,902.95,881.15,891.0,891.2,3156965.0,28162.49
2014-03-27,894.85,904.9,892.1,899.0,900.75,12665322.0,114199.09
2014-03-28,900.0,919.95,900.0,914.8,916.15,4267110.0,39014.67
2014-03-31,916.25,939.8,913.2,937.8,930.75,4286368.0,39603.75
2014-04-01,936.0,945.0,929.3,941.4,942.6,3575180.0,33508.11
2014-04-02,945.0,962.0,938.1,955.95,958.2,6121499.0,58467.74
2014-04-03,956.8,962.95,940.4,951.5,952.65,6069088.0,57718.58
2014-04-04,952.0,953.25,941.55,944.25,944.25,2860462.0,27050.35
2014-04-07,944.0,954.95,934.35,941.0,944.15,2949923.0,27805.08
2014-04-09,950.0,966.7,947.15,966.6,962.15,3071917.0,29319.55
2014-04-10,964.7,973.9,962.2,968.95,969.05,2434297.0,23574.77
2014-04-11,962.3,971.05,950.6,951.25,953.75,2672508.0,25612.98
2014-04-15,950.0,954.0,936.6,945.8,949.1,2117715.0,20010.67
2014-04-16,946.5,959.0,938.1,941.8,941.3,2830152.0,26830.06
2014-04-17,945.0,961.8,943.8,961.0,959.1,1793418.0,17124.24
2014-04-21,969.95,969.95,956.1,957.0,959.6,2701214.0,25954.6
2014-04-22,960.0,988.75,956.1,966.95,967.75,4418930.0,43019.96
2014-04-23,969.0,982.0,964.25,966.8,967.15,3494693.0,33904.52
2014-04-25,968.0,969.0,946.0,946.6,948.25,3029220.0,28839.96
2014-04-28,949.8,956.0,941.35,945.65,945.0,3796899.0,36043.71
2014-04-29,946.05,951.75,938.0,940.5,940.3,1919298.0,18080.54
2014-04-30,943.9,960.0,929.1,936.1,935.8,3289582.0,31073.78
2014-05-02,940.0,947.4,926.0,928.1,928.1,2073376.0,19357.7
2014-05-05,925.0,958.5,925.0,944.4,946.85,3474292.0,32869.55
2014-05-06,947.9,967.0,947.55,965.15,963.35,2832651.0,27203.12
2014-05-07,960.1,971.4,957.05,958.9,960.85,2416483.0,23299.11
