Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,664.65,668.7,655.0,661.0,663.15,137569.0,913.49
2014-01-01,665.85,672.4,660.0,663.0,663.9,223531.0,1488.79
2014-01-02,663.0,669.35,630.35,632.5,638.65,179377.0,1173.05
2014-01-03,630.0,639.85,625.0,633.0,629.55,339720.0,2143.05
2014-01-06,630.0,636.7,623.05,625.0,625.5,238983.0,1500.57
2014-01-07,624.1,631.45,620.0,622.7,624.6,174406.0,1091.78
2014-01-08,625.0,637.6,625.0,629.9,631.05,278675.0,1761.57
2014-01-09,630.0,636.7,605.1,610.0,608.7,291212.0,1799.15
2014-01-10,608.0,615.8,590.1,591.0,596.85,226397.0,1372.13
2014-01-13,595.0,599.9,590.55,597.0,593.85,236434.0,1406.59
2014-01-14,593.8,610.0,593.4,608.5,607.65,198799.0,1201.94
2014-01-15,609.85,614.45,595.0,609.0,608.35,310251.0,1885.47
2014-01-16,609.25,614.0,601.5,601.8,603.35,229194.0,1390.87
2014-01-17,601.0,607.25,586.75,589.55,590.75,336407.0,1991.35
2014-01-20,590.2,596.0,582.15,595.0,589.65,135525.0,795.66
2014-01-21,597.45,604.0,591.8,593.05,593.7,152684.0,911.09
2014-01-22,593.7,599.6,590.05,595.85,595.0,140811.0,838.22
2014-01-23,594.8,609.0,592.0,595.8,597.5,263546.0,1587.2
2014-01-24,595.0,598.5,575.05,577.0,578.75,142319.0,833.87
2014-01-27,573.0,573.0,535.6,536.5,538.35,283891.0,1557.92
2014-01-28,538.4,546.0,522.5,525.9,527.0,246044.0,1312.21
2014-01-29,531.0,542.35,530.1,541.0,539.85,235867.0,1266.8
2014-01-30,533.9,545.25,513.0,542.1,536.95,632305.0,3343.47
2014-01-31,544.9,558.0,532.4,551.6,552.05,229776.0,1249.89
2014-02-03,547.2,559.0,544.2,546.9,548.3,158481.0,871.19
2014-02-04,540.0,547.7,532.0,546.0,541.1,155279.0,837.62
2014-02-05,542.1,559.9,541.9,550.0,549.95,214535.0,1185.57
2014-02-06,551.25,561.7,537.05,549.0,550.75,229383.0,1263.16
2014-02-07,552.6,557.9,548.25,551.5,551.8,119711.0,661.76
2014-02-10,553.0,555.85,545.15,545.3,547.8,63258.0,348.04
2014-02-11,549.95,553.4,542.2,544.0,544.8,69477.0,379.35
2014-02-12,546.9,555.0,542.05,547.3,550.0,141734.0,778.36
2014-02-13,550.9,553.65,529.85,530.7,531.35,104430.0,566.43
2014-02-14,531.5,538.0,521.7,527.55,529.7,129976.0,690.43
2014-02-17,526.1,536.05,526.1,531.1,530.1,95594.0,506.88
2014-02-18,530.2,564.9,530.2,564.0,562.45,445293.0,2466.4
2014-02-19,567.0,579.6,563.55,571.2,573.05,459273.0,2632.61
2014-02-20,568.0,594.0,564.5,585.0,584.9,553881.0,3241.9
2014-02-21,588.8,588.8,577.15,585.45,584.9,161486.0,941.31
2014-02-24,584.9,594.9,583.0,592.0,589.6,227868.0,1345.13
2014-02-25,592.1,595.0,583.5,584.8,585.5,121801.0,716.82
2014-02-26,585.0,612.65,583.5,608.6,604.45,961363.0,5823.86
2014-02-28,607.4,624.0,606.95,623.0,619.8,421701.0,2599.17
2014-03-03,623.0,625.5,614.85,618.0,619.0,271803.0,1683.8
2014-03-04,618.1,627.0,616.0,623.0,622.15,334713.0,2081.24
2014-03-05,623.6,649.5,618.9,643.5,644.35,747943.0,4760.32
2014-03-06,645.1,662.95,645.0,652.0,650.45,662970.0,4336.86
2014-03-07,657.7,677.8,655.3,669.0,668.55,706892.0,4713.6
2014-03-10,669.0,697.5,660.4,695.0,694.15,998354.0,6787.68
2014-03-11,696.0,699.9,661.2,676.0,677.8,540420.0,3677.18
2014-03-12,672.0,689.65,666.0,667.25,670.25,327591.0,2218.72
2014-03-13,668.1,685.0,661.55,668.0,665.9,539376.0,3659.7
2014-03-14,667.0,687.0,653.15,683.05,682.5,418614.0,2800.36
2014-03-18,684.0,703.35,684.0,687.5,687.05,531158.0,3683.72
2014-03-19,691.1,695.95,680.0,683.3,684.05,203265.0,1396.98
2014-03-20,683.0,696.0,674.15,685.0,684.0,246991.0,1696.97
2014-03-21,686.15,690.75,681.9,686.9,686.75,494992.0,3399.94
2014-03-22,688.6,688.85,684.7,686.75,686.4,21634.0,148.53
2014-03-24,686.0,698.0,686.0,691.2,693.8,247054.0,1713.36
2014-03-25,693.0,721.45,690.2,714.0,712.85,800961.0,5697.0
2014-03-26,718.6,723.0,708.0,720.0,718.6,544041.0,3905.72
2014-03-27,718.0,731.45,714.1,724.95,726.45,491231.0,3564.63
2014-03-28,727.5,758.0,715.15,756.0,750.05,618532.0,4548.14
2014-03-31,754.8,775.0,742.5,770.0,772.35,556881.0,4246.94
2014-04-01,772.85,773.0,729.0,740.0,739.95,838755.0,6240.91
2014-04-02,744.7,760.0,734.25,759.0,754.7,487172.0,3635.54
2014-04-03,750.0,765.5,747.15,758.25,762.2,550972.0,4178.93
2014-04-04,759.35,760.0,742.05,744.0,744.45,193697.0,1453.28
2014-04-07,751.0,762.9,741.5,747.0,748.3,279019.0,2092.3
2014-04-09,751.1,765.25,751.0,757.0,757.35,324273.0,2457.25
2014-04-10,759.0,776.35,755.35,755.95,761.05,342516.0,2626.22
