Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,677.0,678.9,663.3,670.1,672.6,183722.0,1233.47
2014-01-01,677.0,677.5,669.0,672.75,672.2,51193.0,344.34
2014-01-02,672.2,677.75,653.0,653.0,658.75,102172.0,681.53
2014-01-03,658.0,680.0,653.65,674.0,674.45,162571.0,1083.65
2014-01-06,675.25,678.85,654.25,655.5,657.55,217799.0,1440.76
2014-01-07,663.0,663.0,626.15,628.45,634.65,314631.0,2031.55
2014-01-08,626.0,643.0,620.35,624.9,627.7,498879.0,3166.63
2014-01-09,627.0,627.0,602.7,610.7,609.5,709027.0,4335.71
2014-01-10,609.5,619.9,601.0,607.0,604.75,276389.0,1685.83
2014-01-13,609.95,617.8,598.3,609.15,608.75,198040.0,1209.37
2014-01-14,601.0,615.0,599.7,607.0,605.65,686800.0,4130.19
2014-01-15,603.1,628.0,603.1,619.6,620.05,275011.0,1707.5
2014-01-16,621.0,631.0,602.0,602.7,605.15,321498.0,1997.3
2014-01-17,603.4,608.55,594.15,596.0,599.65,251374.0,1509.65
2014-01-20,600.0,613.5,595.0,610.0,610.45,88444.0,536.14
2014-01-21,602.0,622.7,602.0,616.1,617.2,113994.0,704.65
2014-01-22,615.0,627.0,612.6,622.5,624.35,84345.0,525.63
2014-01-23,624.35,629.95,614.05,615.3,617.75,116513.0,726.95
2014-01-24,613.0,623.95,605.5,619.35,619.2,205299.0,1263.83
2014-01-27,615.0,615.0,600.05,606.5,603.45,168544.0,1022.24
2014-01-28,600.0,618.15,597.0,608.0,608.2,199235.0,1214.74
2014-01-29,616.0,636.9,608.5,620.0,615.65,579078.0,3586.72
2014-01-30,608.35,611.6,595.2,610.8,606.1,711517.0,4289.11
2014-01-31,610.05,632.05,605.55,629.95,625.2,216970.0,1339.44
2014-02-03,626.55,632.0,612.1,612.85,619.6,314349.0,1948.69
2014-02-04,614.45,621.5,602.5,611.25,615.4,343301.0,2113.57
2014-02-05,619.4,619.4,608.95,610.0,610.45,524145.0,3208.12
2014-02-06,605.0,613.95,585.35,598.0,598.0,554097.0,3325.18
2014-02-07,608.0,608.0,588.7,591.0,591.4,213131.0,1261.58
2014-02-10,591.1,600.0,585.05,590.0,590.75,164582.0,973.62
2014-02-11,596.0,596.0,581.4,589.8,585.05,160769.0,943.23
2014-02-12,587.0,588.95,580.1,582.4,583.3,333380.0,1946.36
2014-02-13,582.8,585.4,575.05,576.15,577.9,207007.0,1200.58
2014-02-14,577.85,580.0,551.6,564.0,556.9,686816.0,3850.63
2014-02-17,561.1,570.35,550.5,557.8,554.25,224733.0,1253.07
2014-02-18,549.65,564.9,548.7,558.5,559.2,534570.0,2993.42
2014-02-19,559.1,564.2,552.25,556.1,555.8,362271.0,2023.46
