Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,570.0,572.85,565.6,567.5,567.45,930750.0,5286.91
2014-01-01,568.25,574.0,568.1,572.05,572.35,425464.0,2430.47
2014-01-02,572.1,585.0,570.0,574.5,573.85,1311399.0,7590.19
2014-01-03,575.0,581.4,570.0,580.3,579.7,1443488.0,8299.93
2014-01-06,583.0,590.85,579.45,588.3,588.25,1832494.0,10760.34
2014-01-07,593.0,599.0,589.2,594.2,594.2,2986634.0,17779.6
2014-01-08,600.0,610.0,598.35,600.5,600.9,2427891.0,14676.38
2014-01-09,600.9,609.4,599.2,606.65,607.0,1867544.0,11281.06
2014-01-10,607.0,617.7,605.1,610.0,609.4,2548423.0,15579.28
2014-01-13,610.0,615.25,596.35,602.25,602.35,1570396.0,9496.76
2014-01-14,600.0,606.75,597.8,604.75,603.55,2626299.0,15770.22
2014-01-15,604.0,610.95,601.15,601.95,603.5,1582614.0,9585.53
2014-01-16,604.0,606.25,590.35,594.5,592.75,905324.0,5399.09
2014-01-17,591.75,600.5,590.0,595.0,594.0,1276748.0,7627.12
2014-01-20,595.0,600.0,586.0,589.0,589.4,1022330.0,6033.39
2014-01-21,594.0,594.0,577.6,581.4,580.35,1435394.0,8366.04
2014-01-22,580.35,599.9,576.65,598.75,597.45,3419248.0,20141.86
2014-01-23,598.55,612.5,598.55,610.0,609.35,2954935.0,17960.22
2014-01-24,607.95,614.7,599.0,603.3,603.6,1467628.0,8884.88
2014-01-27,597.95,613.8,594.15,596.95,597.8,2991060.0,18058.71
2014-01-28,597.5,604.25,580.05,583.8,581.9,1935622.0,11364.37
2014-01-29,588.0,604.9,585.9,593.9,591.45,2412064.0,14402.54
2014-01-30,592.95,599.0,580.25,593.45,593.6,1443395.0,8507.04
2014-01-31,595.9,598.55,584.0,588.65,588.7,1585472.0,9327.21
2014-02-03,588.2,600.9,588.2,592.0,594.3,1640565.0,9762.16
2014-02-04,594.35,594.35,584.2,587.9,587.75,1873420.0,11046.86
2014-02-05,587.85,596.5,583.0,583.45,583.6,2300454.0,13510.92
2014-02-06,587.85,592.9,581.5,586.6,584.9,1773116.0,10387.33
2014-02-07,590.95,603.8,586.1,602.7,601.65,3201995.0,19212.01
2014-02-10,605.5,614.7,604.0,611.15,611.65,1472255.0,8998.28
2014-02-11,616.95,624.4,607.0,609.95,608.3,2483629.0,15269.77
2014-02-12,614.0,619.65,610.0,611.5,611.05,1815098.0,11147.9
2014-02-13,615.0,623.2,610.3,614.0,615.3,3135266.0,19342.32
2014-02-14,622.5,626.5,605.2,610.8,609.05,3027378.0,18661.15
2014-02-17,610.0,614.2,601.1,605.0,605.1,998680.0,6043.01
2014-02-18,605.0,611.9,604.0,608.55,609.75,873040.0,5317.05
2014-02-19,613.0,625.7,611.2,623.0,623.3,2157227.0,13396.16
