Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,193.0,194.35,192.0,192.05,192.55,282925.0,546.31
2014-01-01,194.7,194.7,191.55,192.05,192.2,202611.0,391.11
2014-01-02,192.5,192.95,188.3,190.0,189.7,460932.0,881.71
2014-01-03,190.0,190.0,186.25,189.1,188.0,1228885.0,2303.03
2014-01-06,187.0,190.55,186.7,187.2,187.8,1965692.0,3722.96
2014-01-07,188.85,190.0,186.55,187.6,188.15,624054.0,1176.7
2014-01-08,189.1,192.0,187.9,190.45,190.9,984740.0,1869.03
2014-01-09,192.45,192.45,186.5,189.25,188.6,629923.0,1189.96
2014-01-10,189.0,190.95,188.0,190.95,189.85,1052858.0,1993.53
2014-01-13,192.0,196.0,191.05,195.0,195.15,986323.0,1919.05
2014-01-14,194.85,196.55,191.9,194.7,195.1,915049.0,1774.87
2014-01-15,195.75,197.0,194.65,196.0,196.2,1762156.0,3447.37
2014-01-16,196.2,197.0,192.1,194.0,194.1,1182222.0,2295.07
2014-01-17,194.0,195.4,191.7,192.5,192.45,489921.0,946.45
2014-01-20,191.15,195.0,191.15,193.2,193.95,632349.0,1223.82
2014-01-21,193.15,200.0,192.3,197.35,197.25,1783151.0,3528.59
2014-01-22,197.35,198.7,195.1,197.75,198.2,693271.0,1372.12
2014-01-23,196.15,199.6,194.2,195.4,195.1,817061.0,1604.34
2014-01-24,193.15,194.0,186.25,187.3,186.85,1253344.0,2381.69
2014-01-27,185.0,185.0,176.75,176.8,177.7,1362705.0,2452.53
2014-01-28,176.9,182.4,175.7,180.3,181.1,1408922.0,2514.12
2014-01-29,182.5,184.05,176.25,177.2,177.0,844103.0,1511.48
2014-01-30,174.9,180.7,173.95,178.5,177.85,2018799.0,3574.03
2014-01-31,178.5,179.0,173.6,174.3,174.9,715909.0,1252.46
2014-02-03,173.2,174.0,169.15,171.05,170.05,1254774.0,2155.74
2014-02-04,168.3,174.75,168.25,174.0,173.3,1321923.0,2277.79
2014-02-05,172.2,179.75,170.4,177.7,177.9,1398392.0,2452.63
2014-02-06,178.0,179.35,173.55,174.9,175.45,2853106.0,5015.81
2014-02-07,176.25,179.7,175.25,179.0,179.0,1340039.0,2385.39
2014-02-10,180.7,183.65,180.15,181.3,182.05,1656934.0,3017.82
2014-02-11,191.0,192.0,187.0,187.3,187.75,2928330.0,5518.23
2014-02-12,188.95,191.55,188.7,191.3,191.05,1893890.0,3598.08
2014-02-13,191.8,194.6,190.7,191.0,191.85,3079199.0,5944.87
2014-02-14,190.05,196.0,190.05,195.85,195.15,658938.0,1278.55
2014-02-17,195.05,198.25,193.0,194.25,194.5,623493.0,1215.53
2014-02-18,193.6,197.2,193.6,195.35,195.8,834072.0,1632.46
2014-02-19,194.3,195.9,192.9,195.0,195.0,593656.0,1154.25
2014-02-20,194.65,196.6,193.05,194.1,194.05,673479.0,1309.28
2014-02-21,194.3,197.1,194.3,195.85,196.05,476115.0,932.61
2014-02-24,195.15,199.0,194.95,196.7,196.4,1379595.0,2709.71
2014-02-25,196.95,197.35,194.05,195.35,194.7,2255699.0,4398.2
2014-02-26,193.4,197.1,193.05,196.5,195.9,893115.0,1742.49
2014-02-28,200.35,204.5,198.55,203.55,204.15,752148.0,1524.1
2014-03-03,202.2,203.0,198.5,198.5,199.45,741736.0,1487.55
2014-03-04,199.0,204.6,196.55,199.0,198.8,1695889.0,3384.37
2014-03-05,201.0,201.0,195.1,195.75,195.85,2002690.0,3935.78
2014-03-06,196.7,198.7,194.25,197.8,197.3,871064.0,1704.78
2014-03-07,197.4,205.45,196.7,200.95,202.25,1466946.0,2950.8
2014-03-10,200.25,200.8,194.0,195.5,196.5,1493137.0,2931.17
2014-03-11,197.5,201.55,196.5,198.2,197.6,966469.0,1915.61
2014-03-12,196.05,197.0,191.3,193.25,192.5,1416673.0,2738.97
2014-03-13,195.7,195.9,190.85,191.7,191.7,983590.0,1906.31
2014-03-14,190.0,195.2,189.2,194.0,194.7,823100.0,1584.65
2014-03-18,196.95,197.35,189.5,190.0,190.1,1971059.0,3794.73
2014-03-19,191.95,192.95,188.5,191.1,191.0,1770921.0,3374.92
2014-03-20,189.15,191.45,187.7,188.0,188.2,1587690.0,3007.54
2014-03-21,189.0,191.5,188.75,191.0,190.6,3155398.0,5999.6
2014-03-22,190.0,191.0,189.65,190.5,190.7,58943.0,112.42
2014-03-24,191.05,192.9,189.5,190.05,190.25,1578232.0,3016.01
2014-03-25,190.05,191.65,188.3,190.25,190.35,1352306.0,2571.05
2014-03-26,191.0,195.35,191.0,194.5,194.5,2135397.0,4146.38
2014-03-27,194.0,196.35,192.15,194.25,194.2,1784890.0,3470.04
2014-03-28,194.9,198.9,193.3,196.3,196.3,1046262.0,2052.38
2014-03-31,196.5,205.7,196.5,202.5,202.4,1855884.0,3751.32
2014-04-01,201.6,214.75,201.6,212.6,211.25,2796993.0,5867.09
2014-04-02,213.15,221.0,212.15,220.5,220.05,2595165.0,5659.26
2014-04-03,221.3,221.95,215.05,218.45,218.15,2543953.0,5554.1
2014-04-04,217.5,218.75,215.15,216.9,216.05,687811.0,1488.87
2014-04-07,216.55,221.8,214.0,218.95,218.25,1261786.0,2745.94
2014-04-09,221.0,233.6,220.0,230.95,230.95,4183495.0,9606.43
2014-04-10,233.95,239.0,231.0,232.3,233.8,3664406.0,8623.49
2014-04-11,233.95,240.5,232.0,234.05,236.3,4890098.0,11627.87
2014-04-15,236.45,237.3,227.1,230.75,229.0,2159637.0,4974.62
2014-04-16,228.5,233.4,225.0,227.5,227.15,1444127.0,3308.6
2014-04-17,227.5,237.9,227.5,235.4,236.45,1464735.0,3434.59
2014-04-21,237.9,239.85,234.05,236.7,237.75,1789015.0,4248.72
2014-04-22,237.95,240.9,234.0,234.0,235.15,2717212.0,6429.44
2014-04-23,237.75,237.75,228.0,230.05,231.65,3233380.0,7554.57
2014-04-25,230.95,236.45,230.0,232.8,233.05,1393563.0,3253.22
2014-04-28,234.25,234.3,228.0,231.0,231.0,1121313.0,2588.82
2014-04-29,231.85,232.2,225.0,225.8,226.0,1034712.0,2355.77
2014-04-30,227.0,231.8,221.6,227.2,226.35,3437103.0,7807.59
2014-05-02,225.05,229.5,222.8,224.55,224.55,1180022.0,2655.3
2014-05-05,224.55,225.9,221.55,222.0,222.25,872281.0,1947.28
2014-05-06,223.4,228.0,222.9,225.2,224.3,1323714.0,2981.18
2014-05-07,225.6,226.0,222.15,223.0,223.05,540103.0,1211.6
2014-05-08,224.0,226.8,222.55,223.8,223.75,1248954.0,2802.56
2014-05-09,223.75,230.9,223.35,230.2,229.75,931697.0,2125.85
2014-05-12,228.05,243.9,228.05,238.25,241.15,2649775.0,6334.94
2014-05-13,244.85,251.95,243.05,248.95,246.5,2887099.0,7185.22
2014-05-14,247.05,253.9,244.1,248.6,248.55,2568882.0,6376.52
2014-05-15,251.0,254.9,247.55,251.0,251.85,2628843.0,6618.91
2014-05-16,255.0,264.15,243.0,253.0,253.8,3547499.0,9115.36
2014-05-19,255.0,260.85,249.65,252.5,251.95,1642198.0,4161.65
2014-05-20,253.0,257.4,250.0,251.5,252.0,861573.0,2178.73
2014-05-21,252.5,255.85,246.0,251.8,249.7,2150386.0,5378.25
2014-05-22,249.0,255.45,244.0,249.05,248.4,2378550.0,5931.44
2014-05-23,251.0,258.25,248.1,256.9,256.2,1402920.0,3569.73
2014-05-26,259.5,268.55,254.2,264.05,263.25,3018182.0,7963.02
2014-05-27,265.0,270.2,255.95,262.0,261.9,1701365.0,4454.07
2014-05-28,261.9,267.5,251.75,264.5,264.55,1847262.0,4789.47
2014-05-29,265.0,265.0,255.25,256.05,257.05,2611486.0,6760.5
2014-05-30,251.8,263.6,246.6,258.15,256.95,2008521.0,5205.61
2014-06-02,257.1,270.2,257.1,268.0,268.35,1494062.0,3949.61
2014-06-03,268.0,269.75,262.5,263.0,263.8,2895820.0,7707.7
2014-06-04,264.0,266.3,258.25,259.9,260.2,1524006.0,4001.35
2014-06-05,262.1,273.25,256.9,271.35,271.4,2777267.0,7431.57
2014-06-06,274.0,289.6,271.5,282.0,284.2,4507081.0,12683.63
2014-06-09,289.7,298.75,287.05,294.6,294.35,3372643.0,9873.2
2014-06-10,295.9,296.65,280.1,294.9,294.25,2301037.0,6646.33
