Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,89.0,92.0,89.0,91.1,91.35,4390441.0,4006.01
2014-01-01,90.6,91.95,89.8,90.45,90.4,4335490.0,3928.46
2014-01-02,90.45,91.3,86.95,87.1,87.35,4066617.0,3627.25
2014-01-03,87.3,87.4,81.6,83.9,84.05,10142266.0,8488.06
2014-01-06,84.0,84.15,81.3,81.75,81.85,7619556.0,6275.94
2014-01-07,81.85,82.6,79.4,79.7,79.55,5675927.0,4560.82
2014-01-08,80.0,81.5,79.5,81.1,81.0,6682185.0,5406.76
2014-01-09,81.0,82.35,80.2,81.25,81.25,3640767.0,2960.11
2014-01-10,81.25,81.5,79.5,80.6,80.35,3229366.0,2602.41
2014-01-13,80.1,81.2,77.9,79.1,78.85,3955388.0,3122.11
2014-01-14,77.9,78.65,77.6,77.9,78.0,2746189.0,2143.4
2014-01-15,77.9,79.0,77.9,78.65,78.4,2756212.0,2163.15
2014-01-16,78.5,79.15,77.8,77.9,78.05,1561467.0,1223.33
2014-01-17,78.1,79.9,77.9,78.3,78.35,2625217.0,2069.79
2014-01-20,78.05,78.75,77.1,77.45,77.45,2524308.0,1960.73
2014-01-21,77.9,78.1,76.75,76.95,76.9,1631138.0,1259.92
2014-01-22,76.7,77.45,76.05,76.6,76.65,2231177.0,1712.02
2014-01-23,76.6,77.75,76.6,76.8,76.85,1913010.0,1475.88
2014-01-24,76.8,77.3,75.3,75.5,75.65,2070273.0,1572.92
2014-01-27,75.2,75.2,72.25,72.4,72.55,2707079.0,1988.81
2014-01-28,72.55,74.3,71.7,73.25,73.25,4170681.0,3042.76
2014-01-29,73.5,74.25,72.8,73.05,73.0,2877202.0,2110.22
2014-01-30,72.5,72.7,71.4,72.2,71.95,2331823.0,1675.09
2014-01-31,72.1,74.5,71.85,74.25,73.95,2963846.0,2170.0
2014-02-03,75.3,76.65,72.4,72.65,72.65,2994049.0,2216.62
2014-02-04,72.0,73.5,71.4,72.9,72.65,1910549.0,1388.89
2014-02-05,73.0,73.5,72.1,73.0,72.95,1367360.0,997.09
2014-02-06,73.25,75.85,73.25,75.05,75.25,3469785.0,2595.28
2014-02-07,76.35,76.75,73.7,75.15,74.9,5267182.0,3969.89
2014-02-10,74.7,76.0,74.5,75.2,75.55,1205698.0,910.31
2014-02-11,75.55,76.7,75.05,76.0,75.9,1400263.0,1064.67
2014-02-12,76.0,76.5,74.75,74.9,75.1,1089458.0,821.52
2014-02-13,76.0,76.0,73.0,73.1,73.1,1887059.0,1391.88
2014-02-14,73.5,74.45,72.9,73.8,73.85,1751510.0,1290.17
2014-02-17,74.4,77.7,74.4,77.25,77.45,5106257.0,3921.49
2014-02-18,77.45,80.1,76.05,79.6,79.45,5379532.0,4197.33
2014-02-19,79.1,79.5,77.05,77.2,77.4,2985833.0,2334.46
2014-02-20,76.55,79.8,76.0,78.5,78.35,4081553.0,3189.99
2014-02-21,78.5,79.9,78.05,78.5,78.8,2881797.0,2278.27
2014-02-24,83.8,84.35,81.65,82.9,82.85,13941908.0,11563.19
2014-02-25,83.25,83.5,80.3,80.9,80.95,4168059.0,3408.64
2014-02-26,81.8,81.95,78.95,79.3,79.45,4249582.0,3400.49
2014-02-28,79.9,80.45,78.05,79.1,78.8,4438765.0,3512.71
2014-03-03,78.8,79.9,77.75,77.95,78.25,3705493.0,2923.03
2014-03-04,78.0,80.75,77.95,79.9,80.05,5456455.0,4350.38
2014-03-05,80.4,80.7,77.1,77.5,77.45,5173350.0,4036.97
2014-03-06,78.2,78.9,77.6,78.3,78.4,4642716.0,3632.6
2014-03-07,78.8,79.95,77.7,79.45,79.45,3882691.0,3072.42
2014-03-10,78.95,80.35,77.85,79.0,79.15,5786452.0,4578.33
2014-03-11,80.3,83.25,80.2,82.05,82.2,11195811.0,9154.82
2014-03-12,82.5,83.7,81.5,83.25,83.3,7067602.0,5847.12
2014-03-13,83.55,85.6,82.2,83.2,83.1,7289170.0,6165.26
2014-03-14,83.5,84.85,82.5,83.3,83.35,4887582.0,4082.85
2014-03-18,83.3,85.35,82.6,84.45,83.9,5569263.0,4689.36
2014-03-19,81.25,82.9,79.0,79.2,79.4,7037784.0,5665.9
2014-03-20,79.3,79.6,77.8,78.15,78.0,2053959.0,1613.72
2014-03-21,78.75,80.15,78.25,79.95,79.85,4279465.0,3397.79
2014-03-22,80.0,80.2,79.05,79.8,79.4,363457.0,288.96
2014-03-24,79.8,81.15,79.65,80.5,80.45,3233179.0,2602.26
2014-03-25,81.0,81.75,80.2,81.5,81.55,3457592.0,2805.63
2014-03-26,81.95,83.0,81.0,81.85,81.85,3936008.0,3233.72
2014-03-27,81.85,83.1,80.6,82.5,82.75,8796256.0,7247.07
2014-03-28,82.9,86.95,82.85,86.75,86.55,5626196.0,4778.15
